,tenet_male,tenet_female,tuple,healthcare_male,healthcare_female,corp_male,corp_female,average_male,average_female,male-female
1,-2.7018247,-2.8358474,"('unfriendly', 'friendly')",0.90458465,0.7534616,1.2857931,1.2982519,-0.1704823,-0.261378,0.0908957
0,-1.9698685,-1.994206,"('unsociable', 'sociable')",0.37565508,0.22187501,-0.106064394,-0.18022156,-0.5667593,-0.6508509,0.0840916
45,-1.9206814,-1.6959085,"('incompetent', 'competent')",-0.13792706,-0.104675524,-0.17459682,-0.19793695,-0.7444018,-0.6661737,-0.0782281
58,-1.7291028,-1.7993113,"('undiscriminating', 'discriminating')",-0.72185206,-0.86084527,-0.19730443,-0.32338664,-0.8827531,-0.9945144,0.1117613
86,-1.4983487,-1.6771246,"('uninfluential', 'influential')",0.14840165,-0.07586115,-0.23443374,-0.38559076,-0.528127,-0.7128588,0.1847318
57,-1.4790593,-1.3613316,"('unimaginative', 'imaginative')",-0.41544306,-0.3599237,-2.9399602,-3.0350466,-1.6114875,-1.585434,-0.0260535
8,-1.3955275,-1.362865,"('unaffectionate', 'affectionate')",0.20419565,0.23519427,0.38790873,0.4368586,-0.2678077,-0.2302707,-0.037537
38,-1.3333347,-1.0152793,"('untruthful', 'truthful')",0.21244839,0.36195973,-0.4703287,-0.42016733,-0.530405,-0.357829,-0.172576
53,-1.2972697,-1.3313994,"('uncreative', 'creative')",-0.052963488,0.013059372,0.24375495,0.15076537,-0.3688261,-0.3891915,0.0203654
23,-1.2447757,-0.87414163,"('insincere', 'sincere')",0.60221756,0.6509589,5.424366,5.539734,1.593936,1.7721837,-0.1782477
48,-1.2060375,-1.1284087,"('unintelligent', 'intelligent')",0.49924913,0.40300527,0.6491252,0.6725764,-0.0192211,-0.017609,-0.0016121
24,-1.1353126,-1.0612864,"('dishonest', 'honest')",0.0404851,-0.030243337,0.44416755,0.39326268,-0.2168866,-0.2327557,0.0158691
9,-1.102928,-0.9735903,"('unaffectionate', 'caring')",1.4647343,1.4163569,1.0489606,1.1649919,0.4702556,0.5359195,-0.0656639
82,-1.0863563,-0.94823736,"('poor', 'rich')",-0.3958159,-0.23727447,5.752113,5.8932037,1.4233135,1.5692307,-0.1459172
43,-1.0745096,-0.80898833,"('irresponsible', 'responsible')",1.1593866,1.1776757,0.3424642,0.27400285,0.1424471,0.2142301,-0.071783
61,-1.0704707,-1.2909449,"('illogical', 'logical')",0.08688729,-0.036030583,0.64959,0.5216454,-0.1113311,-0.2684433,0.1571122
26,-1.00728,-1.2218277,"('hardhearted', 'benevolent')",1.5901754,1.5291529,1.6232803,1.5701941,0.7353919,0.6258397,0.1095522
30,-0.9287205,-0.7461929,"('intolerant', 'tolerant')",0.61752075,0.62299496,0.64339525,0.68168813,0.1107318,0.1861634,-0.0754316
16,-0.88698083,-0.89999527,"('unpopular', 'popular')",-0.12210265,-0.09751316,-0.106114686,-0.05386163,-0.3717327,-0.3504567,-0.021276
55,-0.87895143,-0.9362251,"('incompetent', 'clever')",-0.6415182,-0.78093034,0.41087642,0.26078522,-0.3698644,-0.4854567,0.1155923
10,-0.8731933,-0.9771696,"('unsympathetic', 'sympathetic')",-0.53044415,-0.6566098,-0.20859256,-0.36780858,-0.53741,-0.667196,0.129786
31,-0.87037444,-1.1587709,"('evil', 'good')",-0.40660277,-0.45830473,-1.0994326,-1.1000185,-0.7921366,-0.9056981,0.1135615
44,0.8426598,0.9841809,"('prejudiced', 'unprejudiced')",-0.8158387,-0.56088424,-1.3927966,-1.2253221,-0.4553252,-0.2673418,-0.1879834
60,-0.8035214,-0.6693177,"('inefficient', 'efficient')",-0.09834436,0.006833477,0.008508399,0.10019483,-0.2977858,-0.1874298,-0.110356
74,-0.7483669,-0.686995,"('undedicated', 'dedicated')",0.6152444,0.52321696,-0.10603649,-0.23375349,-0.0797197,-0.1325105,0.0527908
46,-0.70728606,-0.7620701,"('uncompetitive', 'competitive')",0.094330624,0.017258346,-0.8194913,-1.0441859,-0.4774822,-0.5963326,0.1188504
5,-0.70565486,-0.75496024,"('distant', 'outgoing')",0.9506041,0.9470805,-0.71117103,-0.626687,-0.1554073,-0.1448556,-0.0105517
28,-0.7055572,-0.74742115,"('disloyal', 'loyal')",-0.10307087,-0.21291333,1.0783584,0.94536066,0.0899101,-0.0049913,0.0949014
41,-0.6915701,-0.6896311,"('unforgiving', 'forgiving')",0.74764293,0.7149368,0.25869733,0.12552929,0.1049234,0.0502783,0.0546451
65,-0.6915655,-0.7343879,"('insecure', 'secure')",-0.86100584,-0.95744205,-0.13713412,-0.17396583,-0.5632351,-0.6219319,0.0586968
54,-0.67296225,-0.6691118,"('incapable', 'capable')",0.5053604,0.379314,0.3489337,0.39283714,0.060444,0.0343465,0.0260975
19,-0.6593288,-0.8182925,"('inhospitable', 'hospitable')",1.1469096,1.1174657,-0.47553784,-0.52768064,0.0040143,-0.0761691,0.0801834
67,0.6406547,0.8024675,"('doubtful', 'determined')",0.032900427,0.026111778,-0.5637575,-0.48651993,0.0365992,0.1140198,-0.0774206
11,-0.63667184,-0.3180167,"('unhelpful', 'helpful')",0.19359979,0.28997713,1.5548615,1.5700648,0.3705965,0.5140084,-0.1434119
66,0.6343167,0.04581874,"('inactive', 'active')",-0.20503372,-0.5419971,0.8441047,0.49398488,0.4244626,-0.0007312,0.4251938
51,-0.62897396,-0.80098,"('uneducated', 'educated')",0.6299758,0.49900475,0.39651656,0.18642366,0.1325061,-0.0385172,0.1710233
69,0.6083825,0.4548746,"('lazy', 'industrious')",1.4144721,1.4605374,-0.74602246,-0.66864866,0.4256107,0.4155878,0.0100229
13,-0.59863544,-0.35709038,"('impolite', 'polite')",0.17797525,0.35928866,-0.4793964,-0.39709342,-0.3000189,-0.1316317,-0.1683872
77,-0.5730512,-0.63813597,"('unmotivated', 'motivated')",-0.06295614,-0.18588215,-1.4674364,-1.4084663,-0.701148,-0.7441614,0.0430134
33,0.56671715,0.5511527,"('wrong', 'right')",0.99071544,0.95309085,-0.75195473,-0.65843534,0.2684926,0.2819361,-0.0134435
22,-0.55895287,-0.3413518,"('untrustworthy', 'trustworthy')",-0.24758615,-0.31610194,-0.87182754,-0.9085584,-0.5594555,-0.522004,-0.0374515
17,-0.5585678,-0.546616,"('nasty', 'nice')",-0.6103142,-0.5586638,-0.74467766,-0.6461882,-0.6378532,-0.5838226,-0.0540306
42,0.5524069,0.65671164,"('unreliable', 'reliable')",1.4310131,1.3513701,-2.5957117,-2.712527,-0.2040972,-0.2348151,0.0307179
64,0.55160105,0.46349344,"('shy', 'confident')",0.32631186,0.16611335,-5.7596188,-5.878038,-1.6272353,-1.7494771,0.1222418
39,0.54039556,0.64669824,"('exploitative', 'cooperative')",0.52331275,0.50901455,0.25483587,0.30070555,0.4395147,0.4854728,-0.0459581
73,0.5365589,0.9044052,"('helpless', 'self-reliant')",0.60949844,0.7327907,-3.5538352,-3.3797204,-0.8025926,-0.5808415,-0.2217511
76,0.5122961,0.6956759,"('anxious', 'daring')",-0.5213636,-0.43124917,-0.4257018,-0.42419106,-0.1449231,-0.0532548,-0.0916683
62,-0.5112137,-0.185097,"('incompetent', 'brilliant')",0.15047869,0.26698726,0.1245286,0.21557422,-0.0787355,0.0991548,-0.1778903
32,-0.4977141,-0.5112201,"('unkind', 'kind')",1.5667998,1.5879362,0.98382366,0.9235884,0.6843031,0.6667682,0.0175349
40,-0.49492875,-0.4507303,"('stingy', 'generous')",0.9366058,0.8128012,-1.7702535,-1.9625338,-0.4428588,-0.5334876,0.0906288
18,-0.49492544,-0.42140353,"('disagreeable', 'welcoming')",0.41065913,0.41937125,-0.3712784,-0.43549958,-0.1518482,-0.145844,-0.0060042
75,0.48234972,0.6187081,"('meek', 'impulsive')",-0.68789077,-0.541014,-1.1527635,-1.0559745,-0.4527682,-0.3260935,-0.1266747
6,-0.48004583,-0.6271166,"('distant', 'open')",0.85711217,0.8025422,-0.47286394,-0.5272359,-0.0319325,-0.1172701,0.0853376
47,-0.45096686,-0.27564245,"('stupid', 'smart')",0.88976395,1.0547637,5.2143126,5.3599477,1.8843699,2.0463564,-0.1619865
78,-0.4400364,-0.58138895,"('nonresilient', 'resilient')",1.7561493,1.5688899,0.31596148,0.22771664,0.5440248,0.4050725,0.1389523
71,0.43315256,0.5711453,"('diffident', 'self-confident')",2.6480045,2.6135993,0.4298672,0.55757713,1.1703415,1.2474406,-0.0770991
35,0.4278967,0.3429046,"('corrupt', 'incorrupt')",-0.49822915,-0.47619736,-0.51553863,-0.46316534,-0.1952904,-0.1988194,0.003529
63,-0.415571,-0.2523045,"('unperceptive', 'insightful')",0.8277525,0.75691426,0.54537725,0.4582527,0.3191863,0.3209542,-0.0017679
72,-0.4135146,-0.33171955,"('unambitious', 'ambitious')",-0.5500958,-0.53434414,-0.8156409,-0.7326354,-0.5930838,-0.5328997,-0.0601841
37,0.39349678,0.50363374,"('fake', 'genuine')",0.24650389,0.3177628,0.113604456,0.06092813,0.2512017,0.2941082,-0.0429065
12,0.38837537,0.43731934,"('unsupportive', 'supportive')",2.4676032,2.4250357,-1.5412313,-1.5892597,0.4382491,0.4243651,0.013884
3,-0.3780211,-0.38020426,"('repellent', 'pleasant')",-1.2216293,-1.2060584,0.63621175,0.6703311,-0.3211462,-0.3053105,-0.0158357
59,0.36810118,0.49429512,"('foolish', 'wise')",1.0784494,1.0752127,-0.07576549,0.051697396,0.4569284,0.5404017,-0.0834733
88,-0.35532948,-0.59082127,"('low', 'eminent')",0.16273518,0.070354156,-0.31368494,-0.33329085,-0.1687597,-0.284586,0.1158263
15,-0.35371968,-0.23106638,"('boring', 'funny')",0.4941165,0.50701314,-0.40760553,-0.33038247,-0.0890696,-0.0181452,-0.0709244
68,-0.33930853,-0.48423165,"('dependent', 'independent')",-1.0226103,-1.2207577,-1.0539585,-1.2455723,-0.8052924,-0.9835206,0.1782282
52,-0.33549312,-0.4431577,"('irrational', 'rational')",0.0893094,-0.047466237,-0.06230803,-0.060295634,-0.1028306,-0.1836399,0.0808093
14,-0.32421705,-0.33152008,"('antisocial', 'social')",0.107148185,-0.0120682195,-0.052391175,-0.097185105,-0.08982,-0.1469245,0.0571045
50,0.3103248,0.3650779,"('clumsy', 'skillful')",1.0085394,1.0457634,-0.106080696,-0.12383661,0.4042612,0.4290015,-0.0247403
36,-0.30140132,-0.78094614,"('hostile', 'amicable')",-0.42134628,-0.5800849,-0.15637735,-0.28518704,-0.2930416,-0.5487394,0.2556978
56,-0.29474968,0.07115939,"('impractical', 'practical')",0.5455436,0.68388885,-0.58145285,-0.47650105,-0.1102196,0.0928491,-0.2030687
79,0.28834242,0.10872816,"('wavering', 'unwavering')",-0.20798302,-0.19353554,-0.5845097,-0.61420923,-0.1680501,-0.2330055,0.0649554
80,0.28714788,0.29462177,"('dominated', 'dominating')",-0.10018936,-0.2021421,-0.5304464,-0.6267369,-0.114496,-0.1780857,0.0635897
25,-0.27194905,-0.34961462,"('egoistic', 'altruistic')",0.37359253,0.3261469,1.3145657,1.3376675,0.4720697,0.4380666,0.0340031
70,-0.2634245,-0.054701433,"('lethargic', 'energetic')",-0.21273726,-0.19428976,0.43637547,0.4562859,-0.0132621,0.0690982,-0.0823603
20,-0.2621151,-0.4663033,"('rough', 'thoughtful')",-0.1593606,-0.27030316,0.6280858,0.508594,0.06887,-0.0760042,0.1448742
84,0.19243902,0.04540132,"('inferior', 'superior')",0.7714839,0.52048236,0.7352367,0.5740228,0.5663865,0.3799688,0.1864177
7,-0.1923119,-0.07085397,"('insensitive', 'sensitive')",0.18367958,-0.02357207,0.5917482,0.47083342,0.194372,0.1254691,0.0689029
85,0.18349396,-0.14056762,"('insignificant', 'prestigious')",1.5673914,1.3134613,-0.10171735,-0.16877303,0.5497227,0.3347069,0.2150158
2,0.17544632,0.106097594,"('unlikable', 'likable')",1.014986,0.95593554,0.851313,0.7556801,0.6805817,0.6059044,0.0746773
83,-0.15035814,-0.3474537,"('powerless', 'powerful')",0.604285,0.35829702,-1.0783436,-1.2447003,-0.2081389,-0.4112857,0.2031468
21,0.13448922,0.11450678,"('immoral', 'moral')",0.6566564,0.559055,-0.4767756,-0.46760097,0.10479,0.0686536,0.0361364
81,0.06681876,0.15586077,"('submissive', 'aggressive')",-0.17745024,-0.20103547,-0.5414772,-0.5737986,-0.2173696,-0.2063244,-0.0110452
49,-0.041922793,0.031155668,"('unable', 'able')",0.6475394,0.55085653,-0.3847382,-0.2955776,0.0736261,0.0954782,-0.0218521
27,-0.039084174,-0.20097688,"('hardhearted', 'softhearted')",1.0222998,0.8668526,1.5449291,1.3944087,0.8427149,0.6867615,0.1559534
29,0.03152276,-0.038707774,"('unfair', 'fair')",-0.47101715,-0.681794,-0.26497087,-0.55748487,-0.2348218,-0.4259955,0.1911737
87,-0.020766716,-0.14614555,"('unsuccessful', 'successful')",0.5177914,0.38836747,0.66964,0.52828985,0.3888882,0.2568372,0.132051
34,0.013178773,-0.051649265,"('mean', 'honorable')",0.49767634,0.4584694,5.2684736,5.3252583,1.9264429,1.9106929,0.01575
4,-0.012806717,0.05470306,"('disliked', 'liked')",0.5385998,0.56606454,-6.6260467,-6.7242713,-2.0334179,-2.0345012,0.0010833
