,anadarko_male,anadarko_female,tuple,petroleum_male,petroleum_female,corp_male,corp_female,average_male,average_female,male-female
0,-2.1083794,-2.0399966,"('unsociable', 'sociable')",0.4825462,0.4464196,-0.22810788,-0.15147278,-0.6179804,-0.5816833,-0.0362971
45,-1.9033531,-1.4498961,"('incompetent', 'competent')",0.2962823,0.5283712,-0.030432753,0.21946067,-0.5458345,-0.2340214,-0.3118131
10,-1.8901099,-1.7507492,"('unsympathetic', 'sympathetic')",-0.19942936,-0.2512192,-0.2160878,-0.19610031,-0.7685424,-0.7326895,-0.0358529
86,-1.8111069,-1.6729473,"('uninfluential', 'influential')",0.2803368,0.23194902,-0.58121455,-0.41624558,-0.7039949,-0.6190813,-0.0849136
28,-1.7879179,-1.3679914,"('disloyal', 'loyal')",0.47123858,0.5247432,0.41271278,0.5631142,-0.3013221,-0.093378,-0.2079441
69,1.6797485,1.3743685,"('lazy', 'industrious')",0.79665715,0.7006507,-0.6272245,-0.79580516,0.6163937,0.4264047,0.189989
13,-1.6694868,-1.6670429,"('impolite', 'polite')",0.61629796,0.60521865,-0.33547363,-0.29213965,-0.4628875,-0.4513213,-0.0115662
43,-1.6569275,-1.3192654,"('irresponsible', 'responsible')",0.46588543,0.3971861,0.36182648,0.45644218,-0.2764052,-0.1552124,-0.1211928
1,-1.6511309,-1.2852552,"('unfriendly', 'friendly')",0.835075,0.81385446,0.18630625,0.15628433,-0.2099166,-0.1050388,-0.1048778
63,-1.57696,-1.2738361,"('unperceptive', 'insightful')",0.9814264,1.0135691,0.34460676,0.42483488,-0.0836423,0.054856,-0.1384983
46,-1.4484978,-1.2503048,"('uncompetitive', 'competitive')",0.7966447,0.7153599,-0.30830976,-0.11104464,-0.3200543,-0.2153298,-0.1047245
57,-1.4452146,-0.88735443,"('unimaginative', 'imaginative')",-0.1526379,0.07740174,-3.062253,-2.742951,-1.5533686,-1.1843012,-0.3690674
23,-1.4122949,-1.150402,"('insincere', 'sincere')",0.6660879,0.57695687,5.171138,5.2737947,1.474977,1.5667833,-0.0918063
11,-1.3884672,-1.0295142,"('unhelpful', 'helpful')",0.74558175,0.7751764,1.7516037,1.8875823,0.3695728,0.5444148,-0.174842
61,-1.3661042,-1.4477148,"('illogical', 'logical')",0.9913404,1.004858,0.49023765,0.5213183,0.0384913,0.0261538,0.0123375
21,-1.3616945,-1.5996026,"('immoral', 'moral')",1.5394828,1.3739816,-0.018133946,0.018865887,0.0532181,-0.0689184,0.1221365
44,1.3002309,1.137249,"('prejudiced', 'unprejudiced')",-0.106243044,-0.14219348,-1.0022751,-1.1606034,0.0639042,-0.0551826,0.1190868
9,-1.2870393,-0.91679555,"('unaffectionate', 'caring')",0.30747023,0.3141124,0.16904865,0.12837493,-0.2701735,-0.1581028,-0.1120707
60,-1.2779282,-1.4083762,"('inefficient', 'efficient')",1.1168779,0.9607873,0.14283496,0.1924798,-0.0060718,-0.0850364,0.0789646
56,-1.2769978,-0.92695916,"('impractical', 'practical')",1.106155,1.2385912,-0.4813723,-0.15247558,-0.217405,0.0530522,-0.2704572
55,-1.268515,-1.3029889,"('incompetent', 'clever')",0.7704735,0.65909934,0.5417624,0.59224457,0.0145736,-0.017215,0.0317886
20,-1.249146,-1.2346189,"('rough', 'thoughtful')",-0.6179232,-0.6111246,0.4049696,0.32237017,-0.4873666,-0.5077911,0.0204245
35,1.2406468,1.3728318,"('corrupt', 'incorrupt')",-1.6104386,-1.475551,-1.2114141,-1.2262222,-0.5270686,-0.4429804,-0.0840882
38,-1.2097243,-1.064881,"('untruthful', 'truthful')",0.42473027,0.42064312,-0.5527447,-0.5457203,-0.4459129,-0.3966527,-0.0492602
58,-1.123025,-0.8337394,"('undiscriminating', 'discriminating')",0.41394615,0.44570088,-0.1982561,-0.10600957,-0.302445,-0.1646827,-0.1377623
77,-1.1108453,-1.1983898,"('unmotivated', 'motivated')",0.5725142,0.39874536,-0.7783639,-0.7178787,-0.4388983,-0.505841,0.0669427
74,-1.076112,-0.9223179,"('undedicated', 'dedicated')",-0.022561647,0.102904536,-0.73792183,-0.6289888,-0.6121985,-0.4828007,-0.1293978
83,-1.065869,-0.9622926,"('powerless', 'powerful')",0.32763594,0.30548823,-0.9049291,-0.81897646,-0.5477207,-0.4919269,-0.0557938
75,1.0614007,1.245064,"('meek', 'impulsive')",-1.0700017,-0.78638273,-0.7935696,-0.62353504,-0.2673902,-0.0549513,-0.2124389
51,-1.0269042,-1.3230139,"('uneducated', 'educated')",-0.41734794,-0.5693203,0.49671206,0.36837423,-0.3158467,-0.5079867,0.19214
