,kohls_male,kohls_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-1.8076144,-1.9287287,"('unfriendly', 'friendly')",0.71098053,0.7991408,-0.548317,-0.5647939,0.0164769
36,-1.652791,-1.7128749,"('hostile', 'amicable')",-0.91563094,-0.79619944,-1.2842109,-1.2545371,-0.0296738
28,-1.5924176,-1.7106144,"('disloyal', 'loyal')",1.0996962,1.2165036,-0.2463607,-0.2470554,0.0006947
88,-1.2907135,-1.5852627,"('low', 'eminent')",-0.4902066,-0.51017874,-0.8904601,-1.0477207,0.1572606
79,-1.2192882,-1.5154791,"('wavering', 'unwavering')",-0.49205357,-0.6919501,-0.8556709,-1.1037146,0.2480437
86,-1.1739806,-1.4844749,"('uninfluential', 'influential')",0.046820898,-0.084816374,-0.5635799,-0.7846456,0.2210657
57,-1.1696354,-1.3884635,"('unimaginative', 'imaginative')",-3.2069266,-3.1329541,-2.1882811,-2.2607088,0.0724277
31,-1.168814,-1.3378553,"('evil', 'good')",-1.6952999,-1.730946,-1.4320569,-1.5344007,0.1023438
52,-1.074122,-1.1791015,"('irrational', 'rational')",-0.72234803,-0.625203,-0.898235,-0.9021522,0.0039172
6,-1.0555633,-1.286557,"('distant', 'open')",-0.93737674,-0.96767247,-0.99647,-1.1271148,0.1306448
53,-1.0268112,-1.0300614,"('uncreative', 'creative')",0.3473733,0.42454192,-0.339719,-0.3027597,-0.0369593
73,0.9763722,0.8377709,"('helpless', 'self-reliant')",-3.532356,-3.5140927,-1.2779919,-1.3381609,0.060169
29,-0.9276995,-0.9454222,"('unfair', 'fair')",-0.39399096,-0.34796268,-0.6608452,-0.6466924,-0.0141528
56,0.91700035,0.8912883,"('impractical', 'practical')",0.11764276,-0.0019107508,0.5173216,0.4446888,0.0726328
67,0.90785515,0.8532247,"('doubtful', 'determined')",-0.124785624,-0.19207184,0.3915348,0.3305764,0.0609584
9,-0.8867251,-0.97325355,"('unaffectionate', 'caring')",1.1417298,1.2658389,0.1275024,0.1462927,-0.0187903
25,-0.844925,-0.7468041,"('egoistic', 'altruistic')",0.23712493,0.2974147,-0.3039,-0.2246947,-0.0792053
8,-0.82971853,-0.9775734,"('unaffectionate', 'affectionate')",0.4285295,0.5159044,-0.2005945,-0.2308345,0.03024
42,0.8282576,0.693184,"('unreliable', 'reliable')",-3.1734402,-3.1157703,-1.1725913,-1.2112932,0.0387019
54,-0.8135381,-0.77219814,"('incapable', 'capable')",0.61006916,0.7263978,-0.1017345,-0.0229002,-0.0788343
80,0.81079376,0.63243663,"('dominated', 'dominating')",-0.22313292,-0.42810157,0.2938304,0.1021675,0.1916629
26,-0.80711776,-1.1281343,"('hardhearted', 'benevolent')",1.296779,1.2507484,0.2448306,0.0613071,0.1835235
48,-0.79752743,-0.72721905,"('unintelligent', 'intelligent')",1.085883,1.0704613,0.1441778,0.1716211,-0.0274433
39,0.73016095,1.0650138,"('exploitative', 'cooperative')",0.036674745,0.18378353,0.3834178,0.6243986,-0.2409808
5,-0.72880805,-0.9272615,"('distant', 'outgoing')",-0.89589304,-0.9639006,-0.8123505,-0.9455811,0.1332306
10,-0.68977106,-0.7686327,"('unsympathetic', 'sympathetic')",0.42526892,0.32606247,-0.1322511,-0.2212851,0.089034
17,-0.68786633,-0.5050913,"('nasty', 'nice')",-0.938252,-0.92764664,-0.8130592,-0.716369,-0.0966902
16,-0.6215836,-0.4853542,"('unpopular', 'popular')",0.017753772,0.0472876,-0.3019149,-0.2190333,-0.0828816
30,0.60286266,0.54452217,"('intolerant', 'tolerant')",1.1384916,1.1676246,0.8706771,0.8560734,0.0146037
11,-0.60080534,-0.6354916,"('unhelpful', 'helpful')",2.4415278,2.4180493,0.9203613,0.8912789,0.0290824
61,-0.57948065,-0.6474227,"('illogical', 'logical')",0.28968635,0.39241505,-0.1448971,-0.1275038,-0.0173933
72,-0.5702381,-0.5142103,"('unambitious', 'ambitious')",-0.4825903,-0.40181527,-0.5264142,-0.4580128,-0.0684014
85,-0.56490767,-0.6163448,"('insignificant', 'prestigious')",-1.1321118,-1.0388831,-0.8485097,-0.8276139,-0.0208958
3,-0.5212358,-0.3376997,"('repellent', 'pleasant')",0.72195154,0.82013255,0.1003579,0.2412164,-0.1408585
66,-0.5126583,-0.67730606,"('inactive', 'active')",0.25384828,0.355494,-0.129405,-0.160906,0.031501
51,0.50800633,0.32069346,"('uneducated', 'educated')",0.9350761,0.8015224,0.7215412,0.5611079,0.1604333
60,0.50067955,0.8477273,"('inefficient', 'efficient')",0.85408086,0.9875087,0.6773802,0.917618,-0.2402378
27,-0.4757263,-0.48375484,"('hardhearted', 'softhearted')",0.83984715,1.0262102,0.1820604,0.2712277,-0.0891673
0,-0.46538326,-0.5434592,"('unsociable', 'sociable')",0.06711207,-0.01671697,-0.1991356,-0.2800881,0.0809525
