,bemis_male,bemis_female,tuple,co_male,co_female,inc_male,inc_female,average_male,average_female,male-female
53,-1.893629,-1.7139385,"('uncreative', 'creative')",0.054051343,-0.17251918,1.2504467,1.0926865,-0.196377,-0.2645904,0.0682134
86,-1.326971,-1.5466084,"('uninfluential', 'influential')",-0.004762128,-0.58618695,0.45736325,-0.003517054,-0.2914567,-0.7121042,0.4206475
77,-1.2586392,-0.9844039,"('unmotivated', 'motivated')",-0.8097924,-0.4484508,-0.9731723,-0.858234,-1.013868,-0.7636962,-0.2501718
0,-1.2172043,-1.2674828,"('unsociable', 'sociable')",0.1892218,-0.14686923,-0.92377526,-1.0192726,-0.6505859,-0.8112082,0.1606223
57,-1.1747065,-1.5327634,"('unimaginative', 'imaginative')",0.063584924,-0.26023373,-2.6250856,-2.941385,-1.2454023,-1.5781274,0.3327251
73,1.0645381,1.214218,"('helpless', 'self-reliant')",0.834833,1.1273731,-3.149583,-3.2589264,-0.4167373,-0.3057784,-0.1109589
6,-1.0101476,-0.8494591,"('distant', 'open')",-0.7329989,-0.931688,0.84666765,0.7244962,-0.2988263,-0.352217,0.0533907
26,0.9878072,0.5814082,"('hardhearted', 'benevolent')",2.9946947,2.2641358,2.1657658,1.8636627,2.0494226,1.5697355,0.4796871
46,-0.95852077,-0.689978,"('uncompetitive', 'competitive')",-0.3351476,-0.12789384,-1.0722147,-0.9996956,-0.7886277,-0.6058558,-0.1827719
44,0.9288595,1.2138423,"('prejudiced', 'unprejudiced')",-1.0335704,-0.23325124,-1.767248,-1.3998113,-0.6239863,-0.1397401,-0.4842462
48,-0.8256257,-0.8938588,"('unintelligent', 'intelligent')",-0.69621265,-0.7405211,0.06040514,0.12092675,-0.4871444,-0.5044844,0.01734
14,0.7861865,0.9244339,"('antisocial', 'social')",0.97777516,1.2520269,-0.72893906,-0.6281301,0.3450075,0.5161102,-0.1711027
28,-0.76191586,-1.0538493,"('disloyal', 'loyal')",-0.421202,-0.9640962,1.2064729,1.1479077,0.007785,-0.2900126,0.2977976
11,-0.7413116,-0.676723,"('unhelpful', 'helpful')",-0.5103131,-0.41329792,1.2461313,1.4791511,-0.0018311,0.1297101,-0.1315412
83,-0.73522496,-0.4292632,"('powerless', 'powerful')",-1.0622585,-0.7781717,-1.1084195,-0.98031884,-0.9686343,-0.7292512,-0.2393831
1,-0.7136168,-0.8500322,"('unfriendly', 'friendly')",0.33961976,-0.39615574,2.1457455,1.9800752,0.5905828,0.2446291,0.3459537
84,-0.7053905,-0.66130054,"('inferior', 'superior')",0.35362774,0.5547949,0.8051487,0.81969583,0.1511286,0.2377301,-0.0866015
29,-0.70099986,-0.5202168,"('unfair', 'fair')",-0.47096124,-0.3360425,-0.3298256,-0.4609747,-0.5005956,-0.439078,-0.0615176
79,0.6698144,0.3283905,"('wavering', 'unwavering')",-0.7761649,-1.1421407,0.45698696,0.22590928,0.1168788,-0.195947,0.3128258
