,qlogic_male,qlogic_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-1.7610991,-2.565215,"('unsympathetic', 'sympathetic')",-1.0606474,-1.1982305,-1.4108732,-1.8817228,0.4708496
53,-1.7601116,-1.3220538,"('uncreative', 'creative')",0.17039599,0.513212,-0.7948578,-0.4044209,-0.3904369
66,-1.4583741,-1.3399005,"('inactive', 'active')",0.32548577,0.65519005,-0.5664442,-0.3423552,-0.224089
57,-1.375996,-1.4960575,"('unimaginative', 'imaginative')",-3.3908038,-3.4649782,-2.3834,-2.4805179,0.0971179
1,-1.3137704,-0.9235321,"('unfriendly', 'friendly')",0.9626075,1.5032727,-0.1755815,0.2898703,-0.4654518
73,1.2973022,1.3821537,"('helpless', 'self-reliant')",-3.0014307,-3.1851296,-0.8520643,-0.9014879,0.0494236
86,-1.1963589,-1.4695914,"('uninfluential', 'influential')",-0.64994407,-0.749246,-0.9231515,-1.1094186,0.1862671
8,-1.0734361,-0.68616116,"('unaffectionate', 'affectionate')",0.15888314,0.66619843,-0.4572765,-0.0099814,-0.4472951
79,-0.9825714,-0.6823802,"('wavering', 'unwavering')",-0.49931696,-0.3049579,-0.7409442,-0.493669,-0.2472752
84,0.91878915,0.8643603,"('inferior', 'superior')",1.3583763,1.1908405,1.1385827,1.0276004,0.1109823
36,-0.8776991,0.20174314,"('hostile', 'amicable')",-0.19096592,0.41662192,-0.5343325,0.3091825,-0.843515
19,-0.8510805,-0.4783545,"('inhospitable', 'hospitable')",-0.53873515,-0.054629114,-0.6949078,-0.2664918,-0.428416
39,0.8253085,0.9710532,"('exploitative', 'cooperative')",-0.1722242,0.13804635,0.3265421,0.5545498,-0.2280077
31,-0.7884425,0.20714034,"('evil', 'good')",-0.8830883,-0.3970692,-0.8357654,-0.0949644,-0.740801
9,-0.7811727,-0.7249998,"('unaffectionate', 'caring')",0.72647554,1.301287,-0.0273486,0.2881436,-0.3154922
6,-0.75479877,-0.56538856,"('distant', 'open')",-0.6305951,-0.04134819,-0.6926969,-0.3033684,-0.3893285
0,-0.7392983,-1.265275,"('unsociable', 'sociable')",-0.4100518,-0.3205456,-0.574675,-0.7929103,0.2182353
60,0.7322176,-0.021813884,"('inefficient', 'efficient')",0.003261609,-0.33656353,0.3677396,-0.1791887,0.5469283
82,-0.71282125,-0.9249738,"('poor', 'rich')",6.0311217,6.154258,2.6591501,2.6146419,0.0445082
69,0.6521402,1.1198889,"('lazy', 'industrious')",-0.37970465,-0.11926392,0.1362178,0.5003125,-0.3640947
67,0.6452677,0.24826092,"('doubtful', 'determined')",-0.25058913,-0.3416822,0.1973393,-0.0467106,0.2440499
46,-0.63332146,-1.2576113,"('uncompetitive', 'competitive')",-0.8255348,-1.2909256,-0.7294282,-1.2742684,0.5448402
5,-0.58105916,-0.41773987,"('distant', 'outgoing')",-0.3938614,0.018245213,-0.4874603,-0.1997473,-0.287713
50,0.57642496,0.9498979,"('clumsy', 'skillful')",-0.08138335,0.110655405,0.2475208,0.5302767,-0.2827559
24,-0.5747914,-0.943287,"('dishonest', 'honest')",0.19588569,0.29967445,-0.1894528,-0.3218063,0.1323535
56,0.5631153,-0.36105567,"('impractical', 'practical')",-0.65072775,-1.0136846,-0.0438062,-0.6873702,0.643564
38,-0.55811346,-0.85462445,"('untruthful', 'truthful')",-0.3295724,-0.20143688,-0.4438429,-0.5280306,0.0841877
17,-0.54625636,-0.12770855,"('nasty', 'nice')",-1.0331682,-0.59092903,-0.7897123,-0.3593188,-0.4303935
26,-0.53905785,-0.19095868,"('hardhearted', 'benevolent')",1.0966619,1.3164839,0.278802,0.5627626,-0.2839606
87,0.5249188,0.06363596,"('unsuccessful', 'successful')",1.0255158,0.9597865,0.7752173,0.5117112,0.2635061
70,-0.4915123,-0.92541116,"('lethargic', 'energetic')",-0.24217626,-0.41476643,-0.3668443,-0.6700888,0.3032445
40,-0.48979518,0.05315051,"('stingy', 'generous')",-2.063304,-1.9221542,-1.2765496,-0.9345018,-0.3420478
45,-0.48566562,-0.7573931,"('incompetent', 'competent')",-0.28493676,-0.35213548,-0.3853012,-0.5547643,0.1694631
32,-0.4762195,-1.0341566,"('unkind', 'kind')",0.18292886,0.21368197,-0.1466453,-0.4102373,0.263592
64,0.4710707,0.12883359,"('shy', 'confident')",-5.844438,-6.429469,-2.6866837,-3.1503177,0.463634
59,0.4703239,0.8115951,"('foolish', 'wise')",0.20401074,0.58069164,0.3371673,0.6961434,-0.3589761
62,0.46668422,0.11803438,"('incompetent', 'brilliant')",0.45078465,0.28395882,0.4587345,0.2009966,0.2577379
18,-0.45596367,-0.12682262,"('disagreeable', 'welcoming')",-0.5865146,-0.3605845,-0.5212392,-0.2437036,-0.2775356
25,-0.45501772,-0.16417316,"('egoistic', 'altruistic')",1.142755,1.1934414,0.3438687,0.5146341,-0.1707654
7,-0.4421608,-0.56598014,"('insensitive', 'sensitive')",-0.022888513,0.18113536,-0.2325246,-0.1924224,-0.0401022
88,-0.43707746,-0.54490095,"('low', 'eminent')",-0.50851715,-0.70248395,-0.4727973,-0.6236925,0.1508952
43,-0.41820896,-1.276613,"('irresponsible', 'responsible')",0.036779366,-0.17691126,-0.1907148,-0.7267621,0.5360473
13,-0.4079118,-1.22693,"('impolite', 'polite')",-0.6370878,-0.76626295,-0.5224998,-0.9965965,0.4740967
63,-0.40383655,-0.753833,"('unperceptive', 'insightful')",0.3459738,0.45922256,-0.0289314,-0.1473052,0.1183738
75,-0.3999711,-0.229342,"('meek', 'impulsive')",-0.46541843,-0.48348346,-0.4326948,-0.3564127,-0.0762821
71,0.39268336,0.4725818,"('diffident', 'self-confident')",0.09377467,0.53367907,0.243229,0.5031304,-0.2599014
27,-0.38950488,-0.3461447,"('hardhearted', 'softhearted')",0.80885184,0.9933531,0.2096735,0.3236042,-0.1139307
37,-0.38661066,-0.45147163,"('fake', 'genuine')",-0.26770824,-0.2672853,-0.3271595,-0.3593785,0.032219
3,-0.38574234,-0.2742592,"('repellent', 'pleasant')",0.69293845,0.58366674,0.1535981,0.1547038,-0.0011057
34,-0.3690788,-0.48234546,"('mean', 'honorable')",5.248349,5.534627,2.4396353,2.5261407,-0.0865054
28,-0.3684676,-0.019139916,"('disloyal', 'loyal')",0.6148448,0.9965358,0.1231886,0.4886979,-0.3655093
16,-0.36173594,0.057955697,"('unpopular', 'popular')",0.5210179,0.7592807,0.079641,0.4086182,-0.3289772
74,-0.33140883,-0.32967445,"('undedicated', 'dedicated')",-0.6433429,-0.6768741,-0.4873759,-0.5032743,0.0158984
30,0.31942964,0.10143209,"('intolerant', 'tolerant')",0.5715399,0.6079751,0.4454848,0.3547036,0.0907812
48,0.29308498,0.68755317,"('unintelligent', 'intelligent')",0.65044045,0.9917357,0.4717627,0.8396444,-0.3678817
54,-0.29136384,-0.147017,"('incapable', 'capable')",0.65453756,1.0440686,0.1815869,0.4485258,-0.2669389
58,-0.2812001,0.07713062,"('undiscriminating', 'discriminating')",0.1219598,0.30411696,-0.0796202,0.1906238,-0.270244
52,0.2791882,0.68287575,"('irrational', 'rational')",-0.06445895,0.3256624,0.1073646,0.5042691,-0.3969045
47,-0.27904385,-0.5110243,"('stupid', 'smart')",4.92332,5.3429627,2.3221381,2.4159691,-0.093831
4,-0.26894128,0.2707521,"('disliked', 'liked')",-6.308487,-6.5457506,-3.2887142,-3.1374993,-0.1512149
22,-0.25695163,-0.5347797,"('untrustworthy', 'trustworthy')",-1.419514,-1.3021533,-0.8382328,-0.9184666,0.0802338
42,0.25377846,-0.06517494,"('unreliable', 'reliable')",-3.3250809,-3.3837235,-1.5356512,-1.7244492,0.188798
49,0.24283114,0.6204496,"('unable', 'able')",-0.18636219,0.17972463,0.0282345,0.4000871,-0.3718526
72,-0.2217028,-0.50024545,"('unambitious', 'ambitious')",-0.64041126,-0.45214036,-0.431057,-0.4761929,0.0451359
68,-0.21688464,0.00047706813,"('dependent', 'independent')",-0.5583761,-0.4675932,-0.3876303,-0.2335581,-0.1540722
15,0.21216331,0.28979543,"('boring', 'funny')",-0.15406951,0.014628216,0.0290469,0.1522118,-0.1231649
41,-0.21071225,-0.068201855,"('unforgiving', 'forgiving')",-0.34995657,0.12935895,-0.2803344,0.0305785,-0.3109129
76,0.20973799,-0.34736165,"('anxious', 'daring')",-0.21964775,-0.5519888,-0.0049549,-0.4496752,0.4447203
85,-0.19954251,0.5420487,"('insignificant', 'prestigious')",-0.24848527,0.337395,-0.2240139,0.4397219,-0.6637358
29,0.19873638,0.3135488,"('unfair', 'fair')",-0.27004158,-0.2179048,-0.0356526,0.047822,-0.0834746
35,-0.19406715,0.47821465,"('corrupt', 'incorrupt')",-0.47743678,-0.186682,-0.335752,0.1457663,-0.4815183
51,-0.19062245,-0.28972825,"('uneducated', 'educated')",0.28757176,0.21512255,0.0484747,-0.0373029,0.0857776
12,-0.18843591,-0.25457042,"('unsupportive', 'supportive')",-2.1298566,-2.0981865,-1.1591463,-1.1763785,0.0172322
20,0.14715765,0.29725343,"('rough', 'thoughtful')",0.5722825,0.7250651,0.3597201,0.5111593,-0.1514392
78,-0.14374886,-0.340054,"('nonresilient', 'resilient')",0.3437273,0.17905183,0.0999892,-0.0805011,0.1804903
44,0.14050809,-0.25658137,"('prejudiced', 'unprejudiced')",-1.3170935,-1.5550343,-0.5882927,-0.9058079,0.3175152
14,0.14033864,-0.2379114,"('antisocial', 'social')",-0.11107767,-0.33273482,0.0146305,-0.2853231,0.2999536
