,lilly_male,lilly_female,tuple,eli_male,eli_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
5,3.0599778,3.2869751,"('distant', 'outgoing')",1.3513204,1.3949199,0.41657814,0.4527434,0.10667732,-0.21436301,1.2336385,1.2300689,0.0035696
71,2.6957245,2.6359758,"('diffident', 'self-confident')",2.0296664,1.9981372,0.47816938,0.5227746,0.3945186,0.33765376,1.3995197,1.3736354,0.0258843
6,2.6193197,2.930031,"('distant', 'open')",1.7925756,1.869349,0.71615666,0.77279234,0.55301076,0.1635266,1.4202657,1.4339248,-0.0136591
85,2.5818465,2.8607776,"('insignificant', 'prestigious')",1.3206048,1.3492342,2.495665,2.604555,1.628249,1.497273,2.0065913,2.07796,-0.0713687
35,2.2802312,2.3912516,"('corrupt', 'incorrupt')",0.57117087,0.588592,0.8500491,0.89556164,0.9635112,0.779769,1.1662406,1.1637936,0.002447
3,-2.195834,-2.2175593,"('repellent', 'pleasant')",-1.6295005,-1.5834616,-1.2220086,-1.3836421,0.26032394,0.28522557,-1.1967548,-1.2248595,0.0281047
9,2.0715642,1.9581535,"('unaffectionate', 'caring')",1.8023508,1.6180375,0.8125568,0.76913726,1.256025,0.9294124,1.4856242,1.3186852,0.166939
45,-1.8930827,-2.0146067,"('incompetent', 'competent')",-1.0391369,-1.0459188,-0.99857163,-1.0472136,-1.6262727,-1.539074,-1.389266,-1.4117032,0.0224372
65,-1.8442904,-2.1877184,"('insecure', 'secure')",-1.666534,-1.8439606,-0.6698489,-0.756274,-1.49809,-1.4149547,-1.4196908,-1.550727,0.1310362
46,-1.8302159,-2.035441,"('uncompetitive', 'competitive')",-0.6922466,-0.70126,-0.8395911,-0.91552407,-0.9233029,-0.7130565,-1.0713391,-1.0913204,0.0199813
69,1.7800405,1.9858974,"('lazy', 'industrious')",1.2253691,1.3809953,1.4680055,1.6076304,0.882005,0.8375242,1.338855,1.4530118,-0.1141568
33,1.7544541,1.8829089,"('wrong', 'right')",0.97413176,1.0130926,1.278945,1.4619904,-0.24828358,-0.21662298,0.9398119,1.0353423,-0.0955304
76,-1.629183,-1.896676,"('anxious', 'daring')",-1.8734446,-1.9063394,0.14381766,0.07066774,-0.7027168,-0.5263021,-1.0153817,-1.0646625,0.0492808
79,1.5967675,1.6356914,"('wavering', 'unwavering')",1.1408029,1.050539,1.3981493,1.3655138,0.75613207,0.61527425,1.2229629,1.1667547,0.0562082
26,1.5651586,1.6277393,"('hardhearted', 'benevolent')",2.1766717,2.1117764,2.3810842,2.437139,1.510114,1.3882358,1.908257,1.8912227,0.0170343
68,-1.563036,-1.5598799,"('dependent', 'independent')",-1.1452384,-1.120563,-1.307231,-1.4157411,-1.7461349,-1.7696528,-1.44041,-1.4664592,0.0260492
70,-1.4427298,-1.4800768,"('lethargic', 'energetic')",-1.1463708,-1.1231884,-0.36559206,-0.3861404,-0.9775563,-0.75735635,-0.9830622,-0.9366905,-0.0463717
19,1.4383008,1.5543612,"('inhospitable', 'hospitable')",0.60953087,0.4935174,-0.4281747,-0.3762342,0.45584673,0.29268247,0.518876,0.4910818,0.0277942
10,-1.4211445,-1.7170284,"('unsympathetic', 'sympathetic')",-1.058628,-1.2061265,-1.0455072,-1.1977931,-0.62671673,-0.54442024,-1.0379992,-1.166342,0.1283428
57,-1.4012977,-1.7761391,"('unimaginative', 'imaginative')",-1.5524532,-1.652321,-1.3550594,-1.4605561,-3.0814617,-2.9448996,-1.847568,-1.9584789,0.1109109
