,sherwin_male,sherwin_female,tuple,williams_male,williams_female,co_male,co_female,average_male,average_female,male-female
81,-2.9227054,-2.5886312,"('submissive', 'aggressive')",-0.805995,-0.5886388,-0.5827744,-0.44849408,-1.4371583,-1.208588,-0.2285703
28,-2.7203093,-2.3561563,"('disloyal', 'loyal')",-1.6832649,-1.4158776,0.49278718,0.58331555,-1.3035956,-1.0629061,-0.2406895
10,-2.7021136,-2.4063337,"('unsympathetic', 'sympathetic')",-1.0062249,-0.8814369,0.24180982,0.5703691,-1.1555096,-0.9058005,-0.2497091
69,2.6047578,2.5184264,"('lazy', 'industrious')",2.3874187,2.3420753,-1.1491895,-1.0611088,1.2809957,1.2664643,0.0145314
46,-2.5849862,-2.4102058,"('uncompetitive', 'competitive')",-1.3271487,-1.2489433,-1.0254269,-0.6806777,-1.645854,-1.446609,-0.199245
0,-2.485836,-2.508173,"('unsociable', 'sociable')",-0.83069265,-0.8455819,-0.18468972,0.010332419,-1.1670729,-1.1144742,-0.0525987
55,-2.4836051,-2.216218,"('incompetent', 'clever')",-1.2737285,-1.1440338,0.07235963,0.33742654,-1.2283247,-1.0076084,-0.2207163
60,-2.4645963,-2.5495965,"('inefficient', 'efficient')",-1.4721693,-1.5433574,0.29584324,0.45093393,-1.2136408,-1.2140066,0.0003658
48,-2.3406224,-2.199187,"('unintelligent', 'intelligent')",-1.0961204,-1.2216172,0.2663945,0.19497225,-1.0567827,-1.0752773,0.0184946
14,-2.3395624,-2.1445456,"('antisocial', 'social')",-0.6739639,-0.4300505,-0.9428962,-0.40955627,-1.3188075,-0.9947174,-0.3240901
35,2.2370217,2.2721317,"('corrupt', 'incorrupt')",1.0044577,1.0270895,-1.0503423,-1.1697549,0.730379,0.709822,0.020557
33,2.1564045,1.9981751,"('wrong', 'right')",1.7365965,1.6925769,-0.24554461,-0.4298544,1.2158188,1.0869659,0.1288529
77,-2.0873008,-2.1000736,"('unmotivated', 'motivated')",-0.50519705,-0.3524923,-0.8363065,-0.7119011,-1.1429348,-1.0548224,-0.0881124
85,2.0488837,2.1806836,"('insignificant', 'prestigious')",2.3458464,2.499853,-0.77781147,-0.9850118,1.2056395,1.2318415,-0.026202
21,-2.0036988,-1.7608515,"('immoral', 'moral')",-0.098604664,0.074389584,-0.60978585,-0.31976268,-0.9040298,-0.6687415,-0.2352883
65,-1.9309794,-1.9760977,"('insecure', 'secure')",-1.7661768,-1.7001407,0.27231863,0.45525703,-1.1416125,-1.0736605,-0.067952
86,-1.8341775,-1.5715396,"('uninfluential', 'influential')",-0.22941601,0.07098631,-0.598219,-0.30035478,-0.8872708,-0.6003027,-0.2869681
45,-1.8267634,-1.478036,"('incompetent', 'competent')",-0.99855816,-0.5971288,-0.74736595,-0.3686392,-1.1908959,-0.8146013,-0.3762946
43,-1.776092,-1.6554644,"('irresponsible', 'responsible')",-1.1725117,-1.1026608,0.9001548,1.091269,-0.6828163,-0.5556188,-0.1271975
5,1.6708527,1.4680281,"('distant', 'outgoing')",1.6322426,1.6296966,-0.31011593,-0.4625041,0.9976598,0.8784068,0.119253
62,-1.6361741,-1.6484305,"('incompetent', 'brilliant')",-0.6109457,-0.41936687,0.25198042,0.28136313,-0.6650465,-0.5954781,-0.0695684
30,-1.5925857,-1.5101471,"('intolerant', 'tolerant')",-0.9304466,-0.7386423,0.47684392,0.5845453,-0.6820628,-0.554748,-0.1273148
80,-1.5556394,-1.1647172,"('dominated', 'dominating')",-1.7629054,-1.3915498,-0.9986949,-0.6758071,-1.4390799,-1.0773581,-0.3617218
11,-1.5338459,-1.519774,"('unhelpful', 'helpful')",-0.48947048,-0.5875501,2.1823008,2.1327155,0.0529948,0.0084638,0.044531
36,1.4571918,1.4776767,"('hostile', 'amicable')",1.7205777,1.6059543,-0.2347601,-0.37922,0.9810032,0.9014703,0.0795329
57,-1.4463831,-1.2308317,"('unimaginative', 'imaginative')",0.68280125,0.72777957,-2.8164399,-2.630723,-1.1933406,-1.0445917,-0.1487489
70,-1.3719463,-1.2440603,"('lethargic', 'energetic')",0.06019189,-0.047070783,0.6655973,0.96890056,-0.2153857,-0.1074102,-0.1079755
15,1.3519356,1.1876197,"('boring', 'funny')",1.3165056,0.9571871,0.7922102,0.551599,1.1535505,0.898802,0.2547485
31,1.335944,1.5138566,"('evil', 'good')",0.99983793,1.3886986,-1.1589864,-1.2259368,0.3922652,0.5588728,-0.1666076
3,-1.3167626,-1.298708,"('repellent', 'pleasant')",-0.3475017,-0.27953547,0.33842587,0.52418023,-0.4419461,-0.3513544,-0.0905917
23,-1.3165042,-1.3248571,"('insincere', 'sincere')",-1.1351292,-0.9976666,5.778162,5.628767,1.1088428,1.1020811,0.0067617
82,-1.3141596,-1.6745709,"('poor', 'rich')",-2.8443015,-2.9236214,5.151527,4.9963565,0.3310219,0.1327214,0.1983005
63,-1.3016052,-1.2896466,"('unperceptive', 'insightful')",0.26960003,0.26746988,0.7015884,0.84187764,-0.1101389,-0.0600997,-0.0500392
19,1.2899648,1.1217725,"('inhospitable', 'hospitable')",1.0439377,0.99126,-0.14881703,-0.22392401,0.7283618,0.6297028,0.098659
13,-1.2692341,-1.322284,"('impolite', 'polite')",-0.83017105,-0.6994286,0.084642366,0.11135506,-0.6715875,-0.6367858,-0.0348017
56,-1.2494955,-1.3616852,"('impractical', 'practical')",0.0525482,-0.075130984,0.14960562,0.31353116,-0.3491139,-0.3744283,0.0253144
71,1.2450012,1.2462938,"('diffident', 'self-confident')",1.8199924,1.7450249,0.77135396,0.81011117,1.2787825,1.2671432,0.0116393
47,-1.2414114,-1.0150506,"('stupid', 'smart')",0.32199806,0.5087119,4.9028554,5.114307,1.327814,1.5359894,-0.2081754
6,1.1755794,1.1935966,"('distant', 'open')",1.4585898,1.7191223,-0.094632745,-0.11149039,0.8465122,0.9337428,-0.0872306
7,-1.1690207,-1.0009075,"('insensitive', 'sensitive')",-0.21641123,0.04644443,0.5205535,0.82837814,-0.2882928,-0.0420283,-0.2462645
