,teradata_male,teradata_female,tuple,corp_male,corp_female,de_male,de_female,average_male,average_female,male-female
10,-1.6596224,-2.3364394,"('unsympathetic', 'sympathetic')",-0.18436112,-0.4394167,0.43807423,0.4309431,-0.4686364,-0.7816377,0.3130013
0,-1.3848252,-1.8730519,"('unsociable', 'sociable')",1.181299,0.779435,-0.0797784,-0.1567632,-0.0944349,-0.4167934,0.3223585
86,-1.3480202,-1.8343205,"('uninfluential', 'influential')",0.29775363,0.20283341,0.28035402,0.23228073,-0.2566375,-0.4664021,0.2097646
66,-1.3073449,-1.1263522,"('inactive', 'active')",-1.9863127,-1.8410648,-0.392629,-0.11999624,-1.2287622,-1.0291378,-0.1996244
73,1.2643292,1.6153265,"('helpless', 'self-reliant')",1.2042463,1.4513987,-3.8520782,-3.730264,-0.4611676,-0.2211796,-0.239988
23,-1.1767781,-1.9156785,"('insincere', 'sincere')",0.65489155,0.3559168,7.318021,7.4691634,2.2653782,1.9698006,0.2955776
43,-1.1337489,-1.501097,"('irresponsible', 'responsible')",0.4102348,0.20673217,0.8107651,0.82855415,0.0290837,-0.1552702,0.1843539
53,-1.0635892,-1.4117898,"('uncreative', 'creative')",-0.63281405,-0.5775277,0.6566392,0.659297,-0.346588,-0.4433401,0.0967521
65,-1.0464025,-1.2363607,"('insecure', 'secure')",0.9284558,0.7634772,0.23155034,0.27551955,0.0378679,-0.065788,0.1036559
87,-1.0081226,-1.0415794,"('unsuccessful', 'successful')",1.161029,1.2735479,0.8648784,0.955983,0.3392616,0.3959839,-0.0567223
45,-0.98128724,-1.3359058,"('incompetent', 'competent')",0.860388,0.6243095,-0.13235115,-0.24612007,-0.0844168,-0.3192388,0.234822
4,0.95689094,0.89321285,"('disliked', 'liked')",-0.48743215,-0.40714684,-7.3024125,-7.792677,-2.2776513,-2.435537,0.1578857
85,0.9300407,0.682748,"('insignificant', 'prestigious')",-1.7688355,-1.5439988,-0.054250818,-0.13614371,-0.2976819,-0.3324649,0.034783
77,-0.9115777,-0.8894244,"('unmotivated', 'motivated')",0.09194863,0.17213789,-0.8070819,-0.95428544,-0.542237,-0.5571907,0.0149537
75,0.9089436,1.0003098,"('meek', 'impulsive')",-1.4306427,-1.2865129,-0.40603787,-0.6118833,-0.3092457,-0.2993621,-0.0098836
9,-0.9055724,-1.3355772,"('unaffectionate', 'caring')",-0.26419616,-0.31449875,1.1124591,1.2626429,-0.0191032,-0.1291444,0.1100412
47,-0.87824494,-1.0262781,"('stupid', 'smart')",0.16244116,0.014539428,5.488407,5.7604837,1.5908678,1.582915,0.0079528
57,-0.8532797,-1.4307468,"('unimaginative', 'imaginative')",0.14807855,-0.004825268,-2.7954803,-2.9550614,-1.1668938,-1.4635445,0.2966507
2,0.81490093,0.5748245,"('unlikable', 'likable')",1.207402,1.1265471,1.0190493,0.8312607,1.0137841,0.8442108,0.1695733
24,-0.79687756,-1.0943772,"('dishonest', 'honest')",-0.2002358,-0.17547953,1.4185324,1.3953329,0.140473,0.0418254,0.0986476
28,-0.75354105,-1.384875,"('disloyal', 'loyal')",0.23391935,-0.056940973,0.9196702,0.84200376,0.1333495,-0.1999374,0.3332869
48,-0.7435002,-0.93377703,"('unintelligent', 'intelligent')",0.9008574,0.9354487,0.6181839,0.63449,0.2585137,0.2120539,0.0464598
