,sherwin_male,sherwin_female,tuple,williams_male,williams_female,co_male,co_female,average_male,average_female,male-female
81,-2.8223858,-2.5847337,"('submissive', 'aggressive')",-0.8576759,-0.7766683,-0.40344277,-0.4950662,-1.3611682,-1.2854894,-0.0756788
60,-2.7625542,-2.504966,"('inefficient', 'efficient')",-1.8991505,-1.7331872,0.16939762,0.32771835,-1.4974356,-1.3034784,-0.1939572
10,-2.5749505,-2.5539038,"('unsympathetic', 'sympathetic')",-0.9470802,-1.0325795,0.66849244,0.34282,-0.9511793,-1.0812212,0.1300419
0,-2.488202,-2.5962143,"('unsociable', 'sociable')",-0.7018527,-0.8797435,0.0057409317,-0.17795013,-1.061438,-1.2179693,0.1565313
69,2.4786541,2.3328378,"('lazy', 'industrious')",2.5863566,2.3156223,-1.0669917,-1.1365963,1.3326731,1.1706214,0.1620517
85,2.3639271,2.1933322,"('insignificant', 'prestigious')",2.693786,2.6090424,-1.152341,-0.97537935,1.3017907,1.2756651,0.0261256
28,-2.36382,-2.4546518,"('disloyal', 'loyal')",-1.3324319,-1.2805897,0.8923518,0.83273214,-0.9346333,-0.9675031,0.0328698
55,-2.2859864,-2.2762668,"('incompetent', 'clever')",-1.2371935,-1.2720653,0.24803549,0.022752102,-1.0917149,-1.1751934,0.0834785
46,-2.2435246,-2.2679327,"('uncompetitive', 'competitive')",-1.0581156,-1.3616768,-0.5685157,-0.9048843,-1.2900519,-1.511498,0.2214461
48,-2.213289,-2.189793,"('unintelligent', 'intelligent')",-1.1456246,-1.0687262,-0.17930445,-0.18134774,-1.179406,-1.1466223,-0.0327837
33,2.1494763,1.9578736,"('wrong', 'right')",1.6995883,1.66276,-0.16153647,-0.22813223,1.229176,1.1308338,0.0983422
14,-2.1467345,-2.205281,"('antisocial', 'social')",-0.6053147,-0.58072215,-0.8248685,-0.8774113,-1.1923059,-1.2211382,0.0288323
65,-2.0644078,-1.9707006,"('insecure', 'secure')",-1.8074969,-1.8503236,0.17656793,0.10907702,-1.2317789,-1.2373157,0.0055368
35,2.0641782,2.0258808,"('corrupt', 'incorrupt')",1.1675341,1.2018679,-1.2762594,-1.0061073,0.6518176,0.7405472,-0.0887296
77,-2.0634108,-1.962218,"('unmotivated', 'motivated')",-0.557772,-0.7287326,-0.7926004,-1.0151136,-1.1379277,-1.2353547,0.097427
21,-1.8797596,-1.819234,"('immoral', 'moral')",-0.016820595,-0.07803908,-0.39567873,-0.58960336,-0.7640862,-0.8289588,0.0648726
43,-1.8585254,-1.8214601,"('irresponsible', 'responsible')",-1.5436887,-1.5242194,0.6971863,0.7872293,-0.9016759,-0.8528167,-0.0488592
31,1.8171494,1.5691954,"('evil', 'good')",1.3967164,1.3425184,-1.3324044,-1.2196414,0.6271538,0.5640241,0.0631297
36,1.7008631,1.2980654,"('hostile', 'amicable')",1.8726821,1.5990411,-0.57937616,-0.54462314,0.9980563,0.7841612,0.2138951
62,-1.6854982,-1.5069518,"('incompetent', 'brilliant')",-0.9496404,-0.7154724,0.27490458,0.3110563,-0.7867447,-0.6371227,-0.149622
30,-1.6098495,-1.4706242,"('intolerant', 'tolerant')",-0.7287011,-0.6907614,0.33542192,0.46416906,-0.6677095,-0.5657388,-0.1019707
70,-1.5927047,-1.578823,"('lethargic', 'energetic')",-0.31138977,-0.32995835,0.83096284,0.63136435,-0.3577105,-0.4258056,0.0680951
5,1.5554509,1.4832728,"('distant', 'outgoing')",1.6246802,1.7125249,-0.8093442,-0.54796374,0.7902622,0.8826113,-0.0923491
13,-1.5344428,-1.3802629,"('impolite', 'polite')",-1.1404234,-1.0929458,0.19681285,0.12082119,-0.8260178,-0.7841291,-0.0418887
11,-1.4491352,-1.3861475,"('unhelpful', 'helpful')",-1.0723839,-0.992879,2.5866196,2.4730022,0.0217001,0.0313253,-0.0096252
71,1.4361919,1.191995,"('diffident', 'self-confident')",2.0646033,1.8969076,0.9353776,0.9005603,1.4787243,1.329821,0.1489033
57,-1.4257985,-1.424031,"('unimaginative', 'imaginative')",0.54148686,0.5425646,-2.5190423,-2.8962772,-1.1344513,-1.2592479,0.1247966
45,-1.3688874,-1.5115029,"('incompetent', 'competent')",-0.63879776,-0.60897994,-0.20454475,-0.50891155,-0.73741,-0.8764648,0.1390548
82,-1.3606414,-1.2891226,"('poor', 'rich')",-2.745165,-2.8283882,4.5636873,4.976649,0.152627,0.2863793,-0.1337523
23,-1.3452924,-1.2803086,"('insincere', 'sincere')",-1.1971112,-1.2215539,5.330481,5.511818,0.9293591,1.0033185,-0.0739594
76,-1.342245,-1.1674612,"('anxious', 'daring')",-1.3369685,-1.0887586,0.25322598,0.23898686,-0.8086625,-0.672411,-0.1362515
80,-1.3385681,-1.2253778,"('dominated', 'dominating')",-1.4669542,-1.4057766,-0.3177923,-0.5072226,-1.041105,-1.0461257,0.0050207
56,-1.3085268,-1.2695409,"('impractical', 'practical')",-0.15746091,0.068402484,0.36361438,0.43762088,-0.3674578,-0.2545058,-0.112952
79,1.3027416,1.0817385,"('wavering', 'unwavering')",1.3262805,1.2429397,-0.26166138,-0.31708252,0.7891203,0.6691985,0.1199218
6,1.285637,1.0900484,"('distant', 'open')",1.7415189,1.7879139,-0.46291423,-0.19089518,0.8547472,0.8956891,-0.0409419
66,1.2823982,1.1014029,"('inactive', 'active')",0.6257988,0.450581,0.5824343,0.42563888,0.8302104,0.6592076,0.1710028
3,-1.2661266,-1.1669961,"('repellent', 'pleasant')",-0.33696547,-0.44297263,0.4796244,0.2323897,-0.3744892,-0.459193,0.0847038
47,-1.2217681,-1.2350531,"('stupid', 'smart')",0.26707464,0.29859394,4.6528783,4.944139,1.2327282,1.3358933,-0.1031651
19,1.1993244,1.0671002,"('inhospitable', 'hospitable')",1.3241339,1.1292939,0.07327376,0.02530618,0.8655773,0.7405667,0.1250106
86,-1.1815687,-1.4929695,"('uninfluential', 'influential')",0.44099003,0.21069694,0.15940534,-0.27722675,-0.1937245,-0.5198331,0.3261086
75,1.1441134,1.0618349,"('meek', 'impulsive')",0.38072935,0.34251785,-0.7037185,-0.6733756,0.2737081,0.2436591,0.030049
59,1.1122239,0.9405059,"('foolish', 'wise')",1.5263767,1.4459621,0.07680145,0.15233012,0.905134,0.846266,0.058868
7,-1.1117165,-1.1515102,"('insensitive', 'sensitive')",-0.026065208,-0.1305501,0.7395736,0.47417355,-0.132736,-0.2692956,0.1365596
72,-1.0262927,-0.97658634,"('unambitious', 'ambitious')",-0.40487128,-0.23267256,-0.08398203,0.07310307,-0.5050487,-0.3787186,-0.1263301
63,-1.005278,-1.1696451,"('unperceptive', 'insightful')",0.27983767,0.14516315,0.86992186,0.6524045,0.0481605,-0.1240258,0.1721863
26,0.9846932,0.63875353,"('hardhearted', 'benevolent')",0.6489261,0.47016832,1.3411952,1.228902,0.9916048,0.7792746,0.2123302
32,-0.93372315,-0.9921276,"('unkind', 'kind')",-0.0635177,-0.15642282,1.4775633,1.4150137,0.1601075,0.0888211,0.0712864
41,-0.932229,-1.1080455,"('unforgiving', 'forgiving')",0.32266617,0.43048826,0.30109754,0.23114361,-0.1028218,-0.1488045,0.0459827
15,0.89966166,0.8234134,"('boring', 'funny')",0.71859777,0.8416624,0.86600393,0.8094679,0.8280878,0.8248479,0.0032399
