,loews_male,loews_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-1.8746268,-1.8675282,"('unsympathetic', 'sympathetic')",-0.46938574,-0.579914,-1.1720062,-1.223721,0.0517148
11,-1.699396,-1.8415625,"('unhelpful', 'helpful')",1.7706083,1.5913775,0.0356061,-0.1250925,0.1606986
69,1.6348889,1.6464316,"('lazy', 'industrious')",-0.73511267,-0.52566594,0.4498881,0.5603828,-0.1104947
48,-1.5500461,-1.6378307,"('unintelligent', 'intelligent')",0.90470684,0.85378647,-0.3226696,-0.3920221,0.0693525
3,-1.4890544,-1.3301114,"('repellent', 'pleasant')",0.5308775,0.4493356,-0.4790885,-0.4403879,-0.0387006
23,-1.4441317,-1.3988721,"('insincere', 'sincere')",5.890449,5.427011,2.2231586,2.0140696,0.209089
77,-1.396202,-1.3594377,"('unmotivated', 'motivated')",-1.4061627,-1.2807415,-1.4011824,-1.3200896,-0.0810928
86,-1.3810847,-1.5629312,"('uninfluential', 'influential')",-0.25112197,-0.30186427,-0.8161033,-0.9323977,0.1162944
46,-1.3074254,-1.4822047,"('uncompetitive', 'competitive')",-0.8732342,-1.025142,-1.0903298,-1.2536733,0.1633435
55,-1.2757201,-1.4167495,"('incompetent', 'clever')",0.28976822,0.2320492,-0.492976,-0.5923501,0.0993741
21,-1.2469575,-0.9497216,"('immoral', 'moral')",-1.024247,-0.7988529,-1.1356022,-0.8742872,-0.261315
73,1.1833688,1.2583833,"('helpless', 'self-reliant')",-3.236875,-3.0210173,-1.0267532,-0.881317,-0.1454362
0,-1.1772429,-1.2200459,"('unsociable', 'sociable')",-0.1747833,-0.36299077,-0.6760131,-0.7915183,0.1155052
53,-1.0812265,-1.3298177,"('uncreative', 'creative')",0.56490046,0.2749175,-0.258163,-0.5274501,0.2692871
35,1.0698351,1.1424134,"('corrupt', 'incorrupt')",-0.06230457,-0.20145227,0.5037652,0.4704806,0.0332846
24,-1.0679672,-1.0802081,"('dishonest', 'honest')",0.5297715,0.3843939,-0.2690978,-0.3479071,0.0788093
18,-1.0515248,-0.92227006,"('disagreeable', 'welcoming')",-0.9429672,-0.9128358,-0.997246,-0.9175529,-0.0796931
85,1.0426542,0.9283038,"('insignificant', 'prestigious')",0.27944076,0.15370776,0.6610475,0.5410058,0.1200417
28,-1.0246608,-1.3966659,"('disloyal', 'loyal')",1.1409276,0.6625518,0.0581334,-0.3670571,0.4251905
68,-1.0221096,-0.927598,"('dependent', 'independent')",-0.57598346,-0.65109277,-0.7990465,-0.7893454,-0.0097011
57,-1.019535,-1.4727721,"('unimaginative', 'imaginative')",-2.9043891,-3.0459602,-1.961962,-2.259366,0.297404
13,-0.97738504,-0.8223687,"('impolite', 'polite')",-0.8857257,-0.86932445,-0.9315554,-0.8458465,-0.0857089
51,-0.9623329,-0.75317276,"('uneducated', 'educated')",0.2813433,0.56371176,-0.3404948,-0.0947305,-0.2457643
7,-0.95176655,-1.00753,"('insensitive', 'sensitive')",0.38434166,0.3139953,-0.2837124,-0.3467673,0.0630549
1,-0.9408689,-1.2704116,"('unfriendly', 'friendly')",1.6220442,1.2896814,0.3405876,0.0096349,0.3309527
61,-0.9393872,-1.0725476,"('illogical', 'logical')",0.7243568,0.58547246,-0.1075152,-0.2435375,0.1360223
78,-0.93281645,-0.94633305,"('nonresilient', 'resilient')",0.42018172,0.33714834,-0.2563174,-0.3045924,0.048275
82,-0.9310064,-0.76880455,"('poor', 'rich')",6.2524815,6.0002475,2.6607375,2.6157215,0.045016
45,-0.9111539,-1.1763109,"('incompetent', 'competent')",0.11422138,-0.1313641,-0.3984663,-0.6538375,0.2553712
60,-0.8983699,-1.0071907,"('inefficient', 'efficient')",-0.14647266,-0.11792732,-0.5224213,-0.562559,0.0401377
88,-0.8975375,-0.88514555,"('low', 'eminent')",-0.41714513,-0.42877606,-0.6573414,-0.6569608,-0.0003806
72,-0.8826815,-0.8674385,"('unambitious', 'ambitious')",-0.4572874,-0.6232209,-0.6699845,-0.7453297,0.0753452
