,zions_male,zions_female,tuple,bancorporation_male,bancorporation_female,n_male,n_female,a_male,a_female,average_male,average_female,male-female
43,1.4093524,1.4861584,"('irresponsible', 'responsible')",-1.1371188,-1.1150286,1.1548158,1.3765507,1.1878546,1.2757052,0.653726,0.7558464,-0.1021204
74,1.2007003,0.98149586,"('undedicated', 'dedicated')",-0.16649461,-0.29248288,0.96139425,0.9001908,-0.06484759,-0.059640065,0.4826881,0.3823909,0.1002972
68,-1.181778,-1.2637186,"('dependent', 'independent')",-2.046774,-2.125082,-1.1439255,-1.1374807,-0.5991836,-0.65921277,-1.2429153,-1.2963735,0.0534582
12,1.1700193,1.2600152,"('unsupportive', 'supportive')",-0.9723561,-0.9258533,0.43754974,0.4996954,-1.583849,-1.5121753,-0.237159,-0.1695795,-0.0675795
61,-1.1506485,-1.1292479,"('illogical', 'logical')",-0.5132563,-0.6448511,0.4916825,0.4709218,0.7784939,0.7217157,-0.0984321,-0.1453654,0.0469333
39,1.0019124,0.9506736,"('exploitative', 'cooperative')",0.7577584,0.5903628,0.11869733,0.22833255,-0.6554148,-0.5133995,0.3057383,0.3139924,-0.0082541
7,0.992414,1.0155157,"('insensitive', 'sensitive')",-0.1349344,-0.19083463,0.38684666,0.4670364,0.6691178,0.8348629,0.478361,0.5316451,-0.0532841
29,-0.982039,-1.0818349,"('unfair', 'fair')",-0.9666311,-0.91611195,-0.04495795,-0.08645022,-0.813114,-0.87170887,-0.7016855,-0.7390265,0.037341
31,-0.9812913,-1.056291,"('evil', 'good')",-0.12696451,-0.15762566,-1.5019083,-1.403419,-0.49093017,-0.5251039,-0.7752736,-0.78561,0.0103364
19,-0.9714499,-0.90702707,"('inhospitable', 'hospitable')",-1.3163811,-1.3889549,-0.6084472,-0.67153364,-0.45846546,-0.4555931,-0.838686,-0.8557771,0.0170911
26,0.9673117,0.9153669,"('hardhearted', 'benevolent')",1.0134258,0.98391837,0.6350186,0.8981747,1.0607042,1.1952631,0.9191151,0.9981808,-0.0790657
76,0.9493136,0.83007693,"('anxious', 'daring')",0.2931044,0.28960025,1.0074096,0.7983858,-0.74212694,-0.72940767,0.3769252,0.2971638,0.0797614
2,0.9437959,0.9799702,"('unlikable', 'likable')",1.6653638,1.6724136,1.5636066,1.5899327,0.718741,0.8297973,1.2228768,1.2680284,-0.0451516
16,-0.9413305,-1.0537034,"('unpopular', 'popular')",-0.2821932,-0.27780202,-0.43171576,-0.6901689,0.9112895,0.73306996,-0.1859875,-0.3221511,0.1361636
49,-0.91417116,-0.9076252,"('unable', 'able')",-0.88765234,-0.88758314,0.33739877,0.4520366,-0.026776724,0.06161196,-0.3728004,-0.3203899,-0.0524105
56,0.87983286,1.0107609,"('impractical', 'practical')",0.12068449,0.116065234,1.7817953,1.9463451,-0.07220617,0.11892553,0.6775266,0.7980242,-0.1204976
1,-0.82115185,-0.8698397,"('unfriendly', 'friendly')",-0.8136482,-0.8878866,-0.9178737,-0.62368274,1.4422654,1.4593155,-0.2776021,-0.2305234,-0.0470787
84,-0.7761858,-1.0248075,"('inferior', 'superior')",-0.61252356,-0.6464919,-0.15074739,-0.44625837,-0.24204217,-0.26160973,-0.4453747,-0.5947919,0.1494172
