,meredith_male,meredith_female,tuple,corp_male,corp_female,average_male,average_female,male-female
26,2.364219,2.3656106,"('hardhearted', 'benevolent')",1.6783409,1.740606,2.0212798,2.0531082,-0.0318284
44,-2.1892834,-2.368106,"('prejudiced', 'unprejudiced')",-1.9471699,-2.0223453,-2.0682266,-2.1952257,0.1269991
39,1.906665,1.6356579,"('exploitative', 'cooperative')",0.1601672,-0.08885367,1.033416,0.7734021,0.2600139
71,1.7734905,1.5653701,"('diffident', 'self-confident')",0.34569883,0.28666282,1.0595946,0.9260164,0.1335782
1,1.7043202,1.6674962,"('unfriendly', 'friendly')",1.3931046,1.5045685,1.5487124,1.5860324,-0.03732
64,-1.6761669,-1.651629,"('shy', 'confident')",-6.3461494,-6.2349887,-4.011158,-3.9433088,-0.0678492
9,1.6205202,1.5298715,"('unaffectionate', 'caring')",1.1059889,1.1352768,1.3632545,1.3325741,0.0306804
3,-1.5808893,-1.3960377,"('repellent', 'pleasant')",0.8010246,0.66014415,-0.3899324,-0.3679468,-0.0219856
75,-1.5440536,-1.3248845,"('meek', 'impulsive')",-0.79156876,-0.5633987,-1.1678112,-0.9441416,-0.2236696
69,1.5281346,1.5562038,"('lazy', 'industrious')",-0.68953824,-0.26218945,0.4192982,0.6470072,-0.227709
81,-1.5094767,-1.5391701,"('submissive', 'aggressive')",-1.2147593,-1.5408447,-1.362118,-1.5400074,0.1778894
53,1.450005,1.5053695,"('uncreative', 'creative')",0.41266513,0.50703216,0.9313351,1.0062008,-0.0748657
25,1.3733917,1.1703554,"('egoistic', 'altruistic')",1.5802001,1.6824913,1.4767959,1.4264233,0.0503726
85,1.3300096,1.4655939,"('insignificant', 'prestigious')",0.17683786,0.63506234,0.7534237,1.0503281,-0.2969044
37,1.3243312,1.1528351,"('fake', 'genuine')",0.4616503,0.24260211,0.8929907,0.6977186,0.1952721
12,1.3139144,1.132753,"('unsupportive', 'supportive')",-1.601872,-1.7164644,-0.1439788,-0.2918557,0.1478769
33,1.2315865,1.0179597,"('wrong', 'right')",-0.73976815,-0.5520167,0.2459092,0.2329715,0.0129377
58,1.2207565,1.1827639,"('undiscriminating', 'discriminating')",0.56913567,0.6421639,0.8949461,0.9124639,-0.0175178
4,-1.1987486,-0.9240245,"('disliked', 'liked')",-7.326576,-7.0609274,-4.2626624,-3.992476,-0.2701864
17,-1.1479625,-1.0369617,"('nasty', 'nice')",-0.4933149,-0.44766164,-0.8206387,-0.7423117,-0.078327
57,-1.1357583,-1.1823798,"('unimaginative', 'imaginative')",-3.2341204,-3.210105,-2.1849394,-2.1962423,0.0113029
74,1.1181102,1.0860385,"('undedicated', 'dedicated')",-0.23210004,-0.40757298,0.4430051,0.3392327,0.1037724
77,-1.0967028,-1.1422529,"('unmotivated', 'motivated')",-0.840284,-0.937371,-0.9684934,-1.039812,0.0713186
19,1.0698781,1.0656177,"('inhospitable', 'hospitable')",-0.11269031,0.18558714,0.4785939,0.6256024,-0.1470085
16,-1.0417262,-0.871166,"('unpopular', 'popular')",0.10123871,0.24410899,-0.4702438,-0.3135285,-0.1567153
61,0.9820686,0.9846647,"('illogical', 'logical')",0.83544,0.74649775,0.9087543,0.8655812,0.0431731
86,0.9651778,0.8375057,"('uninfluential', 'influential')",0.013014726,-0.33755943,0.4890963,0.2499731,0.2391232
8,0.9597481,0.9516157,"('unaffectionate', 'affectionate')",0.56128633,0.6476271,0.7605172,0.7996214,-0.0391042
29,-0.944782,-0.82747614,"('unfair', 'fair')",0.01895428,0.02680289,-0.4629139,-0.4003366,-0.0625773
27,0.90065587,0.64162064,"('hardhearted', 'softhearted')",1.2974188,1.1991546,1.0990374,0.9203876,0.1786498
56,0.8844662,0.7826902,"('impractical', 'practical')",-1.121965,-1.3083956,-0.1187494,-0.2628527,0.1441033
38,0.8126264,0.7682006,"('untruthful', 'truthful')",-0.20584193,-0.13592073,0.3033922,0.3161399,-0.0127477
24,0.80665547,0.8307751,"('dishonest', 'honest')",0.39702642,0.2565137,0.601841,0.5436444,0.0581966
23,0.8055312,0.76468617,"('insincere', 'sincere')",5.817908,5.3938966,3.3117194,3.0792913,0.2324281
49,-0.7869396,-0.80712175,"('unable', 'able')",-0.36698833,-0.47253618,-0.576964,-0.639829,0.062865
36,0.6556169,0.87765634,"('hostile', 'amicable')",-0.2608397,0.14801574,0.1973886,0.512836,-0.3154474
54,0.6515733,0.56604916,"('incapable', 'capable')",0.8035146,0.92359465,0.727544,0.7448219,-0.0172779
18,-0.6316545,-0.7387017,"('disagreeable', 'welcoming')",-0.59151036,-0.6298115,-0.6115824,-0.6842566,0.0726742
32,0.6190375,0.5764228,"('unkind', 'kind')",0.69705015,0.40666565,0.6580439,0.4915442,0.1664997
35,0.5915145,0.62117755,"('corrupt', 'incorrupt')",-0.4781417,-0.09266825,0.0566864,0.2642547,-0.2075683
63,0.58546793,0.4002299,"('unperceptive', 'insightful')",0.852735,0.6123254,0.7191014,0.5062776,0.2128238
66,0.585065,0.67733884,"('inactive', 'active')",0.6923282,0.81378025,0.6386966,0.7455596,-0.106863
76,-0.5674782,-0.64109033,"('anxious', 'daring')",-0.37922603,-0.67339987,-0.4733521,-0.6572451,0.183893
51,-0.5457112,-0.6287636,"('uneducated', 'educated')",0.80912393,0.5104846,0.1317064,-0.0591395,0.1908459
28,0.51435304,0.5460566,"('disloyal', 'loyal')",1.0339044,0.7871983,0.7741287,0.6666275,0.1075012
42,-0.50766665,-0.52273756,"('unreliable', 'reliable')",-3.387559,-3.394554,-1.9476128,-1.9586457,0.0110329
31,-0.49891987,-0.17566931,"('evil', 'good')",-0.88324106,-0.44220763,-0.6910805,-0.3089385,-0.382142
11,-0.4827217,-0.705131,"('unhelpful', 'helpful')",1.808446,1.444664,0.6628622,0.3697665,0.2930957
10,-0.43635046,-0.4468627,"('unsympathetic', 'sympathetic')",-0.10057957,-0.5044546,-0.268465,-0.4756587,0.2071937
70,-0.43098137,-0.59282327,"('lethargic', 'energetic')",0.23565103,-0.15944737,-0.0976652,-0.3761353,0.2784701
87,0.41609916,0.3027894,"('unsuccessful', 'successful')",1.2335237,1.2244782,0.8248115,0.7636338,0.0611777
20,-0.4118132,-0.57081294,"('rough', 'thoughtful')",0.9529666,0.7576289,0.2705767,0.093408,0.1771687
59,0.39630574,0.35252094,"('foolish', 'wise')",-0.100485146,0.07118571,0.1479103,0.2118533,-0.063943
79,0.37145013,0.55538476,"('wavering', 'unwavering')",-0.1616721,0.13588916,0.104889,0.345637,-0.240748
84,0.32156953,0.38262942,"('inferior', 'superior')",1.1253724,1.2243187,0.723471,0.8034741,-0.0800031
43,-0.32052284,-0.4984779,"('irresponsible', 'responsible')",0.38080522,0.0701574,0.0301412,-0.2141602,0.2443014
78,0.30539605,0.14407408,"('nonresilient', 'resilient')",0.732737,0.4753751,0.5190665,0.3097246,0.2093419
46,-0.29374853,-0.41934106,"('uncompetitive', 'competitive')",-0.60449475,-1.0198393,-0.4491217,-0.7195902,0.2704685
52,0.28741106,0.36715075,"('irrational', 'rational')",-0.19206053,0.091978975,0.0476753,0.2295649,-0.1818896
2,0.28422588,0.35256225,"('unlikable', 'likable')",0.48665884,0.5633108,0.3854424,0.4579365,-0.0724941
15,-0.27832744,-0.21432209,"('boring', 'funny')",-0.25883988,-0.123190075,-0.2685837,-0.1687561,-0.0998276
55,0.2714019,0.017767053,"('incompetent', 'clever')",0.31675968,-0.17782795,0.2940808,-0.0800304,0.3741112
14,0.26549545,0.23983555,"('antisocial', 'social')",-0.17922702,-0.4383346,0.0431342,-0.0992495,0.1423837
82,-0.26289397,-0.10253596,"('poor', 'rich')",5.957508,5.70198,2.847307,2.7997222,0.0475848
21,-0.2471431,-0.369973,"('immoral', 'moral')",-0.38125545,-0.72570145,-0.3141993,-0.5478373,0.233638
30,-0.2450026,-0.35555193,"('intolerant', 'tolerant')",0.20027009,0.08440545,-0.0223663,-0.1355732,0.1132069
40,-0.24401134,-0.28914875,"('stingy', 'generous')",-2.0435972,-2.1092472,-1.1438043,-1.199198,0.0553937
50,0.21457179,0.17831543,"('clumsy', 'skillful')",0.10928662,-0.04922465,0.1619292,0.0645454,0.0973838
22,0.18818943,-0.08522176,"('untrustworthy', 'trustworthy')",-0.7079135,-1.0830417,-0.259862,-0.5841317,0.3242697
62,0.1854526,0.13644005,"('incompetent', 'brilliant')",-0.014948655,-0.21685155,0.085252,-0.0402057,0.1254577
48,0.17059144,0.0898144,"('unintelligent', 'intelligent')",0.59982973,0.39640248,0.3852106,0.2431084,0.1421022
13,-0.15942061,-0.4002114,"('impolite', 'polite')",-0.7070962,-0.94601524,-0.4332584,-0.6731133,0.2398549
67,-0.15798995,-0.09380768,"('doubtful', 'determined')",-0.65364194,-0.5640624,-0.405816,-0.3289351,-0.0768809
80,0.1340293,-0.18026182,"('dominated', 'dominating')",-0.59377944,-1.0546243,-0.2298751,-0.6174431,0.387568
41,-0.1297198,0.0068691447,"('unforgiving', 'forgiving')",0.0066536255,-0.14671075,-0.0615331,-0.0699208,0.0083877
34,0.11932537,0.17854467,"('mean', 'honorable')",5.461213,5.260339,2.7902691,2.7194417,0.0708274
45,-0.11545437,0.043258518,"('incompetent', 'competent')",-0.20265463,-0.37852898,-0.1590545,-0.1676352,0.0085807
6,0.103077024,0.3535906,"('distant', 'open')",-0.5572115,-0.22274262,-0.2270672,0.065424,-0.2924912
60,-0.08840492,-0.16806501,"('inefficient', 'efficient')",-0.22564468,-0.47553378,-0.1570248,-0.3217994,0.1647746
5,0.080511525,0.26950723,"('distant', 'outgoing')",-0.6834234,-0.3276808,-0.3014559,-0.0290868,-0.2723691
0,-0.06537251,-0.23561981,"('unsociable', 'sociable')",-0.19450766,-0.56687057,-0.1299401,-0.4012452,0.2713051
83,0.053638086,0.042593945,"('powerless', 'powerful')",-0.7462973,-0.847053,-0.3463296,-0.4022295,0.0558999
73,0.05108597,-0.05190296,"('helpless', 'self-reliant')",-3.3597784,-3.1377394,-1.6543462,-1.5948212,-0.059525
68,0.028327987,-0.11986001,"('dependent', 'independent')",-0.5316019,-0.57830507,-0.251637,-0.3490825,0.0974455
65,0.02181862,-0.053380452,"('insecure', 'secure')",-0.21864958,-0.38681,-0.0984155,-0.2200952,0.1216797
7,0.021616142,0.002880888,"('insensitive', 'sensitive')",0.43637916,0.27132666,0.2289976,0.1371038,0.0918938
47,-0.013898587,-0.043382496,"('stupid', 'smart')",4.8156223,4.3322577,2.400862,2.1444376,0.2564244
72,-0.007586807,-0.08015145,"('unambitious', 'ambitious')",-0.8806031,-0.8992567,-0.444095,-0.4897041,0.0456091
88,0.004122546,0.10229697,"('low', 'eminent')",-0.32154214,-0.34966654,-0.1587098,-0.1236848,-0.035025
