,altera_male,altera_female,tuple,corp_male,corp_female,average_male,average_female,male-female
13,-1.8027005,-0.779864,"('impolite', 'polite')",-1.07018,-0.6646964,-1.4364402,-0.7222802,-0.71416
19,-1.5582732,-1.6404918,"('inhospitable', 'hospitable')",-0.49923515,-0.55076087,-1.0287542,-1.0956264,0.0668722
24,-1.4661868,-1.0436288,"('dishonest', 'honest')",0.74715537,0.68797356,-0.3595157,-0.1778276,-0.1816881
79,-1.4639711,-1.8092606,"('wavering', 'unwavering')",-0.4132552,-0.79966646,-0.9386132,-1.3044635,0.3658503
31,-1.4343109,-1.8195913,"('evil', 'good')",-1.0068088,-1.2102652,-1.2205598,-1.5149282,0.2943684
0,-1.3738517,-0.6828213,"('unsociable', 'sociable')",-0.65786815,-0.4510264,-1.0158598,-0.5669239,-0.4489359
61,-1.3702185,-0.9642254,"('illogical', 'logical')",0.13844594,0.2918752,-0.6158863,-0.3361751,-0.2797112
53,-1.3666937,-1.743192,"('uncreative', 'creative')",0.5113364,0.45581436,-0.4276787,-0.6436888,0.2160101
10,-1.2671251,-0.6896333,"('unsympathetic', 'sympathetic')",-0.64234996,-0.46456438,-0.9547375,-0.5770988,-0.3776387
1,-1.2214453,-1.6438363,"('unfriendly', 'friendly')",1.025528,0.89903617,-0.0979587,-0.3724,0.2744413
17,-1.1771244,-1.3797274,"('nasty', 'nice')",-0.64809704,-0.6823739,-0.9126107,-1.0310507,0.11844
45,-1.1591315,-0.68707806,"('incompetent', 'competent')",-0.09541755,0.06916167,-0.6272745,-0.3089582,-0.3183163
87,-1.0901648,-0.68877774,"('unsuccessful', 'successful')",0.87883264,0.7436368,-0.1056661,0.0274295,-0.1330956
85,-1.0779247,-1.5374722,"('insignificant', 'prestigious')",-0.5005684,-0.7211433,-0.7892466,-1.1293077,0.3400611
66,-1.061898,-1.397776,"('inactive', 'active')",0.21814603,-0.09518574,-0.421876,-0.7464809,0.3246049
86,-1.0118785,-0.6101055,"('uninfluential', 'influential')",-0.5269726,-0.41342726,-0.7694255,-0.5117664,-0.2576591
16,-0.96043247,-1.4201069,"('unpopular', 'popular')",0.30319923,0.10775609,-0.3286166,-0.6561754,0.3275588
52,-0.9361837,-1.6047244,"('irrational', 'rational')",0.15528913,-0.30587217,-0.3904473,-0.9552983,0.564851
57,-0.93014103,-0.48772955,"('unimaginative', 'imaginative')",-2.9648342,-2.7878063,-1.9474876,-1.6377679,-0.3097197
36,-0.8712106,-1.5135034,"('hostile', 'amicable')",-0.1325327,-0.62157327,-0.5018716,-1.0675384,0.5656668
32,-0.84523207,-0.6078129,"('unkind', 'kind')",0.68728006,0.9136866,-0.078976,0.1529368,-0.2319128
47,-0.8336774,-0.80780464,"('stupid', 'smart')",4.989154,4.92821,2.0777383,2.0602026,0.0175357
77,-0.8146103,-0.5068494,"('unmotivated', 'motivated')",-0.66010976,-0.8364787,-0.73736,-0.6716641,-0.0656959
22,-0.7746278,-0.372405,"('untrustworthy', 'trustworthy')",-1.1432897,-1.3290854,-0.9589587,-0.8507452,-0.1082135
84,0.71483976,0.63208413,"('inferior', 'superior')",1.2110252,1.1594096,0.9629325,0.8957469,0.0671856
4,-0.70401484,-0.5566442,"('disliked', 'liked')",-6.232545,-6.3013153,-3.4682798,-3.4289799,-0.0392999
80,-0.6841613,-0.07853002,"('dominated', 'dominating')",-0.9738785,-0.88673115,-0.8290199,-0.4826306,-0.3463893
21,-0.66384375,-0.12553477,"('immoral', 'moral')",-0.37548205,-0.19061458,-0.5196629,-0.1580747,-0.3615882
82,-0.6638191,-0.62512076,"('poor', 'rich')",6.223719,6.368328,2.7799501,2.8716037,-0.0916536
18,-0.6548482,-0.71002173,"('disagreeable', 'welcoming')",-0.54281557,-0.50991315,-0.5988319,-0.6099675,0.0111356
6,-0.64771515,-0.930274,"('distant', 'open')",-0.5752296,-0.9636534,-0.6114724,-0.9469637,0.3354913
23,-0.64708376,-0.6655967,"('insincere', 'sincere')",5.474394,5.3787518,2.413655,2.3565774,0.0570776
9,-0.645537,-1.0009398,"('unaffectionate', 'caring')",1.1044912,0.84228224,0.2294771,-0.0793288,0.3088059
5,-0.6418116,-0.80666316,"('distant', 'outgoing')",-0.40451476,-0.719109,-0.5231632,-0.762886,0.2397228
72,0.63595337,0.7566401,"('unambitious', 'ambitious')",0.13031489,-0.18356216,0.3831341,0.286539,0.0965951
15,-0.6269593,-0.65399206,"('boring', 'funny')",-0.076549046,-0.008525919,-0.3517542,-0.331259,-0.0204952
49,0.61429644,0.10166935,"('unable', 'able')",0.34331962,0.009740967,0.478808,0.0557052,0.4231028
