,starbucks_male,starbucks_female,tuple,corp_male,corp_female,average_male,average_female,male-female
71,2.3731663,2.3211467,"('diffident', 'self-confident')",0.21161598,0.36234844,1.2923912,1.3417475,-0.0493563
74,2.0463364,1.8938192,"('undedicated', 'dedicated')",-0.35117823,-0.39204445,0.8475791,0.7508874,0.0966917
56,1.8445218,1.712425,"('impractical', 'practical')",-0.24010132,-0.31419653,0.8022102,0.6991142,0.103096
44,-1.8018475,-1.8496712,"('prejudiced', 'unprejudiced')",-1.0891701,-1.1379049,-1.4455087,-1.493788,0.0482793
63,1.6560802,1.6800082,"('unperceptive', 'insightful')",0.14419848,0.2968918,0.9001393,0.98845,-0.0883107
26,1.5654712,1.7288134,"('hardhearted', 'benevolent')",1.140524,1.1485163,1.3529975,1.4386649,-0.0856674
39,1.505236,1.3806597,"('exploitative', 'cooperative')",0.0099822525,0.09533052,0.7576091,0.7379951,0.019614
12,1.4116422,1.3954656,"('unsupportive', 'supportive')",-2.2098298,-2.1256962,-0.3990938,-0.3651153,-0.0339785
86,1.3579614,1.4429038,"('uninfluential', 'influential')",-0.29862413,-0.09141436,0.5296686,0.6757447,-0.1460761
85,1.3486297,1.2931532,"('insignificant', 'prestigious')",-0.371456,-0.4443983,0.4885868,0.4243774,0.0642094
1,1.3047768,1.4775465,"('unfriendly', 'friendly')",1.2772783,1.372228,1.2910275,1.4248872,-0.1338597
64,-1.2764915,-1.1403582,"('shy', 'confident')",-6.916159,-6.9620347,-4.0963254,-4.0511966,-0.0451288
57,-1.2604749,-1.0112072,"('unimaginative', 'imaginative')",-3.7538729,-3.5557902,-2.507174,-2.2834988,-0.2236752
73,1.2461363,1.2889231,"('helpless', 'self-reliant')",-3.6635745,-3.582456,-1.208719,-1.1467664,-0.0619526
61,1.240747,1.0953836,"('illogical', 'logical')",0.5075748,0.52431095,0.8741609,0.8098473,0.0643136
5,1.2216127,1.2113068,"('distant', 'outgoing')",-0.7200606,-0.7441708,0.2507761,0.233568,0.0172081
9,1.1885802,1.1434089,"('unaffectionate', 'caring')",0.9044456,1.0593753,1.0465128,1.101392,-0.0548792
43,1.1664615,1.09646,"('irresponsible', 'responsible')",0.40853798,0.5440808,0.7874997,0.8202704,-0.0327707
60,1.1594372,1.026324,"('inefficient', 'efficient')",0.48545527,0.6234583,0.8224462,0.8248912,-0.002445
