,te_male,te_female,tuple,connectivity_male,connectivity_female,ltd_male,ltd_female,average_male,average_female,male-female
8,-2.12102,-2.1921918,"('unaffectionate', 'affectionate')",-1.2209767,-1.7575529,0.30770522,0.10099289,-1.0114305,-1.2829173,0.2714868
60,2.0659926,2.0442786,"('inefficient', 'efficient')",2.7348425,3.4551082,0.5892277,0.57286143,1.7966876,2.0240828,-0.2273952
61,1.9947652,2.0791595,"('illogical', 'logical')",1.9899058,2.194059,-0.012775883,-0.22706015,1.3239651,1.3487193,-0.0247542
39,1.9256263,1.704072,"('exploitative', 'cooperative')",1.4816617,1.5306954,0.1523726,-0.048180643,1.1865536,1.0621956,0.124358
43,1.8527743,1.5596993,"('irresponsible', 'responsible')",1.2753845,1.75839,1.1502267,0.99827665,1.4261285,1.4387886,-0.0126601
14,1.8460016,1.8320783,"('antisocial', 'social')",1.9357723,2.4886298,0.072756335,0.08130177,1.2848434,1.4673367,-0.1824933
71,1.7874237,1.5135231,"('diffident', 'self-confident')",1.8639969,1.7517529,0.32900414,0.11388254,1.3268082,1.1263862,0.200422
6,-1.7704561,-1.870371,"('distant', 'open')",-0.83339924,-1.1680346,-0.25043795,-0.19999784,-0.9514311,-1.0794678,0.1280367
21,1.7032095,1.7793068,"('immoral', 'moral')",0.50323325,0.93717694,-0.7768165,-0.6669482,0.4765421,0.6831784,-0.2066363
35,-1.6830822,-1.5042714,"('corrupt', 'incorrupt')",-2.2354453,-2.758803,-0.54759926,-0.39552444,-1.488709,-1.5528663,0.0641573
56,1.6814429,1.6652322,"('impractical', 'practical')",1.2805903,1.9109594,0.8806008,1.0872234,1.2808781,1.5544717,-0.2735936
31,-1.5741254,-1.61978,"('evil', 'good')",-1.6489662,-2.5161693,-0.48000568,-0.61949724,-1.2343658,-1.5851488,0.350783
62,1.3326484,1.4907324,"('incompetent', 'brilliant')",1.9120256,2.5574996,0.5789939,0.6972132,1.274556,1.5818151,-0.3072591
36,-1.3110491,-1.3567914,"('hostile', 'amicable')",-1.0582843,-1.8072844,0.012655333,0.119300276,-0.7855593,-1.0149252,0.2293659
17,-1.2703711,-1.146169,"('nasty', 'nice')",-0.5174029,-0.6544424,0.011722914,0.11971365,-0.592017,-0.5602992,-0.0317178
70,1.2520392,1.120129,"('lethargic', 'energetic')",2.0551996,2.765998,1.4611777,1.4832112,1.5894721,1.7897793,-0.2003072
5,-1.2240663,-1.3015449,"('distant', 'outgoing')",-0.8857084,-1.3021369,-0.21327987,-0.2862139,-0.7743515,-0.9632986,0.1889471
25,-1.1781479,-1.1298048,"('egoistic', 'altruistic')",0.03208294,-0.46130553,0.037018046,0.1887279,-0.3696823,-0.4674608,0.0977785
27,-1.140968,-0.9885521,"('hardhearted', 'softhearted')",0.50507873,0.64549106,0.26337785,0.13030638,-0.1241705,-0.0709182,-0.0532523
11,1.0711445,0.9163047,"('unhelpful', 'helpful')",1.5090178,1.9289275,2.1809669,2.2437403,1.5870431,1.6963242,-0.1092811
13,1.0621059,0.8707494,"('impolite', 'polite')",1.4293518,1.8762387,0.16451952,0.08852531,0.8853257,0.9451711,-0.0598454
73,1.0601567,0.946538,"('helpless', 'self-reliant')",0.19600391,-0.18804812,-2.0908506,-2.395601,-0.27823,-0.5457037,0.2674737
24,1.0580664,0.74555945,"('dishonest', 'honest')",0.66049576,0.7726967,0.32873714,0.3334824,0.6824331,0.6172462,0.0651869
66,-0.97564936,-0.9705078,"('inactive', 'active')",-0.64576614,-0.48123315,1.0117763,0.82973564,-0.2032131,-0.2073351,0.004122
80,0.9177229,0.9614967,"('dominated', 'dominating')",0.718401,1.5002593,-0.23207466,-0.32252526,0.4680164,0.7130769,-0.2450605
64,0.91410685,0.77061045,"('shy', 'confident')",1.333993,1.474362,-3.500421,-3.5661185,-0.4174404,-0.440382,0.0229416
81,0.9037398,0.9566211,"('submissive', 'aggressive')",1.6113229,2.340843,-0.1841384,-0.018539362,0.7769748,1.0929749,-0.3160001
72,0.8961308,0.47588247,"('unambitious', 'ambitious')",-0.51072556,-0.4943693,0.14150237,-0.10393081,0.1756359,-0.0408059,0.2164418
74,0.85591507,0.89408815,"('undedicated', 'dedicated')",0.61843085,1.1485087,0.43164024,0.38211063,0.6353287,0.8082358,-0.1729071
65,0.8456347,0.71733236,"('insecure', 'secure')",1.7297081,2.197513,0.59613746,0.4321003,1.0571601,1.1156486,-0.0584885
76,0.83955014,0.85815156,"('anxious', 'daring')",1.263742,1.8320827,0.28590852,0.1879694,0.7964001,0.9594012,-0.1630011
59,0.8372305,0.73891145,"('foolish', 'wise')",-0.46716776,-1.0766978,0.07645872,0.079175785,0.1488405,-0.0862035,0.235044
42,0.81917757,0.84174633,"('unreliable', 'reliable')",0.84592164,1.2723039,-1.511128,-1.2396258,0.0513237,0.2914749,-0.2401512
46,0.8165799,0.5953774,"('uncompetitive', 'competitive')",2.039738,2.6937106,0.55837107,0.31280902,1.1382296,1.2006323,-0.0624027
45,0.8124319,0.64921314,"('incompetent', 'competent')",0.94612134,1.3782243,0.8926755,0.5413647,0.883743,0.8562674,0.0274756
51,0.80859405,1.0856124,"('uneducated', 'educated')",0.050334852,0.42297253,0.15013838,0.5381076,0.3363558,0.6822309,-0.3458751
