,embarq_male,embarq_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-2.0609128,-2.3534212,"('unfriendly', 'friendly')",0.78523725,1.0227307,-0.6378378,-0.6653453,0.0275075
53,-1.7471137,-1.840892,"('uncreative', 'creative')",0.06938258,0.22730431,-0.8388656,-0.8067938,-0.0320718
19,-1.730994,-1.8097551,"('inhospitable', 'hospitable')",-0.82976604,-0.76421577,-1.28038,-1.2869854,0.0066054
86,-1.3722245,-1.7207061,"('uninfluential', 'influential')",-0.4577504,-0.6425107,-0.9149874,-1.1816084,0.266621
57,-1.3246645,-1.4248039,"('unimaginative', 'imaginative')",-3.019087,-3.2586896,-2.1718757,-2.3417468,0.1698711
28,-1.1708255,-1.1300175,"('disloyal', 'loyal')",0.5164205,0.8807588,-0.3272025,-0.1246293,-0.2025732
31,-1.1354095,-1.2031288,"('evil', 'good')",-1.01069,-1.0135692,-1.0730498,-1.1083491,0.0352993
76,1.1330582,1.1271565,"('anxious', 'daring')",0.17227647,0.09530361,0.6526673,0.6112301,0.0414372
23,-1.1124703,-1.4480134,"('insincere', 'sincere')",4.9637513,5.3995886,1.9256406,1.9757876,-0.050147
10,-1.0307435,-1.247519,"('unsympathetic', 'sympathetic')",-0.59468776,-0.57614875,-0.8127156,-0.9118339,0.0991183
0,-1.0284197,-1.172918,"('unsociable', 'sociable')",-0.17289199,-0.24394713,-0.6006559,-0.7084326,0.1077767
8,-0.9472449,-0.933761,"('unaffectionate', 'affectionate')",0.2654293,0.6731359,-0.3409078,-0.1303126,-0.2105952
9,-0.8964119,-1.141655,"('unaffectionate', 'caring')",0.8314701,1.079651,-0.0324709,-0.031002,-0.0014689
44,0.8712137,1.139104,"('prejudiced', 'unprejudiced')",-0.9562372,-0.97937787,-0.0425118,0.0798631,-0.1223749
2,0.8535364,0.80611247,"('unlikable', 'likable')",0.8477031,0.67930055,0.8506198,0.7427065,0.1079133
82,-0.843612,-0.5101567,"('poor', 'rich')",5.6446257,6.4787207,2.4005067,2.984282,-0.5837753
73,0.82407725,0.8351617,"('helpless', 'self-reliant')",-2.9217973,-3.0725787,-1.0488601,-1.1187085,0.0698484
32,-0.79403317,-1.0915177,"('unkind', 'kind')",0.66532344,0.6076159,-0.0643549,-0.2419509,0.177596
38,-0.7641345,-1.0044156,"('untruthful', 'truthful')",-0.43111292,-0.4169655,-0.5976237,-0.7106906,0.1130669
30,0.7347731,0.543232,"('intolerant', 'tolerant')",0.869323,0.72608143,0.8020481,0.6346567,0.1673914
84,0.7342067,0.8133353,"('inferior', 'superior')",0.7819869,0.8735607,0.7580968,0.843448,-0.0853512
41,-0.7019605,-0.7554198,"('unforgiving', 'forgiving')",-0.2611501,-0.47195333,-0.4815553,-0.6136866,0.1321313
80,0.68742514,0.54360116,"('dominated', 'dominating')",-0.6565951,-0.9608422,0.015415,-0.2086205,0.2240355
63,-0.68676996,-0.8242537,"('unperceptive', 'insightful')",0.58813107,0.53221154,-0.0493194,-0.1460211,0.0967017
62,0.68129975,0.64918846,"('incompetent', 'brilliant')",0.5117477,0.478639,0.5965238,0.5639137,0.0326101
7,-0.6775432,-0.93693906,"('insensitive', 'sensitive')",0.30086118,0.275752,-0.188341,-0.3305935,0.1422525
81,0.6648672,0.39993948,"('submissive', 'aggressive')",-0.22636485,-0.5394097,0.2192512,-0.0697351,0.2889863
27,-0.65961313,-0.7429186,"('hardhearted', 'softhearted')",0.9033401,0.94469696,0.1218635,0.1008892,0.0209743
5,-0.6567229,-0.73454297,"('distant', 'outgoing')",-0.85086745,-0.6428809,-0.7537951,-0.6887119,-0.0650832
79,-0.65646744,-0.9245547,"('wavering', 'unwavering')",-0.7173037,-0.6381517,-0.6868856,-0.7813532,0.0944676
37,-0.6555407,-0.477288,"('fake', 'genuine')",-0.12274724,0.09548982,-0.389144,-0.1908991,-0.1982449
69,0.65305704,0.6707128,"('lazy', 'industrious')",-0.4133379,-0.4657935,0.1198596,0.1024597,0.0173999
51,-0.6468305,-0.8938704,"('uneducated', 'educated')",0.009038426,-0.26533198,-0.318896,-0.5796012,0.2607052
45,-0.6398625,-0.62736326,"('incompetent', 'competent')",0.0062381234,-0.026714224,-0.3168122,-0.3270387,0.0102265
6,-0.6167578,-0.61853004,"('distant', 'open')",-0.6887871,-0.3675405,-0.6527724,-0.4930353,-0.1597371
42,0.6023371,0.3890176,"('unreliable', 'reliable')",-2.55761,-2.943691,-0.9776365,-1.2773367,0.2997002
13,-0.59091276,-0.9067048,"('impolite', 'polite')",-1.0123098,-1.1868228,-0.8016113,-1.0467638,0.2451525
54,-0.5702509,-0.58104813,"('incapable', 'capable')",0.6532417,0.91840017,0.0414954,0.168676,-0.1271806
24,-0.5613943,-0.83373684,"('dishonest', 'honest')",0.34653917,0.47146,-0.1074276,-0.1811384,0.0737108
48,-0.54431653,-0.5506086,"('unintelligent', 'intelligent')",0.6959538,0.5809111,0.0758186,0.0151513,0.0606673
36,-0.53610396,-0.73762167,"('hostile', 'amicable')",-0.29996693,-0.18608034,-0.4180354,-0.461851,0.0438156
12,-0.49604344,-0.86864114,"('unsupportive', 'supportive')",-1.9671383,-2.3313842,-1.2315909,-1.6000127,0.3684218
61,-0.48813617,-0.7357051,"('illogical', 'logical')",0.53126884,0.42730153,0.0215663,-0.1542018,0.1757681
3,-0.48087034,-0.5604537,"('repellent', 'pleasant')",0.7549701,0.58880085,0.1370499,0.0141736,0.1228763
18,-0.47959882,-0.3964179,"('disagreeable', 'welcoming')",-0.72719824,-0.65994585,-0.6033986,-0.5281819,-0.0752167
58,-0.4706573,-0.4105891,"('undiscriminating', 'discriminating')",0.06606769,0.06022909,-0.2022948,-0.17518,-0.0271148
67,0.46741384,0.5391911,"('doubtful', 'determined')",-0.31565154,-0.39164984,0.0758812,0.0737706,0.0021106
72,-0.4638025,-0.34480438,"('unambitious', 'ambitious')",-0.65742487,-0.2524053,-0.5606137,-0.2986048,-0.2620089
4,-0.46126115,-0.5537067,"('disliked', 'liked')",-6.4062643,-7.053011,-3.4337628,-3.8033588,0.369596
11,-0.45053443,-0.65547156,"('unhelpful', 'helpful')",1.2929977,1.3089154,0.4212316,0.3267219,0.0945097
87,0.42176312,0.36793375,"('unsuccessful', 'successful')",1.2361537,1.0985022,0.8289584,0.733218,0.0957404
66,-0.40563872,-0.49459985,"('inactive', 'active')",0.34219626,0.38988656,-0.0317212,-0.0523566,0.0206354
22,-0.40419656,-0.319424,"('untrustworthy', 'trustworthy')",-0.99039453,-0.96632147,-0.6972955,-0.6428728,-0.0544227
26,-0.39000773,-0.54663306,"('hardhearted', 'benevolent')",1.6595291,1.6217787,0.6347607,0.5375729,0.0971878
17,-0.360136,-0.40770966,"('nasty', 'nice')",-0.67207724,-0.6264303,-0.5161066,-0.5170699,0.0009633
39,0.3215037,0.14061241,"('exploitative', 'cooperative')",0.23614833,0.16290413,0.278826,0.1517583,0.1270677
46,-0.3208419,-0.465647,"('uncompetitive', 'competitive')",-0.9587395,-1.0622932,-0.6397907,-0.7639701,0.1241794
29,-0.31907266,-0.1788604,"('unfair', 'fair')",-0.4980324,-0.52177286,-0.4085525,-0.3503166,-0.0582359
43,-0.31802002,-0.5512852,"('irresponsible', 'responsible')",0.32846156,0.2586567,0.0052208,-0.1463142,0.151535
64,0.30760777,0.080992565,"('shy', 'confident')",-5.706485,-6.5060277,-2.6994386,-3.2125175,0.5130789
88,-0.29576808,-0.64734274,"('low', 'eminent')",-0.3543524,-0.49845016,-0.3250602,-0.5728965,0.2478363
55,0.2886811,0.29653367,"('incompetent', 'clever')",0.41989985,0.30655435,0.3542905,0.301544,0.0527465
68,-0.2752092,-0.11382937,"('dependent', 'independent')",-0.8930363,-0.83198774,-0.5841228,-0.4729086,-0.1112142
40,-0.26604027,-0.20271967,"('stingy', 'generous')",-1.9935385,-2.1491294,-1.1297894,-1.1759245,0.0461351
16,-0.26507023,-0.024374701,"('unpopular', 'popular')",0.4022717,0.5576707,0.0686007,0.266648,-0.1980473
77,-0.23017836,-0.5463429,"('unmotivated', 'motivated')",-0.8947071,-1.1783097,-0.5624427,-0.8623263,0.2998836
60,0.22131616,0.04078898,"('inefficient', 'efficient')",-0.02132796,-0.06158435,0.0999941,-0.0103977,0.1103918
52,-0.2197608,-0.41524145,"('irrational', 'rational')",-0.007872496,0.031678457,-0.1138166,-0.1917815,0.0779649
21,-0.21449116,-0.5007662,"('immoral', 'moral')",-0.23966603,-0.658321,-0.2270786,-0.5795436,0.352465
70,-0.19371238,-0.35541824,"('lethargic', 'energetic')",0.38910753,0.27771083,0.0976976,-0.0388537,0.1365513
15,0.18311109,0.051952466,"('boring', 'funny')",-0.03236932,-0.03376496,0.0753709,0.0090938,0.0662771
25,0.1813694,-0.087393954,"('egoistic', 'altruistic')",1.2465158,1.1833109,0.7139426,0.5479584,0.1659842
50,-0.17595279,-0.100973696,"('clumsy', 'skillful')",0.016179547,0.19705892,-0.0798866,0.0480426,-0.1279292
78,-0.14170647,-0.25961047,"('nonresilient', 'resilient')",-0.033380166,-0.14092329,-0.0875433,-0.2002669,0.1127236
74,-0.12319705,-0.23415221,"('undedicated', 'dedicated')",-0.32722554,-0.4421801,-0.2252113,-0.3381661,0.1129548
59,0.12152064,0.14914206,"('foolish', 'wise')",0.061822202,0.27914366,0.0916714,0.2141429,-0.1224715
49,-0.0969345,0.11274988,"('unable', 'able')",-0.44521672,-0.24164721,-0.2710756,-0.0644487,-0.2066269
35,0.08712047,0.23564923,"('corrupt', 'incorrupt')",-0.5034991,-0.3831822,-0.2081893,-0.0737665,-0.1344228
75,-0.08307011,0.17352037,"('meek', 'impulsive')",-0.77883863,-0.58518744,-0.4309544,-0.2058335,-0.2251209
85,0.082200296,-0.033197533,"('insignificant', 'prestigious')",-0.2814145,-0.1851064,-0.0996071,-0.109152,0.0095449
71,-0.080971405,-0.3654141,"('diffident', 'self-confident')",0.57258,0.61417276,0.2458043,0.1243793,0.121425
20,0.07778084,0.1339876,"('rough', 'thoughtful')",0.74656224,0.7095013,0.4121715,0.4217445,-0.009573
83,0.053892307,-0.042781726,"('powerless', 'powerful')",-1.1102928,-1.0164471,-0.5282003,-0.5296144,0.0014141
33,-0.045962036,-0.263011,"('wrong', 'right')",-0.605875,-0.5236954,-0.3259185,-0.3933532,0.0674347
34,0.044599764,-0.07904948,"('mean', 'honorable')",4.9365435,5.5421634,2.4905715,2.7315569,-0.2409854
56,0.01766321,-0.3093904,"('impractical', 'practical')",-0.49808723,-0.6567734,-0.240212,-0.4830819,0.2428699
65,-0.0129534565,-0.19680752,"('insecure', 'secure')",-0.116622336,-0.12662414,-0.0647879,-0.1617158,0.0969279
47,0.012550779,0.13013345,"('stupid', 'smart')",4.9799247,5.5448475,2.4962378,2.8374906,-0.3412528
14,0.007984716,-0.021178633,"('antisocial', 'social')",0.18016648,-0.1315051,0.0940756,-0.0763419,0.1704175
