,avalonbay_male,avalonbay_female,tuple,communities_male,communities_female,inc_male,inc_female,average_male,average_female,male-female
36,-2.3447406,-1.5601208,"('hostile', 'amicable')",-2.0575314,-1.9641056,-0.007009767,-0.16529217,-1.4697607,-1.2298396,-0.2399211
85,-2.2345037,-1.3143169,"('insignificant', 'prestigious')",-1.5735037,-1.5015891,-0.033315413,-0.14079961,-1.280441,-0.9855685,-0.2948725
35,-2.1586978,-1.3965938,"('corrupt', 'incorrupt')",-2.0860925,-2.0360162,-0.5104631,-0.7310183,-1.5850844,-1.3878762,-0.1972082
76,2.0820878,1.2660322,"('anxious', 'daring')",1.8340572,1.5750759,0.9721134,0.8860273,1.6294193,1.2423785,0.3870408
31,-2.0631156,-1.2261406,"('evil', 'good')",-1.5738659,-1.5236478,-1.3114011,-1.3991812,-1.6494608,-1.3829899,-0.2664709
56,2.0129204,1.447082,"('impractical', 'practical')",2.4782388,2.402469,0.10140485,0.1154306,1.5308547,1.3216605,0.2091942
13,1.8986915,1.3651702,"('impolite', 'polite')",1.932922,2.1052544,-0.11713433,-0.03778537,1.2381597,1.1442131,0.0939466
60,1.8873568,1.0396135,"('inefficient', 'efficient')",2.697548,2.8445547,0.19970559,0.40979433,1.5948701,1.4313208,0.1635493
30,1.6920006,1.2964978,"('intolerant', 'tolerant')",2.3155775,2.412455,1.1102755,1.1179017,1.7059511,1.6089516,0.0969995
62,1.6777656,1.0644575,"('incompetent', 'brilliant')",1.8918505,1.8599001,0.08712305,0.21032405,1.2189131,1.0448939,0.1740192
7,1.6521053,1.1530776,"('insensitive', 'sensitive')",1.7518944,1.8450353,1.1427351,1.0943046,1.5155783,1.3641392,0.1514391
69,-1.5753138,-1.0281459,"('lazy', 'industrious')",-0.14301293,-0.2144778,-0.56860983,-0.79093874,-0.7623122,-0.6778541,-0.0844581
19,-1.54952,-1.1353073,"('inhospitable', 'hospitable')",-1.1901983,-1.2127365,-0.16343364,-0.2711088,-0.9677173,-0.8730509,-0.0946664
39,1.5485706,1.4041256,"('exploitative', 'cooperative')",2.3209314,2.507188,0.6692934,0.8214105,1.5129318,1.5775747,-0.0646429
6,-1.505369,-0.85472924,"('distant', 'open')",-1.3720162,-1.2548826,0.18637608,0.01675547,-0.897003,-0.6976187,-0.1993843
79,-1.3346733,-0.90642345,"('wavering', 'unwavering')",-0.6310261,-0.7562652,0.2728736,-0.048841845,-0.5642753,-0.5705102,0.0062349
43,1.3282979,0.7978639,"('irresponsible', 'responsible')",1.6699127,1.7167554,0.603199,0.55715084,1.2004698,1.0239234,0.1765464
21,1.3061848,0.46592468,"('immoral', 'moral')",1.9510872,1.8331733,-0.13607068,-0.24038738,1.0404004,0.6862369,0.3541635
55,1.2644845,0.41191557,"('incompetent', 'clever')",0.9404097,0.9386611,0.01816461,0.27560776,0.7410196,0.5420615,0.1989581
16,-1.2590741,-1.0453494,"('unpopular', 'popular')",-0.6492645,-0.7755217,-0.03717655,-0.2631936,-0.6485051,-0.6946882,0.0461831
5,-1.2535616,-0.61927265,"('distant', 'outgoing')",-0.48726922,-0.4501831,-0.35651696,-0.50505435,-0.6991159,-0.5248367,-0.1742792
81,1.2490872,0.5323147,"('submissive', 'aggressive')",1.5041848,1.4881585,-0.38453662,-0.17165777,0.7895784,0.6162718,0.1733066
70,1.2462571,0.61412793,"('lethargic', 'energetic')",1.7446901,1.6774464,1.0103478,0.95352656,1.333765,1.0817002,0.2520648
46,1.2301185,0.5247442,"('uncompetitive', 'competitive')",1.2576306,1.288397,-0.38578522,-0.12009771,0.7006547,0.5643478,0.1363069
4,-1.2184275,-0.7610795,"('disliked', 'liked')",-0.7513738,-0.9004498,-6.3924747,-6.0376587,-2.7874254,-2.5663961,-0.2210293
11,1.200019,0.8267769,"('unhelpful', 'helpful')",2.2199953,2.1773508,2.4920921,2.6459856,1.9707022,1.883371,0.0873312
23,1.1896582,0.8310206,"('insincere', 'sincere')",2.2202978,2.321236,5.9607987,5.729519,3.1235847,2.9605916,0.1629931
57,1.1197625,0.6486239,"('unimaginative', 'imaginative')",0.9128693,0.76570225,-2.083816,-1.7925138,-0.0170614,-0.1260626,0.1090012
50,-1.1097673,-0.9875424,"('clumsy', 'skillful')",-0.4401391,-0.6034657,0.08196229,0.011091322,-0.4893147,-0.5266389,0.0373242
12,1.0839467,0.8400499,"('unsupportive', 'supportive')",2.4038374,2.4208107,-1.2346667,-1.0131209,0.7510392,0.7492466,0.0017926
80,1.0277601,0.32802293,"('dominated', 'dominating')",0.7097314,0.6035987,-0.7863071,-0.8671915,0.3170615,0.0214767,0.2955848
68,-1.0037171,-1.1340985,"('dependent', 'independent')",-0.56925553,-0.54999447,-0.6911917,-0.70026237,-0.7547214,-0.7947851,0.0400637
14,0.98685104,0.4134231,"('antisocial', 'social')",2.0047898,2.0748146,-0.7097816,-0.7086244,0.7606197,0.5932044,0.1674153
