,nvidia_male,nvidia_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.8993297,-2.8732357,"('unsympathetic', 'sympathetic')",-0.45695013,-0.2692702,-1.6781399,-1.5712529,-0.106887
46,-2.5178254,-2.604004,"('uncompetitive', 'competitive')",-1.3015833,-1.2591562,-1.9097043,-1.9315801,0.0218758
43,-2.077962,-2.0912178,"('irresponsible', 'responsible')",0.17886755,0.15474586,-0.9495472,-0.968236,0.0186888
13,-1.9917394,-1.7443639,"('impolite', 'polite')",-0.79182,-0.6415136,-1.3917797,-1.1929388,-0.1988409
45,-1.9438808,-1.9765477,"('incompetent', 'competent')",-0.25699535,-0.26413065,-1.1004381,-1.1203392,0.0199011
0,-1.9117018,-1.7381161,"('unsociable', 'sociable')",-0.39897496,-0.17802274,-1.1553384,-0.9580694,-0.197269
81,-1.8859347,-1.9629462,"('submissive', 'aggressive')",-1.3666275,-1.086998,-1.626281,-1.5249721,-0.1013089
21,-1.743281,-1.6982008,"('immoral', 'moral')",-0.70184636,-0.6162467,-1.2225637,-1.1572237,-0.06534
70,-1.7336321,-1.8012618,"('lethargic', 'energetic')",0.100727126,0.0831013,-0.8164525,-0.8590803,0.0426278
57,-1.7227718,-1.7479085,"('unimaginative', 'imaginative')",-3.2232296,-3.0879734,-2.4730008,-2.4179409,-0.0550599
56,-1.6136048,-1.5342141,"('impractical', 'practical')",-1.1333108,-1.1524775,-1.3734578,-1.3433459,-0.0301119
85,1.602843,1.8011125,"('insignificant', 'prestigious')",0.14954786,-0.080587864,0.8761954,0.8602623,0.0159331
7,-1.5908529,-1.484008,"('insensitive', 'sensitive')",0.7197153,0.6605363,-0.4355688,-0.4117358,-0.023833
63,-1.5491648,-1.5201111,"('unperceptive', 'insightful')",0.34016076,0.30027747,-0.604502,-0.6099168,0.0054148
24,-1.4980862,-1.2452916,"('dishonest', 'honest')",0.6423057,0.53469896,-0.4278903,-0.3552963,-0.072594
69,1.4864883,1.6901121,"('lazy', 'industrious')",-0.76890785,-0.7882224,0.3587902,0.4509449,-0.0921547
76,-1.4684271,-1.5922977,"('anxious', 'daring')",-0.45668867,-0.43535626,-0.9625579,-1.013827,0.0512691
42,-1.443926,-1.2505312,"('unreliable', 'reliable')",-3.5368435,-3.6068056,-2.4903848,-2.4286685,-0.0617163
11,-1.3941531,-1.3360361,"('unhelpful', 'helpful')",1.0620323,1.2113806,-0.1660604,-0.0623277,-0.1037327
86,-1.3323393,-1.2478197,"('uninfluential', 'influential')",-0.26419812,-0.3306952,-0.7982687,-0.7892574,-0.0090113
12,-1.3198725,-1.0653634,"('unsupportive', 'supportive')",-2.1285787,-2.114974,-1.7242255,-1.5901687,-0.1340568
32,-1.3020815,-1.0632745,"('unkind', 'kind')",0.73804975,0.7508589,-0.2820159,-0.1562078,-0.1258081
41,-1.2796371,-0.9827587,"('unforgiving', 'forgiving')",-0.14641668,-0.26861843,-0.7130269,-0.6256886,-0.0873383
22,-1.2795763,-1.3864651,"('untrustworthy', 'trustworthy')",-0.90476304,-1.0848036,-1.0921696,-1.2356343,0.1434647
35,1.261446,1.3026628,"('corrupt', 'incorrupt')",-0.21167532,-0.4062557,0.5248854,0.4482036,0.0766818
38,-1.2602712,-0.9485283,"('untruthful', 'truthful')",-0.63855875,-0.47561175,-0.949415,-0.71207,-0.237345
51,-1.2455806,-1.0263963,"('uneducated', 'educated')",0.4786743,0.56261176,-0.3834531,-0.2318923,-0.1515608
52,1.2419741,1.1989676,"('irrational', 'rational')",0.1527709,-0.10717879,0.6973725,0.5458944,0.1514781
55,-1.2394732,-1.230019,"('incompetent', 'clever')",0.21455458,0.36447448,-0.5124593,-0.4327722,-0.0796871
23,-1.2114614,-1.2442455,"('insincere', 'sincere')",5.8740845,5.8211703,2.3313115,2.2884624,0.0428491
59,1.1860482,1.2068126,"('foolish', 'wise')",0.0034749545,-0.030756686,0.5947616,0.588028,0.0067336
64,-1.156796,-1.013797,"('shy', 'confident')",-6.823668,-6.6045985,-3.990232,-3.8091979,-0.1810341
65,-1.1437501,-1.2863435,"('insecure', 'secure')",-0.4033712,-0.279384,-0.7735606,-0.7828637,0.0093031
14,-1.1396776,-1.1509414,"('antisocial', 'social')",-0.17131756,-0.024336785,-0.6554976,-0.5876391,-0.0678585
