,nvidia_male,nvidia_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.862699,-3.0576901,"('unsympathetic', 'sympathetic')",-0.5750154,-0.6355199,-1.7188573,-1.8466051,0.1277478
46,-2.5060956,-2.677807,"('uncompetitive', 'competitive')",-1.0982927,-1.2671213,-1.8021941,-1.9724642,0.1702701
81,-2.086159,-1.8894339,"('submissive', 'aggressive')",-1.245627,-1.0824711,-1.6658931,-1.4859525,-0.1799406
45,-2.0149853,-2.0954385,"('incompetent', 'competent')",-0.1899784,-0.34516096,-1.1024818,-1.2202997,0.1178179
85,1.9937094,1.9155886,"('insignificant', 'prestigious')",0.14352347,0.11338474,1.0686165,1.0144867,0.0541298
69,1.9452899,1.888286,"('lazy', 'industrious')",-0.43630818,-0.59403783,0.7544909,0.6471241,0.1073668
13,-1.8935721,-2.0690196,"('impolite', 'polite')",-0.8605995,-0.99010736,-1.3770858,-1.5295634,0.1524776
43,-1.8695198,-2.0626981,"('irresponsible', 'responsible')",0.21997085,0.022148725,-0.8247745,-1.0202748,0.1955003
70,-1.834939,-1.8577248,"('lethargic', 'energetic')",-0.030268691,-0.12501799,-0.9326038,-0.9913714,0.0587676
21,-1.6642005,-1.8616298,"('immoral', 'moral')",-0.6695209,-0.7420918,-1.1668607,-1.3018608,0.1350001
57,-1.6611576,-1.7763615,"('unimaginative', 'imaginative')",-3.1102755,-3.3587549,-2.3857164,-2.5675583,0.1818419
63,-1.6084545,-1.5849959,"('unperceptive', 'insightful')",0.200934,0.13923481,-0.7037603,-0.7228805,0.0191202
0,-1.6015728,-2.0362613,"('unsociable', 'sociable')",-0.13031319,-0.37716508,-0.865943,-1.2067132,0.3407702
76,-1.5302355,-1.4553347,"('anxious', 'daring')",-0.57611954,-0.5274534,-1.0531776,-0.991394,-0.0617836
7,-1.4710027,-1.7472972,"('insensitive', 'sensitive')",0.40262997,0.2982567,-0.5341864,-0.7245202,0.1903338
24,-1.4682577,-1.4849488,"('dishonest', 'honest')",0.34197697,0.36529127,-0.5631403,-0.5598288,-0.0033115
51,-1.4403443,-1.467232,"('uneducated', 'educated')",0.22384223,0.1847645,-0.608251,-0.6412337,0.0329827
11,-1.3925772,-1.4412093,"('unhelpful', 'helpful')",1.0687171,1.1334841,-0.16193,-0.1538626,-0.0080674
22,-1.3891414,-1.4816035,"('untrustworthy', 'trustworthy')",-1.1736543,-1.3443072,-1.2813978,-1.4129553,0.1315575
56,-1.3861718,-1.3660595,"('impractical', 'practical')",-0.9174925,-0.8029652,-1.1518321,-1.0845124,-0.0673197
35,1.361682,1.4448534,"('corrupt', 'incorrupt')",-0.15366435,-0.086977966,0.6040089,0.6789377,-0.0749288
62,-1.3466536,-1.1781167,"('incompetent', 'brilliant')",0.09170456,0.17883807,-0.6274745,-0.4996393,-0.1278352
14,-1.3106427,-1.4867055,"('antisocial', 'social')",-0.04024134,-0.2333547,-0.675442,-0.8600301,0.1845881
59,1.3092302,1.3753891,"('foolish', 'wise')",0.0025373958,0.1052561,0.6558838,0.7403226,-0.0844388
32,-1.2844392,-1.4224585,"('unkind', 'kind')",0.32846949,0.35136718,-0.4779848,-0.5355457,0.0575609
23,-1.2708553,-1.4469563,"('insincere', 'sincere')",5.335322,5.6531568,2.0322332,2.1031003,-0.0708671
3,-1.250789,-1.4046463,"('repellent', 'pleasant')",0.8818829,0.8717195,-0.1844531,-0.2664634,0.0820103
86,-1.2373625,-1.5966568,"('uninfluential', 'influential')",-0.47903728,-0.6651343,-0.8581999,-1.1308956,0.2726957
