,verisign_male,verisign_female,tuple,inc_male,inc_female,average_male,average_female,male-female
86,-2.1000004,-2.45713,"('uninfluential', 'influential')",-0.044755712,-0.12507346,-1.072378,-1.2911017,0.2187237
9,-1.9595784,-1.9266295,"('unaffectionate', 'caring')",1.0685179,1.0583166,-0.4455302,-0.4341565,-0.0113737
8,-1.8186506,-1.6239581,"('unaffectionate', 'affectionate')",0.63689494,0.70958537,-0.5908778,-0.4571864,-0.1336914
1,-1.7596579,-1.881829,"('unfriendly', 'friendly')",1.6569316,1.3484792,-0.0513631,-0.2666749,0.2153118
12,-1.7285242,-1.6747501,"('unsupportive', 'supportive')",-1.6602775,-1.5187126,-1.6944008,-1.5967314,-0.0976694
0,-1.7261958,-1.9798436,"('unsociable', 'sociable')",-0.26664698,-0.31635982,-0.9964214,-1.1481017,0.1516803
10,-1.7144544,-1.665845,"('unsympathetic', 'sympathetic')",-0.3247529,-0.022860859,-1.0196036,-0.844353,-0.1752506
72,-1.6559501,-1.4462931,"('unambitious', 'ambitious')",-0.5703009,-0.32297736,-1.1131254,-0.8846352,-0.2284902
69,1.5379878,1.4277927,"('lazy', 'industrious')",-0.51051086,-0.74707717,0.5137385,0.3403578,0.1733807
41,-1.4860846,-1.3348535,"('unforgiving', 'forgiving')",-0.12592672,-0.09744075,-0.8060057,-0.7161471,-0.0898586
18,-1.4411263,-1.3924825,"('disagreeable', 'welcoming')",-0.26531777,-0.40376624,-0.8532221,-0.8981244,0.0449023
43,-1.430791,-1.3709488,"('irresponsible', 'responsible')",0.6094105,0.8600079,-0.4106902,-0.2554705,-0.1552197
73,1.3451133,1.4468822,"('helpless', 'self-reliant')",-2.620498,-2.507601,-0.6376923,-0.5303594,-0.1073329
28,-1.3172677,-1.5694717,"('disloyal', 'loyal')",1.02598,0.7956302,-0.1456438,-0.3869208,0.241277
24,-1.2876426,-1.1353661,"('dishonest', 'honest')",0.570214,0.7370931,-0.3587143,-0.1991365,-0.1595778
51,-1.1680286,-1.2474908,"('uneducated', 'educated')",0.5212346,0.4898308,-0.323397,-0.37883,0.055433
55,-1.1209886,-1.3003523,"('incompetent', 'clever')",0.36704814,0.47704828,-0.3769702,-0.411652,0.0346818
35,1.0994855,1.12406,"('corrupt', 'incorrupt')",-0.3817604,-0.6350015,0.3588626,0.2445293,0.1143333
45,-1.0984216,-1.0635674,"('incompetent', 'competent')",0.045322463,0.13860585,-0.5265496,-0.4624808,-0.0640688
84,1.0335604,0.96175706,"('inferior', 'superior')",0.98167074,1.0017012,1.0076156,0.9817291,0.0258865
31,-1.0167314,-1.0004547,"('evil', 'good')",-1.0950806,-1.4064018,-1.0559061,-1.2034283,0.1475222
63,-1.0150441,-1.0772594,"('unperceptive', 'insightful')",1.1688744,1.3248096,0.0769151,0.1237751,-0.04686
13,-1.0061867,-1.1509653,"('impolite', 'polite')",-0.2691364,-0.25291413,-0.6376616,-0.7019397,0.0642781
57,-0.98164535,-1.0368336,"('unimaginative', 'imaginative')",-2.3942466,-2.2581751,-1.687946,-1.6475043,-0.0404417
54,-0.97717744,-0.7891271,"('incapable', 'capable')",1.067984,1.2015034,0.0454033,0.2061881,-0.1607848
44,0.9438753,1.1669902,"('prejudiced', 'unprejudiced')",-1.4117029,-1.3921374,-0.2339138,-0.1125736,-0.1213402
48,-0.89659023,-1.1529095,"('unintelligent', 'intelligent')",0.817396,0.80560654,-0.0395971,-0.1736515,0.1340544
6,-0.822351,-0.8325085,"('distant', 'open')",0.24368887,0.05713601,-0.289331,-0.3876863,0.0983553
23,-0.7952853,-0.90192336,"('insincere', 'sincere')",5.6740794,5.48775,2.4393971,2.2929134,0.1464837
3,-0.7940486,-0.7618745,"('repellent', 'pleasant')",0.21127781,0.32913616,-0.2913854,-0.2163692,-0.0750162
7,-0.7862839,-0.8208195,"('insensitive', 'sensitive')",0.8121176,0.9562276,0.0129168,0.0677041,-0.0547873
52,-0.78279036,-0.76625454,"('irrational', 'rational')",-0.112231486,-0.39267355,-0.4475109,-0.5794641,0.1319532
32,-0.77080965,-0.79890656,"('unkind', 'kind')",0.752117,0.85306257,-0.0093463,0.027078,-0.0364243
67,0.7465525,0.7543248,"('doubtful', 'determined')",-0.47187892,-0.33838657,0.1373368,0.2079691,-0.0706323
62,-0.7454766,-0.6428659,"('incompetent', 'brilliant')",0.51219887,0.81499356,-0.1166389,0.0860638,-0.2027027
53,-0.74465233,-0.9186281,"('uncreative', 'creative')",1.0261238,0.8544145,0.1407357,-0.0321068,0.1728425
38,-0.6952681,-0.706496,"('untruthful', 'truthful')",-0.20291036,-0.21035872,-0.4490892,-0.4584274,0.0093382
14,-0.6506221,-0.73897237,"('antisocial', 'social')",-0.55432975,-0.4796171,-0.6024759,-0.6092947,0.0068188
25,-0.6426606,-0.6369758,"('egoistic', 'altruistic')",1.5995938,1.3818761,0.4784666,0.3724501,0.1060165
75,0.64231926,0.84737754,"('meek', 'impulsive')",-0.51966906,-0.2927368,0.0613251,0.2773204,-0.2159953
42,0.5434707,0.89006776,"('unreliable', 'reliable')",-2.5630133,-2.1780956,-1.0097713,-0.6440139,-0.3657574
5,-0.5320323,-0.5326834,"('distant', 'outgoing')",-0.23565514,-0.40871945,-0.3838437,-0.4707014,0.0868577
74,-0.49180365,-0.5470833,"('undedicated', 'dedicated')",0.10403231,0.120638624,-0.1938857,-0.2132224,0.0193367
33,0.4807241,0.54237366,"('wrong', 'right')",-0.6060355,-0.73830354,-0.0626557,-0.0979649,0.0353092
40,-0.4752349,-0.34899685,"('stingy', 'generous')",-1.2870758,-1.4013568,-0.8811553,-0.8751768,-0.0059785
83,-0.46522248,-0.50115526,"('powerless', 'powerful')",-0.8893135,-0.7950064,-0.677268,-0.6480808,-0.0291872
58,-0.44434783,-0.37255135,"('undiscriminating', 'discriminating')",0.13726357,0.102453016,-0.1535421,-0.1350492,-0.0184929
64,-0.4425448,-0.34478804,"('shy', 'confident')",-6.460633,-6.0670047,-3.4515889,-3.2058964,-0.2456925
70,-0.4385109,-0.3175664,"('lethargic', 'energetic')",0.72840697,1.0976745,0.144948,0.390054,-0.245106
68,0.43022662,0.11188317,"('dependent', 'independent')",-0.22169067,-0.38947076,0.104268,-0.1387938,0.2430618
27,-0.42401043,-0.4103107,"('hardhearted', 'softhearted')",1.3411133,1.2443795,0.4585515,0.4170344,0.0415171
22,-0.41187426,-0.31983677,"('untrustworthy', 'trustworthy')",-0.9453591,-0.641575,-0.6786167,-0.4807059,-0.1979108
77,-0.40977418,-0.63607943,"('unmotivated', 'motivated')",-0.9170131,-0.85304683,-0.6633936,-0.7445631,0.0811695
26,-0.40972346,-0.42935064,"('hardhearted', 'benevolent')",1.4060146,1.3662174,0.4981456,0.4684334,0.0297122
81,-0.40385252,-0.47926575,"('submissive', 'aggressive')",-0.6969139,-0.4358437,-0.5503832,-0.4575547,-0.0928285
50,0.40188676,0.4799097,"('clumsy', 'skillful')",0.23109472,0.22151244,0.3164907,0.350711,-0.0342203
46,-0.4004031,-0.59029424,"('uncompetitive', 'competitive')",-0.62039936,-0.52388287,-0.5104012,-0.5570886,0.0466874
79,-0.39784348,-0.37662658,"('wavering', 'unwavering')",-0.16216205,-0.3540603,-0.2800028,-0.3653435,0.0853407
21,-0.37531993,-0.54723036,"('immoral', 'moral')",-0.63559586,-0.5332444,-0.5054579,-0.5402374,0.0347795
