,s&p_male,s&p_female,tuple,global_male,global_female,inc_male,inc_female,average_male,average_female,male-female
2,1.6146325,1.6731158,"('unlikable', 'likable')",1.3708359,1.4005953,1.5588225,1.6005018,1.5147637,1.558071,-0.0433073
57,-1.4372126,-1.4935427,"('unimaginative', 'imaginative')",-1.9647745,-1.941325,-1.9086577,-1.9120754,-1.7702149,-1.7823143,0.0120994
73,1.40868,1.5836972,"('helpless', 'self-reliant')",0.8373427,0.88773227,1.314404,1.4364347,1.1868089,1.3026214,-0.1158125
28,-1.314173,-1.6995792,"('disloyal', 'loyal')",-1.4476998,-1.6644969,-1.565098,-1.9395081,-1.4423237,-1.7678614,0.3255377
10,-1.2257016,-1.1321133,"('unsympathetic', 'sympathetic')",-2.8758242,-2.657215,-1.5768623,-1.5506961,-1.892796,-1.7800083,-0.1127877
6,1.1395106,0.9636319,"('distant', 'open')",1.8308799,1.6475462,0.66871667,0.5451059,1.2130357,1.0520947,0.160941
0,-1.1380951,-0.9440404,"('unsociable', 'sociable')",-3.1789424,-2.8734174,-0.58679324,-0.46565694,-1.6346103,-1.4277048,-0.2069055
85,1.0118746,0.72739476,"('insignificant', 'prestigious')",3.213484,2.8930075,1.7546606,1.5028386,1.9933397,1.707747,0.2855927
53,-0.96773565,-1.3164818,"('uncreative', 'creative')",-0.13747385,-0.41354427,-1.2915977,-1.5457064,-0.7989357,-1.0919108,0.2929751
81,-0.92126316,-0.751911,"('submissive', 'aggressive')",-2.191541,-1.9609139,-0.9781892,-0.78942305,-1.3636645,-1.1674159,-0.1962486
86,-0.92037815,-0.9518909,"('uninfluential', 'influential')",-1.998209,-2.091979,-1.2571819,-1.4762716,-1.391923,-1.5067139,0.1147909
52,0.8508478,0.5527743,"('irrational', 'rational')",1.2483151,1.0161841,0.06390815,-0.11695412,0.7210236,0.4840014,0.2370222
1,-0.8456993,-1.3628855,"('unfriendly', 'friendly')",-0.27095643,-0.68902177,-0.6623216,-1.1981095,-0.5929925,-1.0833389,0.4903464
23,-0.84309024,-0.91573614,"('insincere', 'sincere')",-2.3635461,-2.4605615,-0.6985991,-0.81795335,-1.3017452,-1.3980837,0.0963385
22,-0.8414841,-0.49344522,"('untrustworthy', 'trustworthy')",-0.47520593,-0.24526632,-0.9249807,-0.70026636,-0.7472236,-0.4796593,-0.2675643
20,-0.8278047,-0.6986269,"('rough', 'thoughtful')",-1.0555542,-0.9448061,-0.24669111,-0.13152356,-0.7100166,-0.5916522,-0.1183644
62,0.77439237,1.0510468,"('incompetent', 'brilliant')",-1.9447801,-1.6303338,0.538426,0.79040664,-0.2106539,0.0703732,-0.2810271
33,0.7590978,0.65939856,"('wrong', 'right')",1.011904,0.99402165,1.3143666,1.1719017,1.0284561,0.941774,0.0866821
15,0.7587413,0.9077586,"('boring', 'funny')",0.9930722,0.95506746,-0.40395427,-0.3124832,0.4492864,0.516781,-0.0674946
14,-0.75286204,-0.41750738,"('antisocial', 'social')",-1.8671631,-1.4615947,-0.57028675,-0.27135864,-1.0634373,-0.7168202,-0.3466171
42,0.7522002,0.8091193,"('unreliable', 'reliable')",0.93264616,0.8663774,0.572122,0.5978159,0.7523228,0.7577709,-0.0054481
64,0.7352573,0.8035398,"('shy', 'confident')",-0.53281254,-0.37400198,0.15507601,0.1907034,0.1191736,0.2067471,-0.0875735
18,-0.7331348,-0.7728658,"('disagreeable', 'welcoming')",0.65257984,0.67030454,-0.5119178,-0.49105155,-0.1974909,-0.1978709,0.00038
47,-0.7229879,-0.558825,"('stupid', 'smart')",-1.4565402,-1.2532094,-0.61238635,-0.4890196,-0.9306382,-0.767018,-0.1636202
87,0.70279276,0.95492554,"('unsuccessful', 'successful')",1.2964178,1.5448428,1.585304,1.8814932,1.1948382,1.4604204,-0.2655822
26,-0.6741789,-0.7930422,"('hardhearted', 'benevolent')",1.4101758,1.2138238,-0.51173645,-0.679186,0.0747535,-0.0861348,0.1608883
78,-0.66855407,-0.87649447,"('nonresilient', 'resilient')",-1.2270143,-1.308644,-0.52752846,-0.6471816,-0.807699,-0.9441067,0.1364077
49,-0.6383785,-0.2550027,"('unable', 'able')",-0.9112161,-0.55417293,-0.6328371,-0.41345268,-0.7274772,-0.4075428,-0.3199344
13,-0.63633895,-0.38978213,"('impolite', 'polite')",-2.1321855,-1.9179639,0.10461087,0.36066338,-0.8879712,-0.6490275,-0.2389437
61,0.59172696,0.60730404,"('illogical', 'logical')",-0.9639095,-0.76943624,0.6482625,0.72229755,0.0920267,0.1867218,-0.0946951
41,-0.53090376,-0.5848269,"('unforgiving', 'forgiving')",-1.7218707,-1.6375748,-0.27587828,-0.31842372,-0.8428842,-0.8469418,0.0040576
12,0.5083504,0.42677063,"('unsupportive', 'supportive')",-0.9855374,-1.0094359,0.6417413,0.54417187,0.0548514,-0.0128311,0.0676825
30,-0.5079446,-0.1795218,"('intolerant', 'tolerant')",-2.1933513,-2.1304407,-0.708956,-0.6384912,-1.1367506,-0.9828179,-0.1539327
9,0.4858728,0.11704388,"('unaffectionate', 'caring')",-0.31530538,-0.67403764,0.20783395,-0.21331532,0.1261338,-0.2567697,0.3829035
17,-0.46754766,-0.32470495,"('nasty', 'nice')",-0.24184039,-0.20394506,0.6409087,0.7155791,-0.0228264,0.0623097,-0.0851361
83,0.4538399,0.4226649,"('powerless', 'powerful')",-0.49508083,-0.54012764,0.4422703,0.3976281,0.1336765,0.0933885,0.040288
82,-0.44525802,-0.4057981,"('poor', 'rich')",-0.34054232,-0.35796145,-0.89308155,-0.8292086,-0.5596273,-0.5309894,-0.0286379
5,0.43380505,0.40395048,"('distant', 'outgoing')",1.3112723,1.2337668,0.71453553,0.671173,0.8198709,0.7696301,0.0502408
58,0.41321024,0.40730584,"('undiscriminating', 'discriminating')",0.28569505,0.20865707,0.33247787,0.30204272,0.3437944,0.3060019,0.0377925
19,0.38503483,0.3250589,"('inhospitable', 'hospitable')",0.8196134,0.6395772,0.10007128,0.047020193,0.4349065,0.3372188,0.0976877
44,0.37336546,0.41284853,"('prejudiced', 'unprejudiced')",0.18664335,0.31537083,0.24031948,0.46589145,0.2667761,0.398037,-0.1312609
31,-0.36713955,-0.3517054,"('evil', 'good')",1.815216,1.732128,0.6607821,0.6025655,0.7029529,0.660996,0.0419569
35,-0.35556644,-0.4088865,"('corrupt', 'incorrupt')",1.1748742,1.20658,0.11672673,0.05182162,0.3120115,0.2831717,0.0288398
16,0.34035128,0.31872982,"('unpopular', 'popular')",1.1548296,1.1986314,0.25432003,0.30287194,0.583167,0.6067444,-0.0235774
60,0.33014682,0.32304817,"('inefficient', 'efficient')",-2.5612369,-2.4997435,0.059709474,-0.00066139176,-0.7237935,-0.7257856,0.0019921
77,-0.328678,-0.65446746,"('unmotivated', 'motivated')",-0.69517714,-0.971842,0.34457302,0.031705424,-0.2264274,-0.5315347,0.3051073
72,-0.328571,-0.29481995,"('unambitious', 'ambitious')",-0.9316066,-0.9128714,-0.2329333,-0.15848018,-0.4977036,-0.4553905,-0.0423131
70,-0.30957702,-0.088284716,"('lethargic', 'energetic')",-1.4058313,-1.180559,-0.85383564,-0.6321096,-0.8564146,-0.6336511,-0.2227635
32,-0.30600232,-0.39095527,"('unkind', 'kind')",-0.37078476,-0.34048408,-0.5533695,-0.6367129,-0.4100522,-0.4560508,0.0459986
4,-0.30510154,-0.21018857,"('disliked', 'liked')",0.7267043,0.82255,0.9606447,1.0046271,0.4607491,0.5389962,-0.0782471
34,0.276726,0.25982055,"('mean', 'honorable')",-0.64339805,-0.6170586,0.3138054,0.3375317,-0.0176222,-0.0065688,-0.0110534
50,0.27345026,0.10538603,"('clumsy', 'skillful')",0.92417,0.9264108,0.5699497,0.43072936,0.58919,0.4875087,0.1016813
38,-0.25873387,-0.34003383,"('untruthful', 'truthful')",-1.0626414,-1.1682241,0.13502835,-0.06344486,-0.395449,-0.5239009,0.1284519
37,0.24868563,0.09497752,"('fake', 'genuine')",-1.0298811,-1.1131296,-0.1376256,-0.2525086,-0.3062737,-0.4235536,0.1172799
27,0.23915713,-0.010116376,"('hardhearted', 'softhearted')",-1.2747862,-1.4780383,-0.08767286,-0.2987444,-0.374434,-0.595633,0.221199
74,-0.22720511,-0.23483035,"('undedicated', 'dedicated')",-0.38280085,-0.33031404,-0.2835884,-0.29930007,-0.2978648,-0.2881482,-0.0097166
46,-0.22191225,-0.5034352,"('uncompetitive', 'competitive')",-1.7966955,-1.6769693,-0.3987027,-0.4260854,-0.8057701,-0.86883,0.0630599
68,0.21907085,0.29115537,"('dependent', 'independent')",-1.2236247,-1.0922682,-0.86937356,-0.83785266,-0.6246425,-0.5463219,-0.0783206
80,0.21882506,0.42492244,"('dominated', 'dominating')",-1.5060041,-1.2216296,-0.3057403,-0.1040759,-0.5309731,-0.300261,-0.2307121
39,0.21574138,0.22196087,"('exploitative', 'cooperative')",-0.76766324,-0.720814,0.2072317,0.28585446,-0.1148967,-0.0709996,-0.0438971
