,williams_male,williams_female,tuple,cos_male,cos_female,average_male,average_female,male-female
74,2.0798082,2.1641564,"('undedicated', 'dedicated')",0.44920897,0.5742415,1.2645086,1.369199,-0.1046904
12,1.8995798,1.84127,"('unsupportive', 'supportive')",-0.789026,-0.69083893,0.5552769,0.5752155,-0.0199386
56,1.7897061,2.1937435,"('impractical', 'practical')",0.6607039,0.8980572,1.2252049,1.5459003,-0.3206954
44,-1.7139499,-1.8513815,"('prejudiced', 'unprejudiced')",-1.112407,-1.2598938,-1.4131784,-1.5556376,0.1424592
81,1.5195595,1.788041,"('submissive', 'aggressive')",-0.32357514,-0.4313974,0.5979922,0.6783218,-0.0803296
21,1.3775731,1.2134598,"('immoral', 'moral')",-0.3580777,-0.49884972,0.5097477,0.357305,0.1524427
62,1.3690263,1.6308949,"('incompetent', 'brilliant')",0.7357067,0.8296428,1.0523665,1.2302688,-0.1779023
73,1.3263776,1.2348102,"('helpless', 'self-reliant')",-0.995405,-1.299723,0.1654863,-0.0324564,0.1979427
72,1.3228211,1.0020568,"('unambitious', 'ambitious')",-0.21811596,-0.2817002,0.5523526,0.3601783,0.1921743
2,1.3176522,1.2437431,"('unlikable', 'likable')",0.7197912,0.7264708,1.0187217,0.9851069,0.0336148
7,1.3095658,1.3872721,"('insensitive', 'sensitive')",0.23947878,0.06239272,0.7745223,0.7248324,0.0496899
35,-1.227791,-1.4537076,"('corrupt', 'incorrupt')",-1.0204489,-0.98640186,-1.12412,-1.2200547,0.0959347
70,1.1888402,1.4847114,"('lethargic', 'energetic')",0.29904372,0.44137418,0.7439419,0.9630428,-0.2191009
49,-1.1572733,-1.0023162,"('unable', 'able')",-0.4434306,-0.48030806,-0.800352,-0.7413121,-0.0590399
3,1.1321714,1.0848057,"('repellent', 'pleasant')",0.40078765,0.43560922,0.7664795,0.7602075,0.006272
87,1.1237274,1.1528723,"('unsuccessful', 'successful')",1.6378772,1.515185,1.3808024,1.3340287,0.0467737
57,1.0919921,1.6866043,"('unimaginative', 'imaginative')",-1.6006287,-1.2008246,-0.2543183,0.2428898,-0.4972081
23,1.084796,0.96894723,"('insincere', 'sincere')",2.938634,2.9262736,2.0117149,1.9476104,0.0641045
52,-1.0159013,-1.4243202,"('irrational', 'rational')",-0.7929616,-1.0792334,-0.9044315,-1.2517768,0.3473453
36,-0.99856293,-1.0164937,"('hostile', 'amicable')",-1.1849533,-1.0656383,-1.0917581,-1.0410659,-0.0506922
31,-0.967559,-0.80112606,"('evil', 'good')",-0.9386574,-0.776058,-0.9531082,-0.788592,-0.1645162
24,0.9672793,0.91513133,"('dishonest', 'honest')",-0.19911155,-0.21144648,0.3840839,0.3518424,0.0322415
9,0.96375465,0.4981903,"('unaffectionate', 'caring')",0.1740464,0.11804131,0.5689005,0.3081158,0.2607847
