,starbucks_male,starbucks_female,tuple,corp_male,corp_female,average_male,average_female,male-female
71,2.2599862,2.450435,"('diffident', 'self-confident')",0.38565886,0.44511965,1.3228226,1.4477773,-0.1249547
63,1.7816889,1.7576121,"('unperceptive', 'insightful')",0.83965695,0.6867553,1.310673,1.2221837,0.0884893
74,1.770398,1.814208,"('undedicated', 'dedicated')",-0.4326975,-0.48761517,0.6688502,0.6632965,0.0055537
44,-1.7493405,-1.8949322,"('prejudiced', 'unprejudiced')",-1.240143,-1.1396651,-1.4947417,-1.5172987,0.022557
56,1.6829429,1.7321995,"('impractical', 'practical')",0.163866,-0.13737522,0.9234045,0.7974122,0.1259923
57,-1.5656414,-1.3717024,"('unimaginative', 'imaginative')",-3.532625,-3.5978951,-2.5491333,-2.4847989,-0.0643344
12,1.5478044,1.7220513,"('unsupportive', 'supportive')",-1.8122276,-1.8710816,-0.1322116,-0.0745152,-0.0576964
73,1.4766574,1.3408213,"('helpless', 'self-reliant')",-3.5451176,-3.788484,-1.0342301,-1.2238314,0.1896013
39,1.4631891,1.6163101,"('exploitative', 'cooperative')",0.09049142,0.16295412,0.7768403,0.8896321,-0.1127918
9,1.4028625,1.3756939,"('unaffectionate', 'caring')",1.1694165,1.0218716,1.2861395,1.1987827,0.0873568
65,-1.3377944,-1.1309286,"('insecure', 'secure')",0.14813328,0.04068967,-0.5948306,-0.5451195,-0.0497111
26,1.3294067,1.4501637,"('hardhearted', 'benevolent')",0.9338157,1.0125827,1.1316112,1.2313732,-0.099762
1,1.2991171,1.2990618,"('unfriendly', 'friendly')",1.3251623,1.1414453,1.3121397,1.2202535,0.0918862
64,-1.2781223,-1.0498396,"('shy', 'confident')",-6.8780174,-6.741415,-4.0780697,-3.8956273,-0.1824424
85,1.2498755,1.4695222,"('insignificant', 'prestigious')",-0.8491182,-0.69078714,0.2003787,0.3893676,-0.1889889
86,1.2335557,1.5276738,"('uninfluential', 'influential')",-0.00963302,-0.0130665,0.6119613,0.7573037,-0.1453424
5,1.1990837,1.2193998,"('distant', 'outgoing')",-0.53721875,-0.6486391,0.3309325,0.2853804,0.0455521
50,-1.1686238,-1.1295863,"('clumsy', 'skillful')",-0.08955648,-0.09515485,-0.6290901,-0.6123706,-0.0167195
61,1.1601014,1.2483039,"('illogical', 'logical')",0.6199096,0.7691413,0.8900055,1.0087225,-0.118717
52,-1.0364965,-0.9487137,"('irrational', 'rational')",-0.64107597,-0.68334293,-0.8387862,-0.8160284,-0.0227578
60,1.0045544,1.1029181,"('inefficient', 'efficient')",0.8185672,0.83075,0.9115608,0.9668341,-0.0552733
54,0.95909816,1.0087085,"('incapable', 'capable')",0.8286887,0.7772457,0.8938934,0.8929771,0.0009163
43,0.9440065,1.2395145,"('irresponsible', 'responsible')",0.7995005,0.7712818,0.8717535,1.0053982,-0.1336447
20,0.9090421,0.84804666,"('rough', 'thoughtful')",1.1030084,0.9987945,1.0060253,0.9234205,0.0826048
2,-0.9053415,-0.8297859,"('unlikable', 'likable')",0.1299446,0.14920843,-0.3876985,-0.3402887,-0.0474098
75,-0.89234847,-1.085108,"('meek', 'impulsive')",-0.86725956,-1.0128917,-0.879804,-1.0489998,0.1691958
87,0.8405961,0.8659084,"('unsuccessful', 'successful')",0.8025695,0.6587532,0.8215828,0.7623308,0.059252
6,0.8404507,0.88556015,"('distant', 'open')",-0.36155522,-0.37941268,0.2394477,0.2530738,-0.0136261
62,0.8373747,0.7989362,"('incompetent', 'brilliant')",1.0136696,0.7237714,0.9255221,0.7613538,0.1641683
31,-0.8034482,-0.7260451,"('evil', 'good')",-1.5013969,-1.5190175,-1.1524225,-1.1225313,-0.0298912
24,0.80137825,0.8565434,"('dishonest', 'honest')",1.3326399,0.9800053,1.0670091,0.9182744,0.1487347
13,0.75417966,0.56743246,"('impolite', 'polite')",-0.06222012,-0.18167542,0.3459798,0.1928785,0.1531013
3,-0.73181474,-0.66796297,"('repellent', 'pleasant')",0.7814573,0.806843,0.0248213,0.06944,-0.0446187
17,-0.7298877,-0.6038826,"('nasty', 'nice')",-0.7791013,-0.76191944,-0.7544945,-0.682901,-0.0715935
33,0.7172876,0.74758416,"('wrong', 'right')",-0.5987053,-0.6423921,0.0592912,0.052596,0.0066952
38,0.6702555,0.57157063,"('untruthful', 'truthful')",0.34988424,0.25659472,0.5100698,0.4140827,0.0959871
83,0.66257846,0.85193217,"('powerless', 'powerful')",-0.7596856,-0.6566628,-0.0485536,0.0976347,-0.1461883
18,-0.66108084,-0.5483719,"('disagreeable', 'welcoming')",-0.5874992,-0.6109905,-0.62429,-0.5796812,-0.0446088
66,-0.6451085,-0.53374696,"('inactive', 'active')",-0.05765059,0.2964076,-0.3513795,-0.1186697,-0.2327098
84,0.627195,0.8645596,"('inferior', 'superior')",0.5837686,0.67710394,0.6054818,0.7708318,-0.16535
82,-0.617779,-0.82647103,"('poor', 'rich')",6.73828,6.3829966,3.0602503,2.7782629,0.2819874
37,0.6163597,0.71952575,"('fake', 'genuine')",0.51131576,0.44726574,0.5638378,0.5833957,-0.0195579
35,-0.61112,-0.72729224,"('corrupt', 'incorrupt')",-0.98535115,-0.9238228,-0.7982355,-0.8255575,0.027322
79,-0.58958226,-0.60890883,"('wavering', 'unwavering')",-0.329663,-0.3602627,-0.4596226,-0.4845858,0.0249632
