,amerisourcebergen_male,amerisourcebergen_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-2.3028834,-2.2473006,"('uninfluential', 'influential')",-1.110613,-1.0816458,-1.7067482,-1.6644733,-0.0422749
8,-1.9943528,-2.1001782,"('unaffectionate', 'affectionate')",0.6975741,0.67166585,-0.6483893,-0.7142562,0.0658669
1,-1.9578162,-2.1547875,"('unfriendly', 'friendly')",1.4480506,1.3092383,-0.2548828,-0.4227746,0.1678918
10,-1.8820832,-1.833429,"('unsympathetic', 'sympathetic')",-0.5947382,-0.5860936,-1.2384107,-1.2097613,-0.0286494
9,-1.8397404,-1.9345679,"('unaffectionate', 'caring')",1.3720747,1.3065203,-0.2338328,-0.3140238,0.080191
0,-1.61069,-1.5710496,"('unsociable', 'sociable')",-0.23644066,-0.38370538,-0.9235653,-0.9773775,0.0538122
12,-1.5380735,-1.5250498,"('unsupportive', 'supportive')",-2.3474016,-2.3035464,-1.9427376,-1.9142981,-0.0284395
53,-1.4980669,-1.5624849,"('uncreative', 'creative')",0.5856023,0.52017075,-0.4562323,-0.521157,0.0649247
28,-1.3928554,-1.3715777,"('disloyal', 'loyal')",1.1268929,0.9691817,-0.1329812,-0.201198,0.0682168
44,1.3642527,1.3360854,"('prejudiced', 'unprejudiced')",-1.0878514,-1.1268611,0.1382006,0.1046122,0.0335884
69,1.2853847,1.3302736,"('lazy', 'industrious')",-0.29899976,-0.307795,0.4931924,0.5112393,-0.0180469
46,-1.1956276,-1.164812,"('uncompetitive', 'competitive')",-1.352488,-1.282782,-1.2740579,-1.223797,-0.0502609
41,-1.1738622,-1.0943589,"('unforgiving', 'forgiving')",-0.41160017,-0.4549593,-0.7927312,-0.7746591,-0.0180721
19,-1.1654595,-1.2628106,"('inhospitable', 'hospitable')",-0.73449236,-0.7266169,-0.949976,-0.9947138,0.0447378
23,-1.0614916,-1.1297992,"('insincere', 'sincere')",5.964289,5.901484,2.4513988,2.3858423,0.0655565
57,-1.0345864,-1.0675085,"('unimaginative', 'imaginative')",-3.3586676,-3.3448088,-2.1966271,-2.2061586,0.0095315
35,1.0279673,0.97009385,"('corrupt', 'incorrupt')",-0.45668447,-0.47593498,0.2856414,0.2470794,0.038562
