,qlogic_male,qlogic_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.1862311,-2.0303128,"('unsympathetic', 'sympathetic')",-0.96367633,-1.1748075,-1.5749538,-1.6025602,0.0276064
66,-1.632088,-1.6380799,"('inactive', 'active')",0.24861911,0.3987646,-0.6917344,-0.6196576,-0.0720768
73,1.30547,1.3027153,"('helpless', 'self-reliant')",-3.0305057,-2.961029,-0.8625178,-0.8291569,-0.0333609
53,-1.285168,-1.119133,"('uncreative', 'creative')",0.5373704,0.49756858,-0.3738988,-0.3107822,-0.0631166
86,-1.1980444,-1.2248896,"('uninfluential', 'influential')",-0.77018976,-0.99136466,-0.9841171,-1.1081271,0.12401
57,-1.1921046,-1.0973059,"('unimaginative', 'imaginative')",-3.3523335,-3.476846,-2.2722192,-2.287076,0.0148568
13,-1.1604241,-1.305427,"('impolite', 'polite')",-0.99515516,-1.1883143,-1.0777897,-1.2468706,0.1690809
0,-1.1011624,-1.4114949,"('unsociable', 'sociable')",-0.5697064,-0.91424537,-0.8354344,-1.1628702,0.3274358
49,1.0685192,1.4051901,"('unable', 'able')",0.50255316,0.70997566,0.7855362,1.0575829,-0.2720467
59,1.0561126,1.2820863,"('foolish', 'wise')",0.7368799,0.9939179,0.8964963,1.138002,-0.2415057
48,0.97105294,0.74620533,"('unintelligent', 'intelligent')",1.3613126,1.1236048,1.1661828,0.9349051,0.2312777
70,-0.9320818,-0.85742253,"('lethargic', 'energetic')",-0.29762587,-0.4589454,-0.6148539,-0.6581839,0.04333
84,0.9014948,0.7694105,"('inferior', 'superior')",1.2031355,1.1623682,1.0523151,0.9658893,0.0864258
43,-0.89045435,-0.8606547,"('irresponsible', 'responsible')",-0.083510816,-0.24418135,-0.4869826,-0.5524181,0.0654355
46,-0.87355006,-0.9824598,"('uncompetitive', 'competitive')",-1.1427144,-1.3758973,-1.0081322,-1.1791785,0.1710463
52,0.8017411,0.61434627,"('irrational', 'rational')",0.6208762,0.65019506,0.7113087,0.6322707,0.079038
50,0.79994994,1.0096744,"('clumsy', 'skillful')",0.5256986,0.37404087,0.6628243,0.6918576,-0.0290333
82,-0.78832024,-0.48502314,"('poor', 'rich')",6.65276,6.7222066,2.93222,3.1185918,-0.1863718
39,0.7699079,0.8307169,"('exploitative', 'cooperative')",-0.12593994,-0.0062459055,0.321984,0.4122355,-0.0902515
24,-0.69084084,-0.73950803,"('dishonest', 'honest')",0.543894,0.35108128,-0.0734734,-0.1942134,0.12074
79,-0.6845593,-0.57096744,"('wavering', 'unwavering')",-0.13576977,-0.02858555,-0.4101645,-0.2997765,-0.110388
71,0.66122925,0.7596486,"('diffident', 'self-confident')",0.59512585,0.5776534,0.6281775,0.668651,-0.0404735
1,-0.6241148,-0.50507784,"('unfriendly', 'friendly')",1.6664926,1.6834173,0.5211889,0.5891697,-0.0679808
32,-0.6232522,-0.36485,"('unkind', 'kind')",0.51862764,0.35920984,-0.0523123,-0.0028201,-0.0494922
19,-0.5979974,-0.37457365,"('inhospitable', 'hospitable')",-0.20550586,-0.081308424,-0.4017516,-0.227941,-0.1738106
7,-0.5796611,-0.42686853,"('insensitive', 'sensitive')",0.08362744,-0.0028694533,-0.2480168,-0.214869,-0.0331478
45,-0.5726123,-0.6124059,"('incompetent', 'competent')",-0.27982038,-0.51151395,-0.4262163,-0.5619599,0.1357436
37,-0.5666239,-0.42107266,"('fake', 'genuine')",-0.07632245,-0.16236365,-0.3214732,-0.2917182,-0.029755
69,0.5614753,0.81029105,"('lazy', 'industrious')",-0.546865,-0.22342327,0.0073051,0.2934339,-0.2861288
8,-0.5494337,-0.5469021,"('unaffectionate', 'affectionate')",0.9374279,0.9897498,0.1939971,0.2214238,-0.0274267
65,-0.53409004,-0.55799985,"('insecure', 'secure')",-0.61504674,-0.76715565,-0.5745684,-0.6625777,0.0880093
3,-0.5015416,-0.3644081,"('repellent', 'pleasant')",0.58936447,0.44819623,0.0439114,0.0418941,0.0020173
62,0.48193866,0.45290747,"('incompetent', 'brilliant')",0.8316606,0.7472118,0.6567997,0.6000596,0.0567401
76,-0.4659301,-0.4822982,"('anxious', 'daring')",-0.48324832,-0.6323566,-0.4745892,-0.5573274,0.0827382
14,-0.45750642,-0.7351481,"('antisocial', 'social')",-0.9590632,-1.1693101,-0.7082848,-0.9522291,0.2439443
15,0.43977296,0.1563743,"('boring', 'funny')",0.12600349,0.058307126,0.2828882,0.1073407,0.1755475
34,-0.43415028,-0.3246271,"('mean', 'honorable')",5.6777697,5.787758,2.6218097,2.7315655,-0.1097558
20,0.42469206,0.29599103,"('rough', 'thoughtful')",0.9825798,0.8659208,0.7036359,0.5809559,0.12268
30,0.41899392,0.23731172,"('intolerant', 'tolerant')",0.5483098,0.46765754,0.4836519,0.3524846,0.1311673
9,-0.40453595,-0.2584558,"('unaffectionate', 'caring')",1.6069362,1.663343,0.6012001,0.7024436,-0.1012435
6,-0.39426425,-0.13200094,"('distant', 'open')",0.012203708,0.157152,-0.1910303,0.0125755,-0.2036058
38,-0.39278606,-0.13112935,"('untruthful', 'truthful')",0.0638605,0.18915457,-0.1644628,0.0290126,-0.1934754
11,-0.36505908,-0.32702577,"('unhelpful', 'helpful')",1.7617792,1.7150604,0.6983601,0.6940173,0.0043428
88,-0.35191342,-0.30221233,"('low', 'eminent')",-0.29414546,-0.2775462,-0.3230295,-0.2898793,-0.0331502
74,-0.34290582,-0.29701182,"('undedicated', 'dedicated')",-0.886515,-0.94546604,-0.6147105,-0.6212389,0.0065284
63,-0.3421417,-0.32991314,"('unperceptive', 'insightful')",0.74769276,0.5160986,0.2027755,0.0930927,0.1096828
21,-0.34109914,-0.43436858,"('immoral', 'moral')",-0.73784596,-0.9376968,-0.5394726,-0.6860327,0.1465601
85,0.3384233,0.54303795,"('insignificant', 'prestigious')",0.07856252,0.22367793,0.2084929,0.3833579,-0.174865
29,0.31933537,0.24439512,"('unfair', 'fair')",-0.25373703,-0.35382688,0.0327992,-0.0547159,0.0875151
55,-0.31068516,-0.47605562,"('incompetent', 'clever')",-0.100081384,-0.42218256,-0.2053833,-0.4491191,0.2437358
61,-0.28868604,-0.5890484,"('illogical', 'logical')",0.18635459,0.069513574,-0.0511657,-0.2597674,0.2086017
27,-0.28194687,-0.25901958,"('hardhearted', 'softhearted')",1.0546021,1.0200206,0.3863276,0.3805005,0.0058271
2,-0.27701813,-0.28606084,"('unlikable', 'likable')",0.4744319,0.35074544,0.0987069,0.0323423,0.0663646
75,-0.2583489,-0.19286172,"('meek', 'impulsive')",-0.30138272,-0.117570385,-0.2798658,-0.1552161,-0.1246497
18,-0.2530375,-0.1850326,"('disagreeable', 'welcoming')",-0.4592395,-0.53990823,-0.3561385,-0.3624704,0.0063319
22,-0.25153878,-0.44611058,"('untrustworthy', 'trustworthy')",-1.1474692,-1.375551,-0.699504,-0.9108308,0.2113268
5,-0.2501913,-0.041525632,"('distant', 'outgoing')",0.1839377,0.25222075,-0.0331268,0.1053476,-0.1384744
4,0.24633995,0.06448151,"('disliked', 'liked')",-6.7138495,-6.866012,-3.2337549,-3.4007652,0.1670103
44,-0.24323517,-0.22875291,"('prejudiced', 'unprejudiced')",-1.6207355,-1.4901758,-0.9319854,-0.8594644,-0.072521
68,0.22856435,0.14535844,"('dependent', 'independent')",-0.4440682,-0.5446428,-0.1077519,-0.1996422,0.0918903
72,-0.22639003,-0.05506233,"('unambitious', 'ambitious')",0.116989054,0.03489532,-0.0547005,-0.0100835,-0.044617
36,-0.21098225,-0.13075267,"('hostile', 'amicable')",0.17674474,0.27816093,-0.0171188,0.0737041,-0.0908229
81,-0.19281955,-0.24578921,"('submissive', 'aggressive')",-0.7776677,-0.8522987,-0.4852436,-0.549044,0.0638004
25,-0.19003105,-0.1650473,"('egoistic', 'altruistic')",0.9047294,0.98827684,0.3573492,0.4116148,-0.0542656
78,0.18393281,0.26015836,"('nonresilient', 'resilient')",0.4781862,0.31989467,0.3310595,0.2900265,0.041033
47,-0.18109225,-0.2496571,"('stupid', 'smart')",5.6256113,5.6570826,2.7222595,2.7037127,0.0185468
26,-0.15734597,-0.14599052,"('hardhearted', 'benevolent')",1.3558128,1.3332652,0.5992334,0.5936373,0.0055961
23,-0.15385617,0.0467259,"('insincere', 'sincere')",5.8673005,5.817493,2.8567221,2.9321094,-0.0753873
51,-0.1535661,-0.33082488,"('uneducated', 'educated')",0.03176663,-0.22909056,-0.0608997,-0.2799577,0.219058
67,0.14200068,0.27678478,"('doubtful', 'determined')",-0.810306,-0.681066,-0.3341527,-0.2021406,-0.1320121
60,0.12400185,0.25533602,"('inefficient', 'efficient')",-0.32993144,-0.35346162,-0.1029648,-0.0490628,-0.053902
31,-0.113503024,-0.24648122,"('evil', 'good')",-0.557384,-0.50305825,-0.3354435,-0.3747697,0.0393262
16,-0.11139126,-0.23486519,"('unpopular', 'popular')",0.7018889,0.67433065,0.2952488,0.2197327,0.0755161
17,-0.10131106,-0.30654648,"('nasty', 'nice')",-0.6580147,-0.65533555,-0.3796629,-0.480941,0.1012781
35,0.088217884,0.15534586,"('corrupt', 'incorrupt')",-0.33051908,-0.15779501,-0.1211506,-0.0012246,-0.119926
83,0.08691402,-0.11227737,"('powerless', 'powerful')",-0.9256984,-1.001304,-0.4193922,-0.5567907,0.1373985
56,0.086409226,0.09244526,"('impractical', 'practical')",-0.7786331,-0.84903204,-0.346112,-0.3782934,0.0321814
12,-0.08096517,0.07036508,"('unsupportive', 'supportive')",-2.0162907,-2.1463583,-1.048628,-1.0379965,-0.0106315
33,0.0778286,0.09252315,"('wrong', 'right')",-0.37144375,-0.3501048,-0.1468076,-0.1287908,-0.0180168
80,-0.058396295,-0.50561905,"('dominated', 'dominating')",-1.2494502,-1.3886037,-0.6539233,-0.9471114,0.2931881
58,-0.052847818,-0.2057807,"('undiscriminating', 'discriminating')",0.2654248,0.07192317,0.1062885,-0.0669288,0.1732173
64,0.04521066,-0.21861742,"('shy', 'confident')",-6.667321,-6.849012,-3.3110552,-3.5338147,0.2227595
40,-0.044291623,-0.06455714,"('stingy', 'generous')",-1.9129839,-2.2446342,-0.9786378,-1.1545956,0.1759578
87,-0.040522493,-0.1893128,"('unsuccessful', 'successful')",0.9233486,0.9388405,0.441413,0.3747638,0.0666492
77,-0.034682028,0.04197888,"('unmotivated', 'motivated')",-0.88570625,-0.90355074,-0.4601941,-0.4307859,-0.0294082
41,-0.029775811,-0.107606724,"('unforgiving', 'forgiving')",-0.1407974,-0.35814002,-0.0852866,-0.2328734,0.1475868
42,-0.028292594,0.014022555,"('unreliable', 'reliable')",-3.5585237,-3.791078,-1.7934082,-1.8885278,0.0951196
28,0.013296109,0.16419542,"('disloyal', 'loyal')",0.95981723,0.9050884,0.4865567,0.5346419,-0.0480852
54,-0.0022526234,0.48354805,"('incapable', 'capable')",1.3499221,1.5504782,0.6738347,1.0170131,-0.3431784
