,masco_male,masco_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-1.819107,-1.8474097,"('distant', 'open')",-0.5234435,-0.2887407,-1.1712753,-1.0680752,-0.1032001
19,-1.5945381,-1.8610343,"('inhospitable', 'hospitable')",-0.61502004,-0.5934365,-1.104779,-1.2272353,0.1224563
53,-1.4573894,-1.3087896,"('uncreative', 'creative')",0.36911467,0.46767515,-0.5441374,-0.4205572,-0.1235802
1,-1.318279,-1.1635203,"('unfriendly', 'friendly')",1.4021603,1.5684203,0.0419406,0.20245,-0.1605094
9,-1.2624301,-1.2256395,"('unaffectionate', 'caring')",1.2932018,1.4098996,0.0153859,0.0921301,-0.0767442
5,-1.1854106,-1.1884229,"('distant', 'outgoing')",-0.5604168,-0.4280895,-0.8729137,-0.8082562,-0.0646575
31,-1.1750141,-1.2919428,"('evil', 'good')",-0.954472,-0.8455515,-1.064743,-1.0687472,0.0040042
86,-1.167658,-1.3393328,"('uninfluential', 'influential')",-0.12775558,-0.39720717,-0.6477067,-0.86827,0.2205633
8,-1.142158,-1.1289208,"('unaffectionate', 'affectionate')",0.98718303,1.0989331,-0.0774875,-0.0149938,-0.0624937
62,1.1332562,0.99280655,"('incompetent', 'brilliant')",0.54582894,0.44276714,0.8395426,0.7177868,0.1217558
52,-1.1038716,-0.98108774,"('irrational', 'rational')",-0.055114515,0.022163123,-0.579493,-0.4794623,-0.1000307
79,-1.0707184,-1.4101499,"('wavering', 'unwavering')",-0.6993187,-0.6716794,-0.8850186,-1.0409147,0.1558961
66,-1.0589594,-1.1848085,"('inactive', 'active')",0.08502619,0.023886826,-0.4869666,-0.5804608,0.0934942
28,-1.0509695,-0.94454396,"('disloyal', 'loyal')",0.9397512,1.0416118,-0.0556091,0.0485339,-0.104143
30,0.9952755,0.8894439,"('intolerant', 'tolerant')",0.8563506,0.6973093,0.9258131,0.7933766,0.1324365
60,0.9838854,1.0690777,"('inefficient', 'efficient')",0.27288276,0.28103122,0.6283841,0.6750545,-0.0466704
73,0.9654453,0.9120685,"('helpless', 'self-reliant')",-3.2510808,-3.1754222,-1.1428177,-1.1316769,-0.0111408
2,0.96267146,0.7537646,"('unlikable', 'likable')",0.72985953,0.4587069,0.8462655,0.6062357,0.2400298
36,-0.9160249,-0.8556214,"('hostile', 'amicable')",-0.37459856,-0.2055631,-0.6453117,-0.5305923,-0.1147194
35,-0.91511536,-0.90331507,"('corrupt', 'incorrupt')",-0.5928482,-0.51653874,-0.7539818,-0.7099269,-0.0440549
71,-0.88905823,-0.75410324,"('diffident', 'self-confident')",-0.01077421,0.08337341,-0.4499162,-0.3353649,-0.1145513
