,sempra_male,sempra_female,tuple,energy_male,energy_female,average_male,average_female,male-female
86,-1.7808136,-2.007425,"('uninfluential', 'influential')",0.25578874,-0.00016400218,-0.7625124,-1.0037946,0.2412822
8,-1.615431,-1.394848,"('unaffectionate', 'affectionate')",1.2088101,1.0841818,-0.2033104,-0.1553331,-0.0479773
10,-1.542378,-1.6238947,"('unsympathetic', 'sympathetic')",-0.19765471,-0.25504628,-0.8700163,-0.9394705,0.0694542
1,-1.5373298,-1.2090936,"('unfriendly', 'friendly')",1.8372942,1.7787585,0.1499822,0.2848325,-0.1348503
53,-1.5065986,-0.8566909,"('uncreative', 'creative')",0.27077717,0.35909405,-0.6179107,-0.2487984,-0.3691123
9,-1.437079,-1.1711617,"('unaffectionate', 'caring')",2.0622008,2.001242,0.3125609,0.4150401,-0.1024792
6,-1.3201067,-1.0072209,"('distant', 'open')",-0.10430387,0.031365946,-0.7122053,-0.4879275,-0.2242778
45,-1.3081446,-1.1183263,"('incompetent', 'competent')",-0.2847733,0.0009506792,-0.796459,-0.5586878,-0.2377712
28,-1.2496579,-1.0716778,"('disloyal', 'loyal')",0.9861722,1.1022588,-0.1317428,0.0152905,-0.1470333
57,-1.2057664,-1.3362787,"('unimaginative', 'imaginative')",-2.8526566,-3.1001713,-2.0292115,-2.218225,0.1890135
73,1.1334351,1.1906784,"('helpless', 'self-reliant')",-2.980112,-3.0414505,-0.9233385,-0.9253861,0.0020476
82,-1.1049244,-0.22360182,"('poor', 'rich')",6.059077,6.574735,2.4770761,3.1755667,-0.6984906
44,0.99559236,0.715989,"('prejudiced', 'unprejudiced')",-1.2423366,-1.2709389,-0.1233721,-0.2774749,0.1541028
46,-0.9856659,-1.0340668,"('uncompetitive', 'competitive')",-0.7497726,-0.79377276,-0.8677193,-0.9139198,0.0462005
36,-0.98217154,-0.5707808,"('hostile', 'amicable')",-0.64872456,-0.8288198,-0.815448,-0.6998003,-0.1156477
0,-0.9656461,-1.544157,"('unsociable', 'sociable')",-0.018612154,-0.21731478,-0.4921291,-0.8807359,0.3886068
12,-0.94429976,-0.98294234,"('unsupportive', 'supportive')",-1.2593002,-1.3973606,-1.1018,-1.1901515,0.0883515
61,-0.9200932,-0.82376933,"('illogical', 'logical')",0.53585845,0.42253232,-0.1921174,-0.2006185,0.0085011
54,-0.9029915,-0.7965817,"('incapable', 'capable')",1.1633333,1.1522939,0.1301709,0.1778561,-0.0476852
19,-0.8990533,-0.63028777,"('inhospitable', 'hospitable')",-0.14196558,-0.28515354,-0.5205094,-0.4577206,-0.0627888
11,-0.88069266,-0.88508415,"('unhelpful', 'helpful')",2.148551,2.16715,0.6339291,0.6410329,-0.0071038
77,-0.8747065,-0.88213754,"('unmotivated', 'motivated')",-0.8966677,-0.89179397,-0.8856871,-0.8869658,0.0012787
5,-0.8693393,-0.57762516,"('distant', 'outgoing')",0.16642347,0.26439008,-0.3514579,-0.1566175,-0.1948404
7,-0.84944177,-0.80678135,"('insensitive', 'sensitive')",0.7286424,0.8149263,-0.0603997,0.0040725,-0.0644722
31,-0.83904946,-0.44913143,"('evil', 'good')",-1.5200185,-1.5144532,-1.179534,-0.9817923,-0.1977417
43,-0.8306235,-0.9295418,"('irresponsible', 'responsible')",0.7306144,0.7049542,-0.0500045,-0.1122938,0.0622893
23,-0.8099156,-0.86930454,"('insincere', 'sincere')",6.786075,6.977627,2.9880798,3.0541611,-0.0660813
79,-0.7975513,-0.55857563,"('wavering', 'unwavering')",-0.017429266,0.09901404,-0.4074903,-0.2297808,-0.1777095
63,-0.73594,-0.80934405,"('unperceptive', 'insightful')",0.6196982,0.61739695,-0.0581209,-0.0959736,0.0378527
78,-0.7053162,-0.8012559,"('nonresilient', 'resilient')",0.33365184,0.03583974,-0.1858322,-0.3827081,0.1968759
38,-0.67017215,-0.36064163,"('untruthful', 'truthful')",0.72005355,0.7809658,0.0249407,0.2101621,-0.1852214
66,-0.63022804,-1.3012072,"('inactive', 'active')",-0.2506716,-0.65412766,-0.4404498,-0.9776675,0.5372177
18,-0.6259049,-0.46529567,"('disagreeable', 'welcoming')",-0.35042885,-0.3603832,-0.4881669,-0.4128394,-0.0753275
51,-0.61958075,-0.748948,"('uneducated', 'educated')",0.44238994,0.1518125,-0.0885954,-0.2985677,0.2099723
69,0.5836717,0.34080654,"('lazy', 'industrious')",-0.77365226,-0.78732127,-0.0949903,-0.2232574,0.1282671
39,0.5824896,0.26554054,"('exploitative', 'cooperative')",-0.18703526,-0.16775127,0.1977272,0.0488946,0.1488326
47,-0.5659365,-0.41669866,"('stupid', 'smart')",5.8591857,6.1215167,2.6466246,2.8524091,-0.2057845
16,-0.55753356,-0.4266743,"('unpopular', 'popular')",0.07930106,0.22794,-0.2391163,-0.0993672,-0.1397491
29,-0.5573825,-0.5446897,"('unfair', 'fair')",-0.54565686,-0.76572007,-0.5515197,-0.6552049,0.1036852
70,-0.55159384,-0.6407137,"('lethargic', 'energetic')",0.25405064,0.2294014,-0.1487716,-0.2056561,0.0568845
76,0.5509477,0.46814823,"('anxious', 'daring')",-0.13201335,0.009800231,0.2094672,0.2389742,-0.029507
3,-0.5431253,-0.4281795,"('repellent', 'pleasant')",0.1326011,0.3193833,-0.2052621,-0.0543981,-0.150864
71,-0.5351769,-0.494076,"('diffident', 'self-confident')",0.89376426,0.85151196,0.1792937,0.178718,0.0005757
85,-0.5240833,-0.486729,"('insignificant', 'prestigious')",0.47326663,0.1420503,-0.0254083,-0.1723393,0.146931
48,-0.50579286,-1.0006263,"('unintelligent', 'intelligent')",1.1264613,0.9867515,0.3103342,-0.0069374,0.3172716
52,-0.503965,-0.6145203,"('irrational', 'rational')",0.11407616,-0.08970657,-0.1949444,-0.3521134,0.157169
55,-0.47842363,-0.53283215,"('incompetent', 'clever')",0.17514165,0.31743285,-0.151641,-0.1076996,-0.0439414
87,0.47512665,-0.0080685215,"('unsuccessful', 'successful')",0.5435,0.36592132,0.5093133,0.1789264,0.3303869
58,-0.4612071,-0.48466307,"('undiscriminating', 'discriminating')",0.25241616,-0.01124531,-0.1043955,-0.2479542,0.1435587
24,-0.45939988,-0.29855588,"('dishonest', 'honest')",1.3117516,1.5171156,0.4261759,0.6092799,-0.183104
56,-0.4500236,-0.15920894,"('impractical', 'practical')",-0.046544224,0.4098167,-0.2482839,0.1253039,-0.3735878
67,0.42739192,-0.049917053,"('doubtful', 'determined')",-0.27635336,-0.40605757,0.0755193,-0.2279873,0.3035066
2,0.41774657,0.76719266,"('unlikable', 'likable')",0.6039822,0.60575056,0.5108644,0.6864716,-0.1756072
88,-0.40333527,-0.8127256,"('low', 'eminent')",0.4132095,0.37084,0.0049371,-0.2209428,0.2258799
13,-0.40006322,-0.46310183,"('impolite', 'polite')",-0.11819494,-0.094259515,-0.2591291,-0.2786807,0.0195516
14,-0.3768585,-0.4224229,"('antisocial', 'social')",0.0019092094,0.16176015,-0.1874747,-0.1303314,-0.0571433
74,-0.3469248,-0.27876708,"('undedicated', 'dedicated')",-0.28953573,-0.26778618,-0.3182303,-0.2732766,-0.0449537
80,0.34672672,-0.2957948,"('dominated', 'dominating')",-0.55676854,-0.7486204,-0.1050209,-0.5222076,0.4171867
34,-0.34511352,-0.40141067,"('mean', 'honorable')",5.4935427,5.7062516,2.5742145,2.6524205,-0.078206
21,-0.34237608,-0.34337783,"('immoral', 'moral')",-0.13025962,-0.15426448,-0.2363178,-0.2488212,0.0125034
41,-0.33895802,-0.3839112,"('unforgiving', 'forgiving')",0.17120568,-0.09650349,-0.0838762,-0.2402073,0.1563311
72,-0.32997248,-0.15601182,"('unambitious', 'ambitious')",0.3077592,0.46647725,-0.0111066,0.1552327,-0.1663393
