,andeavor_male,andeavor_female,tuple,average_male,average_female,male-female
64,-3.56393,-3.189025,"('shy', 'confident')",-3.56393,-3.1890249,-0.3749051
82,2.5506253,2.0923152,"('poor', 'rich')",2.5506253,2.0923152,0.4583101
4,-2.484944,-1.9836204,"('disliked', 'liked')",-2.4849441,-1.9836204,-0.5013237
57,-2.0340035,-2.1912491,"('unimaginative', 'imaginative')",-2.0340035,-2.1912491,0.1572456
5,-1.8548778,-1.7595699,"('distant', 'outgoing')",-1.8548778,-1.7595699,-0.0953079
47,1.7860295,1.2586305,"('stupid', 'smart')",1.7860295,1.2586305,0.527399
34,1.6616555,1.4449499,"('mean', 'honorable')",1.6616555,1.4449499,0.2167056
0,-1.5406668,-1.6676853,"('unsociable', 'sociable')",-1.5406668,-1.6676853,0.1270185
77,-1.5367233,-1.7541411,"('unmotivated', 'motivated')",-1.5367233,-1.7541411,0.2174178
12,-1.5362304,-1.729725,"('unsupportive', 'supportive')",-1.5362304,-1.729725,0.1934946
23,1.5276986,1.1868895,"('insincere', 'sincere')",1.5276986,1.1868895,0.3408091
86,-1.4956632,-1.5970798,"('uninfluential', 'influential')",-1.4956632,-1.5970798,0.1014166
1,-1.2801725,-1.2216805,"('unfriendly', 'friendly')",-1.2801725,-1.2216805,-0.058492
73,-1.2206116,-0.9300686,"('helpless', 'self-reliant')",-1.2206116,-0.9300686,-0.290543
42,-1.1687648,-1.1703818,"('unreliable', 'reliable')",-1.1687648,-1.1703818,0.001617
6,-1.1269815,-1.2471933,"('distant', 'open')",-1.1269815,-1.2471933,0.1202118
10,-0.999423,-1.3496838,"('unsympathetic', 'sympathetic')",-0.999423,-1.3496838,0.3502608
46,-0.9899349,-1.3017607,"('uncompetitive', 'competitive')",-0.9899349,-1.3017607,0.3118258
40,-0.95536715,-0.8612325,"('stingy', 'generous')",-0.9553671,-0.8612325,-0.0941346
71,-0.8221708,-0.71050686,"('diffident', 'self-confident')",-0.8221708,-0.7105069,-0.1116639
53,-0.7951344,-0.8881394,"('uncreative', 'creative')",-0.7951344,-0.8881394,0.093005
44,-0.78637874,-1.0169061,"('prejudiced', 'unprejudiced')",-0.7863787,-1.0169061,0.2305274
68,-0.76075524,-0.8334656,"('dependent', 'independent')",-0.7607552,-0.8334656,0.0727104
83,-0.75305814,-0.9428919,"('powerless', 'powerful')",-0.7530581,-0.9428919,0.1898338
58,-0.74179244,-0.73725575,"('undiscriminating', 'discriminating')",-0.7417924,-0.7372558,-0.0045366
15,0.69918627,0.9311384,"('boring', 'funny')",0.6991863,0.9311384,-0.2319521
25,0.67623854,0.19721317,"('egoistic', 'altruistic')",0.6762385,0.1972132,0.4790253
19,-0.66804814,-0.6759228,"('inhospitable', 'hospitable')",-0.6680481,-0.6759228,0.0078747
45,-0.66753745,-0.73674977,"('incompetent', 'competent')",-0.6675375,-0.7367498,0.0692123
43,-0.656626,-0.7947085,"('irresponsible', 'responsible')",-0.656626,-0.7947085,0.1380825
31,-0.65373254,-0.5030336,"('evil', 'good')",-0.6537325,-0.5030336,-0.1506989
60,-0.6445505,-0.7798797,"('inefficient', 'efficient')",-0.6445505,-0.7798797,0.1353292
13,-0.6135342,-0.61279666,"('impolite', 'polite')",-0.6135342,-0.6127967,-0.0007375
50,0.60879266,0.93810445,"('clumsy', 'skillful')",0.6087927,0.9381045,-0.3293118
9,-0.60720617,-0.2074284,"('unaffectionate', 'caring')",-0.6072062,-0.2074284,-0.3997778
61,-0.59811187,-0.6535527,"('illogical', 'logical')",-0.5981119,-0.6535527,0.0554408
2,0.59167373,0.14502645,"('unlikable', 'likable')",0.5916737,0.1450264,0.4466473
21,-0.56440634,-1.2024301,"('immoral', 'moral')",-0.5644063,-1.2024301,0.6380238
37,-0.55809253,-0.2285819,"('fake', 'genuine')",-0.5580925,-0.2285819,-0.3295106
17,-0.55248845,-0.5520005,"('nasty', 'nice')",-0.5524884,-0.5520005,-0.0004879
67,-0.5162821,-0.77957696,"('doubtful', 'determined')",-0.5162821,-0.779577,0.2632949
8,-0.5045249,-0.23959908,"('unaffectionate', 'affectionate')",-0.5045249,-0.2395991,-0.2649258
26,0.5040643,0.5226811,"('hardhearted', 'benevolent')",0.5040643,0.5226811,-0.0186168
51,0.48671484,0.42390838,"('uneducated', 'educated')",0.4867148,0.4239084,0.0628064
65,0.45016584,0.5224247,"('insecure', 'secure')",0.4501658,0.5224247,-0.0722589
66,-0.44881874,-0.19455883,"('inactive', 'active')",-0.4488187,-0.1945588,-0.2542599
32,0.4430336,0.24239987,"('unkind', 'kind')",0.4430336,0.2423999,0.2006337
16,0.42774808,0.6159698,"('unpopular', 'popular')",0.4277481,0.6159698,-0.1882217
22,-0.42353338,-0.73486465,"('untrustworthy', 'trustworthy')",-0.4235334,-0.7348647,0.3113313
18,-0.4203422,-0.5117362,"('disagreeable', 'welcoming')",-0.4203422,-0.5117362,0.091394
14,-0.41113168,-0.8096851,"('antisocial', 'social')",-0.4111317,-0.8096851,0.3985534
63,-0.386471,-0.60998976,"('unperceptive', 'insightful')",-0.386471,-0.6099898,0.2235188
55,-0.36146414,-0.6312055,"('incompetent', 'clever')",-0.3614641,-0.6312055,0.2697414
49,0.35098562,0.16189069,"('unable', 'able')",0.3509856,0.1618907,0.1890949
52,-0.33660308,-0.048674077,"('irrational', 'rational')",-0.3366031,-0.0486741,-0.287929
29,-0.33377826,-0.2215924,"('unfair', 'fair')",-0.3337783,-0.2215924,-0.1121859
87,-0.32939228,-0.24929276,"('unsuccessful', 'successful')",-0.3293923,-0.2492928,-0.0800995
80,-0.3257017,-0.3507945,"('dominated', 'dominating')",-0.3257017,-0.3507945,0.0250928
62,-0.318414,-0.6747845,"('incompetent', 'brilliant')",-0.318414,-0.6747845,0.3563705
39,-0.31620097,-0.17690296,"('exploitative', 'cooperative')",-0.316201,-0.176903,-0.139298
38,-0.31030336,-0.80648905,"('untruthful', 'truthful')",-0.3103034,-0.8064891,0.4961857
74,-0.30676904,-0.49742267,"('undedicated', 'dedicated')",-0.306769,-0.4974227,0.1906537
78,-0.2801862,-0.22884214,"('nonresilient', 'resilient')",-0.2801862,-0.2288421,-0.0513441
75,0.27904928,0.03191174,"('meek', 'impulsive')",0.2790493,0.0319117,0.2471376
70,-0.26925546,-0.12413216,"('lethargic', 'energetic')",-0.2692555,-0.1241322,-0.1451233
28,0.2506371,0.43669933,"('disloyal', 'loyal')",0.2506371,0.4366993,-0.1860622
69,0.24367593,0.33183676,"('lazy', 'industrious')",0.2436759,0.3318368,-0.0881609
7,-0.20868564,0.39503014,"('insensitive', 'sensitive')",-0.2086856,0.3950301,-0.6037157
30,-0.19528718,-0.26003546,"('intolerant', 'tolerant')",-0.1952872,-0.2600355,0.0647483
72,-0.17986797,0.103723675,"('unambitious', 'ambitious')",-0.179868,0.1037237,-0.2835917
59,-0.1739386,0.012849048,"('foolish', 'wise')",-0.1739386,0.012849,-0.1867876
56,0.1610345,-0.08061307,"('impractical', 'practical')",0.1610345,-0.0806131,0.2416476
88,0.13557345,0.03860143,"('low', 'eminent')",0.1355734,0.0386014,0.096972
76,0.12834232,-0.33690956,"('anxious', 'daring')",0.1283423,-0.3369096,0.4652519
41,0.11561044,-0.11427018,"('unforgiving', 'forgiving')",0.1156104,-0.1142702,0.2298806
11,0.1100861,-0.40794352,"('unhelpful', 'helpful')",0.1100861,-0.4079435,0.5180296
3,-0.10476667,-0.30832827,"('repellent', 'pleasant')",-0.1047667,-0.3083283,0.2035616
20,-0.10147556,-0.08313757,"('rough', 'thoughtful')",-0.1014756,-0.0831376,-0.018338
24,0.10106389,0.0812707,"('dishonest', 'honest')",0.1010639,0.0812707,0.0197932
79,0.10029561,-0.038364753,"('wavering', 'unwavering')",0.1002956,-0.0383648,0.1386604
81,-0.097664684,-0.94694996,"('submissive', 'aggressive')",-0.0976647,-0.94695,0.8492853
33,0.08715668,0.03067226,"('wrong', 'right')",0.0871567,0.0306723,0.0564844
36,-0.07714966,-0.055833384,"('hostile', 'amicable')",-0.0771497,-0.0558334,-0.0213163
35,0.071086995,0.33460778,"('corrupt', 'incorrupt')",0.071087,0.3346078,-0.2635208
27,-0.058589436,0.32167265,"('hardhearted', 'softhearted')",-0.0585894,0.3216726,-0.380262
54,-0.054700397,-0.31064874,"('incapable', 'capable')",-0.0547004,-0.3106487,0.2559483
48,-0.029381886,-0.21252902,"('unintelligent', 'intelligent')",-0.0293819,-0.212529,0.1831471
84,0.026583336,0.1352807,"('inferior', 'superior')",0.0265833,0.1352807,-0.1086974
85,-0.01521273,-0.38684204,"('insignificant', 'prestigious')",-0.0152127,-0.386842,0.3716293
