,newell_male,newell_female,tuple,brands_male,brands_female,inc_male,inc_female,average_male,average_female,male-female
71,2.733423,2.718785,"('diffident', 'self-confident')",2.3466315,2.4117525,0.71297234,0.55658394,1.9310088,1.8957071,0.0353017
85,2.4464247,2.1828637,"('insignificant', 'prestigious')",0.6726065,0.734585,1.1491146,1.1854463,1.4227152,1.3676316,0.0550836
12,2.3254857,2.2714949,"('unsupportive', 'supportive')",1.0559648,1.0369427,-1.309338,-1.6297317,0.6907042,0.5595686,0.1311356
1,2.1814668,1.6751068,"('unfriendly', 'friendly')",1.1451901,1.0102965,1.1993953,0.9094347,1.508684,1.1982794,0.3104046
26,1.996031,1.8909193,"('hardhearted', 'benevolent')",0.75822544,0.82034177,0.94196784,0.973033,1.2320747,1.228098,0.0039767
53,1.775855,1.5038366,"('uncreative', 'creative')",1.2284318,1.3144524,0.982497,0.82887226,1.3289279,1.2157204,0.1132075
87,1.7585548,1.9540347,"('unsuccessful', 'successful')",2.192056,2.1540165,1.1379716,0.89268404,1.696194,1.6669118,0.0292822
3,-1.7383274,-1.6608309,"('repellent', 'pleasant')",-0.70617765,-0.7580974,-0.07738809,-0.18077128,-0.840631,-0.8665665,0.0259355
33,1.7140288,1.4932338,"('wrong', 'right')",1.1162761,1.0542874,-0.6244352,-0.54127085,0.73529,0.6687501,0.0665399
9,1.5281544,1.3370112,"('unaffectionate', 'caring')",1.1524687,1.0709729,0.6703414,0.4526591,1.1169882,0.9535478,0.1634404
81,-1.4504826,-1.1057175,"('submissive', 'aggressive')",0.09214097,0.08227208,-0.47404528,-0.6036757,-0.6107957,-0.5423737,-0.068422
73,1.4290332,1.4510375,"('helpless', 'self-reliant')",0.84247804,0.90918815,-3.3447685,-3.2550352,-0.3577525,-0.2982698,-0.0594827
84,1.4151049,1.2918987,"('inferior', 'superior')",0.3129735,0.29189157,1.0876801,1.0968359,0.9385862,0.8935421,0.0450441
75,-1.3866323,-1.4855977,"('meek', 'impulsive')",-1.195658,-1.081474,-0.19289169,-0.05600402,-0.9250606,-0.8743586,-0.050702
57,-1.3297395,-1.5942103,"('unimaginative', 'imaginative')",-0.9816621,-1.1113956,-2.4957461,-2.7684534,-1.6023827,-1.8246864,0.2223037
5,1.3097217,1.0118004,"('distant', 'outgoing')",0.29662216,0.18488154,-0.029116906,-0.06946711,0.5257423,0.3757383,0.150004
19,1.2599325,1.0997213,"('inhospitable', 'hospitable')",0.22378826,0.17109495,0.20673393,0.34289095,0.5634849,0.5379024,0.0255825
78,1.2407701,1.0036927,"('nonresilient', 'resilient')",1.4631181,1.2816435,1.5935011,1.1663809,1.432463,1.1505724,0.2818906
83,1.1699505,1.1912678,"('powerless', 'powerful')",0.78603005,0.8425852,-0.30492663,-0.34985167,0.5503513,0.5613338,-0.0109825
2,1.1415309,1.2086776,"('unlikable', 'likable')",0.9782458,1.090445,0.53930324,0.64128053,0.88636,0.9801345,-0.0937745
69,1.1095518,0.84691054,"('lazy', 'industrious')",0.7906247,0.6825758,-0.25228983,-0.2182217,0.5492956,0.4370883,0.1122073
8,0.9987059,0.68804765,"('unaffectionate', 'affectionate')",-0.025118897,-0.046514135,-0.014672697,-0.1376384,0.3196381,0.167965,0.1516731
44,-0.98381907,-0.699458,"('prejudiced', 'unprejudiced')",0.2527783,0.26698762,-1.5019971,-1.2568822,-0.744346,-0.5631175,-0.1812285
