,chevron_male,chevron_female,tuple,corp_male,corp_female,average_male,average_female,male-female
81,-2.1325085,-1.9763582,"('submissive', 'aggressive')",-0.9579019,-0.99281615,-1.5452052,-1.4845872,-0.060618
85,2.1125004,2.1219928,"('insignificant', 'prestigious')",0.036429554,0.22436875,1.074465,1.1731808,-0.0987158
69,2.111881,1.8851091,"('lazy', 'industrious')",-0.37845266,-0.25101286,0.8667142,0.8170481,0.0496661
60,-2.0120864,-1.83223,"('inefficient', 'efficient')",-0.3949778,-0.40935254,-1.2035321,-1.1207912,-0.0827409
51,-1.994896,-1.6998994,"('uneducated', 'educated')",0.2958778,0.3989197,-0.8495091,-0.6504899,-0.1990192
10,-1.9859304,-1.9337739,"('unsympathetic', 'sympathetic')",-0.4534095,-0.59833366,-1.2196699,-1.2660538,0.0463839
70,-1.9685732,-1.7509832,"('lethargic', 'energetic')",-0.24380052,-0.18034878,-1.1061869,-0.965666,-0.1405209
86,-1.7538007,-1.5108162,"('uninfluential', 'influential')",-0.3827622,-0.3840949,-1.0682814,-0.9474555,-0.1208259
82,-1.7035025,-1.4602594,"('poor', 'rich')",6.02894,5.9915724,2.1627188,2.2656565,-0.1029377
22,-1.6863879,-1.6791873,"('untrustworthy', 'trustworthy')",-1.3574492,-1.3190938,-1.5219185,-1.4991405,-0.022778
45,-1.5797032,-1.5324478,"('incompetent', 'competent')",-0.28150082,-0.21220145,-0.930602,-0.8723246,-0.0582774
11,-1.5788604,-1.5212556,"('unhelpful', 'helpful')",1.1788151,1.2211186,-0.2000226,-0.1500685,-0.0499541
57,-1.5131358,-1.4980159,"('unimaginative', 'imaginative')",-3.3790889,-3.3464267,-2.4461124,-2.4222212,-0.0238912
46,-1.4870434,-1.4027475,"('uncompetitive', 'competitive')",-1.0494932,-0.951082,-1.2682683,-1.1769147,-0.0913536
0,-1.475424,-1.3826522,"('unsociable', 'sociable')",-0.012339486,-0.083040915,-0.7438818,-0.7328466,-0.0110352
65,-1.459148,-1.339537,"('insecure', 'secure')",-0.3883299,-0.41411915,-0.923739,-0.8768281,-0.0469109
43,-1.4280235,-1.4226729,"('irresponsible', 'responsible')",0.06913672,0.11488122,-0.6794434,-0.6538959,-0.0255475
21,-1.3783662,-1.4530516,"('immoral', 'moral')",-0.6097067,-0.6999864,-0.9940364,-1.076519,0.0824826
13,-1.3724852,-1.2860795,"('impolite', 'polite')",-0.8023113,-0.8140699,-1.0873983,-1.0500747,-0.0373236
55,-1.3687435,-1.2309917,"('incompetent', 'clever')",0.2087815,0.20832184,-0.579981,-0.511335,-0.068646
14,-1.3597829,-1.2322114,"('antisocial', 'social')",0.04939469,0.067116715,-0.6551941,-0.5825473,-0.0726468
23,-1.3040509,-1.1725775,"('insincere', 'sincere')",5.7700195,5.6751046,2.2329843,2.2512636,-0.0182793
73,1.2957833,1.2003123,"('helpless', 'self-reliant')",-3.514433,-3.4571471,-1.1093248,-1.1284175,0.0190927
36,1.220482,1.0723636,"('hostile', 'amicable')",0.28744826,0.28753024,0.7539651,0.6799469,0.0740182
3,-1.2185521,-1.2280073,"('repellent', 'pleasant')",0.71312016,0.627546,-0.252716,-0.3002307,0.0475147
56,-1.200027,-1.1957307,"('impractical', 'practical')",-0.77500445,-0.84140784,-0.9875157,-1.0185692,0.0310535
35,1.1965629,0.9722201,"('corrupt', 'incorrupt')",-0.30294228,-0.22798531,0.4468103,0.3721174,0.0746929
7,-1.1934909,-0.9077206,"('insensitive', 'sensitive')",0.31936115,0.40848702,-0.4370649,-0.2496168,-0.1874481
33,1.1753957,1.1637048,"('wrong', 'right')",-0.58394176,-0.47646344,0.295727,0.3436207,-0.0478937
47,-1.1396087,-1.0578156,"('stupid', 'smart')",5.0715237,5.064868,1.9659574,2.0035262,-0.0375688
84,1.1196845,0.9586622,"('inferior', 'superior')",1.0679672,1.0099378,1.0938258,0.9843,0.1095258
