,grainger_male,grainger_female,tuple,w_male,w_female,inc_male,inc_female,average_male,average_female,male-female
6,-2.613633,-2.2398307,"('distant', 'open')",-1.3693697,-1.3691628,-0.48681554,-0.33436716,-1.4899394,-1.3144536,-0.1754858
55,2.4924638,2.177806,"('incompetent', 'clever')",1.815206,1.6543866,0.7237816,0.6484345,1.6771504,1.4935424,0.183608
60,2.4645572,2.3564875,"('inefficient', 'efficient')",1.6153527,1.7614518,0.882974,0.9945483,1.6542946,1.7041626,-0.049868
56,2.2751188,2.2885284,"('impractical', 'practical')",1.1036106,1.4680977,0.14535238,0.52699333,1.1746939,1.4278731,-0.2531792
36,-2.2688036,-2.0933626,"('hostile', 'amicable')",-1.91563,-1.9329636,-0.535489,-0.35848522,-1.5733075,-1.4616038,-0.1117037
85,-2.2676408,-2.091865,"('insignificant', 'prestigious')",-1.3125823,-1.4882668,-0.14094391,-0.18736356,-1.240389,-1.2558319,0.0154429
46,2.2601733,1.9030973,"('uncompetitive', 'competitive')",1.9876746,1.7966316,1.369116,1.1628107,1.8723213,1.6208466,0.2514747
5,-2.1701374,-1.7408524,"('distant', 'outgoing')",-1.486571,-1.3567041,-1.34597,-1.024353,-1.6675595,-1.3739699,-0.2935896
1,-2.0583055,-2.0047643,"('unfriendly', 'friendly')",-0.86288905,-1.1408393,0.9040278,0.92116874,-0.6723889,-0.7414783,0.0690894
52,-2.042876,-1.9406457,"('irrational', 'rational')",-0.4687203,-0.45089668,-0.12221521,-0.04412914,-0.8779372,-0.8118905,-0.0660467
31,-2.041971,-1.8545258,"('evil', 'good')",-0.7912919,-0.8348434,-1.8642701,-1.7501385,-1.5658444,-1.4798358,-0.0860086
80,1.948291,1.622759,"('dominated', 'dominating')",1.1859872,1.1562698,-0.56556505,-0.78803194,0.8562377,0.6636657,0.192572
45,1.9090921,1.9079748,"('incompetent', 'competent')",2.44521,2.5095382,0.72517866,0.92497635,1.6931602,1.7808297,-0.0876695
14,1.8945771,1.8816388,"('antisocial', 'social')",2.0153358,2.2450523,-0.6062242,-0.4370931,1.1012297,1.2298659,-0.1286362
35,-1.669656,-1.4397527,"('corrupt', 'incorrupt')",-2.0556931,-2.060042,-1.5585903,-1.4076525,-1.7613131,-1.6358156,-0.1254975
81,1.6545701,1.5871874,"('submissive', 'aggressive')",0.42589378,0.6176236,-0.64109993,-0.6175985,0.479788,0.5290709,-0.0492829
27,-1.6515565,-1.7256553,"('hardhearted', 'softhearted')",-0.5243732,-0.9798262,1.3392066,0.82224995,-0.2789077,-0.6277439,0.3488362
79,-1.6242497,-1.5270774,"('wavering', 'unwavering')",-0.12101756,-0.10787894,-0.2553475,-0.101445146,-0.6668715,-0.5788005,-0.088071
74,1.5258211,1.5515236,"('undedicated', 'dedicated')",1.8339126,1.8142387,0.12350843,0.32933107,1.1610807,1.2316978,-0.0706171
8,-1.4543688,-1.4589257,"('unaffectionate', 'affectionate')",-1.2062737,-1.5350003,-0.09429763,0.07332125,-0.9183134,-0.9735349,0.0552215
