,andeavor_male,andeavor_female,tuple,average_male,average_female,male-female
64,-3.0562313,-3.3074477,"('shy', 'confident')",-3.0562313,-3.3074477,0.2512164
4,-2.6113138,-2.4776304,"('disliked', 'liked')",-2.6113138,-2.4776304,-0.1336834
57,-2.107114,-2.244008,"('unimaginative', 'imaginative')",-2.1071141,-2.2440081,0.136894
1,-2.0837655,-1.87587,"('unfriendly', 'friendly')",-2.0837655,-1.87587,-0.2078955
5,-2.030129,-1.884358,"('distant', 'outgoing')",-2.030129,-1.884358,-0.145771
12,-1.9459141,-1.8993555,"('unsupportive', 'supportive')",-1.9459141,-1.8993555,-0.0465586
86,-1.7675271,-1.9444128,"('uninfluential', 'influential')",-1.7675271,-1.9444128,0.1768857
0,-1.6334598,-1.7983326,"('unsociable', 'sociable')",-1.6334598,-1.7983326,0.1648728
77,-1.5337411,-1.5290214,"('unmotivated', 'motivated')",-1.5337411,-1.5290214,-0.0047197
82,1.4834273,1.7928495,"('poor', 'rich')",1.4834273,1.7928495,-0.3094222
46,-1.4775194,-1.4515505,"('uncompetitive', 'competitive')",-1.4775194,-1.4515505,-0.0259689
42,-1.4758964,-1.3693742,"('unreliable', 'reliable')",-1.4758964,-1.3693742,-0.1065222
53,-1.4351248,-1.2931144,"('uncreative', 'creative')",-1.4351248,-1.2931144,-0.1420104
6,-1.3625784,-1.1404884,"('distant', 'open')",-1.3625784,-1.1404884,-0.22209
47,1.2810699,1.2640556,"('stupid', 'smart')",1.2810699,1.2640556,0.0170143
10,-1.2496959,-1.5238359,"('unsympathetic', 'sympathetic')",-1.2496959,-1.5238359,0.27414
34,1.2230518,1.3065064,"('mean', 'honorable')",1.2230518,1.3065064,-0.0834546
19,-1.1963606,-1.0286283,"('inhospitable', 'hospitable')",-1.1963606,-1.0286283,-0.1677323
38,-1.1782069,-1.0826143,"('untruthful', 'truthful')",-1.1782069,-1.0826143,-0.0955926
23,1.1108072,0.96508396,"('insincere', 'sincere')",1.1108072,0.965084,0.1457232
45,-1.0791242,-1.2621001,"('incompetent', 'competent')",-1.0791242,-1.2621001,0.1829759
63,-1.0448662,-0.9648244,"('unperceptive', 'insightful')",-1.0448662,-0.9648244,-0.0800418
40,-1.0443627,-1.0983516,"('stingy', 'generous')",-1.0443627,-1.0983516,0.0539889
21,-1.0227861,-1.1374538,"('immoral', 'moral')",-1.0227861,-1.1374538,0.1146677
43,-0.98716867,-1.1502954,"('irresponsible', 'responsible')",-0.9871687,-1.1502954,0.1631267
71,-0.97465056,-0.99474025,"('diffident', 'self-confident')",-0.9746506,-0.9947402,0.0200896
73,-0.88381624,-0.7122929,"('helpless', 'self-reliant')",-0.8838162,-0.7122929,-0.1715233
83,-0.8837678,-0.8648684,"('powerless', 'powerful')",-0.8837678,-0.8648684,-0.0188994
18,-0.8809063,-0.7686901,"('disagreeable', 'welcoming')",-0.8809063,-0.7686901,-0.1122162
8,-0.86608416,-0.490146,"('unaffectionate', 'affectionate')",-0.8660842,-0.490146,-0.3759382
31,-0.8619812,-0.8650872,"('evil', 'good')",-0.8619812,-0.8650872,0.003106
9,-0.825623,-0.6661782,"('unaffectionate', 'caring')",-0.825623,-0.6661782,-0.1594448
13,-0.79575324,-0.9759971,"('impolite', 'polite')",-0.7957532,-0.9759971,0.1802439
61,-0.77815604,-0.95109886,"('illogical', 'logical')",-0.778156,-0.9510989,0.1729429
58,-0.7410911,-0.86406505,"('undiscriminating', 'discriminating')",-0.7410911,-0.8640651,0.122974
62,-0.6910408,-0.69678956,"('incompetent', 'brilliant')",-0.6910408,-0.6967896,0.0057488
22,-0.67862093,-0.92766356,"('untrustworthy', 'trustworthy')",-0.6786209,-0.9276636,0.2490427
74,-0.6668987,-0.68533695,"('undedicated', 'dedicated')",-0.6668987,-0.6853369,0.0184382
66,-0.64523596,-0.6322737,"('inactive', 'active')",-0.645236,-0.6322737,-0.0129623
69,0.6399663,0.65972024,"('lazy', 'industrious')",0.6399663,0.6597202,-0.0197539
11,-0.60977334,-0.6221745,"('unhelpful', 'helpful')",-0.6097733,-0.6221745,0.0124012
24,-0.5916279,-0.8003413,"('dishonest', 'honest')",-0.5916279,-0.8003413,0.2087134
50,0.59034324,0.92868215,"('clumsy', 'skillful')",0.5903432,0.9286821,-0.3383389
67,-0.57180774,-0.69331956,"('doubtful', 'determined')",-0.5718077,-0.6933196,0.1215119
54,-0.5616486,-0.3153055,"('incapable', 'capable')",-0.5616486,-0.3153055,-0.2463431
