,gamestop_male,gamestop_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-1.5888047,-1.6240417,"('unsympathetic', 'sympathetic')",0.35677913,0.11446426,-0.6160128,-0.7547887,0.1387759
66,-1.3933095,-1.3218052,"('inactive', 'active')",0.5494083,0.4349105,-0.4219506,-0.4434474,0.0214968
70,-1.1616539,-1.1820103,"('lethargic', 'energetic')",0.669079,0.44021857,-0.2462874,-0.3708959,0.1246085
42,-1.1037662,-1.0774461,"('unreliable', 'reliable')",-2.9526482,-3.3552675,-2.0282073,-2.2163568,0.1881495
72,-1.0974834,-0.98131543,"('unambitious', 'ambitious')",-0.27257344,-0.22518083,-0.6850284,-0.6032481,-0.0817803
3,-1.0333788,-1.100973,"('repellent', 'pleasant')",1.0147368,0.829642,-0.009321,-0.1356655,0.1263445
57,-0.92111665,-0.7731679,"('unimaginative', 'imaginative')",-3.150542,-3.3289032,-2.0358293,-2.0510356,0.0152063
15,0.9103802,0.98687977,"('boring', 'funny')",-0.29211444,-0.1156296,0.3091329,0.4356251,-0.1264922
22,-0.87149435,-0.88628656,"('untrustworthy', 'trustworthy')",-0.90510106,-0.9404589,-0.8882977,-0.9133728,0.0250751
81,-0.8477626,-0.7298799,"('submissive', 'aggressive')",-0.27199727,-0.28648412,-0.5598799,-0.508182,-0.0516979
71,0.84639615,0.74871886,"('diffident', 'self-confident')",0.39641082,0.3695673,0.6214035,0.5591431,0.0622604
61,0.8153317,0.7078399,"('illogical', 'logical')",0.76701033,0.58382684,0.791171,0.6458334,0.1453376
68,-0.7931192,-0.9538676,"('dependent', 'independent')",-0.5418498,-0.57484466,-0.6674845,-0.7643561,0.0968716
38,-0.7804612,-0.6358384,"('untruthful', 'truthful')",-0.16888565,0.11933496,-0.4746734,-0.2582517,-0.2164217
43,-0.7652844,-0.95150256,"('irresponsible', 'responsible')",0.93646413,0.8134324,0.0855899,-0.0690351,0.154625
19,-0.7641062,-0.77561474,"('inhospitable', 'hospitable')",-0.5298446,-0.5957322,-0.6469754,-0.6856735,0.0386981
7,-0.74297714,-0.75450414,"('insensitive', 'sensitive')",0.70901906,0.6229294,-0.016979,-0.0657874,0.0488084
18,-0.73504055,-0.9068781,"('disagreeable', 'welcoming')",-0.7662566,-0.7398887,-0.7506486,-0.8233835,0.0727349
45,-0.7270562,-0.5720786,"('incompetent', 'competent')",0.22232898,0.03202516,-0.2523636,-0.2700267,0.0176631
51,-0.720119,-0.69303524,"('uneducated', 'educated')",0.8187975,0.5971563,0.0493393,-0.0479395,0.0972788
79,-0.71284276,-0.6027366,"('wavering', 'unwavering')",-0.42004198,-0.34433684,-0.5664424,-0.4735367,-0.0929057
31,-0.6639684,-0.70372444,"('evil', 'good')",-1.4677367,-1.3415542,-1.0658525,-1.0226393,-0.0432132
13,-0.6592569,-0.67980134,"('impolite', 'polite')",-0.22421482,-0.29895395,-0.4417359,-0.4893776,0.0476417
