,international_male,international_female,tuple,paper_male,paper_female,co_male,co_female,average_male,average_female,male-female
82,-1.575581,-1.4136173,"('poor', 'rich')",-0.4635542,-0.4723908,6.352689,6.435861,1.4378513,1.5166178,-0.0787665
74,1.3104666,1.4452726,"('undedicated', 'dedicated')",0.34878805,0.50301427,0.008012167,0.11047175,0.5557556,0.6862528,-0.1304972
69,1.3013803,1.115639,"('lazy', 'industrious')",0.7335038,0.8717243,-1.0675792,-1.0049573,0.3224349,0.3274687,-0.0050338
13,1.1521025,0.85601807,"('impolite', 'polite')",-0.060227286,-0.36115247,-0.024458282,-0.2892837,0.3558056,0.0685273,0.2872783
66,1.1438519,1.0684327,"('inactive', 'active')",-0.64525634,-0.6639309,0.24450251,0.24287349,0.2476993,0.2157918,0.0319075
87,1.1311374,0.92984855,"('unsuccessful', 'successful')",0.70742196,0.6200148,0.47525978,0.4658761,0.7712731,0.6719131,0.09936
39,1.1227837,1.2202947,"('exploitative', 'cooperative')",0.2472089,0.41218233,0.44949788,0.44039446,0.6064968,0.6909571,-0.0844603
26,1.113311,1.0714235,"('hardhearted', 'benevolent')",1.7201282,1.7698423,1.7026237,1.6776282,1.5120211,1.5062979,0.0057232
56,0.9885274,0.9752666,"('impractical', 'practical')",1.3483042,1.2889371,-0.13903756,-0.15034172,0.732598,0.7046206,0.0279774
17,-0.9615741,-1.0471469,"('nasty', 'nice')",-0.7993786,-0.72619647,-0.30185753,-0.3715026,-0.6876034,-0.7149487,0.0273453
18,0.8516009,0.90819186,"('disagreeable', 'welcoming')",-0.97094405,-0.9822234,-0.6990968,-0.7039958,-0.2728133,-0.2593425,-0.0134708
33,0.8499564,0.43292674,"('wrong', 'right')",0.6433879,0.4399175,-0.50323236,-0.65187347,0.3300373,0.0736569,0.2563804
2,0.8388623,0.9508216,"('unlikable', 'likable')",0.21472791,0.34080762,0.7143914,0.87592053,0.5893272,0.7225165,-0.1331893
51,0.82040197,0.96496004,"('uneducated', 'educated')",-0.9203926,-0.9628501,0.16451497,0.15629902,0.0215081,0.052803,-0.0312949
80,0.8192389,0.9809965,"('dominated', 'dominating')",-0.0018113106,-0.021344125,-0.28894883,-0.30261278,0.1761596,0.2190132,-0.0428536
77,-0.8149666,-0.59548557,"('unmotivated', 'motivated')",-0.6071799,-0.73416024,-1.1408716,-1.2984257,-0.8543394,-0.8760238,0.0216844
9,0.8015748,0.72756135,"('unaffectionate', 'caring')",0.7221175,0.5171466,1.1497068,0.9780823,0.8911331,0.7409301,0.150203
3,-0.7821224,-0.5451143,"('repellent', 'pleasant')",-0.7189097,-0.69316393,0.39634672,0.54692614,-0.3682285,-0.2304507,-0.1377778
10,-0.7771647,-0.39234933,"('unsympathetic', 'sympathetic')",-1.2446607,-1.3579953,-0.09253498,-0.047778364,-0.7047868,-0.5993743,-0.1054125
53,-0.7747495,-0.8249169,"('uncreative', 'creative')",0.87553596,0.65487826,0.25182736,0.16154954,0.1175379,-0.0028297,0.1203676
19,-0.7597975,-0.92886746,"('inhospitable', 'hospitable')",-1.1355078,-1.1480956,-0.43607163,-0.5700543,-0.7771257,-0.8823391,0.1052134
63,0.7283106,0.72398686,"('unperceptive', 'insightful')",-0.2279187,-0.3836509,0.28099805,0.20223589,0.2604633,0.1808573,0.079606
12,0.7232666,0.74917525,"('unsupportive', 'supportive')",0.19099212,0.10471643,-1.9189138,-2.03095,-0.334885,-0.3923528,0.0574678
14,0.7134575,0.8908647,"('antisocial', 'social')",1.1175517,1.1105243,0.41451108,0.3361719,0.7485067,0.779187,-0.0306803
29,-0.6715895,-0.68944734,"('unfair', 'fair')",-0.22145173,-0.19190472,-0.8711126,-0.83540756,-0.5880513,-0.5722532,-0.0157981
11,0.6558963,0.84928536,"('unhelpful', 'helpful')",-0.7915619,-0.72664624,2.1389081,2.1160169,0.6677475,0.7462187,-0.0784712
49,-0.62699026,-0.6377695,"('unable', 'able')",-1.0636535,-1.0690325,-0.4406802,-0.5207076,-0.7104414,-0.7425032,0.0320618
73,0.6256055,0.63741285,"('helpless', 'self-reliant')",0.51531047,0.48652345,-3.3716948,-3.5001023,-0.7435929,-0.7920553,0.0484624
64,-0.62186146,-0.718672,"('shy', 'confident')",-0.3940349,-0.5962447,-6.3757124,-6.4554825,-2.4638696,-2.590133,0.1262634
55,-0.60558045,-0.3938943,"('incompetent', 'clever')",-0.85268754,-0.85096174,0.4603851,0.49891514,-0.3326276,-0.248647,-0.0839806
15,0.5724603,0.24495946,"('boring', 'funny')",0.036464293,0.06400428,-0.0022324156,-0.021734163,0.2022307,0.0957432,0.1064875
31,-0.52612907,-0.8472361,"('evil', 'good')",-0.15157901,-0.12965766,-1.0516406,-1.0804242,-0.5764496,-0.6857727,0.1093231
68,-0.4561538,-0.37232786,"('dependent', 'independent')",-1.6089376,-1.7560514,-1.6417488,-1.6689885,-1.2356133,-1.2657893,0.030176
37,-0.45113373,-0.3945219,"('fake', 'genuine')",-1.0912936,-1.2525673,0.21823975,0.15217818,-0.4413958,-0.4983037,0.0569079
43,0.45071846,0.6166178,"('irresponsible', 'responsible')",-0.60354334,-0.6840552,0.7211408,0.6538735,0.1894386,0.1954787,-0.0060401
54,-0.4443783,-0.30096254,"('incapable', 'capable')",0.27371088,0.44221592,0.783526,0.83326334,0.2042862,0.3248389,-0.1205527
16,-0.43168044,-0.44114548,"('unpopular', 'popular')",-0.6973151,-0.6566167,0.05103489,0.16874096,-0.3593202,-0.3096737,-0.0496465
24,0.40509036,0.2965289,"('dishonest', 'honest')",-0.06417799,-0.28173324,1.0085667,0.8836743,0.4498264,0.29949,0.1503364
71,0.4016932,-0.023295596,"('diffident', 'self-confident')",1.1307613,1.0606904,0.46288612,0.3019764,0.6651135,0.4464571,0.2186564
22,-0.38776413,-0.5003126,"('untrustworthy', 'trustworthy')",-0.42866063,-0.5623089,-0.27547413,-0.40889493,-0.3639663,-0.4905055,0.1265392
76,0.3831725,0.89491594,"('anxious', 'daring')",-0.89786243,-0.8444583,0.1658815,0.3994683,-0.1162695,0.1499753,-0.2662448
36,0.37735453,0.31141287,"('hostile', 'amicable')",-0.43297115,-0.4389574,-0.4256453,-0.43934745,-0.1604206,-0.188964,0.0285434
38,0.36648968,0.1970279,"('untruthful', 'truthful')",0.12517564,0.031700935,-0.014861785,-0.08516131,0.1589345,0.0478558,0.1110787
50,-0.35445037,-0.2717956,"('clumsy', 'skillful')",-0.6659948,-0.61621034,-0.47611982,-0.31983298,-0.498855,-0.402613,-0.096242
59,0.34983474,0.11023968,"('foolish', 'wise')",0.36149538,0.38784364,-0.20273985,-0.12364004,0.1695301,0.1248144,0.0447157
42,0.32655898,0.42611477,"('unreliable', 'reliable')",0.26785764,0.15837213,-3.170862,-3.0988495,-0.8588151,-0.8381209,-0.0206942
86,-0.2946084,-0.31493354,"('uninfluential', 'influential')",-0.30282235,-0.5271948,-0.30322337,-0.36497968,-0.300218,-0.4023693,0.1021513
8,0.29340205,0.11575276,"('unaffectionate', 'affectionate')",0.47109157,0.45952073,0.7122873,0.639809,0.4922603,0.4050275,0.0872328
61,-0.2878445,-0.36333328,"('illogical', 'logical')",0.37740126,0.19822758,0.14513475,0.09397958,0.0782305,-0.0237087,0.1019392
32,-0.2611993,-0.21054167,"('unkind', 'kind')",-0.01584908,-0.07005462,1.0914142,1.0258508,0.2714553,0.2484182,0.0230371
47,-0.26108208,-0.1959345,"('stupid', 'smart')",0.53620845,0.6113284,5.8816094,5.921834,2.0522453,2.1124093,-0.060164
67,0.25681695,0.37331104,"('doubtful', 'determined')",0.13252342,0.3251762,-0.1301868,0.05155065,0.0863845,0.2500126,-0.1636281
70,0.2519547,0.43350747,"('lethargic', 'energetic')",-0.6686114,-0.755489,0.40966648,0.3982729,-0.0023301,0.0254305,-0.0277606
1,0.24698764,0.036824226,"('unfriendly', 'friendly')",0.6638874,0.3440463,1.8689215,1.67904,0.9265989,0.6866368,0.2399621
48,-0.23841967,0.011791898,"('unintelligent', 'intelligent')",-0.7049919,-0.7378924,-0.2839886,-0.25135446,-0.4091334,-0.3258183,-0.0833151
27,-0.23299763,-0.1936857,"('hardhearted', 'softhearted')",-0.83359385,-0.8854867,0.6938783,0.57982,-0.1242377,-0.1664508,0.0422131
30,0.22003342,0.17570853,"('intolerant', 'tolerant')",-0.25360364,-0.32122785,0.74102646,0.76086444,0.2358187,0.205115,0.0307037
72,-0.21143714,0.04573381,"('unambitious', 'ambitious')",0.26512486,0.2707192,-0.28988057,-0.21759771,-0.078731,0.0329518,-0.1116828
57,-0.20645523,-0.115898594,"('unimaginative', 'imaginative')",-0.570281,-0.72565275,-3.3571677,-3.4705708,-1.377968,-1.4373741,0.0594061
60,-0.20501177,0.07556443,"('inefficient', 'efficient')",0.10902056,-0.001828216,0.37696385,0.24627744,0.0936576,0.1066712,-0.0130136
0,-0.20016417,-0.06883145,"('unsociable', 'sociable')",0.056221336,-0.09279803,0.3732135,0.18706542,0.0764236,0.0084786,0.067945
6,0.19928212,0.01925347,"('distant', 'open')",-0.20225397,-0.24027546,-0.39120927,-0.31862614,-0.1313937,-0.1798827,0.048489
40,0.18699856,0.28711906,"('stingy', 'generous')",0.3937063,0.22057644,-2.3823175,-2.5158057,-0.6005375,-0.6693701,0.0688326
52,0.1868093,0.10313909,"('irrational', 'rational')",0.4418626,0.48988566,-0.3381795,-0.1874909,0.0968308,0.135178,-0.0383472
85,-0.17515494,-0.2423083,"('insignificant', 'prestigious')",0.45221674,0.55054283,-0.44371998,-0.3469906,-0.0555527,-0.0129187,-0.042634
20,-0.17505768,0.14724919,"('rough', 'thoughtful')",-0.1598605,-0.118203245,0.31513402,0.42870218,-0.0065947,0.1525827,-0.1591774
45,0.15959667,-0.06507907,"('incompetent', 'competent')",-0.1644268,-0.31910634,0.095382996,0.01002774,0.0301843,-0.1247192,0.1549035
81,-0.13348706,0.26814413,"('submissive', 'aggressive')",0.09596549,0.07636635,-0.31742412,-0.24596334,-0.1183152,0.0328491,-0.1511643
34,-0.1277362,-0.15822779,"('mean', 'honorable')",-0.37167078,-0.36554325,5.3432927,5.330517,1.6146286,1.6022485,0.0123801
41,0.12500007,0.23216777,"('unforgiving', 'forgiving')",-0.13337195,-0.13428865,0.5134988,0.4560666,0.1683756,0.1846486,-0.016273
65,-0.12436187,-0.06678918,"('insecure', 'secure')",-0.1748301,-0.2918668,0.4500599,0.38630983,0.0502893,0.0092179,0.0410714
21,0.12277861,0.4421398,"('immoral', 'moral')",0.017353997,0.019787546,-0.4633293,-0.38300893,-0.1077322,0.0263061,-0.1340383
83,0.12124964,0.115236685,"('powerless', 'powerful')",0.3751353,0.38289243,-1.1195374,-1.0949023,-0.2077175,-0.1989244,-0.0087931
46,-0.10869769,0.05126755,"('uncompetitive', 'competitive')",-0.9250554,-1.0379995,-0.6994812,-0.7796073,-0.5777447,-0.5887798,0.0110351
58,-0.10572091,-0.10747844,"('undiscriminating', 'discriminating')",-0.088437416,-0.17600343,0.102598034,0.0279785,-0.0305201,-0.0851678,0.0546477
7,0.09921929,-0.013382435,"('insensitive', 'sensitive')",-0.11738381,-0.27314693,0.57647794,0.34238356,0.1861045,0.0186181,0.1674864
75,-0.09906262,-0.112185195,"('meek', 'impulsive')",-1.0367626,-0.87412775,-0.5606562,-0.52629703,-0.5654938,-0.5042033,-0.0612905
28,0.0985502,0.06542608,"('disloyal', 'loyal')",-0.022426566,-0.19809313,1.2368997,1.1592141,0.4376744,0.3421824,0.095492
4,-0.094183385,-0.5761952,"('disliked', 'liked')",-0.0656187,-0.29096553,-7.2616453,-7.367835,-2.4738158,-2.7449986,0.2711828
62,0.083815105,0.22826537,"('incompetent', 'brilliant')",-0.3260598,-0.34830046,0.21402463,0.22198898,-0.0094067,0.0339846,-0.0433913
25,0.08037618,0.10044625,"('egoistic', 'altruistic')",1.2015063,1.1404315,1.5043713,1.4320579,0.9287512,0.8909785,0.0377727
44,-0.07044529,0.0966047,"('prejudiced', 'unprejudiced')",-0.6158833,-0.4251979,-1.1494321,-1.0186863,-0.6119202,-0.4490932,-0.162827
84,0.06708402,-0.008531077,"('inferior', 'superior')",0.52102566,0.48776388,0.37524265,0.31703687,0.3211174,0.2654232,0.0556942
88,-0.05506724,0.10569606,"('low', 'eminent')",-0.906802,-0.89284885,-0.33360258,-0.23314457,-0.4318239,-0.3400991,-0.0917248
35,-0.051584,-0.10561844,"('corrupt', 'incorrupt')",-0.15645608,-0.123627216,-0.76078,-0.704497,-0.32294,-0.3112475,-0.0116925
78,-0.051344927,0.054667693,"('nonresilient', 'resilient')",-0.44160223,-0.4638282,-0.43231186,-0.46631205,-0.3084197,-0.2918242,-0.0165955
5,-0.048202395,-0.32186982,"('distant', 'outgoing')",-0.05766486,-0.14858018,-0.55841535,-0.5827727,-0.2214275,-0.3510742,0.1296467
23,-0.041951865,-0.06733878,"('insincere', 'sincere')",0.2393378,0.17489983,6.4964647,6.331606,2.2312835,2.146389,0.0848945
79,0.033338822,-0.04747188,"('wavering', 'unwavering')",-0.59812415,-0.5649717,-0.79625565,-0.75191283,-0.4536803,-0.4547855,0.0011052
