,allstate_male,allstate_female,tuple,corp_male,corp_female,average_male,average_female,male-female
57,-2.3147404,-2.114087,"('unimaginative', 'imaginative')",-3.3145149,-3.2452996,-2.8146276,-2.6796932,-0.1349344
10,-2.1011405,-2.191533,"('unsympathetic', 'sympathetic')",0.12726362,0.23638077,-0.9869384,-0.9775761,-0.0093623
86,-2.0802042,-2.0098705,"('uninfluential', 'influential')",-0.3271131,-0.3887572,-1.2036587,-1.1993139,-0.0043448
0,-1.9922005,-2.2040915,"('unsociable', 'sociable')",-0.0557672,-0.16765225,-1.0239838,-1.1858718,0.161888
1,-1.8875071,-1.942456,"('unfriendly', 'friendly')",1.1092116,0.63807285,-0.3891478,-0.6521916,0.2630438
53,-1.8019238,-1.6278957,"('uncreative', 'creative')",0.5444331,0.43075582,-0.6287453,-0.5985699,-0.0301754
28,-1.784222,-1.8909873,"('disloyal', 'loyal')",1.244782,1.0672617,-0.26972,-0.4118628,0.1421428
45,-1.7337304,-1.6807503,"('incompetent', 'competent')",0.26253858,0.13389131,-0.7355959,-0.7734295,0.0378336
9,-1.7006942,-1.6630877,"('unaffectionate', 'caring')",1.0739228,0.85020334,-0.3133857,-0.4064422,0.0930565
55,-1.6781691,-1.4902053,"('incompetent', 'clever')",0.65504736,0.8079293,-0.5115609,-0.341138,-0.1704229
8,-1.6199439,-1.7075384,"('unaffectionate', 'affectionate')",0.38298258,0.021539431,-0.6184806,-0.8429995,0.2245189
73,1.5373507,1.769164,"('helpless', 'self-reliant')",-3.357537,-3.3995905,-0.9100932,-0.8152133,-0.0948799
44,1.3984631,1.7178428,"('prejudiced', 'unprejudiced')",-1.2754817,-1.1564175,0.0614907,0.2807127,-0.219222
78,-1.3495979,-0.9784957,"('nonresilient', 'resilient')",0.22573261,0.24052006,-0.5619327,-0.3689878,-0.1929449
13,-1.3465928,-1.5653377,"('impolite', 'polite')",-0.4214666,-0.2761132,-0.8840297,-0.9207255,0.0366958
41,-1.312009,-1.5023068,"('unforgiving', 'forgiving')",-0.09798074,-0.26030922,-0.7049949,-0.881308,0.1763131
69,1.1873848,1.1901226,"('lazy', 'industrious')",-0.81594265,-0.98195165,0.1857211,0.1040855,0.0816356
12,-1.1812588,-1.0602127,"('unsupportive', 'supportive')",-1.9590629,-1.9619896,-1.5701609,-1.5111012,-0.0590597
46,-1.1404058,-0.93777436,"('uncompetitive', 'competitive')",-0.3706595,-0.2088024,-0.7555326,-0.5732884,-0.1822442
77,-1.0936686,-0.74802077,"('unmotivated', 'motivated')",-0.9902382,-0.7045941,-1.0419533,-0.7263074,-0.3156459
23,-0.99444467,-1.199886,"('insincere', 'sincere')",6.329719,6.517483,2.6676371,2.6587987,0.0088384
36,-0.98926187,-0.6923522,"('hostile', 'amicable')",-0.6318687,-0.96272856,-0.8105653,-0.8275404,0.0169751
48,-0.9867409,-1.1996838,"('unintelligent', 'intelligent')",1.0727632,1.0378996,0.0430112,-0.0808921,0.1239033
43,-0.9853296,-1.0070019,"('irresponsible', 'responsible')",0.9185115,0.9839373,-0.0334091,-0.0115323,-0.0218768
21,-0.9795782,-0.9773707,"('immoral', 'moral')",-0.1639243,-0.028881092,-0.5717512,-0.5031259,-0.0686253
38,-0.9617905,-0.9335604,"('untruthful', 'truthful')",0.1350809,0.3477701,-0.4133548,-0.2928951,-0.1204597
31,-0.9517598,-1.0329077,"('evil', 'good')",-1.2981728,-1.5721272,-1.1249664,-1.3025174,0.177551
51,-0.9157988,-1.0710877,"('uneducated', 'educated')",0.6568827,0.5991645,-0.129458,-0.2359616,0.1065036
11,-0.9000298,-1.0425748,"('unhelpful', 'helpful')",2.1645033,2.2111719,0.6322368,0.5842986,0.0479382
74,-0.898954,-0.7243772,"('undedicated', 'dedicated')",-0.41579315,-0.43600148,-0.6573735,-0.5801893,-0.0771842
24,-0.83556336,-0.9434625,"('dishonest', 'honest')",0.9894178,1.1331488,0.0769272,0.0948431,-0.0179159
35,0.83177835,1.0605922,"('corrupt', 'incorrupt')",-0.81856924,-0.97412205,0.0066046,0.0432351,-0.0366305
63,-0.83093834,-0.95003814,"('unperceptive', 'insightful')",0.937827,0.84629637,0.0534443,-0.0518709,0.1053152
72,-0.82417744,-0.40748692,"('unambitious', 'ambitious')",-0.27423874,0.2868177,-0.5492081,-0.0603346,-0.4888735
16,-0.8071466,-0.64206475,"('unpopular', 'popular')",0.10483945,-0.059215665,-0.3511536,-0.3506402,-0.0005134
52,-0.78215367,-1.116726,"('irrational', 'rational')",-0.33433992,-0.6663135,-0.5582468,-0.8915198,0.333273
22,-0.74879843,-0.63479483,"('untrustworthy', 'trustworthy')",-1.1125299,-1.0395062,-0.9306642,-0.8371505,-0.0935137
25,-0.66399425,-0.44103214,"('egoistic', 'altruistic')",0.7194054,0.6840612,0.0277056,0.1215145,-0.0938089
54,-0.66159904,-0.44539195,"('incapable', 'capable')",0.7092822,1.0099946,0.0238416,0.2823013,-0.2584597
42,0.6405071,0.62220985,"('unreliable', 'reliable')",-2.9381063,-3.0329664,-1.1487997,-1.2053783,0.0565786
58,-0.636725,-0.57467985,"('undiscriminating', 'discriminating')",0.3247707,0.11641976,-0.1559772,-0.22913,0.0731528
14,-0.62791336,-0.56650597,"('antisocial', 'social')",-0.10741381,0.17265312,-0.3676636,-0.1969264,-0.1707372
75,0.62644714,1.1258985,"('meek', 'impulsive')",-0.99628633,-0.6896454,-0.1849196,0.2181265,-0.4030461
67,0.62211925,0.27759203,"('doubtful', 'determined')",-0.24987489,-0.43750456,0.1861222,-0.0799563,0.2660785
62,-0.60413224,-0.29450879,"('incompetent', 'brilliant')",0.7800437,1.2208233,0.0879557,0.4631572,-0.3752015
4,-0.59856474,-0.5441911,"('disliked', 'liked')",-7.364586,-7.5948377,-3.9815753,-4.0695143,0.087939
61,-0.5928161,-0.6509287,"('illogical', 'logical')",0.62743795,0.5292034,0.0173109,-0.0608626,0.0781735
65,-0.58192545,-0.761729,"('insecure', 'secure')",0.16559103,0.65318197,-0.2081672,-0.0542735,-0.1538937
18,-0.5673929,-0.40638342,"('disagreeable', 'welcoming')",-0.581337,-0.5800809,-0.5743649,-0.4932322,-0.0811327
80,0.5508374,0.6226037,"('dominated', 'dominating')",-0.8146821,-0.43200693,-0.1319224,0.0952984,-0.2272208
68,0.5428016,0.32268003,"('dependent', 'independent')",-0.26693073,-0.15189174,0.1379354,0.0853941,0.0525413
7,-0.53875166,-0.7584186,"('insensitive', 'sensitive')",0.60175043,0.58712465,0.0314994,-0.085647,0.1171464
30,-0.4735015,-0.83331245,"('intolerant', 'tolerant')",1.1456863,1.012629,0.3360924,0.0896583,0.2464341
87,-0.46896243,-0.26365578,"('unsuccessful', 'successful')",0.6716204,0.84961927,0.101329,0.2929817,-0.1916527
20,-0.4478136,-0.38510412,"('rough', 'thoughtful')",1.002712,0.94731134,0.2774492,0.2811036,-0.0036544
79,-0.44066823,-0.34020904,"('wavering', 'unwavering')",-0.60426605,-0.4694945,-0.5224671,-0.4048518,-0.1176153
88,-0.44039562,-0.35500407,"('low', 'eminent')",-0.3579446,-0.1326399,-0.3991701,-0.243822,-0.1553481
34,0.44009683,0.38705307,"('mean', 'honorable')",6.211669,6.331076,3.3258829,3.3590646,-0.0331817
32,-0.43558574,-0.43993536,"('unkind', 'kind')",0.95410836,1.0868183,0.2592613,0.3234415,-0.0641802
39,0.42571184,0.29449606,"('exploitative', 'cooperative')",0.15327322,0.3183821,0.2894925,0.3064391,-0.0169466
19,-0.35936472,-0.5155107,"('inhospitable', 'hospitable')",-0.43079114,-0.7224093,-0.3950779,-0.61896,0.2238821
71,-0.35523582,-0.084567815,"('diffident', 'self-confident')",0.41674012,0.36588928,0.0307522,0.1406607,-0.1099085
66,-0.35490903,-0.45287803,"('inactive', 'active')",0.22786868,-0.008540504,-0.0635202,-0.2307093,0.1671891
37,0.34364724,0.12888019,"('fake', 'genuine')",0.54186445,0.38237208,0.4427558,0.2556261,0.1871297
60,-0.33485588,-0.3497101,"('inefficient', 'efficient')",0.74813926,1.0659485,0.2066417,0.3581192,-0.1514775
47,-0.32764575,-0.4176964,"('stupid', 'smart')",5.760056,5.9275165,2.7162051,2.75491,-0.0387049
26,-0.3195206,-0.35838845,"('hardhearted', 'benevolent')",1.3432024,0.98626196,0.5118409,0.3139368,0.1979041
70,-0.3099383,-0.26655278,"('lethargic', 'energetic')",0.5582819,0.7537524,0.1241718,0.2435998,-0.119428
64,0.29111168,0.2764184,"('shy', 'confident')",-6.308181,-6.082437,-3.0085347,-2.9030094,-0.1055253
50,0.236893,0.121093206,"('clumsy', 'skillful')",0.1683605,-0.022433672,0.2026267,0.0493298,0.1532969
2,-0.20829898,0.13112329,"('unlikable', 'likable')",0.42190588,0.571496,0.1068034,0.3513097,-0.2445063
49,-0.20641445,-0.23846057,"('unable', 'able')",0.13457693,0.23222788,-0.0359188,-0.0031163,-0.0328025
3,-0.20565833,-0.08782301,"('repellent', 'pleasant')",0.6815048,0.73403376,0.2379232,0.3231054,-0.0851822
85,-0.197213,-0.1616053,"('insignificant', 'prestigious')",-0.7593723,-0.980086,-0.4782926,-0.5708457,0.0925531
17,-0.19132447,-0.48288304,"('nasty', 'nice')",-0.75978595,-0.8256246,-0.4755552,-0.6542538,0.1786986
29,-0.16856413,-0.44602174,"('unfair', 'fair')",-0.17169839,-0.29938322,-0.1701313,-0.3727025,0.2025712
5,0.15694946,0.32858428,"('distant', 'outgoing')",-0.4797415,-0.6096465,-0.161396,-0.1405311,-0.0208649
56,0.13938409,0.18214563,"('impractical', 'practical')",-0.04691875,0.18793042,0.0462327,0.185038,-0.1388053
33,-0.13906893,-0.008831769,"('wrong', 'right')",-1.0894665,-1.1187973,-0.6142677,-0.5638145,-0.0504532
40,0.13481742,0.26833192,"('stingy', 'generous')",-2.0881047,-2.1544948,-0.9766437,-0.9430814,-0.0335623
15,-0.13415933,-0.3005094,"('boring', 'funny')",-0.15702425,-0.11342506,-0.1455918,-0.2069672,0.0613754
82,-0.1310149,0.12540531,"('poor', 'rich')",6.925583,7.0640516,3.397284,3.5947285,-0.1974445
59,0.12740481,-0.2627684,"('foolish', 'wise')",0.027523007,-0.09034685,0.0774639,-0.1765576,0.2540215
27,-0.11455559,-0.15754843,"('hardhearted', 'softhearted')",1.2304279,0.95454735,0.5579361,0.3984995,0.1594366
81,-0.0588613,-0.14620778,"('submissive', 'aggressive')",-0.20746198,0.2579912,-0.1331616,0.0558917,-0.1890533
76,0.040309522,0.016992545,"('anxious', 'daring')",0.014728988,0.3710812,0.0275193,0.1940369,-0.1665176
6,0.020900972,0.19923547,"('distant', 'open')",-0.4848788,-0.7959749,-0.2319889,-0.2983697,0.0663808
84,-0.008420238,-0.17668995,"('inferior', 'superior')",1.1229566,1.14208,0.5572682,0.482695,0.0745732
83,-0.0070513226,0.1611126,"('powerless', 'powerful')",-0.7198007,-0.5993446,-0.363426,-0.219116,-0.14431
