,lexmark_male,lexmark_female,tuple,international_male,international_female,inc_male,inc_female,average_male,average_female,male-female
73,1.51557,1.3698726,"('helpless', 'self-reliant')",0.0619846,0.026487354,-3.0604827,-3.2002509,-0.4943093,-0.601297,0.1069877
31,-1.4163686,-1.308245,"('evil', 'good')",-0.95772016,-0.90995085,-1.1103965,-1.3549931,-1.161495,-1.191063,0.029568
39,1.3889518,1.0421079,"('exploitative', 'cooperative')",1.0160933,0.538836,-0.0013811998,-0.25553897,0.8012213,0.4418017,0.3594196
86,-1.3637059,-1.3271594,"('uninfluential', 'influential')",-0.31749022,-0.24883781,-0.48813236,-0.48386472,-0.7231095,-0.6866206,-0.0364889
57,-1.2654144,-1.4839146,"('unimaginative', 'imaginative')",-0.43845809,-0.70454276,-2.4552677,-2.6679811,-1.38638,-1.6188129,0.2324329
6,-1.2243791,-1.1175996,"('distant', 'open')",-0.8515156,-0.51023287,0.3198767,0.32157123,-0.5853393,-0.4354204,-0.1499189
67,1.2011651,1.0170778,"('doubtful', 'determined')",0.70238245,0.4722253,-0.27650744,-0.33678544,0.5423467,0.3841726,0.1581741
30,1.1339151,0.8431077,"('intolerant', 'tolerant')",0.99474525,0.5560929,1.4938438,1.2141504,1.2075013,0.871117,0.3363843
53,-1.0998486,-1.0166969,"('uncreative', 'creative')",-0.24909253,-0.23223412,1.1487277,1.0606394,-0.0667379,-0.0627639,-0.003974
35,-1.0390018,-0.89609885,"('corrupt', 'incorrupt')",-1.0100397,-0.89752674,-0.25705606,-0.41696626,-0.7686992,-0.7368639,-0.0318353
64,1.0152423,0.6261745,"('shy', 'confident')",0.45995113,0.21327192,-5.9122634,-6.093565,-1.4790233,-1.7513728,0.2723495
60,1.0090587,0.7543384,"('inefficient', 'efficient')",1.5347143,1.1491212,0.3322371,0.23888306,0.9586701,0.7141142,0.2445559
42,1.0004665,0.7815663,"('unreliable', 'reliable')",0.62993294,0.40886647,-2.9983726,-2.9613683,-0.455991,-0.5903118,0.1343208
36,-0.9911874,-0.9854722,"('hostile', 'amicable')",-0.36372542,-0.44950363,0.025875375,-0.29080665,-0.4430125,-0.5752608,0.1322483
8,-0.9882397,-1.0793477,"('unaffectionate', 'affectionate')",-0.8430188,-0.87221193,0.20825367,-0.0048198416,-0.5410016,-0.6521265,0.1111249
84,0.98455334,0.9461266,"('inferior', 'superior')",0.65908444,0.57690525,1.0703028,1.1182133,0.9046469,0.880415,0.0242319
82,-0.9756972,-0.75479436,"('poor', 'rich')",-0.48569933,-0.395779,5.819897,6.3056655,1.4528335,1.7183641,-0.2655306
25,-0.9746494,-0.7687554,"('egoistic', 'altruistic')",0.15317263,0.26937735,1.2664615,1.1814933,0.1483282,0.2273718,-0.0790436
56,0.97029084,0.76322633,"('impractical', 'practical')",1.4163018,1.247588,-0.11984808,0.02058878,0.7555815,0.6771344,0.0784471
2,0.9591615,0.8845658,"('unlikable', 'likable')",1.2765642,1.2249235,0.72788715,0.6540573,0.987871,0.9211822,0.0666888
62,0.9517655,0.9600711,"('incompetent', 'brilliant')",0.89036715,0.9984611,0.26522622,0.6061031,0.7024529,0.8548784,-0.1524255
79,-0.8620781,-0.7298938,"('wavering', 'unwavering')",-1.0458665,-0.80884975,-0.119972736,0.18912782,-0.6759725,-0.4498719,-0.2261006
46,0.8377964,0.99888885,"('uncompetitive', 'competitive')",0.69048774,0.5533926,-0.2343005,-0.18830489,0.4313279,0.4546588,-0.0233309
83,0.8000539,0.9220376,"('powerless', 'powerful')",0.058137957,0.06608738,-0.8480432,-0.7957318,0.0033829,0.0641311,-0.0607482
