,bank_male,bank_female,tuple,of_male,of_female,america_male,america_female,corp_male,corp_female,average_male,average_female,male-female
71,2.257003,2.143437,"('diffident', 'self-confident')",0.60718167,0.33672613,0.8565964,0.7325048,0.61091024,0.45646566,1.0829229,0.9172834,0.1656395
9,1.8810889,1.7283111,"('unaffectionate', 'caring')",-0.6781662,-0.75655663,0.5806879,0.57714254,1.6301086,1.6470045,0.8534298,0.7989753,0.0544545
2,1.8679237,1.8120196,"('unlikable', 'likable')",0.91479725,0.8263156,1.109241,1.1369069,1.021643,0.7818383,1.2284013,1.1392701,0.0891312
1,1.8345988,1.5034506,"('unfriendly', 'friendly')",-0.5853475,-0.773405,0.7509649,0.5805531,1.7148782,1.4845748,0.9287736,0.6987934,0.2299802
68,-1.5968204,-1.5685294,"('dependent', 'independent')",0.25470755,0.58729494,0.42050064,0.4517713,-1.2251893,-1.3008056,-0.5367004,-0.4575672,-0.0791332
26,1.5892451,1.1373868,"('hardhearted', 'benevolent')",1.2695024,0.76878154,2.4198737,2.1864507,2.333043,1.8533899,1.9029161,1.4865022,0.4164139
34,1.5612979,1.4986622,"('mean', 'honorable')",-0.44075257,-0.34711158,-1.1499661,-0.9367714,5.2470202,5.428809,1.3043998,1.4108971,-0.1064973
83,1.3791054,1.2259457,"('powerless', 'powerful')",0.63307595,0.6322964,-0.5614078,-0.48365024,-0.63072556,-0.6690666,0.205012,0.1763813,0.0286307
54,1.333729,1.3272959,"('incapable', 'capable')",0.022851937,0.19677448,0.5308886,0.6322306,1.0352979,1.1829343,0.7306919,0.8348088,-0.1041169
32,1.2963966,1.511111,"('unkind', 'kind')",-0.00034607202,0.1146258,-0.4840805,-0.35095868,0.8091763,0.90041876,0.4052866,0.5437992,-0.1385126
61,1.274056,1.1611717,"('illogical', 'logical')",-0.7340783,-0.94074583,0.163679,0.16713712,0.5489332,0.38139883,0.3131475,0.1922404,0.1209071
63,1.2462143,1.2558486,"('unperceptive', 'insightful')",-0.124266595,-0.0075216778,0.7920518,0.8709285,0.39270604,0.3218138,0.5766764,0.6102673,-0.0335909
12,1.2257695,1.2249879,"('unsupportive', 'supportive')",0.11112361,0.1284443,0.49540737,0.5441393,-2.0265024,-2.1491027,-0.0485505,-0.0628828,0.0143323
42,1.1872016,1.1207838,"('unreliable', 'reliable')",1.5739352,1.7861902,1.0518465,0.9171093,-2.479584,-2.5521195,0.3333498,0.3179909,0.0153589
37,-1.1413695,-1.2226889,"('fake', 'genuine')",-0.42197585,-0.3554723,-0.72628194,-0.8279914,0.15954083,0.26660448,-0.5325216,-0.5348871,0.0023655
14,1.1312635,1.0113398,"('antisocial', 'social')",-0.52160156,-0.5930898,-0.6634672,-0.62808883,-0.3316638,-0.5860435,-0.0963673,-0.1989706,0.1026033
56,1.1280899,1.3985006,"('impractical', 'practical')",-1.4151545,-1.0202535,-0.80338615,-0.42624065,-0.8045035,-0.5119701,-0.4737386,-0.1399909,-0.3337477
40,1.0843828,0.7746493,"('stingy', 'generous')",1.4863554,1.205568,1.1327528,1.0437819,-1.7700866,-2.2394857,0.4833511,0.1961284,0.2872227
41,1.0776424,1.0091121,"('unforgiving', 'forgiving')",-0.19564626,-0.24350631,-0.17451085,-0.12286012,0.054412063,-0.26767674,0.1904743,0.0937672,0.0967071
39,1.0647291,0.98209435,"('exploitative', 'cooperative')",-0.11846261,-0.19823697,0.3679728,0.308114,0.62294376,0.621451,0.4842958,0.4283556,0.0559402
78,1.0605502,1.1543149,"('nonresilient', 'resilient')",-0.53464866,-0.40996593,-0.1362366,-0.15396973,-0.24189426,-0.32260284,0.0369427,0.0669441,-0.0300014
33,1.0189383,0.97504985,"('wrong', 'right')",0.7539396,0.58920705,1.1981246,0.9360078,-0.20744145,-0.27779844,0.6908903,0.5556166,0.1352737
87,1.0159849,0.92782176,"('unsuccessful', 'successful')",-0.91246754,-0.986366,0.25914243,0.17926134,0.8325525,0.42232558,0.2988031,0.1357607,0.1630424
15,0.9876692,1.0107837,"('boring', 'funny')",0.3739598,0.41838208,0.40774456,0.39324176,-0.06866835,-0.09186708,0.4251763,0.4326351,-0.0074588
62,0.9820003,1.396663,"('incompetent', 'brilliant')",-1.3206596,-0.6116161,-0.5054601,-0.012449373,0.078676805,0.44982237,-0.1913607,0.305605,-0.4969657
85,0.9801674,0.45666075,"('insignificant', 'prestigious')",0.84451866,0.18226466,1.400577,0.9420205,0.18627274,-0.25026795,0.8528839,0.3326695,0.5202144
75,-0.9622384,-0.7281079,"('meek', 'impulsive')",0.624355,0.8800216,0.639944,0.59633327,-0.6671603,-0.6395426,-0.0912749,0.0271761,-0.118451
8,0.9489622,0.71495074,"('unaffectionate', 'affectionate')",-0.009908158,-0.009245072,0.69982785,0.62645566,0.92861956,0.900614,0.6418754,0.5581938,0.0836816
50,-0.8968462,-0.8350817,"('clumsy', 'skillful')",0.5652616,0.6999161,0.3452345,0.15458031,0.25469926,0.24606319,0.0670873,0.0663695,0.0007178
44,-0.8650263,-0.8110417,"('prejudiced', 'unprejudiced')",0.65411544,0.2836566,-0.68183196,-0.88718206,-1.2198204,-1.0772318,-0.5281408,-0.6229497,0.0948089
23,0.85746974,1.0584898,"('insincere', 'sincere')",-1.7673105,-1.6253953,-0.91855216,-0.7728242,5.742089,6.1563625,0.978424,1.2041582,-0.2257342
