,zions_male,zions_female,tuple,bancorporation_male,bancorporation_female,n_male,n_female,a_male,a_female,average_male,average_female,male-female
68,-1.3538829,-1.23318,"('dependent', 'independent')",-2.2743638,-2.2558157,-1.1925528,-1.174545,-0.7249599,-0.69230413,-1.3864399,-1.3389612,-0.0474787
61,-1.2820309,-0.91885906,"('illogical', 'logical')",-0.4574653,-0.468889,0.38153735,0.35354567,0.7391504,0.6825202,-0.1547021,-0.0879205,-0.0667816
26,1.2249568,0.537891,"('hardhearted', 'benevolent')",1.1762769,1.1002505,0.8626257,0.95585245,1.1182425,1.0734315,1.0955255,0.9168563,0.1786692
12,1.1375043,1.4895132,"('unsupportive', 'supportive')",-0.7385695,-0.43128252,0.44573703,0.5708664,-1.4105519,-1.3438855,-0.14147,0.0713029,-0.2127729
40,1.1093802,0.74813443,"('stingy', 'generous')",1.2310811,1.1805739,0.38966623,0.4384128,-1.7459211,-1.6940416,0.2460516,0.1682699,0.0777817
49,-1.1011943,-0.8441727,"('unable', 'able')",-0.9147808,-0.84988844,0.027607523,0.36754715,-0.05340106,0.25795,-0.5104421,-0.267141,-0.2433011
84,-1.0503322,-0.8401988,"('inferior', 'superior')",-0.8546407,-0.794403,-0.43422323,-0.33729798,-0.4451537,-0.2883543,-0.6960875,-0.5650635,-0.131024
29,-0.98347855,-1.0417503,"('unfair', 'fair')",-1.035656,-0.92484164,-0.15353578,-0.08447262,-1.0094384,-1.1138934,-0.7955272,-0.7912395,-0.0042877
43,0.9652554,1.7705625,"('irresponsible', 'responsible')",-1.1257908,-0.8427698,1.0774021,1.2605603,1.1229764,1.217789,0.5099608,0.8515356,-0.3415748
59,0.9141357,0.42102298,"('foolish', 'wise')",0.3478015,0.28064936,0.40328473,0.43314916,1.2260966,1.1360121,0.7228296,0.5677084,0.1551212
2,0.90235037,0.93174356,"('unlikable', 'likable')",1.8194788,1.7361116,1.6658204,1.3956016,0.90457535,0.84456253,1.3230562,1.2270049,0.0960513
74,0.895492,1.2581276,"('undedicated', 'dedicated')",-0.12945624,-0.105171695,0.85384274,0.71315444,0.052761625,-0.052564703,0.4181601,0.4533864,-0.0352263
13,-0.8849672,0.15984654,"('impolite', 'polite')",-0.21738744,0.016236767,-0.23442246,0.14738768,-0.42490432,-0.20867577,-0.4404204,0.0286988,-0.4691192
79,0.86815876,0.5140562,"('wavering', 'unwavering')",0.22205845,0.0970577,-0.3173964,-0.2499926,0.1475019,0.13464475,0.2300807,0.1239415,0.1061392
19,-0.85176,-0.7774324,"('inhospitable', 'hospitable')",-1.207296,-1.1836754,-0.829919,-0.43204346,-0.49784505,-0.31863523,-0.8467051,-0.6779466,-0.1687585
44,-0.80703187,-0.6948077,"('prejudiced', 'unprejudiced')",0.5031745,0.72629607,-0.45839423,-0.33735648,-1.8943328,-1.820973,-0.6641461,-0.5317103,-0.1324358
7,0.7986289,1.2713293,"('insensitive', 'sensitive')",-0.1454647,-0.008457743,0.24135013,0.30107033,0.82464457,0.9148993,0.4297897,0.6197103,-0.1899206
47,-0.7866451,-0.46286297,"('stupid', 'smart')",0.21737167,0.27695152,1.10086,1.0418298,5.4636626,5.464632,1.4988123,1.5801376,-0.0813253
46,-0.7711698,0.044219583,"('uncompetitive', 'competitive')",-1.0787808,-0.95691884,-0.08664027,-0.32192367,-0.29338405,-0.29663432,-0.5574937,-0.3828143,-0.1746794
64,-0.75908005,-0.294099,"('shy', 'confident')",-0.52043235,-0.42265874,-0.57310313,-0.33801243,-6.413135,-6.366619,-2.0664377,-1.8553474,-0.2110903
30,-0.7519103,0.21353094,"('intolerant', 'tolerant')",-0.37574577,-0.41322026,-0.2649249,0.07883057,0.17007384,0.19777086,-0.3056268,0.019228,-0.3248548
83,-0.7438695,-0.5713795,"('powerless', 'powerful')",0.30414587,0.29809478,-1.3557725,-1.2783986,-1.0647686,-1.0929298,-0.7150662,-0.6611533,-0.0539129
41,0.7370314,0.657341,"('unforgiving', 'forgiving')",0.65372837,0.56426674,0.49172485,0.28633296,0.4470802,0.20091154,0.5823912,0.427213,0.1551782
71,0.72889656,0.30338514,"('diffident', 'self-confident')",0.7110748,0.77898055,-0.014542036,0.07176192,-0.07593495,0.051376287,0.3373736,0.301376,0.0359976
69,0.7240133,0.1593581,"('lazy', 'industrious')",2.5315242,2.379075,-0.74682915,-0.72264665,-1.0631152,-0.9968778,0.3613983,0.2047271,0.1566712
