,gamestop_male,gamestop_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-1.7539055,-1.8382124,"('unsympathetic', 'sympathetic')",0.41693982,0.33591422,-0.6684828,-0.7511491,0.0826663
66,-1.5257658,-1.4754792,"('inactive', 'active')",0.3167303,0.23995373,-0.6045178,-0.6177627,0.0132449
70,-1.2315773,-1.3994004,"('lethargic', 'energetic')",0.7521167,0.64136785,-0.2397303,-0.3790163,0.139286
3,-1.2030644,-1.2234845,"('repellent', 'pleasant')",0.86259043,0.94755083,-0.170237,-0.1379668,-0.0322702
42,-1.1725024,-1.0409169,"('unreliable', 'reliable')",-3.0965605,-3.112466,-2.1345315,-2.0766916,-0.0578399
15,1.1540611,1.0511365,"('boring', 'funny')",-0.19112499,-0.21784015,0.4814681,0.4166482,0.0648199
18,-1.0010046,-0.85616577,"('disagreeable', 'welcoming')",-0.8977049,-0.7299413,-0.9493548,-0.7930535,-0.1563013
43,-0.9997957,-1.031542,"('irresponsible', 'responsible')",0.8595556,0.86523247,-0.07012,-0.0831547,0.0130347
13,-0.96981686,-1.0184634,"('impolite', 'polite')",-0.46982282,-0.44373924,-0.7198198,-0.7311013,0.0112815
68,-0.94573593,-0.96624863,"('dependent', 'independent')",-0.8994741,-0.8281351,-0.922605,-0.8971919,-0.0254131
72,-0.90008926,-0.99829,"('unambitious', 'ambitious')",0.09089958,-0.10835398,-0.4045948,-0.553322,0.1487272
19,-0.8796411,-0.85236126,"('inhospitable', 'hospitable')",-0.5412496,-0.5820595,-0.7104453,-0.7172104,0.0067651
22,-0.8783059,-1.0460865,"('untrustworthy', 'trustworthy')",-0.96076095,-0.91249824,-0.9195334,-0.9792924,0.059759
65,-0.85103774,-0.8016053,"('insecure', 'secure')",0.22365047,0.3606006,-0.3136936,-0.2205023,-0.0931913
44,-0.8251352,-0.8284642,"('prejudiced', 'unprejudiced')",-1.2654655,-1.1797574,-1.0453004,-1.0041108,-0.0411896
81,-0.81902486,-0.8405412,"('submissive', 'aggressive')",-0.29634696,-0.3049121,-0.5576859,-0.5727266,0.0150407
51,-0.7710234,-0.85823,"('uneducated', 'educated')",0.48062298,0.57596,-0.1452002,-0.141135,-0.0040652
71,0.75473696,0.84417653,"('diffident', 'self-confident')",0.40739742,0.31250018,0.5810672,0.5783384,0.0027288
7,-0.7486212,-0.789639,"('insensitive', 'sensitive')",0.59715414,0.561403,-0.0757335,-0.114118,0.0383845
59,0.72446454,0.70386636,"('foolish', 'wise')",0.11770533,0.029578328,0.4210849,0.3667223,0.0543626
76,-0.7198725,-0.60826236,"('anxious', 'daring')",0.22321221,0.31175327,-0.2483301,-0.1482545,-0.1000756
64,-0.7027468,-0.758818,"('shy', 'confident')",-6.6534576,-6.7266397,-3.6781023,-3.7427289,0.0646266
57,-0.69157666,-0.8176472,"('unimaginative', 'imaginative')",-3.1037817,-3.2576892,-1.8976792,-2.0376682,0.139989
61,0.6857485,0.65195197,"('illogical', 'logical')",0.37189704,0.48101348,0.5288228,0.5664827,-0.0376599
47,-0.67129254,-0.61383593,"('stupid', 'smart')",6.0675497,6.1688147,2.6981287,2.7774894,-0.0793607
46,-0.66872716,-0.73535144,"('uncompetitive', 'competitive')",-0.36114073,-0.41214743,-0.5149339,-0.5737494,0.0588155
79,-0.6536414,-0.6489161,"('wavering', 'unwavering')",-0.41149053,-0.5635885,-0.532566,-0.6062523,0.0736863
9,0.6517983,0.53206515,"('unaffectionate', 'caring')",1.5563059,1.4058546,1.1040521,0.9689599,0.1350922
2,-0.616632,-0.48409808,"('unlikable', 'likable')",0.3977983,0.48945612,-0.1094168,0.002679,-0.1120958
31,-0.614624,-0.7504429,"('evil', 'good')",-1.4400098,-1.4503393,-1.0273169,-1.1003911,0.0730742
8,0.60544884,0.6096231,"('unaffectionate', 'affectionate')",0.73713535,0.6429771,0.6712921,0.6263001,0.044992
48,0.59921426,0.5284228,"('unintelligent', 'intelligent')",1.0612195,1.0405244,0.8302169,0.7844735,0.0457434
85,0.5960476,0.7797876,"('insignificant', 'prestigious')",-1.0422839,-0.8471105,-0.2231182,-0.0336615,-0.1894567
32,-0.5903968,-0.5629266,"('unkind', 'kind')",1.1399096,1.1801158,0.2747564,0.3085946,-0.0338382
49,0.5836282,0.61218995,"('unable', 'able')",-0.095488355,-0.04631925,0.2440699,0.2829354,-0.0388655
84,0.58118576,0.5325749,"('inferior', 'superior')",0.87742174,0.885956,0.7293037,0.7092655,0.0200382
45,-0.5775412,-0.7359123,"('incompetent', 'competent')",0.26805058,0.21329643,-0.1547453,-0.261308,0.1065627
34,-0.5733548,-0.4300316,"('mean', 'honorable')",6.141649,6.2616196,2.784147,2.9157939,-0.1316469
39,0.54283124,0.6096046,"('exploitative', 'cooperative')",0.16363794,0.31215882,0.3532346,0.4608817,-0.1076471
21,-0.5413749,-0.44320464,"('immoral', 'moral')",-0.44782692,-0.24974431,-0.4946009,-0.3464745,-0.1481264
38,-0.53100586,-0.7224509,"('untruthful', 'truthful')",0.1444683,-0.0015526637,-0.1932688,-0.3620018,0.168733
24,-0.4813839,-0.5532205,"('dishonest', 'honest')",1.2255223,1.1855435,0.3720692,0.3161615,0.0559077
67,0.4582549,0.54818946,"('doubtful', 'determined')",-0.43071258,-0.36574593,0.0137712,0.0912218,-0.0774506
