,fifth_male,fifth_female,tuple,third_male,third_female,bancorp_male,bancorp_female,average_male,average_female,male-female
31,-4.8847804,-5.992421,"('evil', 'good')",-1.7217803,-1.7270228,0.34319666,0.41012987,-2.0877879,-2.4364379,0.34865
7,4.820832,5.517097,"('insensitive', 'sensitive')",1.926571,1.847388,0.06319749,0.1298559,2.2702001,2.4981136,-0.2279135
55,4.8121014,6.4344544,"('incompetent', 'clever')",1.5289115,1.8592894,-1.8491647,-1.4856182,1.4972827,2.2693753,-0.7720926
10,4.760433,6.0946665,"('unsympathetic', 'sympathetic')",1.3713216,1.7173574,-1.7563617,-1.5377693,1.4584643,2.0914183,-0.632954
46,4.308017,5.996303,"('uncompetitive', 'competitive')",1.2969757,1.6788201,-1.1691215,-0.9499339,1.4786237,2.2417297,-0.763106
60,4.2945275,5.5994954,"('inefficient', 'efficient')",1.4456478,1.4884338,-1.111697,-1.0543838,1.542826,2.0111818,-0.4683558
80,4.149368,5.126759,"('dominated', 'dominating')",1.8911899,2.223057,-0.9345414,-0.78293514,1.7020055,2.1889604,-0.4869549
21,4.136943,4.868921,"('immoral', 'moral')",0.9401163,0.8899323,-1.5996569,-1.4294916,1.1591341,1.4431205,-0.2839864
35,-4.011528,-5.4767876,"('corrupt', 'incorrupt')",-0.9440668,-0.8170092,0.7648181,0.70468664,-1.3969256,-1.8630366,0.466111
85,-3.9931793,-5.4681015,"('insignificant', 'prestigious')",-1.4864117,-2.1062708,1.4506372,0.8931824,-1.3429845,-2.2270633,0.8840788
36,-3.917781,-5.202911,"('hostile', 'amicable')",-1.6291151,-1.8255644,1.8729855,1.4008325,-1.2246369,-1.8758809,0.651244
79,-3.7545154,-4.356577,"('wavering', 'unwavering')",-0.61427313,-0.41875204,1.1365032,1.1349423,-1.0774285,-1.2134623,0.1360338
62,3.7432933,5.182501,"('incompetent', 'brilliant')",1.3599863,1.595652,-0.36297837,-0.105770566,1.5801004,2.2241275,-0.6440271
6,-3.661293,-4.265611,"('distant', 'open')",-0.93360037,-0.828422,1.266059,1.0106398,-1.1096115,-1.3611312,0.2515197
5,-3.5831013,-3.9541564,"('distant', 'outgoing')",-1.095217,-0.88159513,1.1435688,0.94532794,-1.1782498,-1.2968078,0.118558
69,-3.5050328,-4.1632414,"('lazy', 'industrious')",-0.93555737,-1.2823693,1.0905037,0.8750337,-1.1166954,-1.5235256,0.4068302
23,3.3187368,3.6821504,"('insincere', 'sincere')",1.965155,1.5491185,3.1235754,3.2292645,2.802489,2.8201777,-0.0176887
14,3.1929,4.290868,"('antisocial', 'social')",1.1230872,1.6314136,-1.3090318,-1.005959,1.0023184,1.6387741,-0.6364557
11,3.1581774,3.9436183,"('unhelpful', 'helpful')",1.3763425,1.1168056,0.52104264,0.40945256,1.6851877,1.8232921,-0.1381044
81,3.1577601,4.5746293,"('submissive', 'aggressive')",1.0163442,1.0907437,-2.0195262,-1.9022919,0.7181927,1.2543604,-0.5361677
43,3.089851,3.9557343,"('irresponsible', 'responsible')",1.0387299,1.1476883,-0.8548933,-0.90141183,1.0912293,1.4006702,-0.3094409
65,3.0783162,3.8762896,"('insecure', 'secure')",0.8157637,0.88976777,-0.78876317,-0.4929744,1.0351055,1.4243611,-0.3892556
70,3.0256932,3.941251,"('lethargic', 'energetic')",1.3042357,1.6717722,-1.05788,-0.8454926,1.090683,1.5891768,-0.4984938
13,2.8853333,3.7848191,"('impolite', 'polite')",0.8160274,0.8350189,-0.7526891,-0.6294351,0.9828905,1.3301342,-0.3472437
56,2.7102444,4.18096,"('impractical', 'practical')",1.1015203,1.6043645,-0.45262358,-0.1260674,1.1197137,1.886419,-0.7667053
39,2.7007265,2.270528,"('exploitative', 'cooperative')",2.0338223,1.8408148,0.65478516,0.52141196,1.7964446,1.5442516,0.252193
16,-2.6531541,-2.6789253,"('unpopular', 'popular')",-1.9016422,-2.1406476,0.17506877,0.14475799,-1.4599091,-1.5582717,0.0983626
45,2.504991,3.7713962,"('incompetent', 'competent')",1.0317806,1.7708068,-1.3910505,-0.96676403,0.7152405,1.5251463,-0.8099058
63,2.4712603,3.2614827,"('unperceptive', 'insightful')",1.0154234,0.86497784,0.4091396,0.31930792,1.2986078,1.4819228,-0.183315
4,-2.4350994,-2.4807212,"('disliked', 'liked')",-0.23570448,0.16511148,-2.6868455,-2.8954976,-1.7858831,-1.7370358,-0.0488473
76,2.36951,3.3756948,"('anxious', 'daring')",1.3588848,1.623457,-0.49699262,-0.2625507,1.0771341,1.578867,-0.5017329
74,2.3522367,2.6276045,"('undedicated', 'dedicated')",2.0714793,2.114751,0.23908998,0.25490245,1.5542687,1.6657526,-0.1114839
12,2.3054943,2.7361624,"('unsupportive', 'supportive')",1.3792676,1.3855388,-0.9748776,-1.1428821,0.9032948,0.9929397,-0.0896449
0,2.222164,3.469899,"('unsociable', 'sociable')",0.1536414,0.28734773,-0.58814234,-0.47517323,0.5958877,1.0940245,-0.4981368
25,-2.2060149,-3.1796937,"('egoistic', 'altruistic')",-0.89630556,-1.2144401,1.2910006,0.9995559,-0.6037733,-1.1315259,0.5277526
32,2.0867248,2.378579,"('unkind', 'kind')",1.0269113,0.8221357,0.6675162,0.659323,1.2603841,1.2866792,-0.0262951
3,2.0797122,2.358963,"('repellent', 'pleasant')",-0.10467581,-0.14222129,-0.9014859,-0.66537476,0.3578502,0.5171223,-0.1592721
52,-2.0219588,-3.0945978,"('irrational', 'rational')",-0.6931325,-0.9447428,0.6072132,0.31481805,-0.702626,-1.2415075,0.5388815
30,1.8637515,2.461387,"('intolerant', 'tolerant')",1.0516711,1.1795725,-0.7879571,-0.80945253,0.7091552,0.9438356,-0.2346804
41,1.856958,1.8951836,"('unforgiving', 'forgiving')",1.197833,1.4559137,0.3850619,0.19434735,1.1466177,1.1818148,-0.0351971
57,1.8502214,3.00795,"('unimaginative', 'imaginative')",-0.050796047,0.46549922,-1.5837486,-1.6276349,0.0718923,0.6152714,-0.5433791
58,1.8486395,2.2967825,"('undiscriminating', 'discriminating')",0.4553438,0.655066,0.6360953,0.47630006,0.9800262,1.1427162,-0.16269
8,-1.7775412,-2.409524,"('unaffectionate', 'affectionate')",-0.3885529,-0.59886575,1.1000228,0.77535874,-0.3553571,-0.7443437,0.3889866
1,-1.7734814,-2.6156056,"('unfriendly', 'friendly')",-1.0878812,-1.2547154,1.7996912,1.4284835,-0.3538904,-0.8139458,0.4600554
51,1.7221003,2.5394719,"('uneducated', 'educated')",0.6977828,0.5660894,-1.4170021,-1.3398819,0.3342936,0.5885598,-0.2542662
59,-1.7016869,-2.5990949,"('foolish', 'wise')",-0.1739909,-0.43734035,0.46664223,0.26707095,-0.4696785,-0.9231214,0.4534429
86,1.6968919,2.748741,"('uninfluential', 'influential')",0.3114434,0.47035417,-0.8617684,-0.88716364,0.382189,0.7773105,-0.3951215
48,1.6767054,2.123765,"('unintelligent', 'intelligent')",0.24561891,0.0193487,-1.0985055,-1.081465,0.2746063,0.3538829,-0.0792766
22,1.6084604,2.133391,"('untrustworthy', 'trustworthy')",0.28521168,0.588533,-1.1512883,-1.0010995,0.2474613,0.5736081,-0.3261468
61,1.5982083,1.7865425,"('illogical', 'logical')",-0.4432582,-0.26595953,-0.09245989,-0.040864147,0.3541634,0.4932396,-0.1390762
77,1.4457729,2.3117397,"('unmotivated', 'motivated')",0.31853196,0.18969655,-0.49042445,-0.4440221,0.4246268,0.6858047,-0.2611779
37,1.4399806,1.5225639,"('fake', 'genuine')",1.2661405,1.4212399,-0.68449724,-0.6911628,0.6738745,0.7508803,-0.0770058
24,1.4388994,1.5716496,"('dishonest', 'honest')",0.9507005,1.1857761,-0.4473483,-0.42198616,0.6474171,0.7784799,-0.1310628
44,-1.4233111,-2.0986352,"('prejudiced', 'unprejudiced')",-0.5866824,-0.7349907,-1.3284446,-1.337574,-1.1128127,-1.3903999,0.2775872
72,1.4099238,1.4872291,"('unambitious', 'ambitious')",0.73488855,0.97173506,-0.6588787,-0.6865789,0.4953112,0.590795,-0.0954838
75,-1.3371379,-1.7298946,"('meek', 'impulsive')",-0.83262765,-0.5896256,0.060166225,0.052350074,-0.7031998,-0.7557234,0.0525236
42,1.3135002,1.7538656,"('unreliable', 'reliable')",0.9777572,1.0449908,-1.2978302,-1.1789666,0.3311424,0.5399632,-0.2088208
28,1.192772,1.4417924,"('disloyal', 'loyal')",0.96490294,0.89003396,0.08968164,0.040165402,0.7491189,0.7906639,-0.041545
66,-1.1837642,-1.2619039,"('inactive', 'active')",-0.21197924,-0.12157501,1.2856973,1.3240262,-0.036682,-0.0198176,-0.0168644
84,1.130455,1.2167851,"('inferior', 'superior')",0.062178794,0.07352539,-0.39802295,-0.34983674,0.2648703,0.3134913,-0.048621
19,-1.1198337,-1.4265975,"('inhospitable', 'hospitable')",-0.29356503,-0.34987727,-0.3420822,-0.45317885,-0.5851603,-0.7432179,0.1580576
88,-1.076141,-0.82766855,"('low', 'eminent')",-1.0945864,-1.5060273,-0.22082442,-0.41565615,-0.7971839,-0.9164507,0.1192668
27,1.0400648,0.8072372,"('hardhearted', 'softhearted')",0.18736747,0.19881523,0.23991069,0.035208292,0.4891143,0.3470869,0.1420274
87,0.9664727,1.5584912,"('unsuccessful', 'successful')",0.45878512,0.5927296,0.7673648,0.9348869,0.7308742,1.0287026,-0.2978284
26,-0.9581837,-1.4709374,"('hardhearted', 'benevolent')",0.42427582,0.56412256,2.12217,1.7795385,0.5294207,0.2909079,0.2385128
54,-0.85541,-1.0175263,"('incapable', 'capable')",-0.19603151,-0.40767956,1.3603555,1.3256742,0.1029714,-0.0331772,0.1361486
20,0.84839994,0.94606984,"('rough', 'thoughtful')",0.23609915,0.43753302,-0.36621928,-0.23195016,0.2394266,0.3838842,-0.1444576
64,0.8151023,1.4563386,"('shy', 'confident')",0.11406619,0.30201593,-4.109761,-4.1507936,-1.0601976,-0.7974796,-0.262718
40,0.7873565,0.9886205,"('stingy', 'generous')",1.3044397,1.3892617,-0.45853823,-0.511174,0.5444193,0.6222361,-0.0778168
68,0.7001134,0.87651813,"('dependent', 'independent')",-0.42493516,-0.3320079,-2.1401842,-1.9429063,-0.6216687,-0.466132,-0.1555367
29,-0.6268913,-0.60228735,"('unfair', 'fair')",-0.5249728,-0.11245544,-0.6641046,-0.22224118,-0.6053229,-0.312328,-0.2929949
50,-0.60027516,-1.1104718,"('clumsy', 'skillful')",0.042749222,-0.63513416,0.434956,0.2748819,-0.0408566,-0.4902414,0.4493848
38,0.5842695,0.48959213,"('untruthful', 'truthful')",0.64478076,0.652265,0.52047783,0.28497514,0.5831761,0.4756108,0.1075653
67,0.5714842,0.67208725,"('doubtful', 'determined')",0.8907471,1.0149025,-0.49941713,-0.4656654,0.3209381,0.4071081,-0.08617
78,-0.52911556,0.0154745355,"('nonresilient', 'resilient')",-0.61957747,-0.6440003,0.7459744,0.8539893,-0.1342396,0.0751545,-0.2093941
47,0.5180199,0.82986796,"('stupid', 'smart')",0.15531203,0.26121914,2.092152,2.1385756,0.921828,1.0765542,-0.1547262
17,-0.47619608,-0.8313022,"('nasty', 'nice')",-0.32963267,-0.14854872,0.12512404,0.31788582,-0.2269016,-0.220655,-0.0062466
33,-0.4645313,-0.87908095,"('wrong', 'right')",0.1569268,-0.04024505,1.0384285,0.7904188,0.243608,-0.0429691,0.2865771
83,0.37717426,1.006841,"('powerless', 'powerful')",0.27848315,0.35035372,0.15205687,0.14228922,0.2692381,0.4998279,-0.2305898
18,-0.31029975,-0.36201927,"('disagreeable', 'welcoming')",-0.1077813,-0.45299762,-0.3816425,-0.57358086,-0.2665745,-0.4628659,0.1962914
9,0.30946803,-0.15703718,"('unaffectionate', 'caring')",-0.03272079,-0.23382495,1.6242777,1.2879964,0.633675,0.2990448,0.3346302
2,0.26905352,-0.20261395,"('unlikable', 'likable')",0.9984523,0.5742128,1.0018619,0.64415604,0.7564559,0.338585,0.4178709
73,-0.25644845,-0.7677099,"('helpless', 'self-reliant')",0.79294485,0.65330946,-1.0988405,-1.4092516,-0.187448,-0.507884,0.320436
15,-0.20757118,-0.11867831,"('boring', 'funny')",0.40371653,0.5412834,1.4902807,1.4765439,0.5621421,0.6330497,-0.0709076
