,s&p_male,s&p_female,tuple,global_male,global_female,inc_male,inc_female,average_male,average_female,male-female
2,1.5982459,1.7045839,"('unlikable', 'likable')",1.0798343,1.2656718,1.3861187,1.4769058,1.3547328,1.4823872,-0.1276544
73,1.341349,1.126927,"('helpless', 'self-reliant')",0.7148255,0.4579849,1.3230474,1.1454676,1.1264073,0.9101265,0.2162808
28,-1.2062677,-1.2039692,"('disloyal', 'loyal')",-1.2885677,-1.1832848,-1.4682776,-1.4116446,-1.3210376,-1.2662996,-0.054738
42,1.1631622,0.77455604,"('unreliable', 'reliable')",1.2089502,0.8678072,0.763076,0.4826391,1.0450628,0.7083341,0.3367287
64,1.0491319,0.6156422,"('shy', 'confident')",-0.22775003,-0.37394565,0.27499664,-0.101940125,0.3654595,0.0465855,0.318874
62,1.0438837,1.0218372,"('incompetent', 'brilliant')",-1.7253075,-1.5114875,0.5030296,0.54136086,-0.0594647,0.0172369,-0.0767016
57,-0.9503224,-0.9108002,"('unimaginative', 'imaginative')",-1.6839472,-1.6493685,-1.7018783,-1.7701118,-1.4453828,-1.4434268,-0.001956
87,0.93945724,0.7780942,"('unsuccessful', 'successful')",1.3246523,1.3182831,1.7778223,1.7216599,1.3473107,1.2726791,0.0746316
10,-0.9255023,-0.8877548,"('unsympathetic', 'sympathetic')",-2.3287754,-2.090411,-1.3754421,-1.2945104,-1.5432399,-1.4242253,-0.1190146
6,0.900125,0.507867,"('distant', 'open')",1.3612758,1.0833267,0.4899516,0.13902219,0.9171174,0.5767386,0.3403788
1,-0.8994089,-0.8826006,"('unfriendly', 'friendly')",-0.48594287,-0.3308113,-0.6043474,-0.6215872,-0.663233,-0.6116664,-0.0515666
23,-0.8785192,-0.82977474,"('insincere', 'sincere')",-2.0294936,-1.8080792,-0.6661671,-0.4906897,-1.1913933,-1.042848,-0.1485453
0,-0.8766763,-0.97032154,"('unsociable', 'sociable')",-2.8258379,-2.6120641,-0.45750982,-0.40882003,-1.3866747,-1.3304019,-0.0562728
85,0.8581283,1.102985,"('insignificant', 'prestigious')",2.8155618,3.0552626,1.8167473,1.989377,1.8301458,2.0492082,-0.2190624
52,0.8568863,0.709013,"('irrational', 'rational')",1.0909388,1.089605,0.24316517,0.16115378,0.7303301,0.6532573,0.0770728
47,-0.8438562,-1.0252391,"('stupid', 'smart')",-1.3020511,-1.312818,-0.65142035,-0.6639966,-0.9324426,-1.0006846,0.068242
15,0.8165253,0.51709497,"('boring', 'funny')",1.0421116,0.8234821,-0.26797915,-0.26503965,0.5302192,0.3585125,0.1717067
33,0.8132985,0.5504424,"('wrong', 'right')",0.88256645,0.6035534,1.3477936,1.3519392,1.0145528,0.8353117,0.1792411
20,-0.80317336,-0.87494904,"('rough', 'thoughtful')",-1.0699236,-1.0970376,-0.4380135,-0.50546426,-0.7703702,-0.8258169,0.0554467
78,-0.7340472,-0.6518653,"('nonresilient', 'resilient')",-1.4134881,-1.0540493,-0.6078153,-0.6198518,-0.9184502,-0.7752554,-0.1431948
61,0.71592116,0.62564284,"('illogical', 'logical')",-0.93701947,-0.9244166,0.591584,0.4974842,0.1234952,0.0662368,0.0572584
86,-0.69845927,-0.5872442,"('uninfluential', 'influential')",-1.6659356,-1.4851291,-1.3228385,-1.4008837,-1.2290778,-1.1577524,-0.0713254
58,0.6453585,0.5992509,"('undiscriminating', 'discriminating')",0.5128565,0.4303261,0.45853496,0.33081833,0.5389167,0.4534651,0.0854516
82,-0.61805606,-0.5877614,"('poor', 'rich')",-0.59940445,-0.45428577,-1.1624926,-1.2141893,-0.7933177,-0.7520789,-0.0412388
12,0.6164334,0.8599066,"('unsupportive', 'supportive')",-0.76244,-0.44090694,0.78502,0.8175251,0.2130045,0.4121749,-0.1991704
53,-0.5997874,-0.30211878,"('uncreative', 'creative')",-0.24035802,-0.09707626,-1.2537061,-1.2923421,-0.6979505,-0.5638457,-0.1341048
49,-0.59284556,-0.20685855,"('unable', 'able')",-0.8978207,-0.524957,-0.62604535,-0.3428451,-0.7055705,-0.3582202,-0.3473503
