,whirlpool_male,whirlpool_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-3.4435618,-3.4527383,"('unsympathetic', 'sympathetic')",-0.6077544,-0.51420593,-2.0256581,-1.9834721,-0.042186
28,-2.7887902,-2.7548206,"('disloyal', 'loyal')",0.7808684,0.99216235,-1.0039608,-0.8813291,-0.1226317
86,-2.7651062,-2.6979988,"('uninfluential', 'influential')",-0.29963806,-0.49639273,-1.5323721,-1.5971957,0.0648236
24,-2.212596,-2.4031892,"('dishonest', 'honest')",0.6298077,0.9017033,-0.7913941,-0.7507429,-0.0406512
45,-2.2087402,-2.2889671,"('incompetent', 'competent')",0.035973355,-0.13005444,-1.0863835,-1.2095108,0.1231273
12,-2.1082501,-1.9659442,"('unsupportive', 'supportive')",-1.7858517,-1.8664339,-1.9470509,-1.916189,-0.0308619
43,-2.1081274,-2.375733,"('irresponsible', 'responsible')",0.58500147,0.41218945,-0.7615629,-0.9817717,0.2202088
55,-1.905503,-1.852727,"('incompetent', 'clever')",0.36109945,0.39347753,-0.7722018,-0.7296247,-0.0425771
11,-1.8873422,-1.7943482,"('unhelpful', 'helpful')",1.8129954,2.0427573,-0.0371734,0.1242045,-0.1613779
23,-1.8526796,-2.0398405,"('insincere', 'sincere')",5.702067,6.2213683,1.9246936,2.090764,-0.1660704
57,-1.7879575,-1.6979985,"('unimaginative', 'imaginative')",-3.1003008,-3.4994838,-2.4441292,-2.5987411,0.1546119
0,-1.7025226,-1.7758746,"('unsociable', 'sociable')",-0.09972684,-0.30857456,-0.9011247,-1.0422246,0.1410999
1,-1.6867164,-1.6147208,"('unfriendly', 'friendly')",1.4827195,1.4196053,-0.1019984,-0.0975578,-0.0044406
46,-1.6820635,-1.6719326,"('uncompetitive', 'competitive')",-0.9184069,-0.83350503,-1.3002352,-1.2527188,-0.0475164
13,-1.6661128,-1.9610573,"('impolite', 'polite')",-0.35415992,-0.55815405,-1.0101364,-1.2596056,0.2494692
48,-1.6624308,-1.5685077,"('unintelligent', 'intelligent')",1.1369631,1.3025497,-0.2627338,-0.132979,-0.1297548
70,-1.6305186,-1.6120638,"('lethargic', 'energetic')",-0.026855674,0.0135058835,-0.8286871,-0.7992789,-0.0294082
81,-1.6023406,-1.6748241,"('submissive', 'aggressive')",-0.39322424,-0.3147195,-0.9977824,-0.9947718,-0.0030106
9,-1.5738363,-1.5158834,"('unaffectionate', 'caring')",1.1494654,1.3530917,-0.2121854,-0.0813959,-0.1307895
62,-1.5053157,-1.423854,"('incompetent', 'brilliant')",0.7218078,0.89883506,-0.3917539,-0.2625095,-0.1292444
7,-1.4749516,-1.4928424,"('insensitive', 'sensitive')",0.37869102,0.38070515,-0.5481303,-0.5560687,0.0079384
30,-1.4682856,-1.755368,"('intolerant', 'tolerant')",0.94494677,0.7438511,-0.2616694,-0.5057584,0.244089
60,-1.4552149,-1.366501,"('inefficient', 'efficient')",0.3778483,0.312063,-0.5386833,-0.527219,-0.0114643
35,1.4504665,1.5243517,"('corrupt', 'incorrupt')",-0.626402,-0.6034744,0.4120322,0.4604387,-0.0484065
21,-1.4198811,-1.313796,"('immoral', 'moral')",-0.42299613,-0.42365295,-0.9214386,-0.8687245,-0.0527141
69,1.4104218,1.3574593,"('lazy', 'industrious')",-0.48284,-0.70179635,0.4637909,0.3278315,0.1359594
41,-1.3598845,-1.497736,"('unforgiving', 'forgiving')",-0.13663109,-0.57930744,-0.7482578,-1.0385218,0.290264
8,-1.3437954,-1.5050504,"('unaffectionate', 'affectionate')",0.5354015,0.5446503,-0.4041969,-0.4802001,0.0760032
