,cameron_male,cameron_female,tuple,international_male,international_female,corp_male,corp_female,average_male,average_female,male-female
12,3.0254679,3.037046,"('unsupportive', 'supportive')",0.30939573,0.33376965,-2.1469274,-1.8441137,0.3959788,0.5089006,-0.1129218
9,2.6177988,3.1919558,"('unaffectionate', 'caring')",0.3766244,0.81496596,1.3082395,1.3512352,1.4342209,1.7860524,-0.3518315
74,2.3241868,2.2135983,"('undedicated', 'dedicated')",0.73138934,0.739598,-0.271597,-0.26074928,0.9279931,0.8974823,0.0305108
39,2.3202336,1.9694842,"('exploitative', 'cooperative')",0.5334839,0.392523,0.35686612,0.24675113,1.0701946,0.8695861,0.2006085
16,-2.0896468,-1.4873246,"('unpopular', 'popular')",-0.07882706,0.18070117,-0.13597976,0.16587776,-0.7681512,-0.3802485,-0.3879027
2,1.8838687,2.1717348,"('unlikable', 'likable')",1.3342278,1.46681,0.5656667,0.8494249,1.2612544,1.49599,-0.2347356
43,1.8246804,1.3204262,"('irresponsible', 'responsible')",0.14417012,-0.18679376,0.29888356,-0.009983111,0.7559114,0.3745498,0.3813616
62,1.6631893,1.0823662,"('incompetent', 'brilliant')",0.83533585,0.39440542,0.5485842,0.40543193,1.0157031,0.6274012,0.3883019
44,-1.5954862,-1.704443,"('prejudiced', 'unprejudiced')",0.13076138,0.20481893,-1.3642297,-1.3680611,-0.9429848,-0.955895,0.0129102
73,1.5669996,1.6190059,"('helpless', 'self-reliant')",0.6657287,0.7832174,-3.1835387,-2.8717096,-0.3169368,-0.1564954,-0.1604414
28,1.5486895,1.6148582,"('disloyal', 'loyal')",-0.20668574,-0.1842075,1.2359701,0.9490288,0.8593246,0.7932265,0.0660981
38,1.468716,1.4122697,"('untruthful', 'truthful')",-0.2360517,-0.12130856,-0.33260125,-0.19400935,0.300021,0.3656506,-0.0656296
8,1.4503605,2.170123,"('unaffectionate', 'affectionate')",-0.06105502,0.37868243,0.72942054,0.8045863,0.706242,1.1177972,-0.4115552
30,1.3989948,0.88426894,"('intolerant', 'tolerant')",0.1751261,-0.085414685,0.27112722,0.027650766,0.6150827,0.2755017,0.339581
56,1.3660566,0.69217044,"('impractical', 'practical')",0.9151421,0.3374367,-0.6733973,-1.0514219,0.5359338,-0.0072716,0.5432054
7,1.3351042,1.1896613,"('insensitive', 'sensitive')",0.18617353,0.06568323,0.7515406,0.74876934,0.7576061,0.668038,0.0895681
71,1.3260382,1.3073525,"('diffident', 'self-confident')",0.86807156,0.926941,0.2197542,0.232771,0.8046214,0.8223548,-0.0177334
55,1.2607238,0.78516555,"('incompetent', 'clever')",-0.6303912,-1.0384581,0.24019226,0.03487416,0.290175,-0.0728061,0.3629811
24,1.2566599,0.94420516,"('dishonest', 'honest')",-0.20911236,-0.26451877,0.46858412,0.42289948,0.5053772,0.3675286,0.1378486
84,1.2459562,1.1581582,"('inferior', 'superior')",0.34196195,0.26896775,0.7613977,0.879934,0.7831053,0.76902,0.0140853
0,1.1721405,0.9471272,"('unsociable', 'sociable')",-0.21773605,-0.5369397,-0.41979298,-0.67104524,0.1782038,-0.0869526,0.2651564
23,1.1275734,0.7730105,"('insincere', 'sincere')",0.08554666,0.011436913,6.4429164,5.623387,2.5520121,2.1359447,0.4160674
70,1.1226816,0.49479187,"('lethargic', 'energetic')",0.60433245,0.28226125,0.30369914,0.03422212,0.6769044,0.2704251,0.4064793
