,mckesson_male,mckesson_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.398392,-2.2657158,"('unsympathetic', 'sympathetic')",0.58598673,0.3094165,-0.9062026,-0.9781497,0.0719471
23,-2.131313,-1.4765126,"('insincere', 'sincere')",5.1916776,5.257575,1.5301822,1.8905313,-0.3603491
69,2.0594094,1.6803052,"('lazy', 'industrious')",-0.6358877,-0.51953834,0.7117609,0.5803834,0.1313775
43,-1.7056919,-1.2811909,"('irresponsible', 'responsible')",0.7962661,0.8504681,-0.4547129,-0.2153614,-0.2393515
63,-1.6839161,-1.3284824,"('unperceptive', 'insightful')",1.7849983,1.7838644,0.0505411,0.227691,-0.1771499
0,-1.6688384,-1.7492996,"('unsociable', 'sociable')",-0.4524135,-0.7342002,-1.0606259,-1.2417499,0.181124
65,-1.6637101,-1.3520346,"('insecure', 'secure')",-0.5811955,-0.41763002,-1.1224527,-0.8848323,-0.2376204
85,1.6339034,1.2245309,"('insignificant', 'prestigious')",0.032987617,0.16127458,0.8334455,0.6929027,0.1405428
11,-1.5990518,-1.1840389,"('unhelpful', 'helpful')",2.341376,2.2802937,0.3711621,0.5481274,-0.1769653
86,-1.5981805,-1.8045866,"('uninfluential', 'influential')",0.57570446,0.16350381,-0.511238,-0.8205414,0.3093034
48,-1.5829877,-1.7408354,"('unintelligent', 'intelligent')",0.74867433,0.59986234,-0.4171567,-0.5704865,0.1533298
81,-1.576596,-1.317838,"('submissive', 'aggressive')",-0.40349075,-0.27998316,-0.9900434,-0.7989106,-0.1911328
21,-1.5400583,-1.3468057,"('immoral', 'moral')",-0.86500436,-0.65083617,-1.2025313,-0.9988209,-0.2037104
35,1.5297207,1.1603897,"('corrupt', 'incorrupt')",-0.744261,-0.6001756,0.3927298,0.280107,0.1126228
14,-1.4460953,-1.1776516,"('antisocial', 'social')",-1.0158166,-0.88975877,-1.230956,-1.0337052,-0.1972508
72,-1.3665754,-1.2355803,"('unambitious', 'ambitious')",-0.9277838,-0.9316981,-1.1471796,-1.0836391,-0.0635405
73,1.3531499,1.4313489,"('helpless', 'self-reliant')",-2.69922,-2.5738523,-0.673035,-0.5712517,-0.1017833
46,-1.3208165,-1.1757457,"('uncompetitive', 'competitive')",0.64300925,0.52605253,-0.3389036,-0.3248466,-0.014057
57,-1.3050699,-1.5590186,"('unimaginative', 'imaginative')",-1.6682626,-1.984716,-1.4866662,-1.7718673,0.2852011
3,-1.2833052,-0.93178505,"('repellent', 'pleasant')",0.020088688,0.010732109,-0.6316082,-0.4605265,-0.1710817
4,1.2444491,1.1181532,"('disliked', 'liked')",-5.445806,-5.387093,-2.1006784,-2.13447,0.0337916
5,1.2364417,1.0999061,"('distant', 'outgoing')",-0.40300617,-0.35324275,0.4167178,0.3733317,0.0433861
47,-1.2315271,-1.0491188,"('stupid', 'smart')",4.4700685,4.470278,1.6192707,1.7105795,-0.0913088
62,-1.2199874,-0.71904385,"('incompetent', 'brilliant')",0.6202557,0.7716012,-0.2998658,0.0262787,-0.3261445
1,-1.2085124,-1.3915973,"('unfriendly', 'friendly')",1.3220414,1.1704733,0.0567645,-0.110562,0.1673265
60,-1.193302,-0.60029274,"('inefficient', 'efficient')",0.3930085,0.6078137,-0.4001468,0.0037605,-0.4039073
32,-1.162277,-0.8386809,"('unkind', 'kind')",0.6906113,0.7668842,-0.2358328,-0.0358984,-0.1999344
12,-1.1559815,-1.0075972,"('unsupportive', 'supportive')",-1.025984,-1.0752429,-1.0909828,-1.04142,-0.0495628
6,1.1258752,0.83863115,"('distant', 'open')",0.12732321,0.035354804,0.6265992,0.436993,0.1896062
55,-1.0968877,-1.0544578,"('incompetent', 'clever')",0.29416642,0.1660797,-0.4013606,-0.444189,0.0428284
75,1.0839891,0.94850224,"('meek', 'impulsive')",-0.3039397,-0.1743179,0.3900247,0.3870922,0.0029325
70,-1.0809034,-0.79442596,"('lethargic', 'energetic')",1.4193317,1.4558451,0.1692141,0.3307096,-0.1614955
30,-1.0532947,-0.65125847,"('intolerant', 'tolerant')",0.9466161,1.1082882,-0.0533393,0.2285149,-0.2818542
7,-1.0295078,-0.63579166,"('insensitive', 'sensitive')",0.70411086,0.72614205,-0.1626984,0.0451752,-0.2078736
79,0.9891437,0.6691073,"('wavering', 'unwavering')",0.36260447,0.22310647,0.6758741,0.4461069,0.2297672
13,-0.98868054,-0.5021136,"('impolite', 'polite')",-0.3187007,-0.1289888,-0.6536906,-0.3155512,-0.3381394
66,0.9688419,0.33424154,"('inactive', 'active')",1.0028281,0.7183392,0.985835,0.5262904,0.4595446
