,qlogic_male,qlogic_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-1.6709502,-2.117698,"('unsympathetic', 'sympathetic')",-0.8185352,-1.1428434,-1.2447426,-1.6302707,0.3855281
73,1.4397728,1.3612688,"('helpless', 'self-reliant')",-2.9723535,-2.680353,-0.7662903,-0.6595421,-0.1067482
66,-1.4389343,-1.6558397,"('inactive', 'active')",0.24244505,0.2574294,-0.5982447,-0.6992052,0.1009605
53,-1.2096506,-1.0895343,"('uncreative', 'creative')",0.5853928,0.7169163,-0.3121289,-0.186309,-0.1258199
57,-1.047551,-1.1902676,"('unimaginative', 'imaginative')",-3.2109604,-3.379482,-2.1292558,-2.2848749,0.1556191
39,0.89281017,0.7599552,"('exploitative', 'cooperative')",-0.06772567,-0.072644785,0.4125423,0.3436552,0.0688871
86,-0.80551374,-1.3166575,"('uninfluential', 'influential')",-0.30033153,-0.6470914,-0.5529226,-0.9818745,0.4289519
79,-0.7991691,-0.7260251,"('wavering', 'unwavering')",-0.22867197,-0.04986769,-0.5139205,-0.3879464,-0.1259741
0,-0.70643646,-1.158053,"('unsociable', 'sociable')",-0.3905147,-0.64536893,-0.5484756,-0.901711,0.3532354
8,-0.6811331,-0.24413252,"('unaffectionate', 'affectionate')",0.8976645,1.5015247,0.1082657,0.6286961,-0.5204304
84,0.63849884,0.5632791,"('inferior', 'superior')",1.0550624,1.0472426,0.8467807,0.8052609,0.0415198
72,-0.62742,-0.25179824,"('unambitious', 'ambitious')",-0.4706868,-0.17181228,-0.5490534,-0.2118053,-0.3372481
43,-0.60826755,-1.0020922,"('irresponsible', 'responsible')",0.09189891,-0.11615095,-0.2581843,-0.5591216,0.3009373
46,-0.5761517,-1.0890762,"('uncompetitive', 'competitive')",-0.99867725,-1.339274,-0.7874145,-1.2141751,0.4267606
75,-0.57447815,-0.6597167,"('meek', 'impulsive')",-0.62811804,-0.66763705,-0.6012981,-0.6636769,0.0623788
70,-0.5415298,-0.9023021,"('lethargic', 'energetic')",-0.15650553,-0.37399584,-0.3490176,-0.638149,0.2891314
62,0.5397286,0.21840784,"('incompetent', 'brilliant')",0.4882799,0.3507306,0.5140042,0.2845692,0.229435
71,0.53816503,0.93660635,"('diffident', 'self-confident')",0.24340795,0.6235937,0.3907865,0.7801,-0.3893135
88,-0.535077,-0.7411711,"('low', 'eminent')",-0.37309203,-0.40258068,-0.4540845,-0.5718759,0.1177914
60,0.5307873,-0.0046371445,"('inefficient', 'efficient')",-0.23951186,-0.7145644,0.1456377,-0.3596008,0.5052385
30,0.52199006,0.06937683,"('intolerant', 'tolerant')",0.549278,0.2862975,0.535634,0.1778372,0.3577968
13,-0.51794267,-1.4209615,"('impolite', 'polite')",-0.775638,-1.2948843,-0.6467903,-1.3579229,0.7111326
56,0.49963588,-0.0047822744,"('impractical', 'practical')",-0.76397806,-1.147784,-0.1321711,-0.5762832,0.4441121
36,-0.49819064,-0.08896226,"('hostile', 'amicable')",0.034481414,0.43323365,-0.2318546,0.1721357,-0.4039903
69,0.4782037,0.7871799,"('lazy', 'industrious')",-0.85498583,-0.53608704,-0.1883911,0.1255464,-0.3139375
16,-0.4766491,-0.2972598,"('unpopular', 'popular')",0.37273562,0.46887785,-0.0519567,0.085809,-0.1377657
7,-0.44320267,-0.3630128,"('insensitive', 'sensitive')",0.39347872,0.66342986,-0.024862,0.1502085,-0.1750705
