,xilinx_male,xilinx_female,tuple,inc_male,inc_female,average_male,average_female,male-female
10,-2.1607525,-2.275588,"('unsympathetic', 'sympathetic')",-0.63078034,-0.7132,-1.3957665,-1.4943941,0.0986276
45,-1.585205,-1.6059417,"('incompetent', 'competent')",-0.39598647,-0.33110705,-0.9905957,-0.9685243,-0.0220714
46,-1.3951976,-1.5253905,"('uncompetitive', 'competitive')",-0.77364093,-0.9552631,-1.0844193,-1.2403268,0.1559075
39,1.3822739,1.373544,"('exploitative', 'cooperative')",0.2340078,0.2781912,0.8081409,0.8258676,-0.0177267
69,1.3392092,1.4345219,"('lazy', 'industrious')",-0.18991044,-0.11993383,0.5746494,0.657294,-0.0826446
70,-1.2518818,-1.4115711,"('lethargic', 'energetic')",0.3864162,0.20818856,-0.4327328,-0.6016913,0.1689585
57,-1.2492542,-1.2353804,"('unimaginative', 'imaginative')",-2.417795,-2.471154,-1.8335246,-1.8532672,0.0197426
21,-1.144905,-1.1007887,"('immoral', 'moral')",-0.90976524,-0.8777734,-1.0273352,-0.9892811,-0.0380541
13,-1.144606,-1.2747133,"('impolite', 'polite')",-0.69371486,-0.69922626,-0.9191604,-0.9869698,0.0678094
51,-1.0950791,-1.2063781,"('uneducated', 'educated')",0.34240568,0.2227813,-0.3763367,-0.4917984,0.1154617
72,-1.0810683,-1.006125,"('unambitious', 'ambitious')",-0.9799528,-0.97075844,-1.0305105,-0.9884417,-0.0420688
0,-1.0642961,-1.1333524,"('unsociable', 'sociable')",-0.43948868,-0.38693863,-0.7518924,-0.7601455,0.0082531
86,-1.0468196,-1.0846496,"('uninfluential', 'influential')",-0.21993375,-0.28034115,-0.6333767,-0.6824954,0.0491187
73,0.98441476,1.0154358,"('helpless', 'self-reliant')",-2.8424504,-2.9703133,-0.9290178,-0.9774387,0.0484209
59,0.9722678,1.1795468,"('foolish', 'wise')",0.6993391,0.79350495,0.8358034,0.9865259,-0.1507225
85,0.9402659,1.0137225,"('insignificant', 'prestigious')",1.074997,1.2494427,1.0076314,1.1315826,-0.1239512
35,0.9041779,1.1405178,"('corrupt', 'incorrupt')",0.23173015,0.36084718,0.567954,0.7506825,-0.1827285
76,-0.88381004,-0.87993246,"('anxious', 'daring')",0.10675873,0.23986255,-0.3885257,-0.320035,-0.0684907
60,-0.87758225,-0.9509956,"('inefficient', 'efficient')",-0.41195324,-0.29673204,-0.6447678,-0.6238638,-0.020904
63,-0.8493201,-0.9948476,"('unperceptive', 'insightful')",0.65733993,0.5096296,-0.0959901,-0.242609,0.1466189
55,-0.8390317,-0.79246646,"('incompetent', 'clever')",-0.16156147,-0.101341926,-0.5002966,-0.4469042,-0.0533924
65,-0.81110245,-0.75011283,"('insecure', 'secure')",-0.5833238,-0.60461885,-0.6972131,-0.6773658,-0.0198473
7,-0.8099523,-0.8255572,"('insensitive', 'sensitive')",0.5214053,0.4440205,-0.1442735,-0.1907683,0.0464948
38,-0.7905188,-0.67694587,"('untruthful', 'truthful')",-0.48108542,-0.2886707,-0.6358021,-0.4828083,-0.1529938
23,-0.78157294,-0.8139964,"('insincere', 'sincere')",5.044756,5.2615247,2.1315916,2.2237642,-0.0921726
78,-0.77750677,-0.89112836,"('nonresilient', 'resilient')",0.4418461,0.27818623,-0.1678303,-0.306471,0.1386407
43,-0.77239704,-0.82919353,"('irresponsible', 'responsible')",0.28199166,0.35167947,-0.2452027,-0.238757,-0.0064457
81,-0.76923305,-0.7119356,"('submissive', 'aggressive')",-1.2787123,-1.234025,-1.0239726,-0.9729803,-0.0509923
11,-0.7634718,-0.79807323,"('unhelpful', 'helpful')",1.1734436,1.2597584,0.2049859,0.2308426,-0.0258567
2,0.7564877,0.86807317,"('unlikable', 'likable')",0.48147094,0.716893,0.6189793,0.7924831,-0.1735038
84,0.7510582,0.7751882,"('inferior', 'superior')",1.1194088,1.1248199,0.9352335,0.950004,-0.0147705
56,-0.7400695,-0.7150735,"('impractical', 'practical')",-0.5212855,-0.42862323,-0.6306775,-0.5718484,-0.0588291
52,0.73954904,0.75319904,"('irrational', 'rational')",0.5452673,0.5953546,0.6424081,0.6742768,-0.0318687
