,nicor_male,nicor_female,tuple,inc_male,inc_female,average_male,average_female,male-female
36,-1.7926158,-1.6996229,"('hostile', 'amicable')",0.17376629,0.15938231,-0.8094248,-0.7701203,-0.0393045
31,-1.6707292,-1.5797733,"('evil', 'good')",-0.7759682,-0.84414846,-1.2233486,-1.2119609,-0.0113877
6,-1.6337142,-1.844565,"('distant', 'open')",0.024934068,-0.07982837,-0.8043901,-0.9621967,0.1578066
81,1.4631536,1.7423776,"('submissive', 'aggressive')",-0.6426081,-0.53211474,0.4102727,0.6051314,-0.1948587
53,-1.4465154,-1.4109502,"('uncreative', 'creative')",0.6976508,0.643097,-0.3744323,-0.3839266,0.0094943
5,-1.4264524,-1.7661318,"('distant', 'outgoing')",-0.44206274,-0.5683569,-0.9342576,-1.1672443,0.2329867
79,-1.2507576,-1.3994617,"('wavering', 'unwavering')",-0.16781215,-0.3143099,-0.7092848,-0.8568858,0.147601
1,-1.2123121,-1.1683093,"('unfriendly', 'friendly')",1.6993754,1.6312065,0.2435316,0.2314486,0.012083
56,1.0812165,1.2329277,"('impractical', 'practical')",-0.16655648,-0.106272615,0.45733,0.5633276,-0.1059976
14,1.0291094,0.97423166,"('antisocial', 'social')",-0.28072095,-0.24937299,0.3741942,0.3624293,0.0117649
62,1.0008163,1.1926241,"('incompetent', 'brilliant')",0.18408023,0.27771667,0.5924483,0.7351704,-0.1427221
88,-0.974753,-0.9540136,"('low', 'eminent')",0.18644163,0.20393506,-0.3941557,-0.3750393,-0.0191164
70,0.9585124,0.8568139,"('lethargic', 'energetic')",0.98854464,0.8177655,0.9735285,0.8372897,0.1362388
60,0.9429855,1.087349,"('inefficient', 'efficient')",-0.012891125,0.13624516,0.4650472,0.6117971,-0.1467499
30,0.9194134,1.0420914,"('intolerant', 'tolerant')",1.3859444,1.3697879,1.1526788,1.2059397,-0.0532609
19,-0.90929943,-1.0803329,"('inhospitable', 'hospitable')",-0.11967704,-0.2817429,-0.5144882,-0.6810379,0.1665497
39,0.9080542,0.74390364,"('exploitative', 'cooperative')",0.061327685,0.15346907,0.4846909,0.4486864,0.0360045
18,-0.8970305,-0.5424159,"('disagreeable', 'welcoming')",-0.4576096,-0.3986709,-0.67732,-0.4705434,-0.2067766
4,-0.87638766,-0.88650537,"('disliked', 'liked')",-5.7699823,-6.097335,-3.323185,-3.49192,0.168735
43,0.8456567,0.8756853,"('irresponsible', 'responsible')",0.6784721,0.6064863,0.7620644,0.7410858,0.0209786
87,0.8426918,0.58268404,"('unsuccessful', 'successful')",1.0952145,0.9819277,0.9689531,0.7823058,0.1866473
86,-0.83861476,-0.83488196,"('uninfluential', 'influential')",-0.02096662,-0.32694682,-0.4297907,-0.5809144,0.1511237
73,0.794188,0.78440297,"('helpless', 'self-reliant')",-2.4897094,-2.54874,-0.8477607,-0.8821685,0.0344078
80,0.7861445,0.6180194,"('dominated', 'dominating')",-1.276899,-1.3979858,-0.2453772,-0.3899832,0.144606
37,0.74548626,0.58351225,"('fake', 'genuine')",0.5367759,0.50873435,0.641131,0.5461233,0.0950077
72,-0.71388286,-0.338562,"('unambitious', 'ambitious')",-1.0245454,-0.79759485,-0.8692142,-0.5680784,-0.3011358
8,-0.703596,-0.5931071,"('unaffectionate', 'affectionate')",0.92080444,0.94541556,0.1086042,0.1761542,-0.06755
9,-0.69163007,-0.69707644,"('unaffectionate', 'caring')",1.0810717,0.9064398,0.1947208,0.1046817,0.0900391
55,0.68133795,0.8712681,"('incompetent', 'clever')",0.2286125,0.23737973,0.4549752,0.5543239,-0.0993487
74,0.6570271,0.74162376,"('undedicated', 'dedicated')",0.40611655,0.3566056,0.5315719,0.5491147,-0.0175428
21,0.63790745,0.7740594,"('immoral', 'moral')",-0.4494667,-0.47946355,0.0942204,0.1472979,-0.0530775
83,-0.61371595,-0.56347185,"('powerless', 'powerful')",-0.8676604,-0.81534296,-0.7406882,-0.6894074,-0.0512808
84,0.61082345,0.41956964,"('inferior', 'superior')",1.2279423,1.0912485,0.9193829,0.7554091,0.1639738
76,0.60519546,0.62684596,"('anxious', 'daring')",0.050243147,0.2612126,0.3277193,0.4440293,-0.11631
33,0.6046199,0.48747948,"('wrong', 'right')",-0.6364145,-0.6790459,-0.0158973,-0.0957832,0.0798859
58,0.5685497,0.37790108,"('undiscriminating', 'discriminating')",0.42510414,0.1925441,0.4968269,0.2852226,0.2116043
85,-0.56437165,-0.6979234,"('insignificant', 'prestigious')",0.84626323,0.7585086,0.1409458,0.0302926,0.1106532
67,0.5523291,0.40065947,"('doubtful', 'determined')",-0.6874684,-0.4538335,-0.0675696,-0.026587,-0.0409826
57,-0.5499805,-0.5100872,"('unimaginative', 'imaginative')",-1.8147469,-2.1677206,-1.1823637,-1.3389039,0.1565402
15,-0.5419309,-0.6016944,"('boring', 'funny')",0.36015484,0.3942116,-0.090888,-0.1037414,0.0128534
7,0.54078907,0.51979625,"('insensitive', 'sensitive')",0.7974463,0.57876265,0.6691177,0.5492795,0.1198382
71,-0.53548175,-0.8185276,"('diffident', 'self-confident')",0.62852365,0.3965239,0.0465209,-0.2110018,0.2575227
16,-0.5119957,-0.19911204,"('unpopular', 'popular')",0.38096043,0.41057304,-0.0655176,0.1057305,-0.1712481
75,-0.4955364,-0.29432607,"('meek', 'impulsive')",-0.6295273,-0.4321918,-0.5625318,-0.3632589,-0.1992729
25,-0.4954234,-0.63994473,"('egoistic', 'altruistic')",1.4196161,1.5469438,0.4620963,0.4534995,0.0085968
52,-0.48828182,-0.49735227,"('irrational', 'rational')",0.23887792,0.14956802,-0.1247019,-0.1738921,0.0491902
68,-0.47411776,-0.60918415,"('dependent', 'independent')",-0.56861794,-0.7748806,-0.5213678,-0.6920323,0.1706645
11,0.4738326,0.5429673,"('unhelpful', 'helpful')",1.4742595,1.4044529,0.9740461,0.9737101,0.000336
2,0.4603865,0.6575989,"('unlikable', 'likable')",0.31825727,0.56784374,0.3893219,0.6127213,-0.2233994
40,-0.45003626,-0.033919036,"('stingy', 'generous')",-1.0505795,-1.3584853,-0.7503079,-0.6962022,-0.0541057
49,-0.43943024,-0.36725816,"('unable', 'able')",-0.25587192,-0.2116661,-0.3476511,-0.2894621,-0.058189
42,0.43079415,0.5061899,"('unreliable', 'reliable')",-2.672023,-2.8851457,-1.1206144,-1.1894779,0.0688635
35,-0.41790673,-0.5661696,"('corrupt', 'incorrupt')",-0.23177005,-0.14608411,-0.3248384,-0.3561269,0.0312885
82,-0.38642046,0.08263096,"('poor', 'rich')",5.218926,5.656111,2.4162529,2.8693709,-0.453118
77,-0.37798458,-0.40537542,"('unmotivated', 'motivated')",-1.0651786,-1.1227309,-0.7215816,-0.7640531,0.0424715
47,0.36969334,0.52034736,"('stupid', 'smart')",4.624459,5.02277,2.497076,2.7715588,-0.2744828
66,-0.31501836,-0.75826997,"('inactive', 'active')",0.94705355,0.6358612,0.3160176,-0.0612044,0.377222
38,-0.30854765,-0.21503161,"('untruthful', 'truthful')",-0.4662033,-0.44317648,-0.3873755,-0.329104,-0.0582715
22,0.30658132,0.33212394,"('untrustworthy', 'trustworthy')",-0.9093796,-0.9435326,-0.3013991,-0.3057043,0.0043052
10,0.2923036,0.35984123,"('unsympathetic', 'sympathetic')",0.011800716,-0.31486988,0.1520521,0.0224857,0.1295664
32,-0.28398228,-0.18099946,"('unkind', 'kind')",0.66103995,0.63983476,0.1885288,0.2294177,-0.0408889
27,-0.26226294,-0.39617872,"('hardhearted', 'softhearted')",1.6047046,1.3187556,0.6712208,0.4612885,0.2099323
51,-0.2588827,-0.25876927,"('uneducated', 'educated')",0.3355031,0.14407592,0.0383102,-0.0573467,0.0956569
45,0.24779445,0.37663013,"('incompetent', 'competent')",0.13882975,0.02978788,0.1933121,0.203209,-0.0098969
78,-0.22537753,-0.23322374,"('nonresilient', 'resilient')",0.5742723,0.3480035,0.1744474,0.0573899,0.1170575
59,0.22262041,0.35838154,"('foolish', 'wise')",0.3003925,0.33470306,0.2615065,0.3465423,-0.0850358
54,-0.22097985,-0.27338055,"('incapable', 'capable')",0.86830163,1.0808346,0.3236609,0.4037271,-0.0800662
13,0.21545255,0.20481557,"('impolite', 'polite')",-0.63704383,-0.6974506,-0.2107956,-0.2463175,0.0355219
41,0.19463798,0.56948733,"('unforgiving', 'forgiving')",0.13321775,-0.119405836,0.1639279,0.2250407,-0.0611128
44,-0.18994886,-0.36191836,"('prejudiced', 'unprejudiced')",-1.4361337,-1.2888473,-0.8130413,-0.8253828,0.0123415
48,-0.18664156,-0.016062096,"('unintelligent', 'intelligent')",0.6830771,0.60908884,0.2482178,0.2965134,-0.0482956
65,0.17949091,0.33516285,"('insecure', 'secure')",-0.5538798,-0.42028338,-0.1871944,-0.0425603,-0.1446341
34,-0.17946371,-0.12782465,"('mean', 'honorable')",5.469971,5.6687655,2.6452537,2.7704704,-0.1252167
