,ciena_male,ciena_female,tuple,corp_male,corp_female,average_male,average_female,male-female
86,-1.5918527,-1.823679,"('uninfluential', 'influential')",-0.5164552,-0.8728494,-1.0541539,-1.3482642,0.2941103
53,-1.4628944,-1.5777638,"('uncreative', 'creative')",0.3832656,0.17947303,-0.5398144,-0.6991454,0.159331
10,-1.4474338,-1.4672729,"('unsympathetic', 'sympathetic')",-0.26047269,-0.5870205,-0.8539532,-1.0271467,0.1731935
19,-1.4066808,-1.2730348,"('inhospitable', 'hospitable')",-1.0283321,-0.70077723,-1.2175064,-0.9869061,-0.2306003
57,-1.4038297,-1.6036415,"('unimaginative', 'imaginative')",-2.9983084,-3.1792254,-2.2010691,-2.3914335,0.1903644
1,-1.3775018,-1.7034428,"('unfriendly', 'friendly')",0.9812608,0.66098577,-0.1981205,-0.5212286,0.3231081
79,-1.2546577,-1.152853,"('wavering', 'unwavering')",-1.0513636,-0.655538,-1.1530106,-0.9041955,-0.2488151
2,1.235053,1.1575961,"('unlikable', 'likable')",0.51594085,0.58302575,0.8754969,0.8703109,0.005186
39,1.1698575,0.80846816,"('exploitative', 'cooperative')",0.25246936,0.13977608,0.7111634,0.4741221,0.2370413
23,-1.091214,-1.0096065,"('insincere', 'sincere')",5.74349,5.296737,2.326138,2.1435654,0.1825726
45,-1.0219221,-1.0559907,"('incompetent', 'competent')",0.02623795,-0.26988778,-0.4978421,-0.6629393,0.1650972
38,-0.94091225,-0.69684994,"('untruthful', 'truthful')",-0.36017317,0.09481081,-0.6505427,-0.3010195,-0.3495232
84,0.92242604,0.89699596,"('inferior', 'superior')",1.0344211,1.1676266,0.9784236,1.0323113,-0.0538877
5,-0.9108828,-0.9479264,"('distant', 'outgoing')",-0.8806588,-0.5445751,-0.8957708,-0.7462507,-0.1495201
8,-0.8901751,-1.0578169,"('unaffectionate', 'affectionate')",0.30764386,0.14116652,-0.2912656,-0.4583252,0.1670596
62,0.8737372,1.0196292,"('incompetent', 'brilliant')",0.88069725,0.9189501,0.8772172,0.9692897,-0.0920725
6,-0.8590431,-0.85446846,"('distant', 'open')",-0.90996665,-0.69935983,-0.8845049,-0.7769141,-0.1075908
69,0.81903505,0.5149232,"('lazy', 'industrious')",-0.8062717,-0.43480456,0.0063817,0.0400593,-0.0336776
9,-0.81155384,-0.9428125,"('unaffectionate', 'caring')",0.9207869,0.80642927,0.0546165,-0.0681916,0.1228081
31,-0.81134105,-1.0076008,"('evil', 'good')",-1.1125759,-1.0517567,-0.9619585,-1.0296788,0.0677203
78,-0.78876,-0.98082817,"('nonresilient', 'resilient')",0.07457496,-0.032605506,-0.3570925,-0.5067168,0.1496243
63,-0.7647733,-0.6398065,"('unperceptive', 'insightful')",0.59618294,0.41062188,-0.0842952,-0.1145923,0.0302971
82,-0.7613292,-0.7152198,"('poor', 'rich')",6.2638826,5.797281,2.7512767,2.5410304,0.2102463
60,0.7530885,0.5180859,"('inefficient', 'efficient')",0.7099311,0.35271344,0.7315098,0.4353997,0.2961101
28,-0.749874,-0.9317659,"('disloyal', 'loyal')",0.9353499,0.5373575,0.0927379,-0.1972042,0.2899421
36,-0.7432344,-0.8253957,"('hostile', 'amicable')",-0.69820434,-0.6039224,-0.7207193,-0.7146591,-0.0060602
76,0.74200004,0.88926816,"('anxious', 'daring')",-0.08668863,-0.1482167,0.3276557,0.3705257,-0.04287
46,-0.7080097,-0.9170489,"('uncompetitive', 'competitive')",-0.62137884,-0.9486117,-0.6646943,-0.9328303,0.268136
12,-0.6729071,-0.6404239,"('unsupportive', 'supportive')",-2.1639082,-2.1165252,-1.4184077,-1.3784745,-0.0399332
7,-0.62352943,-0.6646447,"('insensitive', 'sensitive')",0.22834623,-0.10602117,-0.1975916,-0.3853329,0.1877413
13,-0.6056299,-0.72109985,"('impolite', 'polite')",-0.58841515,-0.81038874,-0.5970225,-0.7657443,0.1687218
42,0.5959549,0.7631684,"('unreliable', 'reliable')",-3.2800593,-3.1059196,-1.3420522,-1.1713756,-0.1706766
73,0.59025246,0.712716,"('helpless', 'self-reliant')",-3.247663,-2.8870509,-1.3287053,-1.0871675,-0.2415378
54,-0.5840411,-0.47248608,"('incapable', 'capable')",0.5379521,0.8270287,-0.0230445,0.1772713,-0.2003158
65,0.55200434,0.3170264,"('insecure', 'secure')",-0.05602342,-0.22846448,0.2479905,0.044281,0.2037095
43,-0.5265141,-0.5532367,"('irresponsible', 'responsible')",0.34917822,0.09113514,-0.0886679,-0.2310508,0.1423829
35,-0.5195746,-0.34644774,"('corrupt', 'incorrupt')",-0.8231638,-0.5394906,-0.6713692,-0.4429691,-0.2284001
24,-0.506931,-0.5967919,"('dishonest', 'honest')",0.71494865,0.5166505,0.1040088,-0.0400707,0.1440795
11,-0.50683063,-0.4697414,"('unhelpful', 'helpful')",1.9303789,1.9094703,0.7117741,0.7198645,-0.0080904
20,0.48711514,0.4886827,"('rough', 'thoughtful')",1.0940797,0.89444226,0.7905974,0.6915625,0.0990349
59,0.4781954,0.61097604,"('foolish', 'wise')",-0.12453996,0.18578957,0.1768277,0.3983828,-0.2215551
67,0.46724325,0.66405576,"('doubtful', 'determined')",-0.49504617,-0.4600441,-0.0139015,0.1020058,-0.1159073
51,-0.45697656,-0.5276551,"('uneducated', 'educated')",0.28042096,-0.07256455,-0.0882778,-0.3001098,0.211832
72,0.455329,0.5218781,"('unambitious', 'ambitious')",-0.22865638,-0.20543697,0.1133363,0.1582206,-0.0448843
77,-0.4439675,-0.55097187,"('unmotivated', 'motivated')",-0.8486971,-0.80718505,-0.6463323,-0.6790785,0.0327462
0,-0.44031915,-0.9416155,"('unsociable', 'sociable')",-0.112415455,-0.6381206,-0.2763673,-0.7898681,0.5135008
14,0.43887,0.38209143,"('antisocial', 'social')",0.05601126,-0.22286214,0.2474406,0.0796146,0.167826
70,-0.43240568,-0.45047066,"('lethargic', 'energetic')",0.23508273,-0.0039394945,-0.0986615,-0.2272051,0.1285436
44,0.42502704,0.61528325,"('prejudiced', 'unprejudiced')",-1.458438,-1.2268766,-0.5167055,-0.3057967,-0.2109088
52,0.42167953,0.20294307,"('irrational', 'rational')",-0.17965934,-0.09202609,0.1210101,0.0554585,0.0655516
