,public_male,public_female,tuple,storage_male,storage_female,average_male,average_female,male-female
39,1.8293711,1.3043363,"('exploitative', 'cooperative')",0.22487961,0.22961593,1.0271254,0.7669761,0.2601493
14,1.7586828,1.5362141,"('antisocial', 'social')",0.8279313,0.681092,1.2933071,1.1086531,0.184654
26,1.6320772,2.0280237,"('hardhearted', 'benevolent')",1.0292478,1.7166954,1.3306625,1.8723595,-0.541697
56,1.587343,1.1369632,"('impractical', 'practical')",1.1915319,0.97924656,1.3894374,1.0581049,0.3313325
75,-1.4745035,-0.9589323,"('meek', 'impulsive')",-1.2531424,-0.98000866,-1.3638229,-0.9694705,-0.3943524
35,-1.3447978,-0.78248364,"('corrupt', 'incorrupt')",-1.7845304,-1.4729987,-1.5646641,-1.1277412,-0.4369229
73,1.2809716,1.263164,"('helpless', 'self-reliant')",-3.8867602,-3.7039611,-1.3028944,-1.2203985,-0.0824959
21,1.2731525,0.43040377,"('immoral', 'moral')",0.8160414,0.18815474,1.0445969,0.3092793,0.7353176
30,1.2272016,0.8394921,"('intolerant', 'tolerant')",1.551461,1.4203403,1.3893313,1.1299162,0.2594151
19,-1.1174239,-0.88533026,"('inhospitable', 'hospitable')",-1.0960672,-1.0882282,-1.1067455,-0.9867792,-0.1199663
81,1.0754821,0.41090247,"('submissive', 'aggressive')",0.7264786,0.20980468,0.9009804,0.3103536,0.5906268
78,-1.0754646,-1.1790189,"('nonresilient', 'resilient')",-0.19086647,-0.33272472,-0.6331655,-0.7558718,0.1227063
41,1.0562019,1.0984522,"('unforgiving', 'forgiving')",0.122844085,0.30857077,0.589523,0.7035115,-0.1139885
31,-1.0134549,-0.42610064,"('evil', 'good')",-2.382204,-1.9053305,-1.6978295,-1.1657156,-0.5321139
82,-0.9997198,-1.0721884,"('poor', 'rich')",6.267821,5.5488386,2.6340506,2.2383251,0.3957255
16,-0.9981772,-0.94479805,"('unpopular', 'popular')",-0.5338875,-0.7030449,-0.7660323,-0.8239214,0.0578891
12,0.9807076,0.876088,"('unsupportive', 'supportive')",-1.5067364,-1.3625009,-0.2630144,-0.2432064,-0.019808
50,-0.98029536,-0.76072127,"('clumsy', 'skillful')",-0.6032456,-0.61696315,-0.7917705,-0.6888422,-0.1029283
36,-0.97896254,-0.83276933,"('hostile', 'amicable')",-1.4911715,-1.2314252,-1.235067,-1.0320972,-0.2029698
23,0.9649809,0.6922221,"('insincere', 'sincere')",6.4708934,5.9288588,3.7179372,3.3105404,0.4073968
66,-0.94627935,-0.26469982,"('inactive', 'active')",-1.2873304,-1.0035731,-1.1168048,-0.6341364,-0.4826684
10,-0.93704504,-1.0376245,"('unsympathetic', 'sympathetic')",0.51791745,0.3836933,-0.2095638,-0.3269656,0.1174018
60,0.9308017,0.0032001361,"('inefficient', 'efficient')",1.948253,1.3692485,1.4395274,0.6862243,0.7533031
11,0.84241384,0.43937057,"('unhelpful', 'helpful')",2.15479,1.9636688,1.4986019,1.2015197,0.2970822
43,0.839477,0.66125,"('irresponsible', 'responsible')",1.0394365,1.0592046,0.9394567,0.8602273,0.0792294
2,0.7969271,0.7307313,"('unlikable', 'likable')",0.37971443,0.48121813,0.5883207,0.6059747,-0.017654
13,0.7071086,0.29588866,"('impolite', 'polite')",0.09772219,-0.15086682,0.4024154,0.0725109,0.3299045
17,-0.6959808,-0.45036435,"('nasty', 'nice')",-0.8111502,-0.8609278,-0.7535655,-0.6556461,-0.0979194
38,0.68642956,0.50073653,"('untruthful', 'truthful')",0.3765109,0.48963884,0.5314702,0.4951877,0.0362825
42,0.681318,0.75859565,"('unreliable', 'reliable')",-2.4186347,-2.2391014,-0.8686583,-0.7402529,-0.1284054
80,-0.6804796,-0.65256995,"('dominated', 'dominating')",0.4793307,0.23492551,-0.1005744,-0.2088222,0.1082478
84,0.6537348,0.5715847,"('inferior', 'superior')",-0.10844807,-0.07303241,0.2726434,0.2492761,0.0233673
40,0.653527,0.75719756,"('stingy', 'generous')",-2.5706425,-2.1341436,-0.9585577,-0.688473,-0.2700847
54,-0.65246886,-0.82383984,"('incapable', 'capable')",0.6401185,0.48485637,-0.0061752,-0.1694917,0.1633165
67,0.64875853,0.60332,"('doubtful', 'determined')",-0.18516362,-0.28184125,0.2317975,0.1607394,0.0710581
1,-0.63821346,-0.30963463,"('unfriendly', 'friendly')",0.29322132,0.68346655,-0.1724961,0.186916,-0.3594121
24,0.6339782,0.40996128,"('dishonest', 'honest')",0.9291469,1.0679364,0.7815626,0.7389488,0.0426138
61,0.60203665,0.19759616,"('illogical', 'logical')",0.6876503,0.45809868,0.6448435,0.3278474,0.3169961
