,lsi_male,lsi_female,tuple,corp_male,corp_female,average_male,average_female,male-female
1,-1.528909,-1.5021876,"('unfriendly', 'friendly')",0.83068615,0.7993128,-0.3491114,-0.3514374,0.002326
6,-1.493097,-1.1950865,"('distant', 'open')",-1.588486,-1.5204109,-1.5407915,-1.3577487,-0.1830428
19,-1.4598563,-1.0148165,"('inhospitable', 'hospitable')",-1.0275929,-0.84445333,-1.2437246,-0.9296349,-0.3140897
5,-1.4580199,-1.1367218,"('distant', 'outgoing')",-1.3442659,-1.2079699,-1.4011428,-1.1723459,-0.2287969
79,-1.3618228,-1.3229032,"('wavering', 'unwavering')",-1.02679,-1.0334293,-1.1943064,-1.1781662,-0.0161402
38,-1.319217,-1.4651624,"('untruthful', 'truthful')",-0.35244972,-0.3683029,-0.8358333,-0.9167327,0.0808994
28,-1.2666805,-1.243828,"('disloyal', 'loyal')",1.1812856,1.1042763,-0.0426974,-0.0697759,0.0270785
20,1.2433202,1.0641538,"('rough', 'thoughtful')",1.0910136,1.0560099,1.1671669,1.0600818,0.1070851
60,1.2151867,1.104277,"('inefficient', 'efficient')",0.5699991,0.6216786,0.8925929,0.8629778,0.0296151
8,-1.1742368,-1.1050712,"('unaffectionate', 'affectionate')",-0.22054511,-0.2604593,-0.6973909,-0.6827652,-0.0146257
2,1.1490074,1.0996816,"('unlikable', 'likable')",1.0613875,1.007392,1.1051974,1.0535369,0.0516605
86,-1.1296164,-1.1899769,"('uninfluential', 'influential')",-0.32973683,-0.40912783,-0.7296766,-0.7995524,0.0698758
31,-1.0424026,-0.96966916,"('evil', 'good')",-1.1831497,-1.2264106,-1.1127762,-1.0980399,-0.0147363
14,0.982576,0.8233165,"('antisocial', 'social')",0.7217273,0.562573,0.8521516,0.6929448,0.1592068
9,-0.96062267,-0.93976414,"('unaffectionate', 'caring')",0.43616387,0.41064078,-0.2622294,-0.2645617,0.0023323
39,0.95329624,0.9450011,"('exploitative', 'cooperative')",0.3129707,0.3498993,0.6331335,0.6474502,-0.0143167
76,0.91119015,0.45107707,"('anxious', 'daring')",0.0050758943,-0.06985527,0.458133,0.1906109,0.2675221
65,0.8859607,0.5239755,"('insecure', 'secure')",0.27714854,0.21448341,0.5815547,0.3692294,0.2123253
55,0.8603917,0.55591893,"('incompetent', 'clever')",1.0549014,0.8835622,0.9576465,0.7197406,0.2379059
62,0.8204613,0.71740663,"('incompetent', 'brilliant')",0.76160586,0.76580614,0.7910336,0.7416064,0.0494272
80,0.8048403,0.5124828,"('dominated', 'dominating')",-0.35691348,-0.4532119,0.2239634,0.0296355,0.1943279
36,-0.7660796,-0.9500657,"('hostile', 'amicable')",-0.44888982,-0.65386677,-0.6074847,-0.8019662,0.1944815
66,-0.7576938,-0.62874764,"('inactive', 'active')",-0.25123167,-0.17889267,-0.5044627,-0.4038202,-0.1006425
56,0.7516201,0.7614939,"('impractical', 'practical')",-0.17619665,-0.10067531,0.2877117,0.3304093,-0.0426976
67,0.7140306,0.9983509,"('doubtful', 'determined')",-0.4344247,-0.40018174,0.139803,0.2990846,-0.1592816
18,-0.6900295,-0.89329034,"('disagreeable', 'welcoming')",-0.5099576,-0.67450416,-0.5999936,-0.7838973,0.1839037
10,-0.6836304,-0.7719919,"('unsympathetic', 'sympathetic')",-0.30302405,-0.27424648,-0.4933272,-0.5231192,0.029792
21,0.68029565,0.52481514,"('immoral', 'moral')",0.40671596,0.25014833,0.5435058,0.3874817,0.1560241
35,-0.6690495,-0.42491302,"('corrupt', 'incorrupt')",-0.994928,-0.951234,-0.8319888,-0.6880735,-0.1439153
53,-0.59947175,-0.56875926,"('uncreative', 'creative')",0.5041571,0.5164817,-0.0476573,-0.0261388,-0.0215185
82,-0.56399435,-0.4394508,"('poor', 'rich')",6.2041907,5.9204593,2.8200982,2.7405043,0.0795939
71,-0.56284523,-0.49269775,"('diffident', 'self-confident')",0.1248038,0.16193669,-0.2190207,-0.1653805,-0.0536402
54,-0.5611265,-0.7499034,"('incapable', 'capable')",0.6229964,0.5147296,0.030935,-0.1175869,0.1485219
70,-0.5402722,-0.41177672,"('lethargic', 'energetic')",0.15112635,0.43327197,-0.1945729,0.0107476,-0.2053205
24,-0.52650166,-0.39061567,"('dishonest', 'honest')",0.45391807,0.54818213,-0.0362918,0.0787832,-0.115075
44,0.5243201,0.15685715,"('prejudiced', 'unprejudiced')",-1.2149236,-1.2772887,-0.3453017,-0.5602158,0.2149141
81,0.5135706,0.35762423,"('submissive', 'aggressive')",-0.38991195,-0.2761907,0.0618293,0.0407168,0.0211125
87,0.50585777,0.20744939,"('unsuccessful', 'successful')",1.3373091,1.2562268,0.9215834,0.7318381,0.1897453
78,-0.49258155,-0.7301865,"('nonresilient', 'resilient')",0.122108996,0.117020175,-0.1852363,-0.3065832,0.1213469
30,0.48884967,0.50451964,"('intolerant', 'tolerant')",1.1429834,1.1479564,0.8159165,0.826238,-0.0103215
4,-0.4866097,-0.533617,"('disliked', 'liked')",-6.1494465,-5.7890306,-3.318028,-3.1613238,-0.1567042
88,-0.4751624,-0.4656396,"('low', 'eminent')",0.03977321,0.03574067,-0.2176946,-0.2149495,-0.0027451
25,-0.4710491,-0.40613595,"('egoistic', 'altruistic')",0.726055,0.76281697,0.127503,0.1783405,-0.0508375
47,0.4633362,0.24392228,"('stupid', 'smart')",4.944865,4.6558776,2.7041006,2.4498999,0.2542007
63,-0.45792875,-0.44384673,"('unperceptive', 'insightful')",0.48460084,0.6162909,0.013336,0.0862221,-0.0728861
75,-0.39660418,-0.21279284,"('meek', 'impulsive')",-0.79930025,-0.77954787,-0.5979522,-0.4961703,-0.1017819
42,0.38996196,0.31864572,"('unreliable', 'reliable')",-3.1282787,-2.7247293,-1.3691584,-1.2030418,-0.1661166
69,0.3444556,0.5372731,"('lazy', 'industrious')",-0.70685613,-0.7109311,-0.1812003,-0.086829,-0.0943713
37,-0.33627644,-0.26267567,"('fake', 'genuine')",-0.31898296,-0.23520666,-0.3276297,-0.2489412,-0.0786885
23,-0.3284862,-0.54756355,"('insincere', 'sincere')",5.6262293,5.303663,2.6488714,2.3780496,0.2708218
27,-0.32790068,-0.34614995,"('hardhearted', 'softhearted')",0.56808364,0.6064313,0.1200915,0.1301407,-0.0100492
15,-0.3243344,-0.2427085,"('boring', 'funny')",0.15789795,0.23745926,-0.0832182,-0.0026246,-0.0805936
59,0.311901,0.3907226,"('foolish', 'wise')",-0.24260111,-0.2601222,0.0346499,0.0653002,-0.0306503
13,-0.30822998,-0.28322005,"('impolite', 'polite')",-0.49235153,-0.4874968,-0.4002908,-0.3853584,-0.0149324
0,-0.30425882,-0.5571366,"('unsociable', 'sociable')",0.3964962,0.28171834,0.0461187,-0.1377091,0.1838278
51,-0.29788992,-0.41336298,"('uneducated', 'educated')",0.7108915,0.6814624,0.2065008,0.1340497,0.0724511
57,-0.2963689,-0.40293163,"('unimaginative', 'imaginative')",-2.6880069,-2.4163275,-1.4921879,-1.4096296,-0.0825583
32,0.29437134,0.09139979,"('unkind', 'kind')",1.1198765,0.9668646,0.7071239,0.5291322,0.1779917
73,0.28643632,0.36494583,"('helpless', 'self-reliant')",-3.2181277,-2.9743996,-1.4658457,-1.3047268,-0.1611189
68,-0.2564296,-0.04887329,"('dependent', 'independent')",-0.644783,-0.54327303,-0.4506063,-0.2960732,-0.1545331
11,-0.2560483,-0.50958765,"('unhelpful', 'helpful')",1.8332504,1.7338388,0.788601,0.6121256,0.1764754
3,0.25006026,0.32535598,"('repellent', 'pleasant')",1.1277776,1.0089682,0.6889189,0.6671621,0.0217568
46,-0.24621691,-0.21314147,"('uncompetitive', 'competitive')",-0.37461153,-0.16160405,-0.3104142,-0.1873728,-0.1230414
58,-0.24278522,-0.5148083,"('undiscriminating', 'discriminating')",0.6190546,0.5609888,0.1881347,0.0230902,0.1650445
29,-0.22763976,-0.30145574,"('unfair', 'fair')",-0.32555875,-0.4097346,-0.2765993,-0.3555952,0.0789959
33,-0.21396542,-0.2778954,"('wrong', 'right')",-1.1942154,-1.1947409,-0.7040904,-0.7363181,0.0322277
84,0.21366929,0.26714063,"('inferior', 'superior')",0.968564,1.1402003,0.5911166,0.7036704,-0.1125538
61,0.17967042,0.38911158,"('illogical', 'logical')",0.867549,0.848551,0.5236097,0.6188313,-0.0952216
74,0.17654249,-0.17115624,"('undedicated', 'dedicated')",-0.13432327,-0.1553088,0.0211096,-0.1632325,0.1843421
85,-0.16578607,-0.16851373,"('insignificant', 'prestigious')",-0.31319106,-0.29624897,-0.2394886,-0.2323813,-0.0071073
