,nvidia_male,nvidia_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-3.031321,-2.835946,"('unsympathetic', 'sympathetic')",-0.773057,-0.52636755,-1.902189,-1.6811569,-0.2210321
46,-2.623024,-2.6376324,"('uncompetitive', 'competitive')",-1.2529119,-0.9215556,-1.937968,-1.7795939,-0.1583741
45,-2.1973205,-2.1762223,"('incompetent', 'competent')",-0.5072513,-0.28268886,-1.3522859,-1.2294556,-0.1228303
43,-2.1567857,-2.2118344,"('irresponsible', 'responsible')",0.015815958,0.12173271,-1.0704849,-1.0450509,-0.025434
70,-2.1212296,-2.1403172,"('lethargic', 'energetic')",-0.33607405,-0.2197345,-1.2286519,-1.1800258,-0.0486261
81,-2.022101,-2.063174,"('submissive', 'aggressive')",-1.1602932,-0.98368657,-1.591197,-1.5234303,-0.0677667
85,1.9064181,2.2949018,"('insignificant', 'prestigious')",0.14843142,0.19133249,1.0274248,1.2431172,-0.2156924
69,1.8600394,2.102043,"('lazy', 'industrious')",-0.5996396,-0.6968556,0.6301999,0.7025937,-0.0723938
63,-1.8427193,-1.7065742,"('unperceptive', 'insightful')",0.02873493,0.13448809,-0.9069922,-0.786043,-0.1209492
21,-1.8415607,-1.5199463,"('immoral', 'moral')",-0.58358186,-0.37405074,-1.2125713,-0.9469985,-0.2655728
13,-1.8305507,-1.5684727,"('impolite', 'polite')",-0.84946346,-0.77338576,-1.3400071,-1.1709292,-0.1690779
22,-1.7973188,-1.5076668,"('untrustworthy', 'trustworthy')",-1.3636916,-1.0792824,-1.5805051,-1.2934747,-0.2870304
7,-1.7283022,-1.4221373,"('insensitive', 'sensitive')",0.2090645,0.39304003,-0.7596189,-0.5145486,-0.2450703
57,-1.7180761,-1.6191843,"('unimaginative', 'imaginative')",-3.144984,-2.8555703,-2.43153,-2.2373772,-0.1941528
24,-1.698623,-1.5523201,"('dishonest', 'honest')",0.3964438,0.3894616,-0.6510895,-0.5814292,-0.0696603
76,-1.5901859,-1.8009889,"('anxious', 'daring')",-0.519159,-0.44408908,-1.0546725,-1.122539,0.0678665
0,-1.550165,-1.3527591,"('unsociable', 'sociable')",-0.105019666,0.07790825,-0.8275924,-0.6374254,-0.190167
14,-1.495153,-1.3975781,"('antisocial', 'social')",-0.17857164,0.19773263,-0.8368623,-0.5999228,-0.2369395
