,avalonbay_male,avalonbay_female,tuple,communities_male,communities_female,inc_male,inc_female,average_male,average_female,male-female
36,-2.5420625,-2.816386,"('hostile', 'amicable')",-2.1211982,-2.138112,-0.37708145,-0.4057494,-1.680114,-1.7867492,0.1066352
85,-2.3584754,-2.6432498,"('insignificant', 'prestigious')",-1.5134904,-1.5467811,-0.12799032,-0.25686052,-1.3333187,-1.4822973,0.1489786
35,-2.337889,-2.4580147,"('corrupt', 'incorrupt')",-2.095645,-2.1096656,-0.8769589,-0.88126016,-1.7701642,-1.8163134,0.0461492
31,-2.1034188,-2.3154485,"('evil', 'good')",-1.4017159,-1.4175508,-1.1633302,-1.1217263,-1.5561549,-1.6182419,0.062087
13,2.0610278,2.1358654,"('impolite', 'polite')",1.8822463,1.7976832,0.22874448,0.057165787,1.3906728,1.3302382,0.0604346
60,2.049538,2.181241,"('inefficient', 'efficient')",2.7941754,2.7193012,0.34304115,0.2870054,1.7289181,1.7291826,-0.0002645
56,1.9874436,2.0399628,"('impractical', 'practical')",2.2971897,2.351579,0.02263226,-0.031829715,1.4357551,1.4532372,-0.0174821
62,1.8968245,2.038604,"('incompetent', 'brilliant')",2.1420825,2.0811737,0.29451257,0.17174292,1.4444733,1.4305069,0.0139664
76,1.8910793,2.2077775,"('anxious', 'daring')",1.718019,1.8154219,0.81732404,0.9432592,1.4754742,1.6554863,-0.1800121
69,-1.7623407,-1.8277119,"('lazy', 'industrious')",-0.26381904,-0.3231226,-0.581471,-0.62119263,-0.8692102,-0.9240091,0.0547989
7,1.762036,2.0196614,"('insensitive', 'sensitive')",1.7897737,1.9060378,1.3718256,1.5285789,1.6412118,1.8180927,-0.1768809
30,1.7140532,1.7580917,"('intolerant', 'tolerant')",2.367593,2.3946548,1.2148404,1.0830609,1.7654955,1.745269,0.0202265
19,-1.6845185,-1.8427455,"('inhospitable', 'hospitable')",-1.1638435,-1.1440947,-0.10383235,-0.17008013,-0.9840647,-1.0523068,0.0682421
6,-1.6192994,-1.7987221,"('distant', 'open')",-1.33247,-1.3498179,0.04613529,0.075059325,-0.9685447,-1.0244935,0.0559488
79,-1.5748839,-1.5803177,"('wavering', 'unwavering')",-0.6654367,-0.63509566,0.050560765,0.14224592,-0.72992,-0.6910558,-0.0388642
39,1.5242188,1.4641838,"('exploitative', 'cooperative')",2.3691378,2.117144,0.93761516,0.8566481,1.6103239,1.4793253,0.1309986
55,1.4248267,1.5514888,"('incompetent', 'clever')",1.0233663,1.0447593,0.16933832,0.16960868,0.8725104,0.9219522,-0.0494418
5,-1.3783185,-1.5360565,"('distant', 'outgoing')",-0.40033066,-0.4534688,-0.29503143,-0.33977512,-0.6912269,-0.7764335,0.0852066
46,1.3592716,1.454003,"('uncompetitive', 'competitive')",1.1719451,1.1440415,-0.26081857,-0.30057228,0.7567994,0.765824,-0.0090246
43,1.3153507,1.4233334,"('irresponsible', 'responsible')",1.5308852,1.6513475,0.63699055,0.64496356,1.1610754,1.2398814,-0.078806
11,1.3137735,1.3931355,"('unhelpful', 'helpful')",2.4524148,2.442457,2.7240555,2.5750883,2.1634146,2.1368936,0.026521
23,1.312599,1.3825603,"('insincere', 'sincere')",2.4944026,2.466945,6.314707,6.3496666,3.3739026,3.399724,-0.0258214
70,1.3115432,1.4882494,"('lethargic', 'energetic')",1.7260535,1.7393974,1.1991616,1.2705994,1.4122527,1.4994154,-0.0871627
4,-1.2887514,-1.4990795,"('disliked', 'liked')",-0.79470676,-0.72680885,-6.4058604,-6.45371,-2.8297729,-2.8931993,0.0634264
81,1.2629087,1.522765,"('submissive', 'aggressive')",1.5150133,1.4658116,-0.32179534,-0.35577032,0.8187089,0.8776021,-0.0588932
21,1.2185369,1.4010483,"('immoral', 'moral')",1.7756004,1.8079456,-0.24814257,-0.19916266,0.9153316,1.0032771,-0.0879455
80,1.21411,1.41075,"('dominated', 'dominating')",0.84689003,0.83087635,-0.6976794,-0.6005275,0.4544402,0.5470329,-0.0925927
12,1.2050513,1.2351311,"('unsupportive', 'supportive')",2.602067,2.6538258,-0.98722744,-1.0836146,0.9399637,0.9351141,0.0048496
16,-1.169068,-1.1315321,"('unpopular', 'popular')",-0.49682766,-0.4129533,0.065073445,0.14875215,-0.5336074,-0.4652444,-0.068363
63,1.0967894,1.1730547,"('unperceptive', 'insightful')",2.5196917,2.5158105,1.6139343,1.5432364,1.7434718,1.7440338,-0.000562
14,1.0864034,1.0651572,"('antisocial', 'social')",1.9784684,1.8874953,-0.6474465,-0.61805034,0.8058084,0.7782007,0.0276077
66,-1.076166,-0.9171023,"('inactive', 'active')",-0.7650632,-0.6862221,0.71059614,0.8655416,-0.3768777,-0.2459276,-0.1309501
57,1.0689622,1.0985863,"('unimaginative', 'imaginative')",0.78697306,0.8286702,-2.0766394,-2.1212022,-0.073568,-0.0646485,-0.0089195
75,-1.0513682,-1.0517532,"('meek', 'impulsive')",-1.3205417,-1.3146967,-0.57180333,-0.51257175,-0.9812378,-0.9596739,-0.0215639
52,-0.9858568,-1.1310728,"('irrational', 'rational')",-0.40675455,-0.36885482,-0.3138525,-0.41742802,-0.5688213,-0.6391185,0.0702972
45,0.9630575,1.0795233,"('incompetent', 'competent')",1.7655349,1.7960784,-0.28318033,-0.22881202,0.8151374,0.8822633,-0.0671259
50,-0.95400465,-0.9059373,"('clumsy', 'skillful')",-0.35041997,-0.29037103,0.11193048,0.13727549,-0.3974981,-0.353011,-0.0444871
