,general_male,general_female,tuple,mills_male,mills_female,inc_male,inc_female,average_male,average_female,male-female
6,-1.6467481,-1.3063726,"('distant', 'open')",-0.7489682,-0.49085024,0.25194007,0.43955755,-0.7145921,-0.4525551,-0.262037
39,1.4570976,1.53549,"('exploitative', 'cooperative')",0.5845993,0.62053734,0.12700285,0.3148057,0.7229,0.823611,-0.100711
26,1.4140573,1.8105941,"('hardhearted', 'benevolent')",2.588038,2.7628696,1.2630088,1.4389083,1.7550348,2.004124,-0.2490892
31,-1.3564351,-0.8969217,"('evil', 'good')",0.31770146,0.46402177,-0.55462265,-0.50164175,-0.5311188,-0.3115139,-0.2196049
44,-1.2906501,-1.2643248,"('prejudiced', 'unprejudiced')",-1.9490288,-2.0359917,-1.8034128,-1.8658526,-1.6810306,-1.7220564,0.0410258
12,1.1809268,1.2159743,"('unsupportive', 'supportive')",0.58957744,0.5596988,-1.4790909,-1.4686024,0.0971378,0.1023569,-0.0052191
5,-1.1738186,-0.87862366,"('distant', 'outgoing')",0.09621477,0.118308626,-0.23253095,-0.074929535,-0.4367116,-0.2784149,-0.1582967
56,1.1718873,1.1966351,"('impractical', 'practical')",1.3783891,1.3275901,-0.23025204,-0.16161177,0.7733414,0.7875378,-0.0141964
27,-1.1415367,-1.375633,"('hardhearted', 'softhearted')",-0.24320494,-0.36201108,1.8624021,1.8780392,0.1592201,0.0467984,0.1124217
36,-1.124424,-0.70076746,"('hostile', 'amicable')",-0.60423183,-0.35999978,-0.11117526,0.027809033,-0.613277,-0.3443194,-0.2689576
68,-1.108386,-1.1820574,"('dependent', 'independent')",-1.1796,-1.1682315,-0.07908918,-0.07423158,-0.7890251,-0.8081735,0.0191484
3,-1.0894243,-1.0967945,"('repellent', 'pleasant')",-0.1460203,-0.14297466,0.54604715,0.4379039,-0.2297991,-0.2672884,0.0374893
84,1.0882849,1.1672567,"('inferior', 'superior')",-0.10633357,0.019910377,0.45965,0.6284115,0.4805338,0.6051928,-0.124659
67,1.0852479,0.9987577,"('doubtful', 'determined')",0.13202217,0.045577157,-0.63820624,-0.6045071,0.1930213,0.1466093,0.046412
37,0.99988073,0.67472833,"('fake', 'genuine')",-0.2764144,-0.33608812,0.98241585,0.8578306,0.5686274,0.3988236,0.1698038
73,0.9864152,1.1425864,"('helpless', 'self-reliant')",0.6662904,0.59000593,-3.1034625,-3.1445513,-0.4835856,-0.470653,-0.0129326
77,-0.9636705,-0.81013775,"('unmotivated', 'motivated')",-0.9961181,-0.84023273,-1.4440348,-1.3351908,-1.1346078,-0.9951871,-0.1394207
87,0.9596163,0.75410354,"('unsuccessful', 'successful')",0.76911,0.5325723,0.82955754,0.7050857,0.8527613,0.6639206,0.1888407
71,0.94671583,1.0369979,"('diffident', 'self-confident')",1.4154366,1.4576348,0.49311575,0.589111,0.9517561,1.0279145,-0.0761584
18,-0.9403217,-0.8207011,"('disagreeable', 'welcoming')",-0.93516535,-0.853068,-0.29000115,-0.20788836,-0.7218294,-0.6272192,-0.0946102
46,0.8451038,0.5788264,"('uncompetitive', 'competitive')",0.09535308,0.06603488,-0.74889266,-0.70743966,0.0638547,-0.0208594,0.0847141
16,-0.82901365,-0.83546257,"('unpopular', 'popular')",-0.9566233,-1.0128151,0.3743961,0.27086794,-0.4704136,-0.5258032,0.0553896
49,-0.8231647,-0.96814185,"('unable', 'able')",-0.79488623,-0.77534956,-0.047299936,0.084633216,-0.555117,-0.5529527,-0.0021643
74,0.82083964,0.88360983,"('undedicated', 'dedicated')",1.1081648,0.9878428,0.25277027,0.17850477,0.7272582,0.6833191,0.0439391
24,0.8091154,0.7194033,"('dishonest', 'honest')",-0.27782536,-0.10285276,1.183984,1.2847512,0.571758,0.6337672,-0.0620092
