,fiserv_male,fiserv_female,tuple,inc_male,inc_female,average_male,average_female,male-female
6,-1.6930395,-1.781294,"('distant', 'open')",0.1658562,0.085555166,-0.7635916,-0.8478694,0.0842778
53,-1.5007492,-1.4426092,"('uncreative', 'creative')",0.86009085,0.81153685,-0.3203292,-0.3155362,-0.004793
8,-1.4875805,-1.6031708,"('unaffectionate', 'affectionate')",0.8241846,0.6138628,-0.331698,-0.494654,0.162956
19,-1.4810517,-1.3795173,"('inhospitable', 'hospitable')",-0.02007072,0.02211709,-0.7505612,-0.6787001,-0.0718611
79,-1.4487152,-1.3445303,"('wavering', 'unwavering')",-0.24968466,-0.21491073,-0.8492,-0.7797205,-0.0694795
9,-1.40628,-1.4842054,"('unaffectionate', 'caring')",1.0313123,0.9062074,-0.1874838,-0.288999,0.1015152
36,-1.3690091,-1.455784,"('hostile', 'amicable')",0.118314564,0.06753612,-0.6253473,-0.6941239,0.0687766
66,-1.2130872,-1.2837299,"('inactive', 'active')",0.64305466,0.4294231,-0.2850163,-0.4271534,0.1421371
1,-1.1996905,-1.4104129,"('unfriendly', 'friendly')",1.7460569,1.4587061,0.2731832,0.0241466,0.2490366
67,1.1651335,1.2799648,"('doubtful', 'determined')",-0.33425075,-0.14811872,0.4154414,0.565923,-0.1504816
5,-1.160482,-1.2029892,"('distant', 'outgoing')",-0.24578525,-0.2610231,-0.7031336,-0.7320062,0.0288726
31,-1.1493295,-1.2346632,"('evil', 'good')",-0.7571943,-1.1099879,-0.9532619,-1.1723256,0.2190637
30,1.1456455,1.3526788,"('intolerant', 'tolerant')",1.4783957,1.7882627,1.3120205,1.5704708,-0.2584503
10,-1.0837281,-1.0920566,"('unsympathetic', 'sympathetic')",-0.3762247,-0.44384825,-0.7299764,-0.7679524,0.037976
86,-1.0787464,-1.2647866,"('uninfluential', 'influential')",0.058009405,-0.25526562,-0.5103685,-0.7600261,0.2496576
60,1.0399156,1.1729629,"('inefficient', 'efficient')",0.23501468,0.46931395,0.6374651,0.8211384,-0.1836733
57,-1.0347987,-0.9912606,"('unimaginative', 'imaginative')",-2.0785248,-2.2592652,-1.5566618,-1.6252629,0.0686011
82,-1.0187315,-0.763037,"('poor', 'rich')",5.4768033,5.987219,2.2290359,2.6120908,-0.3830549
38,-0.97480476,-0.8524606,"('untruthful', 'truthful')",-0.104853086,0.17120233,-0.5398289,-0.3406292,-0.1991997
39,0.9027427,0.8392712,"('exploitative', 'cooperative')",0.13402608,0.17042822,0.5183844,0.5048497,0.0135347
12,-0.87140435,-0.9103186,"('unsupportive', 'supportive')",-1.5691974,-1.7662036,-1.2203009,-1.3382611,0.1179602
84,0.808472,0.7263815,"('inferior', 'superior')",1.1384113,1.0188055,0.9734416,0.8725935,0.1008481
63,-0.7839261,-0.703635,"('unperceptive', 'insightful')",1.0564377,0.9522231,0.1362558,0.1242941,0.0119617
23,-0.73435086,-0.6260804,"('insincere', 'sincere')",4.85801,5.14913,2.0618296,2.2615247,-0.1996951
27,-0.70220214,-0.74953264,"('hardhearted', 'softhearted')",1.548237,1.1666487,0.4230174,0.2085581,0.2144593
43,-0.6910843,-0.5365972,"('irresponsible', 'responsible')",0.4297893,0.6568112,-0.1306475,0.060107,-0.1907545
73,0.6871549,0.6880937,"('helpless', 'self-reliant')",-2.4665725,-2.5900414,-0.8897088,-0.9509739,0.0612651
62,0.6787192,0.8968288,"('incompetent', 'brilliant')",0.35431838,0.6542775,0.5165188,0.7755531,-0.2590343
11,-0.67080194,-0.36384702,"('unhelpful', 'helpful')",1.4558595,1.7987553,0.3925288,0.7174541,-0.3249253
81,0.64533585,0.8642383,"('submissive', 'aggressive')",-0.53286874,-0.23904827,0.0562336,0.312595,-0.2563614
85,-0.6387815,-0.766689,"('insignificant', 'prestigious')",0.8363536,0.726631,0.0987861,-0.020029,0.1188151
58,-0.58070445,-0.6754025,"('undiscriminating', 'discriminating')",0.11330408,-0.01918333,-0.2337002,-0.3472929,0.1135927
16,-0.57168627,-0.55985653,"('unpopular', 'popular')",0.56802535,0.62353104,-0.0018305,0.0318373,-0.0336678
80,0.55642533,0.6131409,"('dominated', 'dominating')",-1.3091888,-1.3332235,-0.3763818,-0.3600413,-0.0163405
78,-0.5518871,-0.762507,"('nonresilient', 'resilient')",0.33858177,0.0044835173,-0.1066527,-0.3790118,0.2723591
0,-0.5373518,-0.60391533,"('unsociable', 'sociable')",-0.15950945,-0.14570779,-0.3484306,-0.3748116,0.026381
34,-0.53351784,-0.45722535,"('mean', 'honorable')",5.3467393,5.5536046,2.4066107,2.5481896,-0.1415789
54,-0.5250603,-0.48557433,"('incapable', 'capable')",1.040331,1.2279677,0.2576354,0.3711967,-0.1135613
24,-0.5160264,-0.5372625,"('dishonest', 'honest')",0.59098893,0.7060041,0.0374813,0.0843708,-0.0468895
33,0.50078154,0.27632016,"('wrong', 'right')",-0.21934187,-0.47342372,0.1407198,-0.0985518,0.2392716
88,-0.4839487,-0.26781043,"('low', 'eminent')",0.23563498,0.50516266,-0.1241569,0.1186761,-0.242833
2,0.47698194,0.62335056,"('unlikable', 'likable')",0.564594,0.77127075,0.520788,0.6973107,-0.1765227
64,0.453699,0.34167945,"('shy', 'confident')",-5.952783,-5.9913015,-2.749542,-2.824811,0.075269
72,-0.45362604,-0.43614325,"('unambitious', 'ambitious')",-0.9332296,-0.9110527,-0.6934278,-0.673598,-0.0198298
69,0.437221,0.35543498,"('lazy', 'industrious')",-0.029151585,-0.11455965,0.2040347,0.1204377,0.083597
51,-0.43098882,-0.40772036,"('uneducated', 'educated')",0.62969637,0.5214389,0.0993538,0.0568593,0.0424945
32,-0.42647162,-0.23134293,"('unkind', 'kind')",0.5998505,0.80459696,0.0866894,0.286627,-0.1999376
28,-0.39474136,-0.4249728,"('disloyal', 'loyal')",0.7281335,0.7887072,0.1666961,0.1818672,-0.0151711
77,0.3828292,0.24395066,"('unmotivated', 'motivated')",-0.87119144,-0.983017,-0.2441811,-0.3695332,0.1253521
71,-0.3773698,-0.43317047,"('diffident', 'self-confident')",0.49952516,0.42026293,0.0610777,-0.0064538,0.0675315
21,0.36962166,0.41932535,"('immoral', 'moral')",-0.44000432,-0.46427035,-0.0351913,-0.0224725,-0.0127188
29,-0.36836556,-0.46161833,"('unfair', 'fair')",-0.55626273,-0.7930351,-0.4623141,-0.6273267,0.1650126
45,-0.34155387,-0.27315488,"('incompetent', 'competent')",0.05471471,0.07346873,-0.1434196,-0.0998431,-0.0435765
