,centex_male,centex_female,tuple,corp_male,corp_female,average_male,average_female,male-female
6,-2.5004468,-2.3146043,"('distant', 'open')",-1.2327881,-0.5791114,-1.8666174,-1.4468578,-0.4197596
5,-2.2028587,-2.1355617,"('distant', 'outgoing')",-1.2154515,-0.68559164,-1.7091551,-1.4105767,-0.2985784
1,-2.1591558,-2.0871458,"('unfriendly', 'friendly')",0.9255006,1.2217622,-0.6168276,-0.4326918,-0.1841358
9,-1.7342471,-1.7171289,"('unaffectionate', 'caring')",0.4950267,0.8216475,-0.6196102,-0.4477407,-0.1718695
19,-1.6583201,-1.6663601,"('inhospitable', 'hospitable')",-0.83427197,-0.5306297,-1.246296,-1.0984949,-0.1478011
53,-1.619029,-1.6246308,"('uncreative', 'creative')",0.018114787,0.13917223,-0.8004571,-0.7427293,-0.0577278
85,-1.4931719,-1.7529808,"('insignificant', 'prestigious')",-0.13666707,-0.10540218,-0.8149195,-0.9291915,0.114272
8,-1.4918255,-1.606904,"('unaffectionate', 'affectionate')",0.18846989,0.4720833,-0.6516778,-0.5674103,-0.0842675
86,-1.442868,-1.698108,"('uninfluential', 'influential')",-0.06856221,-0.35170573,-0.7557151,-1.0249069,0.2691918
39,1.3976196,1.2923342,"('exploitative', 'cooperative')",0.25379682,0.26776618,0.8257082,0.7800502,0.045658
31,-1.3557471,-1.4432791,"('evil', 'good')",-1.1629221,-0.8543407,-1.2593346,-1.1488099,-0.1105247
52,-1.2902869,-1.4762133,"('irrational', 'rational')",-0.25437832,-0.31556982,-0.7723326,-0.8958915,0.1235589
59,-1.2767868,-1.425014,"('foolish', 'wise')",-0.48438847,-0.21905613,-0.8805876,-0.8220351,-0.0585525
76,1.2453741,1.2784681,"('anxious', 'daring')",0.10606547,-0.20072526,0.6757198,0.5388714,0.1368484
38,-1.1395116,-1.3238851,"('untruthful', 'truthful')",0.15558119,-0.035640858,-0.4919652,-0.679763,0.1877978
36,-1.0882319,-1.3920844,"('hostile', 'amicable')",-0.4957576,-0.34545565,-0.7919948,-0.86877,0.0767752
79,-1.0844527,-1.3184474,"('wavering', 'unwavering')",-0.6178145,-0.6649151,-0.8511336,-0.9916812,0.1405476
80,0.91436905,0.669009,"('dominated', 'dominating')",-0.5386788,-0.9250823,0.1878451,-0.1280367,0.3158818
54,-0.893181,-1.0457273,"('incapable', 'capable')",0.4406609,0.45108783,-0.2262601,-0.2973197,0.0710596
42,0.87412864,0.6881049,"('unreliable', 'reliable')",-2.486667,-2.7722723,-0.8062692,-1.0420837,0.2358145
14,0.8661759,0.3385265,"('antisocial', 'social')",0.667918,-0.009481693,0.7670469,0.1645224,0.6025245
57,-0.85219467,-1.1384997,"('unimaginative', 'imaginative')",-2.6261516,-2.9822657,-1.7391732,-2.0603828,0.3212096
73,0.8224015,0.9145993,"('helpless', 'self-reliant')",-3.4306476,-3.228929,-1.304123,-1.1571648,-0.1469582
18,-0.8112292,-1.1355087,"('disagreeable', 'welcoming')",-0.48376378,-0.61296636,-0.6474965,-0.8742375,0.226741
63,-0.76950127,-0.68672323,"('unperceptive', 'insightful')",0.7522248,0.825864,-0.0086382,0.0695704,-0.0782086
12,-0.76308095,-0.93615615,"('unsupportive', 'supportive')",-1.7652603,-1.9272933,-1.2641706,-1.4317248,0.1675542
72,-0.757057,-0.5317688,"('unambitious', 'ambitious')",-0.92388344,-0.7136903,-0.8404702,-0.6227295,-0.2177407
25,-0.74048203,-0.8858569,"('egoistic', 'altruistic')",0.8667665,1.0717779,0.0631422,0.0929605,-0.0298183
81,0.73894256,0.49394026,"('submissive', 'aggressive')",0.18565407,-0.29894865,0.4622983,0.0974958,0.3648025
67,0.7193878,0.6438372,"('doubtful', 'determined')",0.021499628,-0.28146145,0.3704437,0.1811879,0.1892558
35,-0.7000707,-0.82925284,"('corrupt', 'incorrupt')",-0.98835564,-0.68606514,-0.8442131,-0.757659,-0.0865541
23,-0.68804103,-0.6785712,"('insincere', 'sincere')",5.1835027,5.087928,2.2477307,2.2046783,0.0430524
43,-0.6537958,-0.6281432,"('irresponsible', 'responsible')",0.2590021,0.1482183,-0.1973968,-0.2399624,0.0425656
45,-0.6492947,-0.8555034,"('incompetent', 'competent')",0.40378284,-0.030484172,-0.1227559,-0.4429938,0.3202379
68,-0.6365819,-0.67660767,"('dependent', 'independent')",-0.93414754,-0.82349783,-0.7853647,-0.7500528,-0.0353119
66,-0.63512516,-0.7862461,"('inactive', 'active')",0.23895141,0.37446296,-0.1980869,-0.2058916,0.0078047
24,-0.6208097,-0.5897698,"('dishonest', 'honest')",0.4877742,0.41218197,-0.0665177,-0.0887939,0.0222762
21,0.59586066,0.31704313,"('immoral', 'moral')",0.026958123,-0.49958745,0.3114094,-0.0912722,0.4026816
30,0.59347016,0.2967202,"('intolerant', 'tolerant')",1.1416897,0.825445,0.8675799,0.5610826,0.3064973
61,-0.58693624,-0.7025073,"('illogical', 'logical')",0.53041935,0.438575,-0.0282584,-0.1319662,0.1037078
15,0.57797456,0.32507464,"('boring', 'funny')",0.12011877,-0.17907642,0.3490466,0.0729991,0.2760475
47,-0.5549897,-0.7315726,"('stupid', 'smart')",4.770659,4.8280864,2.1078346,2.0482569,0.0595777
82,-0.53850526,-0.6776696,"('poor', 'rich')",5.8182406,5.710806,2.6398678,2.5165682,0.1232996
55,0.49790996,0.2843123,"('incompetent', 'clever')",0.5146704,0.08011879,0.5062902,0.1822155,0.3240747
44,0.48766956,0.56628823,"('prejudiced', 'unprejudiced')",-1.4080976,-1.2822134,-0.460214,-0.3579626,-0.1022514
29,-0.4875436,-0.3920524,"('unfair', 'fair')",-0.78886545,-0.6400131,-0.6382045,-0.5160328,-0.1221717
83,0.4722331,0.30233908,"('powerless', 'powerful')",-0.8040888,-1.1191186,-0.1659278,-0.4083897,0.2424619
88,-0.46146947,-0.95319235,"('low', 'eminent')",0.08552625,-0.6737197,-0.1879716,-0.8134561,0.6254845
78,-0.459648,-0.4606185,"('nonresilient', 'resilient')",0.16142549,0.2295146,-0.1491113,-0.1155519,-0.0335594
46,0.4494174,0.31689003,"('uncompetitive', 'competitive')",-0.35784835,-0.79906046,0.0457845,-0.2410852,0.2868697
69,-0.43512073,-0.53249264,"('lazy', 'industrious')",-0.7257096,-0.4170847,-0.5804152,-0.4747887,-0.1056265
