,monsanto_male,monsanto_female,tuple,co_male,co_female,average_male,average_female,male-female
3,-2.0959785,-2.0572388,"('repellent', 'pleasant')",0.60631096,0.70942336,-0.7448338,-0.6739078,-0.070926
57,-1.6632172,-1.5541492,"('unimaginative', 'imaginative')",-3.710117,-3.5223968,-2.6866672,-2.5382729,-0.1483943
10,-1.6565984,-1.6564673,"('unsympathetic', 'sympathetic')",-0.16673158,-0.062073875,-0.911665,-0.8592706,-0.0523944
69,1.4954973,1.6240041,"('lazy', 'industrious')",-1.0488497,-0.8132855,0.2233238,0.4053593,-0.1820355
22,-1.4685488,-1.4028704,"('untrustworthy', 'trustworthy')",-0.9125242,-0.69473565,-1.1905365,-1.0488031,-0.1417334
14,-1.4299794,-1.5265027,"('antisocial', 'social')",-0.47632173,-0.45048356,-0.9531506,-0.9884931,0.0353425
70,-1.3472816,-1.2468939,"('lethargic', 'energetic')",0.45152617,0.6207687,-0.4478777,-0.3130626,-0.1348151
7,-1.2599633,-1.220711,"('insensitive', 'sensitive')",-0.04005358,0.18378495,-0.6500084,-0.518463,-0.1315454
45,-1.2552339,-1.1571327,"('incompetent', 'competent')",-0.4079363,-0.24843326,-0.8315851,-0.702783,-0.1288021
85,1.2549608,1.3891819,"('insignificant', 'prestigious')",-0.48862395,-0.5281528,0.3831684,0.4305145,-0.0473461
46,-1.2317097,-1.2357645,"('uncompetitive', 'competitive')",-0.73000467,-0.7753498,-0.9808572,-1.0055572,0.0247
13,-1.2245698,-1.4141015,"('impolite', 'polite')",-0.35344625,-0.45022473,-0.789008,-0.9321631,0.1431551
65,-1.2204294,-1.3387657,"('insecure', 'secure')",0.14671749,0.12585786,-0.5368559,-0.606454,0.0695981
30,-1.1533287,-1.3015302,"('intolerant', 'tolerant')",0.413483,0.20986001,-0.3699228,-0.5458351,0.1759123
28,-1.1438987,-1.205627,"('disloyal', 'loyal')",0.7469987,0.6462824,-0.19845,-0.2796723,0.0812223
0,-1.0483176,-1.0910665,"('unsociable', 'sociable')",-0.40230837,-0.3469847,-0.7253129,-0.7190256,-0.0062873
53,-0.98715067,-1.0891955,"('uncreative', 'creative')",0.3672563,0.2832344,-0.3099472,-0.4029806,0.0930334
58,-0.9867177,-0.8559494,"('undiscriminating', 'discriminating')",-0.042354815,0.13431928,-0.5145363,-0.360815,-0.1537213
86,-0.97290975,-0.91812223,"('uninfluential', 'influential')",-0.4678491,-0.29413882,-0.7203794,-0.6061305,-0.1142489
18,-0.9416554,-0.99424314,"('disagreeable', 'welcoming')",-0.76993847,-0.82988465,-0.8557969,-0.9120639,0.056267
19,-0.9077504,-1.0099434,"('inhospitable', 'hospitable')",-0.59382004,-0.6785835,-0.7507852,-0.8442634,0.0934782
27,-0.8884732,-0.75758374,"('hardhearted', 'softhearted')",0.9909099,1.207809,0.0512183,0.2251126,-0.1738943
