,intel_male,intel_female,tuple,corp_male,corp_female,average_male,average_female,male-female
45,-1.8884562,-1.8105668,"('incompetent', 'competent')",-0.012735195,0.0512805,-0.9505957,-0.8796431,-0.0709526
41,-1.8645123,-1.769359,"('unforgiving', 'forgiving')",-0.28475407,-0.3869029,-1.0746332,-1.078131,0.0034978
71,1.778749,1.8104095,"('diffident', 'self-confident')",0.295412,0.30063865,1.0370805,1.0555241,-0.0184436
42,-1.6316143,-1.6187363,"('unreliable', 'reliable')",-3.0131,-2.9139853,-2.3223572,-2.2663608,-0.0559964
61,1.5712674,1.5835365,"('illogical', 'logical')",0.61121273,0.69662815,1.09124,1.1400824,-0.0488424
39,1.5670317,1.2817364,"('exploitative', 'cooperative')",0.4286645,0.24309382,0.9978482,0.7624151,0.2354331
48,1.3742404,1.4427987,"('unintelligent', 'intelligent')",0.9146037,1.2025506,1.1444221,1.3226748,-0.1782527
57,-1.267113,-1.3930585,"('unimaginative', 'imaginative')",-2.8587537,-2.9462037,-2.0629334,-2.169631,0.1066976
17,-1.2455802,-1.1042056,"('nasty', 'nice')",-0.76127183,-0.6568898,-1.0034261,-0.8805477,-0.1228784
4,-1.1511089,-1.0439912,"('disliked', 'liked')",-6.4199595,-6.871148,-3.7855341,-3.9575696,0.1720355
31,-1.133505,-0.995736,"('evil', 'good')",-1.9971465,-2.1606095,-1.5653257,-1.5781727,0.012847
66,-1.1096858,-1.0039864,"('inactive', 'active')",-0.13497755,0.005944999,-0.6223317,-0.4990207,-0.123311
29,-1.0865676,-0.91613513,"('unfair', 'fair')",-0.48606122,-0.47032508,-0.7863144,-0.6932301,-0.0930843
9,1.0600922,1.0361725,"('unaffectionate', 'caring')",0.34022015,0.5530557,0.7001562,0.7946141,-0.0944579
60,1.0512834,1.1742094,"('inefficient', 'efficient')",0.87923473,1.2305264,0.9652591,1.2023679,-0.2371088
34,1.0418664,1.2007561,"('mean', 'honorable')",5.545416,5.728012,3.2936411,3.4643841,-0.170743
64,-0.99211293,-0.85509205,"('shy', 'confident')",-5.446662,-5.500637,-3.2193875,-3.1778646,-0.0415229
22,-0.9910945,-0.78606266,"('untrustworthy', 'trustworthy')",-0.6516712,-0.5584939,-0.8213829,-0.6722783,-0.1491046
83,0.98139304,0.8566705,"('powerless', 'powerful')",0.06640128,-0.013262574,0.5238972,0.421704,0.1021932
49,0.93248314,1.0769432,"('unable', 'able')",-0.25137573,0.048143595,0.3405537,0.5625434,-0.2219897
25,0.91480774,0.87632453,"('egoistic', 'altruistic')",0.45001072,0.29589832,0.6824092,0.5861114,0.0962978
58,-0.9125532,-0.91729176,"('undiscriminating', 'discriminating')",0.428936,0.44968468,-0.2418086,-0.2338035,-0.0080051
46,-0.9003928,-0.8739333,"('uncompetitive', 'competitive')",0.24725321,0.4582679,-0.3265698,-0.2078327,-0.1187371
73,0.83870715,0.82386655,"('helpless', 'self-reliant')",-3.21731,-3.2992847,-1.1893014,-1.237709,0.0484076
59,0.8285242,0.85688245,"('foolish', 'wise')",-0.54768884,-0.56663007,0.1404177,0.1451262,-0.0047085
10,-0.8263451,-0.8252731,"('unsympathetic', 'sympathetic')",-0.084491655,0.3908119,-0.4554184,-0.2172306,-0.2381878
30,0.8259036,0.8562753,"('intolerant', 'tolerant')",0.44870228,0.45810148,0.6373029,0.6571884,-0.0198855
84,0.79198724,0.77945983,"('inferior', 'superior')",1.4965023,1.5770099,1.1442448,1.1782348,-0.03399
0,-0.75230753,-0.88634735,"('unsociable', 'sociable')",0.14990096,0.30269104,-0.3012033,-0.2918282,-0.0093751
69,0.7496465,0.6781786,"('lazy', 'industrious')",-1.2142563,-1.3229206,-0.2323049,-0.322371,0.0900661
75,-0.74750197,-0.70081854,"('meek', 'impulsive')",-0.6201074,-0.6937531,-0.6838047,-0.6972858,0.0134811
