,bard_male,bard_female,tuple,cr_male,cr_female,inc_male,inc_female,average_male,average_female,male-female
60,3.578277,3.8334696,"('inefficient', 'efficient')",4.3282976,4.065754,0.9684074,0.97828126,2.9583273,2.9591681,-0.0008408
55,3.5109098,3.4842474,"('incompetent', 'clever')",2.7023609,2.2189875,0.11591194,0.15340063,2.1097275,1.9522117,0.1575158
31,-3.4980338,-3.4967422,"('evil', 'good')",-3.470883,-3.1456609,-1.4418674,-1.6819868,-2.8035946,-2.7747968,-0.0287978
62,3.2606921,3.275729,"('incompetent', 'brilliant')",2.4395752,2.2140691,0.7408806,0.6898742,2.1470493,2.0598907,0.0871586
30,3.1974854,3.2143538,"('intolerant', 'tolerant')",2.6871572,2.4216318,1.8053333,1.992395,2.5633252,2.5427934,0.0205318
6,-3.055025,-3.200893,"('distant', 'open')",-3.3105745,-3.0824575,-0.45623425,-0.4143888,-2.2739447,-2.2325797,-0.041365
35,-2.8649714,-3.118375,"('corrupt', 'incorrupt')",-2.860871,-2.5892065,-0.34218934,-0.45597288,-2.0226773,-2.0545181,0.0318408
5,-2.7751772,-2.9423015,"('distant', 'outgoing')",-3.2353208,-3.0191429,-0.955457,-0.94417876,-2.3219849,-2.3018743,-0.0201106
10,2.7307465,2.9111884,"('unsympathetic', 'sympathetic')",2.9940822,2.6535108,-0.0037221834,-0.008275025,1.9070355,1.8521414,0.0548941
36,-2.7257516,-2.837985,"('hostile', 'amicable')",-3.532879,-3.21405,-0.46945667,-0.5271154,-2.2426958,-2.1930502,-0.0496456
56,2.7240012,2.806592,"('impractical', 'practical')",2.717809,2.4883113,0.3429852,0.5287356,1.9282651,1.941213,-0.0129479
23,2.5653183,2.586494,"('insincere', 'sincere')",1.6994932,1.5949368,5.8718977,5.3637156,3.3789031,3.1817156,0.1971875
81,2.5571651,2.6378937,"('submissive', 'aggressive')",2.9265645,2.590159,-0.058788456,-0.081952356,1.8083137,1.7153667,0.092947
