,jpmorgan_male,jpmorgan_female,tuple,chase_male,chase_female,&_male,&_female,co_male,co_female,average_male,average_female,male-female
10,-3.746514,-3.622141,"('unsympathetic', 'sympathetic')",-0.9550459,-1.1598846,-1.1419687,-1.4092405,-0.57151586,-0.61404175,-1.6037612,-1.701327,0.0975658
69,3.1502528,3.0264266,"('lazy', 'industrious')",0.2598276,0.43874162,1.31875,1.4208466,0.39168942,0.57951474,1.2801299,1.3663824,-0.0862525
55,-3.1492,-2.9927688,"('incompetent', 'clever')",-0.7664914,-0.80976176,-0.8084348,-0.99987817,-1.1361738,-1.0099081,-1.465075,-1.4530792,-0.0119958
0,-2.7966154,-2.5594194,"('unsociable', 'sociable')",-0.6271816,-0.7127496,-0.1974542,-0.2772717,-0.5990449,-0.6141157,-1.055074,-1.0408891,-0.0141849
45,-2.6813939,-2.6378748,"('incompetent', 'competent')",-1.1516508,-1.2348367,-0.7768468,-1.1849394,-1.4728211,-1.5313711,-1.5206782,-1.6472555,0.1265773
14,-2.678355,-2.3467243,"('antisocial', 'social')",-0.7437584,-0.67451197,0.11115692,-0.07829396,-1.1379894,-1.124165,-1.1122365,-1.0559238,-0.0563127
35,2.4634764,2.472273,"('corrupt', 'incorrupt')",0.124157995,0.2873607,0.51063496,0.721335,0.04265935,0.20177685,0.7852321,0.9206864,-0.1354543
21,-2.4278731,-2.1390429,"('immoral', 'moral')",-0.3083771,-0.2543308,-0.3603785,-0.38093638,-1.7609214,-1.6541901,-1.2143875,-1.107125,-0.1072625
60,-2.4037573,-2.1961231,"('inefficient', 'efficient')",-1.3058418,-1.2469361,-0.50316316,-0.7666188,-0.6852864,-0.68795,-1.2245122,-1.2244071,-0.0001051
85,2.3757968,2.1714609,"('insignificant', 'prestigious')",2.1593566,2.1280859,2.445484,2.7745333,0.8833245,0.9454752,1.9659905,2.0048888,-0.0388983
57,-2.3517933,-2.5472937,"('unimaginative', 'imaginative')",-0.4784181,-0.6710886,-0.67053163,-0.8313202,-2.7760897,-2.743316,-1.5692081,-1.6982546,0.1290465
46,-2.1773996,-2.388813,"('uncompetitive', 'competitive')",0.5306179,0.3728114,-0.27733964,-0.4488526,0.049767178,0.102333054,-0.4685886,-0.5906303,0.1220417
5,2.1423893,2.242032,"('distant', 'outgoing')",1.9157284,2.0189393,1.2597866,1.4531367,0.35249674,0.48984164,1.4176003,1.5509872,-0.1333869
36,2.13545,2.167719,"('hostile', 'amicable')",0.66172713,0.9961159,0.8320248,1.0964663,0.60445195,0.76346713,1.0584135,1.2559421,-0.1975286
62,-2.1270623,-2.0053945,"('incompetent', 'brilliant')",-0.18947667,-0.2828039,-0.89678526,-1.0620745,-0.6268597,-0.62772936,-0.960046,-0.9945006,0.0344546
65,-2.0645807,-1.9727247,"('insecure', 'secure')",-1.3211048,-1.3767526,-0.54980475,-0.8285401,-1.1069398,-1.2618461,-1.2606075,-1.3599659,0.0993584
