,metlife_male,metlife_female,tuple,inc_male,inc_female,average_male,average_female,male-female
39,1.7109178,1.8358247,"('exploitative', 'cooperative')",-0.03909136,0.06941349,0.8359132,0.9526191,-0.1167059
71,1.6358155,1.4766215,"('diffident', 'self-confident')",0.7814702,0.4315446,1.2086428,0.9540831,0.2545597
10,-1.2405035,-1.1177341,"('unsympathetic', 'sympathetic')",-0.52246416,-0.7720498,-0.8814839,-0.9448919,0.063408
57,-1.1669344,-1.4163562,"('unimaginative', 'imaginative')",-2.4915402,-2.731004,-1.8292372,-2.0736802,0.244443
73,1.1202391,1.091365,"('helpless', 'self-reliant')",-2.960181,-2.8565476,-0.9199709,-0.8825913,-0.0373796
14,1.0006759,1.2515215,"('antisocial', 'social')",-0.6771613,-0.51810825,0.1617573,0.3667066,-0.2049493
69,0.93006146,0.84749645,"('lazy', 'industrious')",-0.18795484,-0.22061095,0.3710533,0.3134428,0.0576105
79,-0.8950627,-1.0059216,"('wavering', 'unwavering')",-0.011368936,0.041662615,-0.4532158,-0.4821295,0.0289137
47,0.8927263,0.98124,"('stupid', 'smart')",5.4659095,5.3719797,3.179318,3.1766098,0.0027082
56,0.88526654,1.2775929,"('impractical', 'practical')",-0.6992483,-0.34563625,0.0930091,0.4659783,-0.3729692
53,-0.881147,-0.96523565,"('uncreative', 'creative')",0.8424733,0.7094078,-0.0193368,-0.1279139,0.1085771
86,-0.842259,-0.886742,"('uninfluential', 'influential')",-0.104516335,-0.33517224,-0.4733877,-0.6109571,0.1375694
8,-0.7960195,-1.0634876,"('unaffectionate', 'affectionate')",0.72438294,0.6958163,-0.0358183,-0.1838357,0.1480174
77,-0.7944177,-0.6083231,"('unmotivated', 'motivated')",-1.3269291,-1.3598864,-1.0606734,-0.9841048,-0.0765686
20,0.7565157,0.7580514,"('rough', 'thoughtful')",1.4472936,1.0237129,1.1019046,0.8908821,0.2110225
34,0.75041085,0.9215879,"('mean', 'honorable')",6.178117,6.1329594,3.4642639,3.5272737,-0.0630098
75,-0.7187624,-0.8897304,"('meek', 'impulsive')",-0.5108042,-0.5070521,-0.6147833,-0.6983913,0.083608
26,0.6725769,0.32185367,"('hardhearted', 'benevolent')",1.9004508,1.7850281,1.2865138,1.0534409,0.2330729
82,-0.6660321,-0.5175177,"('poor', 'rich')",5.895011,6.152323,2.6144896,2.8174026,-0.202913
46,-0.66285914,-0.6209969,"('uncompetitive', 'competitive')",-0.78398573,-0.8197543,-0.7234224,-0.7203756,-0.0030468
16,-0.6480367,-0.6570645,"('unpopular', 'popular')",0.359142,0.4644228,-0.1444474,-0.0963209,-0.0481265
13,0.60436827,0.7623504,"('impolite', 'polite')",-0.46309668,-0.41798878,0.0706358,0.1721808,-0.101545
1,0.5951132,0.13302106,"('unfriendly', 'friendly')",2.1873584,1.9232515,1.3912358,1.0281363,0.3630995
