,tegna_male,tegna_female,tuple,inc_male,inc_female,average_male,average_female,male-female
1,-1.4842147,-1.4671801,"('unfriendly', 'friendly')",1.5702217,1.5075678,0.0430035,0.0201938,0.0228097
6,-1.4037782,-1.4410582,"('distant', 'open')",-0.06640656,-0.056823075,-0.7350924,-0.7489406,0.0138482
86,-1.4017104,-1.4447993,"('uninfluential', 'influential')",-0.32140395,-0.40591326,-0.8615572,-0.9253563,0.0637991
51,-1.2945704,-1.2406719,"('uneducated', 'educated')",0.14029494,0.09369327,-0.5771378,-0.5734893,-0.0036485
53,-1.2292403,-1.299371,"('uncreative', 'creative')",0.46622497,0.47334403,-0.3815077,-0.4130135,0.0315058
5,-1.1590638,-1.249929,"('distant', 'outgoing')",-0.6075854,-0.56684136,-0.8833246,-0.9083852,0.0250606
19,-1.1279534,-0.9196024,"('inhospitable', 'hospitable')",-0.41185886,-0.3281087,-0.7699062,-0.6238555,-0.1460507
44,1.1251633,1.0643753,"('prejudiced', 'unprejudiced')",-1.2346761,-1.2739464,-0.0547564,-0.1047856,0.0500292
36,-1.1216631,-1.1706201,"('hostile', 'amicable')",0.28684607,-0.0050330535,-0.4174085,-0.5878266,0.1704181
9,-1.1107575,-1.188453,"('unaffectionate', 'caring')",0.7688455,0.8154714,-0.170956,-0.1864908,0.0155348
57,-1.0731353,-1.2112151,"('unimaginative', 'imaginative')",-2.4182386,-2.509513,-1.745687,-1.860364,0.114677
8,-1.0375664,-1.3059672,"('unaffectionate', 'affectionate')",0.70824397,0.67671466,-0.1646612,-0.3146263,0.1499651
31,-0.9890728,-0.9773889,"('evil', 'good')",-0.8254475,-1.0418569,-0.9072602,-1.0096229,0.1023627
79,-0.98449093,-0.9513173,"('wavering', 'unwavering')",-0.35770568,-0.31038293,-0.6710983,-0.6308501,-0.0402482
39,0.95003,0.83178383,"('exploitative', 'cooperative')",0.1982693,0.17852762,0.5741497,0.5051557,0.068994
38,-0.937607,-0.7260066,"('untruthful', 'truthful')",-0.56671256,-0.28690428,-0.7521598,-0.5064554,-0.2457044
0,-0.89957684,-1.0485117,"('unsociable', 'sociable')",-0.33427617,-0.45723885,-0.6169265,-0.7528753,0.1359488
84,0.8258468,1.0012056,"('inferior', 'superior')",1.2089119,1.3577441,1.0173793,1.1794748,-0.1620955
63,-0.774213,-0.6820132,"('unperceptive', 'insightful')",0.6659619,0.8598401,-0.0541255,0.0889134,-0.1430389
28,-0.7664135,-0.73375267,"('disloyal', 'loyal')",0.64419156,0.6892962,-0.061111,-0.0222282,-0.0388828
60,0.7626056,0.787503,"('inefficient', 'efficient')",0.0069724238,0.22739013,0.384789,0.5074466,-0.1226576
78,-0.76129985,-0.84250575,"('nonresilient', 'resilient')",0.23083605,0.21538864,-0.2652319,-0.3135585,0.0483266
69,0.74958664,0.64932054,"('lazy', 'industrious')",-0.4526037,-0.63533115,0.1484915,0.0069947,0.1414968
68,-0.73482734,-0.7501568,"('dependent', 'independent')",-0.51833457,-0.5039617,-0.626581,-0.6270592,0.0004782
73,0.71933794,0.91638076,"('helpless', 'self-reliant')",-2.7387278,-2.6566503,-1.0096949,-0.8701348,-0.1395601
23,-0.6729525,-0.7193921,"('insincere', 'sincere')",5.2090273,5.3775673,2.2680373,2.3290875,-0.0610502
2,0.661511,0.7635804,"('unlikable', 'likable')",0.22665289,0.36929804,0.444082,0.5664392,-0.1223572
76,0.65368396,0.6741858,"('anxious', 'daring')",0.1453991,0.29524738,0.3995415,0.4847166,-0.0851751
11,-0.6323129,-0.6647139,"('unhelpful', 'helpful')",1.2064989,1.4103398,0.287093,0.372813,-0.08572
77,-0.60129684,-0.6557944,"('unmotivated', 'motivated')",-1.1147691,-1.0956272,-0.8580329,-0.8757108,0.0176779
61,-0.6012065,-0.5693043,"('illogical', 'logical')",0.16958384,0.14001107,-0.2158113,-0.2146466,-0.0011647
13,-0.5855353,-0.44178745,"('impolite', 'polite')",-0.892787,-0.7753533,-0.7391611,-0.6085704,-0.1305907
66,-0.58143497,-0.58530164,"('inactive', 'active')",0.47958893,0.4056738,-0.050923,-0.0898139,0.0388909
82,-0.5798928,-0.30710194,"('poor', 'rich')",5.6657314,5.794962,2.5429194,2.7439301,-0.2010107
