,questar_male,questar_female,tuple,corp_male,corp_female,average_male,average_female,male-female
31,-2.2621043,-2.05295,"('evil', 'good')",-0.83603954,-0.6855864,-1.5490719,-1.3692682,-0.1798037
6,-2.2473044,-2.3351963,"('distant', 'open')",-0.45206618,-0.5463075,-1.3496853,-1.4407519,0.0910666
36,-1.8810383,-1.7864264,"('hostile', 'amicable')",-0.14067492,-0.02220549,-1.0108566,-0.9043159,-0.1065407
19,-1.7757813,-2.0020776,"('inhospitable', 'hospitable')",-0.5259823,-0.5919915,-1.1508818,-1.2970345,0.1461527
66,-1.7347949,-1.2337166,"('inactive', 'active')",-0.26627487,0.16999261,-1.0005349,-0.531862,-0.4686729
79,-1.6867906,-1.7399616,"('wavering', 'unwavering')",-0.62707317,-0.72158,-1.1569319,-1.2307708,0.0738389
1,-1.6161873,-1.2406063,"('unfriendly', 'friendly')",1.3784856,1.5525848,-0.1188509,0.1559892,-0.2748401
60,1.6093563,1.5713824,"('inefficient', 'efficient')",0.03589784,-0.17349294,0.8226271,0.6989447,0.1236824
85,-1.5182008,-1.3286633,"('insignificant', 'prestigious')",-0.19535206,0.068239525,-0.8567764,-0.6302119,-0.2265645
5,-1.4458704,-1.8058026,"('distant', 'outgoing')",-0.44419828,-0.60144997,-0.9450343,-1.2036263,0.258592
62,1.376273,1.293035,"('incompetent', 'brilliant')",0.34549284,0.20275761,0.8608829,0.7478963,0.1129866
65,1.2111949,1.209838,"('insecure', 'secure')",-0.1465923,-0.3014987,0.5323013,0.4541697,0.0781316
81,1.18238,1.2656003,"('submissive', 'aggressive')",-0.65771824,-0.65124315,0.2623309,0.3071786,-0.0448477
55,1.1226405,1.44259,"('incompetent', 'clever')",0.09774433,0.25580162,0.6101924,0.8491958,-0.2390034
84,1.0959884,1.0180867,"('inferior', 'superior')",1.0065084,0.9115638,1.0512483,0.9648253,0.086423
53,-1.0814687,-0.9242592,"('uncreative', 'creative')",0.356674,0.45022747,-0.3623974,-0.2370159,-0.1253815
27,-1.0652789,-0.83751774,"('hardhearted', 'softhearted')",1.1728419,1.372479,0.0537815,0.2674806,-0.2136991
86,-0.98388875,-0.6811012,"('uninfluential', 'influential')",-0.6943915,-0.3197264,-0.8391401,-0.5004138,-0.3387263
76,0.96814567,1.0144972,"('anxious', 'daring')",-0.23345193,-0.47127435,0.3673469,0.2716114,0.0957355
52,-0.9068544,-0.89937866,"('irrational', 'rational')",0.20365058,0.11862367,-0.3516019,-0.3903775,0.0387756
35,-0.9062506,-0.8453318,"('corrupt', 'incorrupt')",-0.5187103,-0.46244177,-0.7124804,-0.6538868,-0.0585936
30,0.9036695,1.2282165,"('intolerant', 'tolerant')",0.74437994,0.880013,0.8240247,1.0541148,-0.2300901
