,nvidia_male,nvidia_female,tuple,corp_male,corp_female,average_male,average_female,male-female
10,-2.5960329,-2.370541,"('unsympathetic', 'sympathetic')",-0.37263954,-0.3789005,-1.4843361,-1.3747208,-0.1096153
46,-2.1078384,-1.843582,"('uncompetitive', 'competitive')",-0.91319084,-0.91028595,-1.5105146,-1.3769341,-0.1335805
43,-1.8473588,-1.4533818,"('irresponsible', 'responsible')",0.20097592,0.5304118,-0.8231915,-0.461485,-0.3617065
0,-1.8008717,-1.8152462,"('unsociable', 'sociable')",-0.21976861,-0.2914781,-1.0103202,-1.0533621,0.0430419
57,-1.7839644,-1.9143459,"('unimaginative', 'imaginative')",-3.1142068,-3.3166952,-2.4490857,-2.6155205,0.1664348
45,-1.6735198,-1.9081149,"('incompetent', 'competent')",0.12861247,-0.19000961,-0.7724537,-1.0490623,0.2766086
7,-1.547641,-1.7019013,"('insensitive', 'sensitive')",0.37465867,0.19468695,-0.5864912,-0.7536072,0.167116
21,-1.5212547,-0.98289424,"('immoral', 'moral')",-0.5524049,-0.15963846,-1.0368297,-0.5712664,-0.4655633
86,-1.5082471,-1.6992396,"('uninfluential', 'influential')",-0.47772452,-0.6811167,-0.9929858,-1.1901782,0.1971924
13,-1.4894813,-1.7598171,"('impolite', 'polite')",-0.5361406,-0.45416218,-1.0128109,-1.1069896,0.0941787
69,1.4297178,1.4740607,"('lazy', 'industrious')",-0.46201274,-0.64173734,0.4838525,0.4161617,0.0676908
63,-1.3761798,-1.380466,"('unperceptive', 'insightful')",0.5741409,0.24499604,-0.4010195,-0.567735,0.1667155
70,-1.3689609,-1.1940818,"('lethargic', 'energetic')",0.08614598,0.10408491,-0.6414074,-0.5449984,-0.096409
81,-1.366519,-1.4745213,"('submissive', 'aggressive')",-0.7494784,-0.7576698,-1.0579987,-1.1160955,0.0580968
32,-1.3089527,-1.0141401,"('unkind', 'kind')",0.35942587,0.5510768,-0.4747634,-0.2315316,-0.2432318
24,-1.2331659,-1.2635345,"('dishonest', 'honest')",0.5611652,0.628356,-0.3360003,-0.3175893,-0.018411
22,-1.2211899,-1.1467142,"('untrustworthy', 'trustworthy')",-1.2708012,-1.3257221,-1.2459955,-1.2362182,-0.0097773
12,-1.205911,-1.2934968,"('unsupportive', 'supportive')",-2.073165,-2.2737324,-1.639538,-1.7836146,0.1440766
3,-1.1493042,-0.97785336,"('repellent', 'pleasant')",0.76857257,1.1019049,-0.1903658,0.0620258,-0.2523916
11,-1.1375064,-1.1544472,"('unhelpful', 'helpful')",1.4533999,1.4569094,0.1579468,0.1512311,0.0067157
85,1.135914,1.0413047,"('insignificant', 'prestigious')",-0.27208605,-0.1333417,0.431914,0.4539815,-0.0220675
23,-1.134748,-1.1075141,"('insincere', 'sincere')",5.576926,5.861677,2.2210891,2.3770814,-0.1559923
1,-1.125388,-1.4386779,"('unfriendly', 'friendly')",1.1378697,1.0524894,0.0062408,-0.1930943,0.1993351
51,-1.1084049,-1.2772665,"('uneducated', 'educated')",0.311538,0.1537219,-0.3984334,-0.5617723,0.1633389
41,-1.1004672,-1.3098255,"('unforgiving', 'forgiving')",-0.19762224,-0.46629274,-0.6490448,-0.8880591,0.2390143
78,-1.0974885,-0.97509205,"('nonresilient', 'resilient')",0.2534779,0.034513194,-0.4220053,-0.4702894,0.0482841
84,1.0851403,1.2714273,"('inferior', 'superior')",1.2042091,1.1979427,1.1446748,1.2346849,-0.0900101
42,-1.0816114,-0.85705835,"('unreliable', 'reliable')",-3.2799258,-3.3144486,-2.1807685,-2.0857534,-0.0950151
38,-1.053189,-1.1675842,"('untruthful', 'truthful')",-0.1799888,-0.23226526,-0.616589,-0.6999247,0.0833357
74,-0.9994999,-0.8132566,"('undedicated', 'dedicated')",-0.44474217,-0.45885628,-0.7221211,-0.6360564,-0.0860647
35,0.9964521,0.99550045,"('corrupt', 'incorrupt')",-0.31787202,-0.3348198,0.33929,0.3303403,0.0089497
76,-0.98813796,-0.6523173,"('anxious', 'daring')",-0.25810564,-0.12709846,-0.6231218,-0.3897079,-0.2334139
59,0.9722506,1.0022006,"('foolish', 'wise')",0.04103812,0.20414189,0.5066444,0.6031712,-0.0965268
18,-0.94950294,-1.1096336,"('disagreeable', 'welcoming')",-0.7250309,-0.88457257,-0.8372669,-0.9971031,0.1598362
55,-0.9197494,-0.90859836,"('incompetent', 'clever')",0.4367575,0.34016728,-0.2414959,-0.2842155,0.0427196
72,-0.91613466,-0.93022233,"('unambitious', 'ambitious')",-0.31206897,-0.4311502,-0.6141018,-0.6806862,0.0665844
