,hess_male,hess_female,tuple,corp_male,corp_female,average_male,average_female,male-female
31,-2.6900768,-2.6181352,"('evil', 'good')",-1.1155863,-1.4402893,-1.9028316,-2.0292122,0.1263806
36,-2.513314,-2.2757738,"('hostile', 'amicable')",-0.4106092,-0.74015564,-1.4619616,-1.5079647,0.0460031
16,-2.4977555,-2.2394965,"('unpopular', 'popular')",0.057320446,-0.015927438,-1.2202176,-1.127712,-0.0925056
60,2.4506636,2.414138,"('inefficient', 'efficient')",-0.24709496,0.24196818,1.1017843,1.3280531,-0.2262688
14,2.368665,2.2745147,"('antisocial', 'social')",0.050850533,0.3431649,1.2097578,1.3088398,-0.099082
17,-2.3138974,-2.484469,"('nasty', 'nice')",-0.579443,-0.71161664,-1.4466702,-1.5980427,0.1513725
55,2.207955,2.2110906,"('incompetent', 'clever')",0.468507,0.8563281,1.338231,1.5337093,-0.1954783
81,2.190267,1.9460707,"('submissive', 'aggressive')",-0.6179912,-0.26794934,0.7861379,0.8390607,-0.0529228
43,2.1565638,2.3295228,"('irresponsible', 'responsible')",0.55227906,0.80159324,1.3544214,1.5655581,-0.2111367
62,2.1524367,2.043401,"('incompetent', 'brilliant')",0.22032036,0.47360447,1.1863786,1.2585027,-0.0721241
4,-2.1486213,-2.0341115,"('disliked', 'liked')",-7.640311,-7.8602777,-4.8944659,-4.9471946,0.0527287
35,-2.1387963,-2.3179917,"('corrupt', 'incorrupt')",-0.8459832,-1.2356373,-1.4923898,-1.7768145,0.2844247
80,1.8793882,1.7461407,"('dominated', 'dominating')",-0.2677512,-0.027903318,0.8058185,0.8591187,-0.0533002
56,1.7815682,1.7245489,"('impractical', 'practical')",-1.1014034,-0.82885104,0.3400824,0.4478489,-0.1077665
85,-1.7774198,-1.2960365,"('insignificant', 'prestigious')",-0.57692116,-0.9951166,-1.1771705,-1.1455765,-0.031594
79,-1.7555141,-1.8056996,"('wavering', 'unwavering')",-0.38972026,-0.6901033,-1.0726172,-1.2479014,0.1752842
70,1.7383627,1.7839156,"('lethargic', 'energetic')",0.72819996,1.0288477,1.2332814,1.4063816,-0.1731002
24,1.7329931,1.4100486,"('dishonest', 'honest')",0.29439884,0.39830533,1.013696,0.904177,0.109519
76,1.7042975,1.5860834,"('anxious', 'daring')",-0.0013637394,0.2919761,0.8514669,0.9390298,-0.0875629
30,1.6769762,1.6438553,"('intolerant', 'tolerant')",0.2735098,0.4196187,0.975243,1.031737,-0.056494
59,-1.6578056,-1.4231969,"('foolish', 'wise')",-0.32200137,-0.5732409,-0.9899035,-0.9982189,0.0083154
86,1.5171798,1.4793746,"('uninfluential', 'influential')",0.16554362,0.28839168,0.8413618,0.8838832,-0.0425214
6,-1.5145689,-1.3647295,"('distant', 'open')",-0.7194388,-1.0567423,-1.1170039,-1.2107359,0.093732
18,-1.5133243,-1.3296005,"('disagreeable', 'welcoming')",-0.72072756,-0.7236156,-1.1170259,-1.026608,-0.0904179
52,-1.5039613,-1.5400844,"('irrational', 'rational')",-0.28562137,-0.47635567,-0.8947914,-1.00822,0.1134286
75,-1.4729615,-1.3902212,"('meek', 'impulsive')",-0.99640304,-1.1840277,-1.2346823,-1.2871244,0.0524421
44,-1.4648018,-1.4695928,"('prejudiced', 'unprejudiced')",-1.5865755,-1.457343,-1.5256886,-1.4634678,-0.0622208
